Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,33.49,33.87,33.42,33.65,30.79,613500
2010-01-05,33.64,34.44,33.5,34.31,31.39,1129300
2010-01-06,33.24,33.59,31.87,32.05,29.33,2627400
2010-01-07,32.04,32.8,31.8,32.41,29.66,1076500
2010-01-08,32.29,34.02,32.29,33.86,30.98,1005000
2010-01-11,34.13,34.24,33.41,34.01,31.12,1036500
2010-01-12,33.63,33.86,33.23,33.52,30.67,694000
2010-01-13,33.69,33.76,33.0,33.53,30.68,615800
2010-01-14,33.51,33.86,33.17,33.42,30.58,457700
2010-01-15,33.24,33.38,32.55,32.92,30.12,785100
2010-01-19,32.96,32.97,32.61,32.78,29.99,518000
2010-01-20,32.23,32.36,31.4,32.19,29.45,1091100
2010-01-21,32.14,32.86,31.51,31.52,28.84,1046700
2010-01-22,31.06,31.9,30.97,31.01,28.37,770900
2010-01-25,31.43,31.43,30.78,30.79,28.17,1149100
2010-01-26,30.72,31.27,30.36,31.13,28.48,666800
2010-01-27,30.96,31.46,30.72,31.35,28.69,682000
2010-01-28,31.4,32.0,31.19,31.19,28.54,1993500
2010-01-29,31.32,31.56,29.54,29.7,27.18,2066100
2010-02-01,29.87,30.88,29.87,30.78,28.16,819600
2010-02-02,30.79,31.03,30.52,30.79,28.17,816300
2010-02-03,30.64,31.4,30.4,31.12,28.48,1521900
2010-02-04,30.87,30.87,29.79,29.86,27.32,1249800
2010-02-05,29.96,30.38,29.52,30.27,27.7,1704900
2010-02-08,30.25,30.76,29.77,29.96,27.41,682800
2010-02-09,30.52,30.67,30.07,30.33,27.75,607500
2010-02-10,30.23,30.61,30.09,30.44,27.85,764800
2010-02-11,30.42,32.34,30.42,31.93,29.22,1970600
2010-02-12,31.6,32.84,31.17,32.39,29.64,2512700
2010-02-16,32.81,33.32,32.28,33.08,30.27,1318000
2010-02-17,33.27,33.4,32.6,33.06,30.25,690800
2010-02-18,33.15,33.17,32.79,33.15,30.33,665100
2010-02-19,33.01,34.03,33.01,33.92,31.04,805400
2010-02-22,34.0,34.93,33.87,34.87,31.91,1443000
2010-02-23,34.82,35.03,34.19,34.39,31.47,1155000
2010-02-24,34.42,34.67,34.04,34.32,31.4,887200
2010-02-25,33.78,35.07,33.34,34.99,32.02,1136100
2010-02-26,35.0,35.0,34.08,34.3,31.39,1289400
2010-03-01,34.44,35.5,34.44,35.41,32.4,1048400
2010-03-02,35.52,35.88,35.07,35.11,32.13,1150700
2010-03-03,35.06,35.24,34.52,34.68,31.73,947300
2010-03-04,34.82,35.06,34.63,34.88,31.92,602900
2010-03-05,35.09,35.61,35.06,35.45,32.44,1005300
2010-03-08,35.39,35.81,35.03,35.55,32.53,651200
2010-03-09,35.26,36.3,35.26,35.89,32.84,923600
2010-03-10,36.45,36.82,35.69,35.99,32.93,2444800
2010-03-11,36.06,36.44,35.77,36.0,32.94,1656400
2010-03-12,36.2,36.22,35.67,35.75,32.71,1952000
2010-03-15,35.75,35.83,35.38,35.57,32.55,1308600
2010-03-16,35.79,36.33,35.7,36.33,33.24,1024700
2010-03-17,36.2,36.54,35.93,36.1,33.03,1085700
2010-03-18,36.02,36.91,35.77,35.91,32.86,1148900
2010-03-19,35.75,36.07,35.16,35.75,32.71,1046300
2010-03-22,35.42,36.29,35.3,36.17,33.1,554900
