Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,84.4,85.36,83.65,84.47,67.81,936100
2010-01-05,84.5,84.73,83.67,83.89,67.34,1176400
2010-01-06,84.59,85.15,83.79,84.08,67.5,1222400
2010-01-07,84.38,84.4,83.61,84.11,67.52,795400
2010-01-08,84.14,84.42,83.69,84.26,67.64,782300
2010-01-11,84.5,85.22,84.39,85.11,68.32,617700
2010-01-12,84.76,84.79,83.99,84.67,67.97,824400
2010-01-13,84.72,85.62,84.72,85.4,68.55,636200
2010-01-14,85.4,86.61,85.02,86.49,69.42,742900
2010-01-15,86.54,86.76,85.42,85.89,68.95,1123000
2010-01-19,85.95,86.72,85.16,85.98,69.02,842800
2010-01-20,85.56,85.57,83.77,84.65,67.95,880700
2010-01-21,84.59,85.51,83.07,83.16,66.76,798700
2010-01-22,82.91,83.3,81.45,81.56,65.47,869400
2010-01-25,82.05,82.55,81.68,82.16,65.96,420200
2010-01-26,81.82,81.98,81.21,81.61,65.51,916300
2010-01-27,81.34,82.23,80.32,82.11,65.91,785200
2010-01-28,82.24,82.52,80.18,81.0,65.02,724900
2010-01-29,81.46,81.52,79.74,80.02,64.24,754100
2010-02-01,80.3,81.46,80.16,81.27,65.24,643900
2010-02-02,81.42,83.9,81.26,83.62,67.13,1556000
2010-02-03,83.11,83.93,83.11,83.49,67.02,845800
2010-02-04,83.24,83.24,81.13,81.16,65.15,973000
2010-02-05,80.99,81.39,79.5,80.89,64.93,1091600
2010-02-08,80.89,82.15,80.67,81.23,65.21,825300
2010-02-09,81.85,83.17,81.21,82.59,66.3,943400
2010-02-10,82.54,82.8,82.02,82.57,66.28,861700
2010-02-11,82.12,83.61,81.71,83.61,67.12,727300
2010-02-12,82.67,83.69,82.29,83.55,67.07,890800
2010-02-16,83.89,84.59,83.77,84.11,67.52,1437600
2010-02-17,84.58,84.81,83.11,84.6,67.91,946300
2010-02-18,84.61,86.42,84.33,86.27,69.25,773300
2010-02-19,86.11,87.12,85.83,86.74,69.63,1330900
2010-02-22,86.77,88.15,86.77,87.69,70.39,1300500
2010-02-23,87.47,87.89,86.49,86.59,69.51,1279200
2010-02-24,86.94,88.45,86.79,87.7,70.4,1260000
2010-02-25,86.39,87.48,85.89,87.43,70.5,987600
2010-02-26,87.22,88.14,86.82,87.78,70.79,865300
2010-03-01,87.76,88.34,87.43,88.26,71.18,1137400
2010-03-02,88.59,88.93,87.83,88.74,71.56,1025000
2010-03-03,88.75,89.24,88.66,88.9,71.69,784300
2010-03-04,88.99,89.21,87.88,88.79,71.6,797600
2010-03-05,88.83,89.7,88.83,89.45,72.14,871700
2010-03-08,89.54,89.59,88.43,88.86,71.66,782100
2010-03-09,88.67,89.17,88.18,88.61,71.45,1158400
2010-03-10,88.54,89.1,88.19,88.88,71.67,882800
2010-03-11,88.76,88.8,87.64,88.76,71.58,659600
2010-03-12,88.82,88.82,87.78,88.65,71.48,505500
2010-03-15,88.39,88.9,88.18,88.76,71.58,673500
2010-03-16,88.88,89.4,88.73,89.25,71.97,885400
2010-03-17,89.26,90.51,89.08,90.27,72.79,1018000
2010-03-18,90.14,90.57,89.81,90.43,72.93,566100
2010-03-19,90.42,91.09,90.01,90.42,72.92,1129600
2010-03-22,89.89,90.47,89.5,90.42,72.92,1002800
2010-03-23,90.35,90.94,90.13,90.85,73.27,1030900
2010-03-24,90.75,90.84,89.54,89.8,72.41,1026400
2010-03-25,90.41,90.5,89.16,89.26,71.98,1437400
2010-03-26,89.52,89.94,89.0,89.55,72.21,1066900
2010-03-29,90.02,90.12,89.4,89.87,72.47,944500
2010-03-30,89.89,90.09,89.07,89.24,71.96,783700
2010-03-31,89.12,89.12,87.8,87.98,70.95,1235300
2010-04-01,88.16,89.11,88.16,88.85,71.65,798300
2010-04-05,89.04,89.66,88.87,89.14,71.88,652800
2010-04-06,89.0,89.41,88.39,89.39,72.09,863300
2010-04-07,88.99,89.34,88.42,88.98,71.76,990500
2010-04-08,88.87,88.97,88.31,88.84,71.64,779300
2010-04-09,89.03,90.25,88.67,90.17,72.72,773600
2010-04-12,90.06,90.88,89.77,90.63,73.09,790400
2010-04-13,90.73,91.42,89.97,91.39,73.7,857100
