Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,35.77,36.35,35.77,35.82,25.51,6067100
2010-01-05,35.9,35.91,34.93,35.19,25.06,7517100
2010-01-06,35.24,35.53,35.24,35.45,25.25,7661600
2010-01-07,35.49,35.56,35.15,35.27,25.12,5997100
2010-01-08,35.28,35.28,34.84,35.0,24.93,5624400
2010-01-11,35.09,35.56,35.09,35.48,25.27,4793400
2010-01-12,35.35,35.6,35.21,35.36,25.18,4700800
2010-01-13,35.35,36.0,35.27,35.85,25.53,5320900
2010-01-14,35.75,36.0,35.75,36.0,25.64,6417300
2010-01-15,36.0,36.11,35.43,35.82,25.51,6519600
2010-01-19,35.99,37.92,35.91,37.41,26.64,17795600
2010-01-20,37.4,37.72,36.66,37.3,26.57,8851200
2010-01-21,37.27,37.48,36.0,36.11,25.72,11022600
2010-01-22,36.09,36.41,35.46,35.52,25.3,7247500
2010-01-25,35.85,36.02,35.53,35.75,25.46,6499400
2010-01-26,35.96,36.24,35.77,36.16,25.75,7128400
2010-01-27,36.16,36.42,35.9,36.39,25.92,7009700
2010-01-28,35.91,36.01,35.27,35.75,25.46,9423500
2010-01-29,35.94,35.94,35.13,35.2,25.07,9281900
2010-02-01,35.36,35.69,34.85,35.0,24.93,6767300
2010-02-02,35.0,35.75,34.9,35.62,25.37,6573500
2010-02-03,35.45,35.45,35.07,35.31,25.15,5493500
2010-02-04,35.1,35.22,34.61,34.67,24.69,8914200
2010-02-05,34.64,34.82,33.91,34.52,24.59,8698500
2010-02-08,34.49,35.13,34.22,34.78,24.77,8301000
2010-02-09,34.95,35.47,34.86,35.2,25.07,10261600
2010-02-10,34.75,34.75,33.98,34.17,24.68,9425900
2010-02-11,34.17,34.43,33.82,34.17,24.68,6352000
2010-02-12,33.95,34.04,33.63,33.95,24.52,8706400
2010-02-16,34.25,34.25,33.95,34.08,24.61,7280900
2010-02-17,34.35,34.62,34.22,34.39,24.84,5708100
2010-02-18,34.39,34.59,34.26,34.41,24.85,4158200
2010-02-19,34.2,34.48,33.86,34.24,24.73,5476400
2010-02-22,34.4,34.65,34.08,34.47,24.9,5855000
2010-02-23,34.36,34.47,33.85,33.96,24.53,5547900
2010-02-24,34.11,34.31,33.96,34.04,24.59,4426200
2010-02-25,33.84,34.32,33.72,34.24,24.73,6111600
2010-02-26,34.33,34.52,34.19,34.34,24.8,4850100
2010-03-01,34.5,34.55,34.28,34.32,24.79,5714700
2010-03-02,34.34,34.76,34.33,34.55,24.95,6316400
2010-03-03,34.62,34.73,34.23,34.32,24.79,5317600
2010-03-04,34.39,34.56,34.31,34.54,24.95,5815300
2010-03-05,34.65,35.09,34.63,35.09,25.34,5995400
2010-03-08,35.11,35.11,34.81,34.93,25.23,5672000
2010-03-09,35.0,35.17,34.77,35.06,25.32,4805800
2010-03-10,35.24,35.46,35.08,35.34,25.52,5063800
2010-03-11,35.33,35.83,35.23,35.82,25.87,6661300
2010-03-12,35.99,36.0,35.48,35.93,25.95,7245200
2010-03-15,35.91,36.04,35.76,36.01,26.01,6446000
2010-03-16,36.09,36.22,35.89,36.18,26.13,6635900
2010-03-17,36.21,36.34,36.09,36.22,26.16,6155400
2010-03-18,36.08,36.38,36.02,36.36,26.26,5731200
2010-03-19,36.17,36.58,36.01,36.17,26.12,9641300
2010-03-22,36.17,36.82,36.12,36.54,26.39,6691600
2010-03-23,36.64,36.8,36.46,36.62,26.45,6515200
2010-03-24,36.68,36.7,36.18,36.26,26.19,5450700
2010-03-25,36.58,36.58,35.96,35.98,25.99,5852200
2010-03-26,36.04,36.04,35.4,35.42,25.58,8199200
2010-03-29,35.5,35.73,35.34,35.47,25.62,6954900
2010-03-30,35.51,35.94,35.48,35.9,25.93,7239900
2010-03-31,35.87,36.49,35.8,36.22,26.16,9361900
2010-04-01,36.45,36.59,36.04,36.15,26.11,6248100
2010-04-05,36.35,36.97,36.2,36.55,26.4,8196400
2010-04-06,36.39,36.58,36.06,36.51,26.37,7033500
2010-04-07,36.51,36.68,36.45,36.52,26.38,9554200
2010-04-08,36.51,36.62,36.45,36.52,26.38,6104900
2010-04-09,36.69,36.92,36.54,36.84,26.61,4587200
2010-04-12,36.83,36.83,36.54,36.57,26.41,5256400
2010-04-13,36.57,36.96,36.5,36.92,26.67,5788900
2010-04-14,36.72,36.82,36.45,36.59,26.43,7678300
2010-04-15,36.61,36.78,36.5,36.72,26.52,5629500
2010-04-16,36.52,36.84,36.5,36.54,26.39,7987600
2010-04-19,35.95,36.62,35.75,36.58,26.42,11600000
2010-04-20,36.53,36.65,36.46,36.53,26.38,7789400
2010-04-21,36.5,36.56,35.8,36.01,26.01,11347000
2010-04-22,35.79,35.84,35.21,35.38,25.55,10391800
