Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,39.7,40.45,39.52,39.88,36.94,1856900
2010-01-05,39.79,39.8,39.09,39.61,36.69,1463300
2010-01-06,39.63,40.13,39.34,39.43,36.53,2158300
2010-01-07,39.25,39.75,38.92,39.36,36.46,1443400
2010-01-08,39.33,40.58,39.11,40.35,37.38,2022100
2010-01-11,40.91,41.56,40.71,41.43,38.38,3492100
2010-01-12,40.82,40.92,38.65,38.74,35.89,3604800
2010-01-13,39.0,39.16,37.68,38.86,36.0,2906400
2010-01-14,38.67,38.92,38.0,38.34,35.52,2222300
2010-01-15,38.47,38.49,36.63,36.82,34.11,2758300
2010-01-19,36.94,37.27,36.68,37.04,34.31,2290800
2010-01-20,36.6,37.13,35.94,37.0,34.28,2324500
2010-01-21,36.9,37.97,36.39,36.49,33.8,2155800
2010-01-22,36.0,36.59,34.28,34.29,31.77,3232400
2010-01-25,34.42,35.2,34.35,34.89,32.32,2261200
2010-01-26,34.76,35.64,34.49,35.0,32.42,3121600
2010-01-27,34.51,35.59,34.34,35.54,32.92,3020100
2010-01-28,35.64,35.92,33.21,33.38,30.92,7112200
2010-01-29,33.78,34.0,32.6,33.01,30.58,4418800
2010-02-01,33.15,33.77,33.03,33.62,31.14,2880300
2010-02-02,33.93,34.11,33.52,33.93,31.43,3957400
2010-02-03,33.65,34.0,33.0,33.21,30.76,4359200
2010-02-04,32.78,32.92,32.07,32.25,29.88,3513000
2010-02-05,32.37,33.33,32.16,33.29,30.84,3161100
2010-02-08,33.21,33.7,32.66,32.97,30.54,2090600
2010-02-09,33.28,34.01,33.02,33.69,31.21,2996400
2010-02-10,33.76,34.23,32.98,33.69,31.21,1588900
2010-02-11,33.6,34.96,33.28,34.77,32.21,2724300
2010-02-12,34.14,35.47,33.81,35.05,32.47,2727400
2010-02-16,35.45,35.74,35.33,35.71,33.08,2311600
2010-02-17,35.98,35.98,34.97,35.27,32.67,2059200
2010-02-18,35.09,35.2,34.26,35.13,32.54,2923700
2010-02-19,34.92,35.69,34.72,35.66,33.03,2385200
2010-02-22,35.69,35.89,35.17,35.25,32.65,1956400
2010-02-23,35.05,35.2,32.76,33.15,30.71,6753100
2010-02-24,33.39,34.3,33.31,33.72,31.24,5820100
2010-02-25,33.26,33.88,32.67,33.76,31.27,3136800
2010-02-26,33.71,33.98,32.98,33.91,31.41,1865700
2010-03-01,34.09,35.23,34.09,35.14,32.55,2276000
2010-03-02,35.23,36.09,35.18,35.48,32.87,3253600
2010-03-03,35.7,35.87,34.97,35.2,32.61,1765600
2010-03-04,35.31,35.5,34.26,34.52,31.98,2282800
2010-03-05,34.64,35.06,34.04,34.72,32.16,2214600
2010-03-08,34.71,35.05,34.61,34.95,32.38,1275400
2010-03-09,34.87,35.05,34.3,34.75,32.19,1633900
2010-03-10,34.84,35.63,34.6,35.56,32.94,2558900
2010-03-11,35.3,35.75,34.52,34.74,32.18,2912700
2010-03-12,34.83,35.04,34.07,34.26,31.74,2967600
2010-03-15,33.09,33.34,32.56,32.68,30.27,6697300
2010-03-16,32.83,33.81,32.79,33.74,31.26,3331500
2010-03-17,34.08,34.19,33.55,33.89,31.39,3193100
2010-03-18,33.82,34.49,33.41,33.9,31.4,2863500
2010-03-19,34.11,34.16,33.45,33.88,31.39,3359700
2010-03-22,33.9,35.95,33.79,35.9,33.26,5771400
2010-03-23,35.94,37.36,35.85,37.21,34.47,4434600
2010-03-24,36.98,37.18,36.28,36.34,33.66,2871500
2010-03-25,36.86,37.79,36.79,37.04,34.31,3826200
2010-03-26,37.11,37.46,36.28,36.5,33.81,1961200
2010-03-29,36.8,37.3,36.75,37.19,34.45,2486200
2010-03-30,37.3,37.61,36.65,37.43,34.67,2970100
2010-03-31,36.93,37.67,36.81,37.32,34.57,2426400
2010-04-01,37.53,38.3,37.06,37.51,34.75,2279900
2010-04-05,37.78,38.58,37.75,38.39,35.56,1716500
2010-04-06,38.02,38.59,37.97,38.29,35.47,1785900
2010-04-07,38.1,38.78,37.52,38.58,35.74,2955200
2010-04-08,38.29,38.35,37.63,38.08,35.28,1841200
2010-04-09,38.08,38.58,37.84,38.48,35.65,1463700
2010-04-12,38.37,39.05,38.29,38.61,35.77,1256900
2010-04-13,38.6,38.85,38.29,38.71,35.86,1124400
2010-04-14,39.13,40.14,39.07,39.99,37.05,2868300
2010-04-15,40.2,40.22,39.35,39.63,36.71,1703600
2010-04-16,39.6,40.0,39.16,39.94,37.0,2268400
2010-04-19,39.67,40.13,39.28,39.85,36.92,2339900
2010-04-20,40.48,40.61,39.84,40.41,37.43,2135100
2010-04-21,40.43,40.88,39.39,39.99,37.05,2452200
2010-04-22,39.65,42.49,38.62,42.19,39.08,5108800
2010-04-23,42.56,43.14,42.1,42.9,39.74,3607600
2010-04-26,42.75,43.42,42.54,42.55,39.42,1991600
