Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.4,11.46,11.09,11.18,10.52,9625000
2010-01-05,11.25,11.79,11.2,11.77,11.08,13355100
2010-01-06,11.76,11.79,11.38,11.42,10.75,10523900
2010-01-07,11.39,11.74,11.27,11.59,10.91,10055100
2010-01-08,11.54,11.64,11.23,11.33,10.66,7894500
2010-01-11,11.35,11.57,11.23,11.46,10.79,5987200
2010-01-12,11.37,11.58,11.26,11.33,10.66,6162800
2010-01-13,11.32,11.65,11.26,11.53,10.85,5798800
2010-01-14,11.5,11.59,11.37,11.46,10.79,4768700
2010-01-15,11.49,11.54,11.2,11.28,10.62,6296700
2010-01-19,11.26,11.5,11.21,11.3,10.64,6703200
2010-01-20,11.24,11.38,10.91,11.33,10.66,12862100
2010-01-21,11.51,11.76,11.12,11.68,10.99,23729200
2010-01-22,11.78,11.97,11.53,11.68,10.99,14307800
2010-01-25,11.63,11.94,11.15,11.32,10.65,15228900
2010-01-26,11.18,11.95,11.1,11.61,10.93,12293100
2010-01-27,11.6,11.6,10.98,11.39,10.72,14414100
2010-01-28,11.46,11.74,11.36,11.45,10.78,12265800
2010-01-29,11.49,11.75,11.3,11.33,10.66,10968500
2010-02-01,11.37,11.64,11.31,11.57,10.89,7690200
2010-02-02,11.62,11.74,11.46,11.55,10.87,11319700
2010-02-03,11.51,11.63,11.39,11.47,10.8,8359700
2010-02-04,11.38,11.53,11.03,11.03,10.38,12613300
2010-02-05,11.04,11.34,11.02,11.29,10.63,12133600
2010-02-08,11.31,11.39,11.1,11.25,10.59,7988800
2010-02-09,11.35,11.85,11.35,11.65,10.97,13597100
2010-02-10,11.61,11.77,11.37,11.54,10.86,11550400
2010-02-11,11.51,12.0,11.51,11.88,11.18,14928300
2010-02-12,11.89,12.04,11.81,12.04,11.33,13841000
2010-02-16,12.1,12.45,12.02,12.45,11.72,10677900
2010-02-17,12.45,12.45,12.07,12.29,11.57,8076000
2010-02-18,12.3,12.49,12.29,12.44,11.71,9945300
