Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,22.25,22.25,21.7,22.0,16.8,5244400
2010-04-29,22.0,23.25,21.9,23.0,17.57,8773600
2010-04-30,22.95,23.0,22.25,22.3,17.03,1644400
2010-05-03,22.75,22.95,22.65,22.8,17.41,3302700
2010-05-04,22.8,22.8,21.5,21.5,16.42,2276500
2010-05-05,22.0,22.0,20.0,20.59,15.73,6999200
2010-05-06,20.5,20.55,18.45,19.45,14.85,8029400
2010-05-07,19.5,19.55,17.9,18.6,14.21,3881500
2010-05-10,19.75,19.85,18.7,19.01,14.52,3861100
2010-05-11,18.75,19.28,18.75,18.9,14.43,2626900
2010-05-12,19.2,20.04,19.2,19.8,15.12,5714300
2010-05-13,19.85,20.1,19.6,19.65,15.01,2475900
2010-05-14,19.3,19.4,18.75,18.75,14.32,3133400
2010-05-17,19.0,19.2,18.7,18.85,14.4,10117000
2010-05-18,19.05,19.32,18.25,18.79,14.35,6219800
2010-05-19,18.9,18.93,17.55,17.7,13.52,6227700
2010-05-20,17.14,17.14,16.2,16.9,12.91,10248400
2010-05-21,16.35,17.12,16.25,16.55,12.64,4560800
2010-05-24,16.7,17.15,16.68,16.9,12.91,1761300
2010-05-25,16.79,16.79,16.2,16.57,12.66,4649600
2010-05-26,16.99,17.4,16.8,17.15,13.1,2079300
2010-05-27,17.65,18.0,17.65,17.9,13.67,3156100
2010-05-28,17.9,17.9,16.25,17.77,13.57,222200
2010-06-01,17.65,17.8,17.2,17.5,13.37,900800
2010-06-02,17.61,17.66,17.22,17.33,13.24,829900
2010-06-03,17.45,17.5,17.15,17.33,13.24,2173600
2010-06-04,17.05,17.1,16.75,17.05,13.02,3147200
2010-06-07,17.15,17.2,16.74,16.89,12.9,2826800
2010-06-08,17.03,17.03,16.5,16.75,12.79,2037700
2010-06-09,16.79,17.1,16.7,16.79,12.82,1410200
2010-06-10,16.97,17.07,16.85,16.97,12.96,1401000
2010-06-11,16.94,17.19,16.94,17.14,13.09,452500
2010-06-14,17.19,17.58,17.19,17.49,13.36,1008500
2010-06-15,17.48,18.0,17.35,17.97,13.72,1974300
2010-06-16,17.93,17.97,17.63,17.64,13.47,1041500
2010-06-17,17.68,17.75,17.14,17.3,13.21,1090600
2010-06-18,17.33,17.35,17.15,17.21,13.14,1373700
2010-06-21,17.45,17.53,17.09,17.1,13.06,514100
2010-06-22,17.09,17.1,16.8,16.84,12.86,1502900
2010-06-23,16.9,16.95,16.6,16.65,12.72,1125700
2010-06-24,16.69,16.92,16.35,16.8,12.83,2151600
2010-06-25,16.9,16.92,16.7,16.82,12.85,612000
2010-06-28,16.87,16.87,16.7,16.87,12.88,355800
2010-06-29,16.74,16.74,16.25,16.25,12.41,2561000
2010-06-30,16.27,16.5,16.15,16.15,12.33,1534100
2010-07-01,16.24,16.3,15.4,15.55,11.88,4006100
2010-07-02,15.58,15.69,15.4,15.48,11.82,231700
2010-07-06,15.5,15.59,14.9,15.06,11.5,833700
2010-07-07,15.05,15.15,14.86,15.0,11.46,2137200
2010-07-08,14.95,15.15,14.95,15.05,11.49,2422200
2010-07-09,15.1,16.02,15.0,15.8,12.07,1478700
2010-07-12,15.82,16.02,15.8,15.82,12.08,786100
2010-07-13,15.83,16.5,15.83,16.4,12.53,1647300
2010-07-14,16.4,16.45,16.25,16.4,12.53,1537200
2010-07-15,16.43,16.43,16.0,16.37,12.5,905900
2010-07-16,16.3,16.3,16.0,16.2,12.37,624700
2010-07-19,16.18,16.7,16.11,16.45,12.56,497300
2010-07-20,16.44,16.44,16.15,16.19,12.37,1244700
2010-07-21,16.19,16.3,16.19,16.24,12.4,1801200
2010-07-22,16.26,16.59,16.26,16.55,12.64,1126300
2010-07-23,16.55,16.79,16.52,16.78,12.82,1415100
2010-07-26,17.0,17.7,17.0,17.65,13.48,3400400
2010-07-27,17.92,18.34,17.25,18.23,13.92,5778800
2010-07-28,18.22,18.22,17.82,17.93,13.69,2440000
2010-07-29,18.1,18.15,17.84,17.94,13.7,1598500
2010-07-30,17.92,18.07,17.68,18.0,13.75,2023100
2010-08-02,18.15,18.26,18.05,18.06,13.79,1543000
2010-08-03,18.09,18.12,17.7,17.9,13.67,1558700
2010-08-04,17.9,18.46,17.9,18.3,13.98,4194300
2010-08-05,18.3,18.3,18.2,18.24,13.93,252300
2010-08-06,18.22,18.25,17.92,18.0,13.75,500600
2010-08-09,18.0,18.15,17.99,18.05,13.79,1252900
2010-08-10,18.05,18.05,17.9,17.99,13.74,1056300
2010-08-11,17.8,17.8,17.6,17.61,13.45,2021000
2010-08-12,17.63,17.63,17.4,17.5,13.37,3260500
2010-08-13,17.51,18.03,17.51,18.02,13.76,2973700
2010-08-16,18.85,19.3,18.65,18.7,14.28,10729700
2010-08-17,18.95,19.2,18.95,19.07,14.56,4572800
2010-08-18,19.1,20.05,19.1,19.8,15.12,3564800
2010-08-19,19.89,20.09,19.0,19.8,15.12,5313000
2010-08-20,19.8,20.02,19.76,19.89,15.19,3292700
2010-08-23,19.9,20.25,19.9,20.06,15.32,2222900
2010-08-24,19.8,20.05,19.7,19.99,15.27,5178500
2010-08-25,19.94,20.05,19.87,19.93,15.22,3994300
2010-08-26,19.95,20.5,19.95,20.0,15.27,2807100
2010-08-27,20.14,20.44,19.98,20.44,15.61,1984200
2010-08-30,20.4,20.8,20.22,20.22,15.44,1728000
2010-08-31,20.22,20.51,20.22,20.5,15.66,2316300
2010-09-01,20.5,21.3,20.49,21.02,16.05,5464700
2010-09-02,21.05,21.05,20.76,20.95,16.0,1548700
2010-09-03,20.99,21.3,20.99,21.13,16.14,1072600
2010-09-07,21.12,21.12,20.8,20.96,16.01,1540000
2010-09-08,20.95,21.13,20.95,20.99,16.03,2135400
2010-09-09,21.0,21.15,20.67,20.7,15.81,2958400
2010-09-10,20.71,20.82,20.69,20.79,15.88,806500
2010-09-13,20.78,21.41,20.78,21.38,16.33,3431400
2010-09-14,21.39,21.57,21.31,21.51,16.43,2403900
2010-09-15,21.51,21.64,21.45,21.56,16.47,1302100
2010-09-16,21.75,22.28,21.75,21.85,16.69,4179800
2010-09-17,22.19,22.25,22.01,22.25,16.99,2845700
2010-09-20,22.25,22.27,22.19,22.2,16.96,1651400
2010-09-21,22.21,22.27,22.17,22.21,16.96,3081900
2010-09-22,22.24,22.28,21.85,21.94,16.76,1636900
2010-09-23,21.85,21.95,21.6,21.85,16.69,1356500
2010-09-24,22.0,22.47,22.0,22.46,17.15,2632000
2010-09-27,22.69,23.11,22.69,23.1,17.64,4341200
2010-09-28,23.1,23.64,23.03,23.45,17.91,2932200
2010-09-29,23.38,23.95,23.37,23.62,18.04,3805000
2010-09-30,23.65,23.95,23.26,23.9,18.25,4344600
2010-10-01,23.92,24.06,23.71,23.87,18.23,6646000
2010-10-04,24.03,24.4,23.93,24.09,18.4,3833700
2010-10-05,24.04,25.0,24.03,24.79,18.93,7091600
2010-10-06,24.85,24.88,23.95,24.22,18.5,1901200
2010-10-07,24.26,24.54,24.19,24.45,18.67,2172800
2010-10-08,24.7,25.28,24.7,25.25,19.28,6419900
2010-10-11,25.19,26.6,25.13,26.16,19.98,8024800
2010-10-12,26.1,26.35,25.45,26.3,20.09,7003500
2010-10-13,26.4,27.12,26.29,26.97,20.6,12316200
2010-10-14,26.97,27.65,24.45,27.02,20.64,9197400
2010-10-15,27.1,27.1,26.5,26.5,20.24,3207600
2010-10-18,26.6,27.04,26.41,26.75,20.43,4034900
2010-10-19,26.99,26.99,26.44,26.52,20.25,7782900
2010-10-20,26.7,27.2,26.65,27.13,20.72,6081700
2010-10-21,27.19,28.0,27.1,27.56,21.05,6521800
2010-10-22,27.6,27.68,27.3,27.55,21.04,2442100
2010-10-25,27.84,28.27,27.72,27.96,21.35,3935100
2010-10-26,28.07,28.12,26.5,27.72,21.17,5532600
2010-10-27,27.83,27.83,26.85,27.21,20.78,3619200
2010-10-28,27.38,27.79,26.99,27.51,21.01,3821600
2010-10-29,27.85,28.25,26.6,26.86,20.51,7190600
2010-11-01,26.76,27.16,25.7,26.0,19.86,4165000
2010-11-02,26.3,26.79,26.18,26.63,20.34,3387900
2010-11-03,26.91,27.47,26.35,26.95,20.58,3338400
2010-11-04,27.25,27.56,26.99,27.41,20.93,5118300
2010-11-05,27.45,28.53,26.76,28.35,21.65,7669000
2010-11-08,28.5,28.85,28.24,28.85,22.03,4110700
2010-11-09,29.02,29.1,28.17,28.44,21.72,2267300
2010-11-10,28.4,28.5,27.74,28.34,21.64,2717000
2010-11-11,28.12,28.8,28.02,28.29,21.61,2478300
2010-11-12,28.32,28.37,27.33,27.4,20.93,4365200
2010-11-15,27.25,27.99,27.2,27.66,21.13,4142500
2010-11-16,27.57,27.65,26.25,26.7,20.39,2919300
2010-11-17,26.74,27.31,26.34,27.23,20.8,3193800
2010-11-18,28.06,28.23,27.54,27.69,21.15,3376600
2010-11-19,27.77,28.88,27.5,28.75,21.96,17483400
2010-11-22,28.63,29.82,28.55,29.68,22.67,6153800
2010-11-23,29.25,29.25,28.81,28.95,22.11,4384400
2010-11-24,29.1,29.54,28.86,29.5,22.53,3341100
2010-11-26,29.2,29.55,29.15,29.38,22.44,740600
2010-11-29,29.9,29.97,28.86,29.75,22.72,3414900
2010-11-30,29.23,29.5,29.06,29.21,22.31,2831300
2010-12-01,29.69,30.04,29.63,29.88,22.82,7132500
2010-12-02,30.21,30.5,29.41,30.49,23.29,7641100
2010-12-03,30.04,30.71,29.53,30.52,23.31,5584300
2010-12-06,30.62,31.12,30.5,31.08,23.74,4628200
2010-12-07,31.5,31.75,30.93,31.6,24.13,6296400
2010-12-08,31.6,31.85,30.73,30.86,23.57,3558100
2010-12-09,31.23,31.34,29.6,30.61,23.38,4306200
2010-12-10,30.56,31.17,30.46,31.1,23.75,3383400
2010-12-13,31.08,31.97,31.03,31.86,24.33,38066400
2010-12-14,31.61,32.46,31.07,31.99,24.43,3875100
2010-12-15,31.99,32.19,31.52,31.75,24.25,1458700
2010-12-16,32.01,32.07,30.91,31.2,23.83,2498500
2010-12-17,31.14,32.0,30.72,31.87,24.34,3980000
2010-12-20,31.91,32.12,31.62,32.1,24.52,2500900
2010-12-21,32.0,32.57,32.0,32.55,24.86,3301200
2010-12-22,32.34,32.98,32.34,32.95,25.17,3212600
2010-12-23,32.95,33.0,32.79,32.93,25.15,724400
2010-12-27,32.67,33.03,32.65,32.96,25.17,679600
2010-12-28,32.94,33.3,32.83,33.28,25.42,1111600
2010-12-29,33.21,33.45,33.18,33.4,25.51,1290400
2010-12-30,33.43,33.82,33.26,33.76,25.78,1605600
2010-12-31,33.85,34.54,33.83,34.4,26.27,1877900
2011-01-03,34.75,34.99,34.43,34.56,26.4,3403400
2011-01-04,34.8,34.95,34.54,34.87,26.63,5475700
2011-01-05,34.68,35.0,34.63,34.85,26.62,2780800
2011-01-06,34.93,35.11,34.72,34.97,26.71,3249400
2011-01-07,35.18,35.23,34.45,34.62,26.44,1889700
2011-01-10,34.92,35.3,34.6,35.24,26.91,4051600
2011-01-11,35.6,36.58,35.51,36.47,27.85,4729500
2011-01-12,36.66,37.0,36.51,36.74,28.06,2867900
2011-01-13,36.84,36.84,35.85,36.4,27.8,4404500
2011-01-14,36.28,37.0,36.04,36.61,27.96,3841100
2011-01-18,36.95,37.0,36.46,36.5,27.88,2166600
2011-01-19,36.67,36.7,35.53,35.66,27.24,3682500
2011-01-20,35.26,35.77,33.57,35.42,27.05,7837700
2011-01-21,35.88,36.22,34.4,35.05,26.77,3647600
2011-01-24,35.6,35.74,34.75,35.65,27.23,2489700
2011-01-25,35.7,36.15,35.53,35.7,27.27,6351500
2011-01-26,35.78,36.25,35.54,36.0,27.49,2325700
2011-01-27,36.06,36.51,35.83,36.2,27.65,2718800
2011-01-28,36.3,36.48,34.62,34.86,26.62,1961300
2011-01-31,34.77,36.04,34.77,35.94,27.45,2250400
2011-02-01,36.19,37.0,35.97,36.84,28.14,2823400
2011-02-02,36.51,36.88,36.17,36.55,27.92,1646500
2011-02-03,36.83,37.44,36.0,36.12,27.59,3667200
2011-02-04,36.44,36.76,35.34,36.17,27.62,4087000
2011-02-07,36.49,36.77,35.29,35.52,27.13,4454900
2011-02-08,35.77,35.85,34.36,35.48,27.1,5053800
2011-02-09,35.24,35.95,34.59,35.84,27.37,5237600
2011-02-10,35.33,36.83,35.33,36.75,28.07,2841300
2011-02-11,36.17,38.89,35.76,37.07,28.31,4639500
2011-02-14,37.42,37.44,36.81,37.4,28.56,2764300
2011-02-15,37.39,37.67,36.56,37.48,28.63,2470500
2011-02-16,37.47,37.8,37.09,37.54,28.67,2955500
2011-02-17,37.59,38.6,37.26,38.59,29.47,6305700
2011-02-18,36.9,38.12,35.34,37.95,28.98,15389100
2011-02-22,36.53,38.75,35.74,35.84,27.37,6342400
2011-02-23,35.55,37.0,34.88,36.64,27.98,6188600
2011-02-24,36.66,37.39,36.26,36.7,28.03,4456100
2011-02-25,37.52,38.54,37.5,38.17,29.15,4899300
2011-02-28,38.88,40.0,37.71,38.08,29.08,12466200
2011-03-01,38.37,38.85,36.76,37.06,28.3,3520100
2011-03-02,37.2,38.58,36.84,38.07,29.08,3930500
2011-03-03,38.65,39.85,38.65,39.56,30.21,5558300
2011-03-04,40.2,40.3,39.34,39.64,30.27,4308600
2011-03-07,40.19,40.3,39.46,39.83,30.42,4343300
2011-03-08,39.72,41.08,39.36,40.73,31.11,3269300
2011-03-09,40.92,41.12,40.31,40.9,31.24,2698300
2011-03-10,40.38,41.0,38.53,39.69,30.31,7360400
2011-03-11,39.05,39.66,38.2,39.16,29.91,3965500
2011-03-14,39.08,40.41,38.75,39.19,29.93,1751000
2011-03-15,37.45,38.64,37.33,38.28,29.24,3694900
2011-03-16,38.12,39.41,37.99,38.09,29.09,3071500
2011-03-17,38.83,39.31,38.77,38.99,29.78,1526200
2011-03-18,39.52,39.58,38.21,38.4,29.33,2805700
2011-03-21,39.35,40.0,38.8,39.67,30.3,2810700
2011-03-22,39.63,39.69,38.69,39.05,29.82,1433600
2011-03-23,38.83,39.97,38.51,39.87,30.45,1289300
2011-03-24,40.0,40.6,39.75,40.39,30.85,1852300
2011-03-25,40.4,40.87,39.92,40.36,30.82,1493600
2011-03-28,40.5,40.82,39.42,40.21,30.71,3532800
2011-03-29,39.94,40.74,39.9,40.14,30.66,2103700
2011-03-30,40.39,40.39,39.49,39.68,30.31,2951200
2011-03-31,39.66,40.13,39.28,39.55,30.21,3555600
2011-04-01,39.99,40.28,39.56,40.27,30.76,4105400
2011-04-04,40.5,41.0,40.36,40.65,31.05,1992700
2011-04-05,40.47,41.51,40.29,41.34,31.57,2558000
2011-04-06,41.4,42.05,41.27,41.61,31.78,2955900
2011-04-07,41.63,41.75,40.72,41.5,31.7,3235600
2011-04-08,41.58,43.28,41.49,42.58,32.52,4861400
2011-04-11,42.6,43.2,41.81,42.49,32.45,2362700
2011-04-12,42.03,42.28,40.36,40.53,30.95,4195500
2011-04-13,40.74,40.88,40.09,40.63,31.03,2475100
2011-04-14,40.4,40.63,39.63,40.42,30.87,1606500
2011-04-15,40.42,41.18,39.99,41.01,31.32,2073400
2011-04-18,40.68,41.12,39.8,40.06,30.6,2265900
2011-04-19,40.05,41.07,39.85,40.78,31.15,3088000
2011-04-20,41.46,42.0,41.36,42.0,32.08,2382100
2011-04-21,42.05,42.8,41.93,42.73,32.63,2375100
2011-04-25,42.81,43.74,42.42,43.26,33.04,2144700
2011-04-26,43.53,44.0,42.98,43.79,33.44,2800000
2011-04-27,43.99,44.41,43.4,43.7,33.38,3105000
2011-04-28,43.78,44.54,43.62,44.44,33.94,3637300
2011-04-29,44.66,45.36,44.27,44.5,33.99,3716100
2011-05-02,48.09,48.12,44.63,45.62,34.84,6359900
2011-05-03,45.7,46.28,44.46,44.57,34.12,4248600
2011-05-04,44.41,44.53,42.0,42.83,32.78,4965300
2011-05-05,42.74,43.39,41.29,41.65,31.88,5150500
2011-05-06,41.74,42.79,40.88,41.08,31.44,7247600
2011-05-09,41.08,42.29,41.03,41.5,31.77,4505400
2011-05-10,42.03,42.5,41.75,42.24,32.33,4993700
2011-05-11,42.5,43.31,41.46,42.22,32.32,6643600
2011-05-12,42.0,42.33,41.17,41.33,31.64,4061300
2011-05-13,41.63,41.75,39.36,39.68,30.37,4637200
2011-05-16,38.32,39.25,37.73,38.1,29.16,10085100
2011-05-17,38.1,39.22,38.07,38.95,29.81,8988700
2011-05-18,39.11,41.06,38.94,41.0,31.38,7016500
2011-05-19,41.25,41.57,40.49,41.0,31.38,3130900
2011-05-20,40.7,40.83,39.67,40.0,30.62,4038400
2011-05-23,38.91,39.35,38.16,38.9,29.78,4454000
2011-05-24,39.43,40.0,39.25,39.75,30.43,4469600
2011-05-25,39.5,42.08,39.49,41.59,31.83,4805000
2011-05-26,41.63,42.2,40.78,41.76,31.96,4563200
2011-05-27,42.12,42.74,41.82,42.74,32.71,2684500
2011-05-31,43.47,43.82,42.84,43.81,33.53,8699000
2011-06-01,43.67,44.21,42.11,42.28,32.36,4180100
2011-06-02,42.66,42.98,41.06,41.7,31.92,3664300
2011-06-03,40.5,40.71,39.21,39.89,30.53,6642400
2011-06-06,40.05,40.08,38.12,38.24,29.27,5518300
2011-06-07,39.43,39.49,38.43,38.88,29.76,4363600
2011-06-08,38.5,39.5,38.24,39.22,30.02,4387500
2011-06-09,39.55,40.18,39.22,40.0,30.62,3302800
2011-06-10,39.55,39.94,38.78,39.3,30.08,3219200
2011-06-13,39.4,39.76,38.11,38.3,29.32,3357500
2011-06-14,39.14,40.25,39.06,39.88,30.53,4451000
2011-06-15,39.28,39.59,38.08,38.36,29.36,4910700
2011-06-16,38.46,38.62,36.16,37.01,28.33,8190900
2011-06-17,37.55,37.71,36.27,36.88,28.23,6585000
2011-06-20,36.47,36.87,35.88,36.56,27.98,5519200
2011-06-21,37.09,38.76,36.97,38.61,29.55,5852000
2011-06-22,38.64,39.51,38.29,38.7,29.62,4575300
2011-06-23,37.87,38.1,36.64,38.06,29.13,4695900
2011-06-24,38.24,38.83,37.52,37.58,28.76,19002500
2011-06-27,37.65,37.83,35.84,37.26,28.52,7024600
2011-06-28,37.7,37.7,36.47,37.48,28.69,5326300
