Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,20.33,20.33,19.96,19.99,14.35,2975900
2010-01-05,19.9,20.06,19.33,19.58,14.05,5206100
2010-01-06,19.5,19.58,19.19,19.5,14.0,6354900
2010-01-07,19.7,20.07,19.64,20.0,14.36,9714500
2010-01-08,19.91,20.06,19.74,19.77,14.19,3362600
2010-01-11,19.79,19.98,19.66,19.9,14.28,5180500
2010-01-12,19.69,19.9,19.18,19.35,13.89,5961600
2010-01-13,19.39,20.06,19.32,19.99,14.35,8627500
2010-01-14,19.87,20.54,19.8,20.48,14.7,10507800
2010-01-15,20.61,20.61,20.08,20.28,14.56,5765900
2010-01-19,20.26,20.86,20.15,20.78,14.92,4809100
2010-01-20,20.67,20.7,20.29,20.58,14.77,3656100
2010-01-21,20.75,21.0,20.28,20.58,14.77,7519000
2010-01-22,20.53,20.86,19.94,19.95,14.32,4988600
2010-01-25,19.95,20.29,19.83,19.96,14.33,3078800
2010-01-26,19.9,20.07,19.8,19.85,14.25,2451900
2010-01-27,19.94,19.99,19.69,19.96,14.33,3754300
2010-01-28,20.1,20.37,19.88,20.04,14.38,8085800
2010-01-29,20.45,20.51,19.07,19.72,14.16,13902000
2010-02-01,19.86,20.34,19.51,20.27,14.55,6403200
2010-02-02,20.27,20.83,20.03,20.81,14.94,5342000
2010-02-03,20.69,20.98,20.6,20.92,15.02,4060200
2010-02-04,20.81,20.87,20.02,20.03,14.38,5082300
2010-02-05,20.03,20.27,19.67,20.1,14.43,6642800
2010-02-08,20.2,20.57,20.02,20.06,14.4,5308200
2010-02-09,20.35,20.64,20.15,20.51,14.72,5198600
2010-02-10,20.55,20.62,20.1,20.27,14.55,4648900
2010-02-11,20.19,20.62,19.81,20.61,14.79,4979000
2010-02-12,20.39,21.03,20.3,20.99,15.07,6897900
2010-02-16,21.23,21.38,21.02,21.25,15.25,5185000
2010-02-17,21.5,21.72,21.01,21.56,15.48,8737600
2010-02-18,21.66,21.92,21.57,21.9,15.72,5113500
2010-02-19,22.0,22.0,21.66,21.78,15.63,6021600
2010-02-22,21.9,21.94,21.52,21.58,15.49,3436600
2010-02-23,21.64,21.87,21.55,21.8,15.65,7844000
2010-02-24,22.07,22.07,21.74,22.0,15.79,4450600
2010-02-25,21.7,22.13,21.62,22.08,15.85,5502300
2010-02-26,22.1,22.15,21.84,21.99,15.78,3581000
2010-03-01,22.0,22.07,21.77,22.07,15.84,4161100
2010-03-02,22.1,22.29,21.91,22.29,16.0,4527000
2010-03-03,22.4,22.4,21.84,21.94,15.75,4346000
2010-03-04,21.89,22.07,21.72,22.06,15.83,3637900
2010-03-05,22.14,22.72,22.02,22.5,16.15,6612400
2010-03-08,22.49,22.64,22.26,22.59,16.22,4092500
2010-03-09,22.93,22.99,22.49,22.6,16.22,4807300
2010-03-10,22.66,22.94,22.58,22.89,16.43,6202400
2010-03-11,22.75,22.9,22.65,22.82,16.38,5317000
2010-03-12,22.81,22.89,22.4,22.76,16.34,4912300
2010-03-15,22.79,22.97,22.61,22.94,16.47,4146600
2010-03-16,22.99,23.47,22.95,23.14,16.61,5308800
2010-03-17,23.19,23.33,22.95,23.21,16.66,2047600
2010-03-18,23.11,23.25,22.97,23.14,16.61,3246900
2010-03-19,23.31,23.47,22.51,23.19,16.65,5535400
2010-03-22,23.14,23.29,22.97,23.27,16.7,4007500
2010-03-23,23.24,23.35,23.01,23.22,16.67,4296400
2010-03-24,23.21,23.21,22.74,22.94,16.47,5216300
2010-03-25,23.05,23.17,22.79,22.79,16.36,4242900
2010-03-26,22.73,23.12,22.7,22.83,16.39,4740400
2010-03-29,23.12,23.26,23.02,23.09,16.57,2757600
2010-03-30,23.14,23.23,22.94,23.12,16.6,2507200
2010-03-31,23.18,23.18,22.71,22.74,16.32,1810900
2010-04-01,22.9,23.03,22.52,22.61,16.23,5293400
2010-04-05,22.99,23.53,22.66,23.52,16.88,3926900
2010-04-06,23.35,23.42,23.09,23.31,16.73,2575800
2010-04-07,23.17,23.34,22.93,23.14,16.61,2753000
2010-04-08,23.1,23.54,22.82,23.49,16.86,3594700
2010-04-09,23.48,23.53,23.11,23.18,16.64,4586300
2010-04-12,23.24,23.4,23.17,23.28,16.71,4188500
2010-04-13,23.25,23.62,23.24,23.46,16.84,4864900
2010-04-14,23.37,23.5,22.97,23.32,16.74,7223600
2010-04-15,23.4,23.79,23.16,23.75,17.05,6149500
2010-04-16,24.17,24.6,23.72,23.84,17.11,11403600
2010-04-19,24.14,24.25,23.09,23.52,16.88,7384200
2010-04-20,23.71,23.8,23.42,23.63,16.96,5044100
