Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,62.99,63.48,62.5,63.36,58.77,2035200
2010-01-05,63.31,63.64,63.24,63.59,58.98,2133200
2010-01-06,62.75,62.75,60.77,61.0,56.58,4230000
2010-01-07,62.13,62.13,60.4,61.13,56.7,3789500
2010-01-08,61.21,61.38,60.25,60.77,56.37,2608500
2010-01-11,60.73,61.59,60.73,61.46,57.01,1276100
2010-01-12,61.42,62.45,60.95,62.32,57.8,3582000
2010-01-13,62.33,62.89,61.92,62.51,57.98,2064300
2010-01-14,62.58,62.63,61.93,61.99,57.5,1846900
2010-01-15,61.89,62.18,61.47,61.92,57.43,2652000
2010-01-19,62.24,63.47,61.79,63.16,58.58,2766600
2010-01-20,63.19,63.47,62.06,62.4,57.88,1331000
2010-01-21,62.41,62.73,60.93,61.33,56.89,2065100
2010-01-22,61.02,61.49,60.54,60.57,56.18,1683300
2010-01-25,61.15,61.57,60.39,61.44,56.99,2246800
2010-01-26,61.53,62.62,60.91,62.35,57.83,2978500
2010-01-27,60.16,61.5,58.3,59.52,55.21,8194200
2010-01-28,59.61,61.27,59.61,60.31,55.94,2918300
2010-01-29,60.52,60.64,58.71,58.82,54.56,3149900
2010-02-01,58.99,59.8,58.16,59.53,55.22,1965300
2010-02-02,59.57,60.49,59.34,60.46,56.08,1962400
2010-02-03,60.35,60.35,59.92,60.2,55.84,2029300
2010-02-04,59.88,60.11,58.49,58.6,54.35,2597000
2010-02-05,58.51,58.56,57.23,58.28,54.06,3209800
2010-02-08,58.41,58.7,57.56,58.31,54.08,2296300
2010-02-09,58.37,59.24,58.37,58.75,54.49,1693200
2010-02-10,58.81,58.93,57.8,58.61,54.36,1863400
2010-02-11,58.62,59.29,58.06,58.99,54.72,2399000
2010-02-12,58.54,59.04,58.0,58.99,54.72,1959300
2010-02-16,59.09,60.0,59.04,59.88,55.54,1782500
2010-02-17,59.95,60.5,59.3,60.27,55.9,2029600
2010-02-18,60.28,60.72,60.04,60.71,56.31,1467500
2010-02-19,60.37,60.84,59.95,60.75,56.35,1758300
2010-02-22,60.64,60.71,59.85,59.93,55.59,1979300
2010-02-23,58.94,59.49,58.14,58.53,54.29,3488600
2010-02-24,58.56,59.35,58.29,59.27,54.98,2268600
2010-02-25,58.5,59.21,58.31,59.14,54.97,2235500
2010-02-26,59.3,59.56,59.0,59.15,54.98,1308500
2010-03-01,59.36,60.59,59.36,60.4,56.14,1467000
2010-03-02,60.8,61.95,60.6,61.7,57.35,2741500
2010-03-03,61.74,61.82,60.57,60.76,56.47,1673600
