Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,27.3,27.48,27.17,27.43,14.78,7953300
2010-01-05,28.32,28.81,28.01,28.77,15.5,37152800
2010-01-06,28.3,29.16,28.1,28.97,15.61,40848800
2010-01-07,29.05,29.09,28.57,28.9,15.57,18359900
2010-01-08,28.76,28.94,28.53,28.93,15.58,11000000
2010-01-11,28.98,29.1,28.63,28.8,15.51,11819700
2010-01-12,28.75,29.34,28.64,29.29,15.78,19561000
2010-01-13,29.71,30.1,29.16,29.23,15.75,18000100
2010-01-14,29.45,29.59,28.73,29.12,15.69,10023700
2010-01-15,28.41,30.0,28.1,29.58,15.93,25979600
2010-01-19,29.0,29.43,28.62,29.41,15.84,53008900
2010-01-20,28.54,28.85,28.4,28.78,15.5,29477300
2010-01-21,28.6,28.7,28.05,28.24,15.21,29094200
2010-01-22,27.9,28.19,27.83,27.87,15.01,28024500
2010-01-25,27.6,27.86,27.52,27.69,14.92,23989200
2010-01-26,27.24,27.83,27.09,27.76,14.95,33282200
2010-01-27,27.75,28.47,27.75,28.35,15.27,24109300
2010-01-28,28.27,28.45,27.99,28.04,15.1,21415500
2010-01-29,27.93,28.1,27.65,27.66,14.9,15402500
2010-02-01,27.83,28.12,27.64,28.06,15.12,16347600
2010-02-02,28.15,28.65,28.07,28.5,15.35,22109600
2010-02-03,28.38,28.92,28.27,28.48,15.34,27546500
2010-02-04,28.07,28.42,27.87,28.39,15.29,58782300
2010-02-05,28.3,28.62,27.83,28.44,15.32,53305800
2010-02-08,28.46,28.66,28.35,28.36,15.28,20271300
2010-02-09,28.48,29.01,28.41,28.9,15.57,24555300
2010-02-10,28.97,29.05,28.75,28.93,15.58,19987800
2010-02-11,29.02,29.15,28.75,28.99,15.62,21738800
2010-02-12,29.0,29.09,28.56,29.09,15.67,74196600
2010-02-16,28.68,28.97,28.32,28.97,15.61,54149700
2010-02-17,28.86,28.95,28.45,28.63,15.42,24839500
2010-02-18,28.65,28.81,28.48,28.81,15.52,20606500
2010-02-19,28.76,29.05,28.65,28.92,15.58,15497300
2010-02-22,28.89,29.09,28.65,28.95,15.59,27353400
2010-02-23,29.07,29.37,28.92,29.13,15.69,27848300
2010-02-24,29.2,29.3,28.99,29.05,15.65,22312000
2010-02-25,28.79,28.98,28.53,28.81,15.52,22799300
2010-02-26,28.75,28.77,28.3,28.43,15.31,26546400
2010-03-01,28.43,28.76,28.38,28.72,15.47,13289700
2010-03-02,28.82,29.13,28.75,28.91,15.57,13813800
2010-03-03,28.99,29.07,28.88,28.97,15.61,13534300
2010-03-04,29.0,29.22,28.99,29.08,15.66,11131100
2010-03-05,29.19,29.38,29.02,29.34,15.8,12133500
2010-03-08,29.36,29.43,29.09,29.17,15.71,7578600
2010-03-09,29.39,29.44,29.16,29.23,15.75,14592500
2010-03-10,29.27,29.51,29.17,29.38,15.83,13906700
2010-03-11,29.32,29.42,29.11,29.42,15.85,8597100
2010-03-12,29.38,29.6,29.34,29.45,15.86,8989700
