Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,83.09,83.45,82.67,83.02,65.8,3043700
2010-01-05,82.8,83.23,81.7,82.5,65.39,2847000
2010-01-06,83.88,84.6,83.51,83.67,66.31,5268500
2010-01-07,83.32,83.76,82.12,83.73,66.36,4470100
2010-01-08,83.69,84.32,83.3,84.32,66.83,3405800
2010-01-11,84.38,84.6,83.41,83.98,66.56,2927100
2010-01-12,83.58,84.18,83.3,84.05,66.62,3031800
2010-01-13,84.11,84.11,83.2,83.78,66.4,3102000
2010-01-14,83.74,83.93,83.42,83.5,66.18,2634100
2010-01-15,83.52,84.09,82.87,83.37,66.08,3955000
2010-01-19,83.82,85.17,83.5,85.12,67.46,4500400
2010-01-20,84.83,85.13,83.59,84.72,67.15,3671200
2010-01-21,84.6,84.6,82.57,82.7,65.55,4783200
2010-01-22,82.4,82.83,81.3,81.48,64.58,4809000
2010-01-25,82.33,82.89,81.48,81.83,64.86,3386600
2010-01-26,81.46,82.73,81.04,81.63,64.7,3138000
2010-01-27,81.33,82.84,81.01,82.3,65.23,5066900
2010-01-28,82.62,82.64,79.11,80.75,64.0,6820700
2010-01-29,81.35,81.88,80.18,80.49,63.79,4347000
2010-02-01,80.84,80.89,79.94,80.44,63.75,3632700
2010-02-02,80.7,80.94,79.7,80.43,63.75,4690000
2010-02-03,79.83,81.68,79.83,81.5,64.59,3401300
2010-02-04,81.13,81.13,78.83,79.21,62.78,5312600
2010-02-05,79.16,79.5,77.26,78.54,62.25,5408000
2010-02-08,78.48,78.48,77.25,77.53,61.45,4407300
2010-02-09,78.28,79.41,77.9,78.72,62.39,4252500
2010-02-10,78.8,79.29,78.0,78.62,62.31,2445200
2010-02-11,79.22,80.39,78.84,80.27,63.62,5524500
2010-02-12,79.14,79.23,78.07,79.18,62.76,5443000
2010-02-16,80.08,80.64,79.34,80.47,63.78,3619100
2010-02-17,80.42,80.69,79.74,80.14,63.93,3095200
2010-02-18,80.06,81.18,80.06,81.11,64.71,2702400
2010-02-19,81.14,81.74,80.61,81.52,65.03,3217900
2010-02-22,81.71,81.76,80.55,80.68,64.36,3025400
2010-02-23,80.41,81.09,79.67,79.71,63.59,3981900
2010-02-24,80.0,80.6,79.5,80.07,63.88,3530700
2010-02-25,79.16,79.77,78.64,79.74,63.61,4106300
2010-02-26,79.74,80.33,79.1,80.15,63.94,3224400
2010-03-01,80.57,80.95,80.35,80.58,64.28,2545100
2010-03-02,80.74,81.38,80.58,81.13,64.72,3365600
2010-03-03,81.16,81.68,80.86,81.0,64.62,2852300
2010-03-04,81.21,81.36,80.57,81.02,64.64,2620300
2010-03-05,81.35,82.5,81.23,82.44,65.77,3142600
2010-03-08,82.42,82.53,81.23,81.31,64.87,3627900
2010-03-09,81.15,82.13,80.74,81.99,65.41,4249800
2010-03-10,81.92,82.06,81.25,81.56,65.07,3584600
2010-03-11,81.26,81.54,80.51,81.26,64.83,4048100
2010-03-12,81.57,81.67,80.92,81.38,64.92,2945900
2010-03-15,81.16,81.66,80.78,81.26,64.83,2622300
2010-03-16,81.26,81.66,80.53,81.66,65.15,4242200
2010-03-17,81.93,82.41,81.65,82.18,65.56,3989700
2010-03-18,82.3,83.75,82.0,83.67,66.75,4939500
2010-03-19,81.96,84.0,81.51,81.96,65.39,6876200
2010-03-22,81.5,82.2,81.5,81.84,65.29,3256700
2010-03-23,82.1,82.41,81.16,82.35,65.7,4153100
2010-03-24,81.86,82.3,81.43,81.61,65.11,3102500
2010-03-25,82.01,82.25,80.84,80.93,64.56,4942500
2010-03-26,81.1,81.36,80.75,81.0,64.62,3815300
2010-03-29,81.24,81.69,81.03,81.36,64.91,3102600
2010-03-30,82.36,84.5,82.24,84.28,67.24,8704600
2010-03-31,84.05,84.46,83.35,83.57,66.67,4336700
2010-04-01,83.87,84.23,83.4,83.85,66.89,2965800
2010-04-05,84.22,84.48,83.58,84.19,67.16,2600800
2010-04-06,83.9,84.47,83.55,84.35,67.29,3208500
2010-04-07,84.11,84.63,83.2,83.66,66.74,4463500
2010-04-08,83.41,83.6,82.77,82.95,66.18,3757700
2010-04-09,82.97,83.67,82.79,83.49,66.61,2883900
2010-04-12,83.76,83.76,83.09,83.28,66.44,2626100
2010-04-13,83.04,84.24,82.69,83.94,66.96,4256000
2010-04-14,83.91,84.47,83.48,84.39,67.32,3632100
2010-04-15,84.14,85.0,83.93,85.0,67.81,4535500
2010-04-16,84.7,84.95,83.2,83.76,66.82,5342300
2010-04-19,83.61,84.13,83.14,83.9,66.93,3554200
2010-04-20,84.41,85.85,84.32,85.27,68.03,5735000
2010-04-21,85.44,85.85,85.07,85.7,68.37,4522900
2010-04-22,85.1,86.14,84.47,86.05,68.65,4627700
2010-04-23,86.18,87.09,85.93,86.58,69.07,3990600
2010-04-26,86.82,87.79,86.74,87.44,69.76,6288900
2010-04-27,89.92,90.25,87.77,87.97,70.18,11138700
2010-04-28,88.89,89.08,87.65,88.24,70.4,5730600
2010-04-29,88.94,90.0,88.64,89.33,71.26,5284200
2010-04-30,88.7,89.7,88.4,88.67,70.74,5262000
2010-05-03,89.19,90.0,88.62,89.81,71.65,4647400
2010-05-04,89.22,89.22,87.01,87.68,69.95,5456400
2010-05-05,87.04,87.22,86.08,86.59,69.08,4880000
2010-05-06,86.06,90.52,68.96,84.24,67.2,9156000
2010-05-07,83.66,84.31,81.26,82.63,65.92,8368800
2010-05-10,85.6,87.04,84.9,85.97,68.58,6271600
2010-05-11,85.18,85.97,84.87,85.04,67.84,4760800
2010-05-12,85.39,86.62,85.21,86.44,68.96,3431000
2010-05-13,86.06,87.0,85.42,85.59,68.28,3314300
2010-05-14,85.06,85.55,83.95,84.68,67.56,4138400
2010-05-17,84.88,85.14,83.02,84.68,67.56,3191700
2010-05-18,85.09,86.2,83.85,84.02,67.03,5219900
2010-05-19,83.34,83.34,81.95,82.54,66.26,6405200
2010-05-20,81.17,81.47,79.5,79.58,63.89,8752700
2010-05-21,78.42,80.77,78.14,80.7,64.79,6489700
2010-05-24,80.73,80.74,79.44,79.59,63.89,3625900
2010-05-25,78.7,79.55,77.31,79.47,63.8,5705200
2010-05-26,80.0,80.69,79.03,79.17,63.56,4720900
2010-05-27,80.41,81.53,80.04,81.43,65.37,4554900
2010-05-28,81.53,81.69,78.76,79.31,63.67,6482800
2010-06-01,78.72,79.87,77.97,78.07,62.67,4340200
2010-06-02,78.6,78.89,77.51,78.74,63.21,5773600
2010-06-03,79.29,79.76,77.66,78.34,62.89,7880900
2010-06-04,77.29,77.29,75.8,76.1,61.09,8152800
2010-06-07,76.16,76.86,74.69,74.74,60.0,5947800
2010-06-08,74.74,75.15,72.72,74.92,60.14,7229500
2010-06-09,75.47,76.1,74.5,74.79,60.04,4803100
2010-06-10,75.78,77.59,75.62,77.43,62.16,6204500
2010-06-11,76.66,78.39,76.62,78.3,62.86,4627700
2010-06-14,78.99,79.33,78.06,78.14,62.73,3612000
2010-06-15,79.09,79.86,78.74,79.77,64.04,3233200
2010-06-16,79.28,81.0,78.99,80.88,64.93,5359800
2010-06-17,81.34,81.37,79.9,81.03,65.05,3976400
2010-06-18,80.84,81.38,80.38,81.18,65.17,5255800
2010-06-21,81.96,83.0,81.07,81.47,65.4,4064000
2010-06-22,81.71,81.87,79.88,80.03,64.25,3116800
2010-06-23,80.23,80.64,79.45,80.12,64.32,3567100
2010-06-24,79.81,79.84,77.87,78.18,62.76,4340100
2010-06-25,78.53,79.09,77.88,78.9,63.34,4339900
2010-06-28,78.95,79.73,78.29,78.98,63.4,3094000
2010-06-29,78.72,79.04,76.85,78.49,63.01,8545400
2010-06-30,78.21,80.22,78.21,78.99,63.41,6942900
2010-07-01,79.06,79.38,77.83,78.55,63.06,6811700
2010-07-02,78.8,79.0,77.04,77.67,62.35,3776900
2010-07-06,78.45,79.38,77.5,78.14,62.73,4012500
2010-07-07,78.44,80.58,77.93,80.52,64.64,4957900
2010-07-08,81.12,81.59,80.09,81.22,65.2,3975800
2010-07-09,81.11,82.25,81.11,82.16,65.96,2817400
2010-07-12,81.87,82.26,81.36,82.26,66.04,3206600
2010-07-13,82.84,84.57,82.84,83.55,67.07,5137400
2010-07-14,83.13,83.68,82.49,83.05,66.67,3114300
2010-07-15,83.17,83.17,81.53,83.06,66.68,4642000
2010-07-16,82.71,82.77,80.7,80.95,64.99,4302500
2010-07-19,81.48,81.55,80.08,81.22,65.2,3054200
2010-07-20,80.48,82.34,80.01,82.19,65.98,3050800
2010-07-21,82.64,83.11,81.34,82.3,66.07,4992700
2010-07-22,84.73,85.14,83.85,84.75,68.04,7153200
2010-07-23,84.7,86.27,84.35,86.17,69.18,4559100
2010-07-26,86.5,87.47,85.89,87.32,70.1,4834500
2010-07-27,87.16,87.39,86.33,86.8,69.68,4243800
2010-07-28,86.44,87.0,86.22,86.69,69.59,2824600
2010-07-29,87.05,87.48,85.72,86.34,69.31,3344200
2010-07-30,85.5,86.35,84.86,85.54,68.67,4744600
2010-08-02,86.8,87.78,86.72,87.41,70.17,3639000
2010-08-03,86.98,87.55,86.68,87.21,70.01,2855500
2010-08-04,87.3,88.07,87.23,88.0,70.65,2222600
2010-08-05,87.31,87.92,86.97,87.72,70.42,2523600
2010-08-06,86.81,87.54,86.02,87.29,70.08,2701300
2010-08-09,87.73,88.38,87.41,88.03,70.67,3187400
2010-08-10,87.41,87.78,85.85,87.11,69.93,3641400
2010-08-11,85.9,85.99,83.53,84.1,67.51,4505600
2010-08-12,83.3,84.63,83.16,84.01,67.44,3435300
2010-08-13,83.9,84.45,83.74,84.01,67.44,2079100
2010-08-16,83.33,83.96,82.33,83.43,66.98,2358400
2010-08-17,82.94,84.89,82.67,84.09,67.51,4374600
2010-08-18,83.78,84.0,82.41,83.61,67.54,3198900
2010-08-19,83.33,83.44,81.19,81.81,66.09,3959300
2010-08-20,81.0,81.44,80.11,80.66,65.16,4355400
2010-08-23,81.01,82.3,80.9,81.08,65.5,3243400
2010-08-24,80.2,81.0,79.47,80.45,64.99,4475900
2010-08-25,80.01,81.1,79.47,80.75,65.23,3577100
2010-08-26,81.26,81.33,79.5,79.78,64.45,3577000
2010-08-27,80.12,81.09,79.2,81.0,65.43,3445900
2010-08-30,80.56,80.68,79.58,79.65,64.34,2408400
