Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.77,19.87,19.58,19.79,12.57,11048600
2010-01-05,19.81,19.85,19.67,19.8,12.58,11742100
2010-01-06,19.85,20.11,19.8,20.09,12.77,21307300
2010-01-07,20.08,20.14,19.95,20.06,12.75,14983300
2010-01-08,20.04,20.12,19.87,20.11,12.78,10822200
2010-01-11,20.28,20.35,20.11,20.26,12.87,11921000
2010-01-12,20.21,20.25,20.03,20.15,12.8,15306300
2010-01-13,20.12,20.4,20.12,20.24,12.86,11938400
2010-01-14,20.23,20.45,20.16,20.38,12.95,9619900
2010-01-15,20.44,20.64,20.31,20.42,12.97,16158600
2010-01-19,20.26,20.57,20.25,20.38,12.95,17747000
2010-01-20,20.27,20.36,20.15,20.33,12.92,12583500
2010-01-21,20.33,20.37,19.81,19.89,12.64,21862200
2010-01-22,19.89,20.04,19.7,19.71,12.52,13655100
2010-01-25,19.82,20.08,19.68,19.91,12.65,15154800
2010-01-26,19.75,20.05,19.75,19.96,12.68,13101300
2010-01-27,19.97,20.05,19.83,19.99,12.7,12544400
2010-01-28,19.9,20.1,19.8,20.01,12.71,16444400
2010-01-29,20.08,20.1,19.83,19.86,12.62,19335300
2010-02-01,19.9,19.98,19.78,19.88,12.63,10247300
2010-02-02,19.93,19.99,19.81,19.93,12.66,12398900
2010-02-03,19.93,19.94,19.69,19.78,12.57,11683000
2010-02-04,19.7,19.72,19.4,19.42,12.34,13403600
2010-02-05,19.38,19.41,19.14,19.38,12.31,14334100
2010-02-08,19.43,19.63,19.35,19.37,12.31,13840700
2010-02-09,19.54,19.58,19.23,19.46,12.36,16964600
2010-02-10,19.54,19.54,19.25,19.38,12.31,11380700
2010-02-11,19.4,19.74,19.25,19.61,12.46,17005000
2010-02-12,19.54,19.74,19.4,19.63,12.47,15749000
2010-02-16,19.84,19.89,19.57,19.73,12.54,15081500
2010-02-17,19.77,19.85,19.7,19.78,12.57,8752800
2010-02-18,19.75,20.08,19.73,20.0,12.71,11181600
2010-02-19,19.93,20.21,19.93,20.16,12.81,12752800
2010-02-22,20.13,20.33,20.08,20.27,12.88,12790600
2010-02-23,20.23,20.25,19.93,19.97,12.69,21163500
2010-02-24,20.08,20.31,19.95,20.26,12.87,18101300
2010-02-25,20.14,20.46,20.01,20.41,12.97,21307900
2010-02-26,20.48,20.48,20.12,20.12,12.78,15720700
2010-03-01,20.17,20.34,20.17,20.27,12.88,10422000
2010-03-02,20.36,20.45,20.3,20.33,12.92,12661600
2010-03-03,20.47,20.48,20.3,20.35,12.93,12762500
2010-03-04,20.4,20.44,20.28,20.42,12.97,14095900
2010-03-05,20.5,20.78,20.48,20.71,13.16,12249200
2010-03-08,20.8,20.81,20.67,20.74,13.18,13901100
2010-03-09,20.73,20.83,20.7,20.77,13.2,16554900
2010-03-10,20.8,20.86,20.7,20.82,13.23,15672100
2010-03-11,20.48,20.58,20.18,20.37,13.16,13046000
2010-03-12,20.47,20.48,20.13,20.2,13.05,16536100
2010-03-15,20.26,20.4,20.11,20.37,13.16,13010200
2010-03-16,20.32,20.52,20.32,20.36,13.16,12956100
2010-03-17,20.45,20.46,20.23,20.33,13.14,33244300
2010-03-18,20.35,20.48,20.35,20.46,13.22,8917700
2010-03-19,20.34,20.55,20.25,20.34,13.15,15862300
2010-03-22,20.31,20.48,20.23,20.44,13.21,9447400
2010-03-23,20.45,20.54,20.36,20.52,13.26,8921900
2010-03-24,20.52,20.52,20.4,20.47,13.23,16961600
2010-03-25,20.49,20.6,20.47,20.52,13.26,14844200
2010-03-26,20.53,20.59,20.37,20.42,13.2,11035400
2010-03-29,20.5,20.69,20.46,20.65,13.35,12376400
2010-03-30,20.69,20.73,20.51,20.65,13.35,12761900
2010-03-31,20.6,20.65,20.46,20.52,13.26,9619100
2010-04-01,20.54,20.84,20.54,20.83,13.46,16314400
2010-04-05,20.89,20.97,20.84,20.92,13.52,9015800
2010-04-06,20.93,21.03,20.9,20.98,13.56,10435900
2010-04-07,21.03,21.03,20.67,20.79,13.44,12971400
2010-04-08,20.68,20.79,20.64,20.68,13.36,13182600
2010-04-09,20.95,20.96,20.7,20.93,13.53,8719900
2010-04-12,20.96,21.2,20.94,21.1,13.64,10573400
2010-04-13,21.05,21.15,20.88,21.1,13.64,9727700
2010-04-14,21.1,21.16,20.97,21.16,13.68,13191800
2010-04-15,21.08,21.12,21.0,21.1,13.64,8292800
2010-04-16,21.02,21.16,20.75,20.87,13.49,15930500
2010-04-19,20.8,20.93,20.8,20.93,13.53,8666900
2010-04-20,21.0,21.2,20.95,21.17,13.68,13152500
2010-04-21,21.3,21.61,21.25,21.46,13.87,15480800
2010-04-22,21.4,21.46,21.2,21.28,13.75,12587700
2010-04-23,21.31,21.39,21.12,21.36,13.8,10143500
2010-04-26,21.39,21.44,21.17,21.25,13.73,17187000
2010-04-27,21.25,21.25,20.91,20.92,13.52,18975000
2010-04-28,21.08,21.11,20.91,21.02,13.58,14961000
2010-04-29,21.08,21.3,21.07,21.18,13.69,10305100
2010-04-30,21.23,21.48,21.18,21.19,13.69,14218400
2010-05-03,21.28,21.5,21.22,21.4,13.83,10413000
2010-05-04,21.29,21.4,21.2,21.26,13.74,16717500
2010-05-05,21.15,21.46,21.11,21.22,13.71,12876600
2010-05-06,21.11,21.2,19.2,20.75,13.41,31283100
2010-05-07,20.67,20.84,20.36,20.76,13.42,25532200
2010-05-10,21.31,21.6,21.03,21.58,13.95,24825700
2010-05-11,21.48,21.74,21.37,21.59,13.95,18091700
2010-05-12,21.76,21.77,21.48,21.67,14.0,15713400
2010-05-13,21.72,21.8,21.58,21.63,13.98,10825900
2010-05-14,21.58,21.75,21.5,21.61,13.97,19942100
2010-05-17,21.64,21.91,21.57,21.7,14.02,18409300
2010-05-18,21.77,21.8,21.34,21.37,13.81,20335300
2010-05-19,21.23,21.37,21.07,21.31,13.77,18045800
2010-05-20,21.09,21.1,20.67,20.67,13.36,23402100
2010-05-21,20.45,21.03,20.2,21.01,13.58,32598900
2010-05-24,20.93,21.1,20.79,20.85,13.47,26510100
2010-05-25,20.35,20.59,20.15,20.4,13.18,32136400
2010-05-26,20.66,20.69,20.14,20.16,13.03,25133400
2010-05-27,20.45,20.63,20.31,20.54,13.27,26744700
2010-05-28,20.6,20.65,20.25,20.29,13.11,23478300
2010-06-01,20.25,20.42,20.07,20.12,13.0,20790100
2010-06-02,20.25,20.4,20.16,20.38,13.17,23052300
2010-06-03,20.52,20.6,20.4,20.59,13.31,14908800
2010-06-04,20.43,20.47,19.97,20.02,12.94,30253500
2010-06-07,20.16,20.22,19.82,19.82,12.81,25447700
2010-06-08,19.93,20.27,19.82,20.2,13.05,27161400
2010-06-09,20.28,20.37,20.01,20.05,12.96,40222000
2010-06-10,20.3,20.46,20.25,20.32,13.13,33461900
2010-06-11,19.9,20.1,19.68,20.08,13.2,22530500
2010-06-14,20.25,20.25,19.57,19.57,12.87,30941300
2010-06-15,19.69,19.92,19.6,19.91,13.09,15012300
2010-06-16,19.78,19.91,19.75,19.83,13.04,10934600
2010-06-17,19.8,20.01,19.76,19.99,13.15,15916400
2010-06-18,20.01,20.08,19.95,20.02,13.17,14569000
2010-06-21,20.17,20.23,20.0,20.06,13.19,12676900
2010-06-22,20.05,20.15,19.78,19.85,13.05,12503000
2010-06-23,19.86,19.93,19.71,19.77,13.0,13894600
2010-06-24,19.73,19.87,19.59,19.62,12.9,17190500
2010-06-25,19.67,19.77,19.53,19.7,12.95,28483300
2010-06-28,19.69,20.89,19.69,20.34,13.38,47737100
2010-06-29,20.13,20.26,19.85,19.96,13.13,26881000
2010-06-30,20.0,20.25,19.91,20.04,13.18,19685700
2010-07-01,20.15,20.27,19.89,20.24,13.31,17864800
2010-07-02,20.21,20.4,20.05,20.31,13.36,11413700
2010-07-06,20.5,20.7,20.39,20.54,13.51,13047100
2010-07-07,20.59,20.9,20.48,20.89,13.74,17573900
2010-07-08,20.97,21.43,20.88,21.32,14.02,22149100
2010-07-09,21.42,21.48,21.16,21.3,14.01,15029400
2010-07-12,21.4,21.48,21.23,21.3,14.01,10710400
2010-07-13,21.38,21.45,21.22,21.34,14.03,12101400
2010-07-14,21.28,21.35,21.17,21.35,14.04,10893600
2010-07-15,21.34,21.49,21.28,21.46,14.11,10816900
2010-07-16,21.41,21.46,21.11,21.26,13.98,14095600
2010-07-19,21.37,21.49,21.3,21.38,14.06,10290600
2010-07-20,21.2,21.52,21.16,21.52,14.15,10672900
2010-07-21,21.7,21.7,21.26,21.41,14.08,13568400
2010-07-22,21.58,21.89,21.42,21.85,14.37,19861900
2010-07-23,21.77,22.23,21.77,22.12,14.55,20962800
2010-07-26,22.18,22.25,21.86,21.99,14.46,18641600
2010-07-27,22.06,22.15,21.94,22.05,14.5,11663200
2010-07-28,22.0,22.14,21.98,22.07,14.51,9606300
2010-07-29,22.14,22.25,21.95,22.02,14.48,13015600
2010-07-30,21.88,22.25,21.82,22.16,14.57,10513000
2010-08-02,22.38,22.4,22.21,22.25,14.63,13529300
2010-08-03,22.2,22.29,22.07,22.12,14.55,10325100
2010-08-04,22.15,22.43,22.11,22.35,14.7,11402100
2010-08-05,22.23,22.4,22.21,22.34,14.69,8511600
2010-08-06,22.25,22.55,22.17,22.54,14.82,10439800
2010-08-09,22.57,22.68,22.53,22.59,14.86,6818600
2010-08-10,22.49,22.78,22.44,22.63,14.88,8440400
2010-08-11,22.38,22.68,22.36,22.44,14.76,13636700
2010-08-12,22.27,22.52,22.15,22.45,14.76,9705500
2010-08-13,22.42,22.51,22.29,22.35,14.7,6405000
2010-08-16,22.34,22.6,22.15,22.6,14.86,9915200
2010-08-17,22.72,22.99,22.53,22.92,15.07,15193100
2010-08-18,22.86,22.98,22.76,22.93,15.08,15476400
2010-08-19,22.92,22.95,22.55,22.76,14.97,12577000
2010-08-20,22.64,22.81,22.62,22.71,14.93,11266500
2010-08-23,22.83,22.94,22.69,22.73,14.95,12292800
2010-08-24,22.6,22.86,22.37,22.79,14.99,15673100
2010-08-25,22.69,22.9,22.51,22.85,15.03,21610700
2010-08-26,22.88,22.89,22.45,22.61,14.87,12558100
2010-08-27,22.68,22.7,22.38,22.54,14.82,15787900
2010-08-30,22.64,22.68,22.51,22.52,14.81,12414400
2010-08-31,22.45,22.53,22.26,22.32,14.68,19897600
2010-09-01,22.6,22.82,22.45,22.66,14.9,15393200
2010-09-02,22.6,22.82,22.58,22.79,14.99,8807400
2010-09-03,22.91,22.98,22.75,22.91,15.07,13047300
2010-09-07,22.95,23.24,22.94,23.11,15.2,40207500
2010-09-08,23.21,23.54,23.11,23.45,15.42,39202300
2010-09-09,23.62,23.7,23.49,23.63,15.54,14073300
2010-09-10,23.74,23.94,23.7,23.84,15.68,13844400
2010-09-13,23.59,23.64,23.38,23.47,15.68,12172300
2010-09-14,23.39,23.65,23.26,23.51,15.71,10614300
2010-09-15,23.47,23.78,23.4,23.68,15.82,10596100
2010-09-16,23.64,23.66,23.43,23.47,15.68,14239300
