Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,60.45,62.36,60.08,61.71,52.92,4072100.0
2010-01-05,62.43,63.83,62.43,63.15,54.15,6505800.0
2010-01-06,64.36,65.95,62.97,65.57,56.23,9995100.0
2010-01-07,65.09,66.35,64.45,65.76,56.39,5544100.0
2010-01-08,65.74,66.97,65.48,66.7,57.2,4074500.0
2010-01-11,67.85,68.28,65.38,66.31,56.86,4027700.0
2010-01-12,63.33,64.36,61.67,62.49,53.59,10232000.0
2010-01-13,62.26,62.75,60.7,62.54,53.63,6831400.0
2010-01-14,62.77,63.09,60.62,60.84,52.17,4516300.0
2010-01-15,61.47,62.59,60.71,61.56,52.79,5458800.0
2010-01-19,61.5,63.1,61.39,63.04,54.06,4479800.0
2010-01-20,62.19,62.38,60.81,62.03,53.19,4317400.0
2010-01-21,62.08,63.4,60.02,60.07,51.51,5739800.0
2010-01-22,60.08,60.5,58.32,58.63,50.28,3872100.0
2010-01-25,59.37,60.67,58.74,58.76,50.39,3217100.0
2010-01-26,58.15,60.23,57.06,58.58,50.24,4684000.0
2010-01-27,58.81,59.33,56.74,58.04,49.77,4180800.0
2010-01-28,57.5,58.2,54.82,55.56,47.65,7023300.0
2010-01-29,56.24,57.29,53.2,53.51,45.89,5921900.0
2010-02-01,54.08,56.27,54.05,56.27,48.25,3562000.0
2010-02-02,56.76,56.85,55.25,56.35,48.37,5062300.0
2010-02-03,57.35,58.44,56.76,57.64,49.47,4821300.0
2010-02-04,56.42,56.7,54.01,54.01,46.36,4867200.0
2010-02-05,54.44,55.35,52.87,55.18,47.36,4786900.0
2010-02-08,55.66,56.61,54.51,54.54,46.81,3891800.0
2010-02-09,55.54,57.5,55.54,56.91,48.85,5042800.0
2010-02-10,57.59,58.13,56.48,57.42,49.28,5103100.0
2010-02-11,57.7,58.92,57.41,58.42,50.14,6274000.0
2010-02-12,57.39,59.13,57.1,58.83,50.49,4379600.0
2010-02-16,60.0,60.44,59.44,60.38,51.83,4501900.0
2010-02-17,61.37,61.59,60.2,61.26,52.58,4766600.0
2010-02-18,60.91,61.25,59.92,60.56,51.98,4969500.0
2010-02-19,61.09,61.35,60.3,60.78,52.17,4479700.0
2010-02-22,61.42,61.42,60.3,60.68,52.08,4226600.0
2010-02-23,60.58,60.76,58.54,58.88,50.54,4260900.0
2010-02-24,58.5,58.87,57.02,57.62,49.46,4302000.0
2010-02-25,57.0,58.8,55.95,58.52,50.23,5280000.0
2010-02-26,58.74,59.14,57.84,58.39,50.12,2887500.0
2010-03-01,58.51,59.5,57.97,59.45,51.03,3433200.0
2010-03-02,61.24,62.25,60.9,61.49,52.78,4776700.0
2010-03-03,61.49,62.24,61.06,61.27,52.59,3092100.0
2010-03-04,61.51,61.87,60.14,60.43,51.87,3675400.0
2010-03-05,61.35,62.15,61.21,61.6,52.87,3965200.0
2010-03-08,62.05,62.49,61.27,61.38,52.68,2208700.0
2010-03-09,61.0,62.12,60.62,60.98,52.34,3738600.0
2010-03-10,61.27,61.3,59.95,60.35,51.8,4439500.0
2010-03-11,60.37,60.44,59.17,59.93,51.44,3482900.0
2010-03-12,63.37,64.7,63.11,63.8,54.76,11275600.0
2010-03-15,63.52,63.79,62.0,62.39,53.55,4364000.0
2010-03-16,63.0,63.77,62.7,63.04,54.11,3693800.0
2010-03-17,63.65,63.69,61.58,61.91,53.14,4054900.0
2010-03-18,61.74,62.25,59.17,59.56,51.12,8493000.0
2010-03-19,58.42,59.89,58.11,58.42,50.14,5150300.0
2010-03-22,57.61,59.38,57.33,59.19,50.8,4734200.0
2010-03-23,58.94,59.8,58.3,59.14,50.76,3511100.0
2010-03-24,58.54,60.85,58.45,60.28,51.74,6392200.0
2010-03-25,61.14,61.3,58.31,58.44,50.16,4787700.0
2010-03-26,58.83,60.2,58.62,59.35,50.94,3814300.0
2010-03-29,60.07,60.79,59.41,60.22,51.69,3211600.0
2010-03-30,60.23,60.58,59.41,60.05,51.54,2674400.0
2010-03-31,59.64,60.8,59.64,60.77,52.16,4428100.0
