Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.62,31.1,30.59,30.95,24.62,38409100
2010-01-05,30.85,31.1,30.64,30.96,24.62,49749600
2010-01-06,30.88,31.08,30.52,30.77,24.47,58182400
2010-01-07,30.63,30.7,30.19,30.45,24.22,50559700
2010-01-08,30.28,30.88,30.24,30.66,24.39,51197400
2010-01-11,30.71,30.76,30.12,30.27,24.07,68754700
2010-01-12,30.15,30.4,29.91,30.07,23.92,65912100
2010-01-13,30.26,30.52,30.01,30.35,24.14,51863500
2010-01-14,30.31,31.1,30.26,30.96,24.62,63228100
2010-01-15,31.08,31.24,30.71,30.86,24.54,79913200
2010-01-19,30.75,31.24,30.68,31.1,24.74,46575700
2010-01-20,30.81,30.94,30.31,30.59,24.33,54849500
2010-01-21,30.61,30.72,30.0,30.01,23.87,73086700
2010-01-22,30.0,30.2,28.84,28.96,23.03,102004600
2010-01-25,29.24,29.66,29.1,29.32,23.32,63373000
2010-01-26,29.2,29.85,29.09,29.5,23.46,66639900
2010-01-27,29.35,29.82,29.02,29.67,23.6,63949500
2010-01-28,29.84,29.87,28.89,29.16,23.19,117513700
2010-01-29,29.9,29.92,27.66,28.18,22.41,193888500
2010-02-01,28.39,28.48,27.92,28.41,22.6,85931100
2010-02-02,28.37,28.5,28.14,28.46,22.64,54413700
2010-02-03,28.26,28.79,28.12,28.63,22.77,61397900
2010-02-04,28.38,28.5,27.81,27.84,22.14,77850000
2010-02-05,28.0,28.28,27.57,28.02,22.29,80960100
2010-02-08,28.01,28.08,27.57,27.72,22.05,52820600
2010-02-09,27.97,28.34,27.75,28.01,22.28,59195800
2010-02-10,28.03,28.24,27.84,27.99,22.26,48591300
2010-02-11,27.93,28.4,27.7,28.12,22.36,65993700
2010-02-12,27.81,28.06,27.58,27.93,22.21,81117200
2010-02-16,28.13,28.37,28.02,28.35,22.65,51935600
2010-02-17,28.53,28.65,28.36,28.59,22.85,45882900
2010-02-18,28.59,29.03,28.51,28.97,23.15,42856500
2010-02-19,28.79,28.92,28.69,28.77,22.99,44451800
2010-02-22,28.84,28.94,28.65,28.73,22.96,36707100
2010-02-23,28.68,28.83,28.09,28.33,22.64,52266200
2010-02-24,28.52,28.79,28.38,28.63,22.88,43165900
2010-02-25,28.27,28.65,28.02,28.6,22.85,48735300
2010-02-26,28.65,28.85,28.51,28.67,22.91,40370600
2010-03-01,28.77,29.05,28.53,29.02,23.19,43805400
2010-03-02,29.08,29.3,28.24,28.46,22.74,93123900
2010-03-03,28.51,28.61,28.35,28.46,22.74,48442100
2010-03-04,28.46,28.65,28.27,28.63,22.88,42890600
2010-03-05,28.66,28.68,28.42,28.59,22.85,56001800
2010-03-08,28.52,28.93,28.5,28.63,22.88,39414500
2010-03-09,28.56,29.11,28.55,28.8,23.01,50271600
2010-03-10,28.86,29.11,28.8,28.97,23.15,44891400
2010-03-11,28.89,29.19,28.85,29.18,23.32,35349700
2010-03-12,29.32,29.38,29.04,29.27,23.39,31700200
2010-03-15,29.18,29.37,29.01,29.29,23.4,37512000
2010-03-16,29.42,29.49,29.2,29.37,23.47,36723500
2010-03-17,29.5,29.87,29.4,29.63,23.68,50385700
2010-03-18,29.63,29.72,29.5,29.61,23.66,43845200
2010-03-19,29.76,29.9,29.35,29.59,23.64,81332100
2010-03-22,29.5,29.7,29.39,29.6,23.65,37718200
2010-03-23,29.59,29.9,29.41,29.88,23.88,42026600
2010-03-24,29.72,29.85,29.6,29.65,23.69,33987700
2010-03-25,29.83,30.57,29.8,30.01,23.98,73168700
2010-03-26,30.09,30.2,29.59,29.66,23.7,55595500
2010-03-29,29.71,29.82,29.55,29.59,23.64,33336000
2010-03-30,29.63,29.86,29.5,29.77,23.79,34954800
2010-03-31,29.64,29.72,29.17,29.29,23.4,63760000
2010-04-01,29.35,29.54,28.62,29.16,23.3,74768100
2010-04-05,29.13,29.43,29.03,29.27,23.39,34331200
2010-04-06,29.15,29.58,28.98,29.32,23.43,47366800
2010-04-07,29.16,29.56,29.14,29.35,23.45,58318800
2010-04-08,29.32,29.98,29.3,29.92,23.91,63713800
2010-04-09,29.95,30.41,29.9,30.34,24.24,54752500
2010-04-12,30.25,30.49,30.21,30.32,24.23,37068800
2010-04-13,30.15,30.5,30.13,30.45,24.33,41374600
2010-04-14,30.79,31.0,30.66,30.82,24.63,68941200
2010-04-15,30.82,30.95,30.71,30.87,24.67,52745400
2010-04-16,30.79,30.98,30.6,30.67,24.51,88703100
2010-04-19,30.77,31.25,30.76,31.04,24.8,64970300
2010-04-20,31.22,31.44,31.13,31.36,25.06,52199500
2010-04-21,31.33,31.5,31.23,31.33,25.03,55343100
2010-04-22,31.04,31.53,30.9,31.39,25.08,84847600
2010-04-23,31.12,31.58,30.65,30.96,24.74,126766600
2010-04-26,31.0,31.28,30.86,31.11,24.86,63649300
2010-04-27,30.95,31.25,30.75,30.85,24.65,68730900
2010-04-28,30.92,31.0,30.62,30.91,24.7,64557900
2010-04-29,30.93,31.43,30.67,31.0,24.77,52665200
2010-04-30,31.07,31.08,30.52,30.54,24.4,63214800
2010-05-03,30.67,31.06,30.58,30.86,24.66,43989500
2010-05-04,30.52,30.55,29.75,30.13,24.08,82085600
2010-05-05,29.77,30.09,29.69,29.85,23.85,66833800
2010-05-06,29.59,29.88,27.91,28.98,23.16,128613000
2010-05-07,28.93,28.95,27.32,28.21,22.54,173718100
2010-05-10,29.01,29.48,28.71,28.94,23.12,86653300
2010-05-11,28.68,29.65,28.57,28.88,23.08,63789400
2010-05-12,28.98,29.58,28.92,29.44,23.52,47146800
2010-05-13,29.26,29.73,29.18,29.24,23.36,45188800
2010-05-14,29.2,29.21,28.64,28.93,23.12,63334000
2010-05-17,29.12,29.23,28.45,28.94,23.12,46053300
2010-05-18,28.87,29.0,28.4,28.6,22.96,52690600
2010-05-19,28.52,28.69,27.79,28.24,22.67,61746700
2010-05-20,27.65,27.84,27.04,27.11,21.76,87991100
2010-05-21,26.63,27.11,26.44,26.84,21.54,117596300
2010-05-24,26.85,26.86,26.26,26.27,21.09,73711700
2010-05-25,25.65,26.33,25.38,26.07,20.93,98373600
2010-05-26,26.23,26.61,24.56,25.01,20.07,176684100
2010-05-27,25.73,26.36,25.73,26.0,20.87,136433600
2010-05-28,25.84,26.12,25.66,25.8,20.71,67496900
2010-06-01,25.53,26.31,25.52,25.89,20.78,76152400
2010-06-02,26.06,26.48,25.73,26.46,21.24,65718800
2010-06-03,26.55,26.93,26.41,26.86,21.56,67837000
2010-06-04,26.1,26.57,25.62,25.79,20.7,89832200
2010-06-07,25.82,25.83,25.24,25.29,20.3,80456200
2010-06-08,25.25,25.26,24.65,25.11,20.15,87355000
2010-06-09,25.22,25.52,24.75,24.79,19.9,87794000
2010-06-10,25.13,25.15,24.78,25.0,20.07,78930900
2010-06-11,25.04,25.72,24.77,25.66,20.6,68057700
2010-06-14,25.86,25.96,25.47,25.5,20.47,50972400
2010-06-15,25.75,26.65,25.74,26.58,21.33,81641500
2010-06-16,26.47,26.58,26.23,26.32,21.13,48698000
2010-06-17,26.56,26.67,26.04,26.37,21.17,47995500
2010-06-18,26.37,26.53,26.17,26.44,21.22,52075600
2010-06-21,26.78,26.89,25.89,25.95,20.83,54625300
2010-06-22,26.16,26.45,25.76,25.77,20.68,55985400
2010-06-23,25.78,25.78,25.22,25.31,20.32,61466200
2010-06-24,25.46,25.72,24.93,25.0,20.07,85243400
