Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16.51,16.52,16.28,16.34,12.12,11972400
2010-01-05,16.28,16.45,16.17,16.4,12.17,6275200
2010-01-06,16.35,16.42,16.24,16.3,12.09,13399200
2010-01-07,16.28,16.5,16.26,16.46,12.21,7187600
2010-01-08,16.45,16.46,16.24,16.43,12.19,7249600
2010-01-11,16.48,16.48,16.16,16.23,12.04,10678000
2010-01-12,16.15,16.27,16.07,16.2,12.02,11485600
2010-01-13,16.28,16.42,16.19,16.35,12.13,5648800
2010-01-14,16.37,16.46,16.19,16.25,12.05,7311600
2010-01-15,16.19,16.25,15.99,16.1,11.94,11293200
2010-01-19,16.05,16.2,15.99,16.18,12.0,7453200
2010-01-20,16.05,16.1,15.89,16.05,11.9,8008400
2010-01-21,16.08,16.08,15.76,15.91,11.8,13983200
2010-01-22,15.88,16.06,15.74,15.74,11.68,13320000
2010-01-25,15.84,16.01,15.83,15.92,11.81,10749600
2010-01-26,15.83,16.03,15.76,15.94,11.82,6711200
2010-01-27,15.92,16.04,15.81,16.0,11.87,13560400
2010-01-28,16.06,16.25,15.84,15.88,11.78,7158000
2010-01-29,15.91,16.16,15.89,15.94,11.82,10402400
2010-02-01,15.99,16.11,15.88,16.02,11.89,6407600
2010-02-02,16.07,16.07,15.9,15.98,11.86,9539200
2010-02-03,15.92,16.02,15.83,16.0,11.87,7889200
2010-02-04,15.88,15.94,15.51,15.52,11.52,17924800
2010-02-05,15.51,15.56,15.22,15.43,11.44,13110800
2010-02-08,15.4,15.53,15.31,15.32,11.37,8177200
2010-02-09,15.44,15.77,15.42,15.63,11.59,9438000
2010-02-10,15.63,15.74,15.56,15.66,11.62,7698400
2010-02-11,15.61,15.79,15.53,15.74,11.68,7010000
2010-02-12,15.63,15.64,15.43,15.62,11.59,11152000
2010-02-16,15.7,15.91,15.58,15.91,11.8,9628000
2010-02-17,15.97,16.17,15.9,16.12,11.96,10640400
2010-02-18,16.12,16.15,15.98,16.11,11.95,6468000
2010-02-19,16.03,16.15,16.0,16.09,11.93,9498000
2010-02-22,16.14,16.19,16.01,16.08,11.93,6864800
2010-02-23,16.08,16.14,15.9,16.03,11.89,7738800
2010-02-24,16.0,16.25,16.0,16.23,12.04,11618000
2010-02-25,16.25,16.57,16.0,16.54,12.27,15967600
2010-02-26,16.56,16.96,16.56,16.9,12.54,19633200
2010-03-01,16.98,17.18,16.9,17.06,12.66,10674000
2010-03-02,17.01,17.08,16.92,17.01,12.62,9844800
2010-03-03,16.92,16.99,16.82,16.91,12.54,8670400
2010-03-04,17.0,17.01,16.86,16.91,12.75,6306400
2010-03-05,16.96,17.13,16.96,17.08,12.88,7460000
2010-03-08,16.99,17.24,16.99,17.2,12.97,7084000
2010-03-09,17.19,17.3,17.13,17.23,12.99,6042400
2010-03-10,17.23,17.31,17.1,17.28,13.03,5592800
2010-03-11,17.27,17.46,17.18,17.44,13.15,6960000
