Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,50.69,51.38,50.69,51.36,41.17,1616100
2010-01-05,51.23,51.91,51.23,51.45,41.24,1859800
2010-01-06,51.32,51.7,51.13,51.65,41.4,2204900
2010-01-07,51.43,52.37,51.25,52.19,41.83,4750900
2010-01-08,51.83,52.49,51.64,51.9,41.6,1723700
2010-01-11,52.18,52.36,51.68,51.95,41.64,1523000
2010-01-12,51.72,52.03,51.32,52.01,41.68,1650500
2010-01-13,52.18,53.82,52.18,53.57,42.94,2729700
2010-01-14,53.52,54.06,52.92,53.58,42.94,2044300
2010-01-15,53.36,53.5,52.51,52.96,42.45,1846800
2010-01-19,52.95,53.86,52.56,53.25,42.68,2460200
2010-01-20,52.79,53.04,51.96,52.67,42.21,1858600
2010-01-21,52.54,52.71,51.12,51.21,41.05,2682100
2010-01-22,51.3,51.37,50.17,50.26,40.29,2182900
2010-01-25,50.82,50.82,50.02,50.32,40.34,2499100
2010-01-26,50.27,51.0,49.96,50.62,40.58,2079300
2010-01-27,50.46,51.46,50.23,51.26,41.09,3078900
2010-01-28,51.35,51.68,50.35,51.17,41.02,2672800
2010-01-29,51.46,51.55,50.88,51.14,40.99,2585800
2010-02-01,51.39,52.49,51.33,52.33,41.94,3725800
2010-02-02,52.29,52.58,51.63,52.57,42.13,3208400
2010-02-03,52.27,53.08,52.2,52.86,42.37,2173900
2010-02-04,52.52,54.56,51.37,52.31,41.93,6825200
2010-02-05,52.65,52.85,51.1,52.1,41.76,2839500
2010-02-08,52.19,53.05,51.65,52.38,41.98,2596000
2010-02-09,52.92,54.17,52.57,53.8,43.12,3011200
2010-02-10,53.73,53.76,52.71,52.89,42.39,2633200
2010-02-11,52.88,53.69,52.4,53.68,43.02,2117200
2010-02-12,53.15,53.35,52.62,53.21,42.65,2815300
2010-02-16,53.65,53.9,53.23,53.81,43.13,2635600
2010-02-17,53.96,54.16,53.67,54.16,43.41,2161700
2010-02-18,53.96,55.57,53.9,55.57,44.54,3644200
2010-02-19,55.55,55.83,55.06,55.3,44.33,3061900
2010-02-22,55.31,56.06,55.28,55.72,44.66,1911800
2010-02-23,55.55,56.22,55.3,55.33,44.35,1949500
2010-02-24,55.54,56.02,55.28,55.74,44.67,2060900
2010-02-25,55.27,55.29,54.35,55.22,44.61,3060500
2010-02-26,55.24,55.49,54.54,55.35,44.71,3776500
2010-03-01,55.34,57.13,55.25,56.93,45.98,2709600
2010-03-02,56.88,57.53,56.74,56.84,45.91,2349600
2010-03-03,56.87,56.95,55.97,56.31,45.48,2759200
2010-03-04,56.28,57.19,56.09,56.99,46.04,3788100
2010-03-05,57.3,58.15,57.26,58.02,46.87,1525600
2010-03-08,57.97,58.22,57.6,57.97,46.82,1408500
2010-03-09,57.79,58.29,57.54,57.82,46.71,2027000
2010-03-10,57.7,58.47,57.63,58.32,47.11,1569600
2010-03-11,58.32,58.55,57.71,58.5,47.25,1440600
2010-03-12,58.48,58.7,57.69,57.82,46.71,2072000
2010-03-15,57.81,58.16,57.64,58.1,46.93,1925100
