Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,52.09,52.75,52.09,52.53,42.76,1967200
2010-01-05,52.0,52.74,52.0,52.46,42.7,2126100
2010-01-06,52.33,52.6,51.63,51.7,42.08,2241300
2010-01-07,51.54,52.34,51.4,52.19,42.48,2001100
2010-01-08,51.95,52.56,51.7,52.42,42.67,1367800
2010-01-11,51.62,52.08,50.41,51.04,41.54,2925300
2010-01-12,50.84,51.7,50.58,50.95,41.47,2018900
2010-01-13,51.13,51.76,50.73,51.55,41.96,1517300
2010-01-14,51.38,51.66,51.0,51.3,41.75,2012600
2010-01-15,51.28,51.76,50.81,51.55,41.96,2052000
2010-01-19,51.55,52.65,51.53,52.43,42.67,1897200
2010-01-20,54.17,56.11,53.59,55.44,45.12,4863200
2010-01-21,54.51,55.08,53.44,53.51,43.55,3039700
2010-01-22,53.41,54.07,51.73,52.07,42.38,3157500
2010-01-25,52.72,52.76,51.59,51.99,42.32,1214200
2010-01-26,51.66,52.16,50.93,50.93,41.45,1298700
2010-01-27,50.99,52.63,50.79,52.49,42.72,1890200
2010-01-28,52.92,52.92,51.17,51.59,41.99,1615900
2010-01-29,51.76,51.86,50.51,50.52,41.12,1933600
2010-02-01,51.62,52.69,51.55,52.17,42.46,1764800
2010-02-02,52.32,52.48,51.83,52.12,42.42,1212000
2010-02-03,51.9,52.07,51.42,51.61,42.01,1114900
2010-02-04,51.17,51.45,49.88,49.89,40.61,2133600
2010-02-05,49.88,50.56,48.89,50.54,41.14,2548500
2010-02-08,50.73,51.46,49.92,49.99,40.69,1780900
2010-02-09,50.4,50.92,49.6,50.08,40.76,1869100
2010-02-10,49.99,50.87,49.96,50.56,41.15,1773200
2010-02-11,50.47,50.59,49.91,50.34,40.97,1227600
2010-02-12,50.0,50.28,49.55,50.01,40.7,1789100
2010-02-16,50.22,50.99,50.05,50.99,41.5,1325700
2010-02-17,51.32,51.99,50.75,51.84,42.19,2045800
2010-02-18,51.78,52.6,51.63,52.47,42.71,1499200
2010-02-19,52.5,54.88,52.4,54.6,44.44,4349500
2010-02-22,54.47,55.01,53.9,54.65,44.48,2457900
2010-02-23,54.64,54.76,53.21,53.46,43.51,1483600
