Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,15.12,15.43,15.07,15.2,12.39,2925800
2010-01-05,15.27,15.28,14.98,15.11,12.32,2885400
2010-01-06,15.05,15.4,15.04,15.38,12.54,4676500
2010-01-07,15.54,15.87,15.33,15.82,12.89,3613200
2010-01-08,15.7,15.8,15.56,15.77,12.85,1915900
2010-01-11,15.86,15.86,15.56,15.6,12.72,2321700
2010-01-12,15.46,15.59,15.22,15.4,12.55,3032900
2010-01-13,15.4,15.57,15.38,15.51,12.64,2514000
2010-01-14,15.46,15.55,15.42,15.45,12.59,2204300
2010-01-15,15.38,15.44,14.91,14.91,12.15,4555400
2010-01-19,15.02,15.44,14.93,15.2,12.39,10731500
2010-01-20,15.13,15.24,15.01,15.13,12.33,4472700
2010-01-21,15.23,15.23,14.73,14.77,12.04,5474500
2010-01-22,14.72,14.93,14.44,14.47,11.79,4615800
2010-01-25,14.61,14.7,14.42,14.54,11.85,2533700
2010-01-26,14.44,14.6,14.36,14.43,11.76,3819100
2010-01-27,14.43,14.5,14.02,14.26,11.62,4837200
2010-01-28,14.32,14.36,14.04,14.2,11.57,4504300
2010-01-29,14.02,14.11,13.21,13.57,11.06,15226700
2010-02-01,13.81,13.81,13.39,13.64,11.12,9550300
2010-02-02,14.03,14.48,13.83,14.24,11.61,7714400
2010-02-03,14.14,14.31,14.03,14.13,11.52,4598600
2010-02-04,14.01,14.05,13.54,13.56,11.05,4746800
2010-02-05,13.53,13.56,13.11,13.36,10.89,5776500
2010-02-08,13.75,13.92,13.51,13.58,11.07,6038800
2010-02-09,13.74,13.88,13.58,13.84,11.28,3775800
2010-02-10,13.83,13.85,13.5,13.64,11.12,4896500
2010-02-11,13.59,13.84,13.46,13.77,11.22,6039200
2010-02-12,13.59,13.81,13.45,13.78,11.23,3292800
2010-02-16,13.81,13.85,13.65,13.76,11.22,4969100
2010-02-17,13.81,13.88,13.61,13.75,11.21,3938000
2010-02-18,13.69,13.9,13.66,13.83,11.27,2232000
2010-02-19,13.73,13.82,13.68,13.77,11.22,3511800
2010-02-22,13.8,13.98,13.78,13.84,11.28,2406000
2010-02-23,13.85,13.95,13.64,13.71,11.17,3380800
2010-02-24,13.74,13.74,13.47,13.65,11.17,3946300
2010-02-25,13.54,13.74,13.37,13.68,11.19,4020600
2010-02-26,13.67,13.75,13.56,13.75,11.25,2844400
2010-03-01,13.77,13.91,13.68,13.82,11.31,2430700
2010-03-02,13.89,13.91,13.8,13.87,11.35,3158500
2010-03-03,13.9,14.16,13.84,13.98,11.44,5086700
2010-03-04,13.99,14.23,13.94,14.18,11.6,3204800
2010-03-05,14.25,14.57,14.23,14.51,11.87,4111200
2010-03-08,14.54,14.66,14.41,14.64,11.98,2614100
2010-03-09,14.59,15.14,14.52,15.01,12.28,7479000
2010-03-10,15.0,15.56,14.91,15.32,12.53,8968600
2010-03-11,15.24,15.37,15.16,15.31,12.52,4642700
2010-03-12,15.38,15.4,15.23,15.36,12.57,2565800
2010-03-15,15.35,15.43,15.21,15.39,12.59,2769500
2010-03-16,15.35,15.51,15.32,15.51,12.69,2487200
2010-03-17,15.62,15.88,15.45,15.77,12.9,6514200
2010-03-18,15.79,15.82,15.51,15.72,12.86,3916100
2010-03-19,15.34,15.79,15.25,15.34,12.55,5133100
2010-03-22,15.21,15.54,15.21,15.5,12.68,5241000
2010-03-23,15.53,15.66,15.43,15.6,12.76,2601400
2010-03-24,15.57,15.57,15.29,15.44,12.63,2800100
2010-03-25,15.59,15.62,15.29,15.29,12.51,3435600
2010-03-26,15.37,15.41,15.14,15.26,12.48,2925200
2010-03-29,15.34,15.38,15.19,15.31,12.52,2316300
2010-03-30,15.34,15.47,15.13,15.37,12.57,2124200
2010-03-31,15.28,15.38,15.15,15.2,12.43,4130500
2010-04-01,15.34,15.63,15.24,15.62,12.78,5983400
2010-04-05,15.63,15.92,15.62,15.86,12.97,2846200
2010-04-06,15.83,16.1,15.68,16.01,13.1,4946500
2010-04-07,15.99,16.14,15.89,16.03,13.11,5555300
2010-04-08,15.95,16.17,15.83,16.16,13.22,3780200
2010-04-09,16.16,16.37,16.04,16.29,13.33,2743100
2010-04-12,16.41,16.8,16.36,16.71,13.67,5315800
2010-04-13,16.7,16.75,16.51,16.69,13.65,3192100
2010-04-14,16.74,16.85,16.65,16.79,13.74,4325900
2010-04-15,16.7,16.89,16.51,16.88,13.81,3109300
2010-04-16,16.82,16.92,16.5,16.66,13.63,3831200
2010-04-19,16.64,16.75,16.47,16.75,13.7,3375100
2010-04-20,16.89,17.07,16.78,16.99,13.9,3773000
2010-04-21,17.04,17.31,17.02,17.29,14.14,4269000
2010-04-22,17.19,17.69,17.03,17.67,14.46,4621100
2010-04-23,17.68,17.89,17.56,17.71,14.49,6157200
2010-04-26,17.38,17.7,17.32,17.32,14.17,6260200
2010-04-27,17.23,17.41,16.97,17.0,13.91,6777900
2010-04-28,17.08,17.17,16.8,17.07,13.96,4033200
2010-04-29,17.18,17.27,16.89,16.95,13.87,7048400
2010-04-30,17.83,17.96,17.02,17.07,13.96,11513200
2010-05-03,17.19,17.77,17.19,17.71,14.49,4842400
2010-05-04,17.3,17.55,17.01,17.09,13.98,4910300
2010-05-05,16.84,17.15,16.52,16.6,13.58,5692700
2010-05-06,16.49,16.89,15.12,16.03,13.11,8366300
2010-05-07,16.07,16.1,15.46,15.69,12.84,9296800
2010-05-10,16.35,16.86,16.35,16.63,13.6,4539400
2010-05-11,16.35,16.97,16.35,16.74,13.69,4525900
2010-05-12,16.78,17.17,16.67,17.11,14.0,4608800
2010-05-13,17.15,17.16,16.65,16.72,13.68,3759800
2010-05-14,16.58,16.65,16.19,16.49,13.49,6765900
2010-05-17,16.51,16.84,16.27,16.79,13.74,5734500
2010-05-18,16.89,16.96,16.35,16.4,13.42,4665600
2010-05-19,16.28,16.47,16.0,16.27,13.31,5826400
