Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,26.26,26.5,25.96,26.1,16.71,876900
2010-01-05,26.4,26.54,26.01,26.54,16.99,664000
2010-01-06,26.61,26.61,26.26,26.52,16.98,971500
2010-01-07,26.59,27.15,26.35,27.08,17.34,1219300
2010-01-08,26.99,27.5,26.96,27.45,17.58,789700
2010-01-11,27.53,27.55,27.2,27.24,17.44,703000
2010-01-12,27.15,27.38,27.09,27.34,17.51,618100
2010-01-13,27.62,27.72,27.25,27.65,17.7,734000
2010-01-14,27.53,27.74,27.42,27.54,17.63,676800
2010-01-15,27.68,27.75,27.47,27.49,17.6,700800
2010-01-19,27.5,28.1,27.5,27.95,17.9,1010300
2010-01-20,27.81,28.0,27.51,27.53,17.63,581700
2010-01-21,27.6,27.85,26.92,26.92,17.24,1016400
2010-01-22,27.09,27.75,26.27,26.27,16.82,1425800
2010-01-25,26.62,26.99,26.25,26.85,17.19,762800
2010-01-26,26.88,27.55,26.73,27.27,17.46,688600
2010-01-27,27.19,27.84,26.88,27.84,17.83,906900
2010-01-28,27.95,27.95,27.36,27.78,17.88,1019400
2010-01-29,27.82,27.95,27.47,27.93,17.98,1001400
2010-02-01,27.99,28.0,27.44,27.86,17.93,902500
2010-02-02,27.86,28.0,27.48,27.7,17.83,793200
2010-02-03,27.55,27.74,26.96,27.06,17.42,621200
2010-02-04,26.96,27.3,26.0,26.02,16.75,1479000
2010-02-05,26.21,26.55,25.6,26.12,16.81,1956700
2010-02-08,26.42,26.5,25.74,25.74,16.57,864600
2010-02-09,26.09,26.09,25.44,25.52,16.42,1156800
2010-02-10,25.58,25.82,25.28,25.75,16.57,914900
2010-02-11,25.61,26.24,25.42,26.03,16.75,914000
2010-02-12,26.02,27.05,25.8,26.99,17.37,1132900
2010-02-16,27.09,27.92,27.08,27.85,17.92,1222400
2010-02-17,27.95,28.32,27.9,28.32,18.23,1006800
2010-02-18,28.29,28.88,28.25,28.75,18.5,898100
2010-02-19,28.63,28.79,28.44,28.58,18.39,794300
2010-02-22,28.71,28.71,28.11,28.3,18.21,861800
2010-02-23,28.28,28.57,27.71,28.03,18.04,1100600
2010-02-24,28.06,28.43,28.04,28.31,18.22,643000
2010-02-25,28.22,28.33,27.85,28.31,18.31,489900
2010-02-26,28.28,28.44,27.97,28.0,18.11,739200
2010-03-01,28.06,28.31,27.74,27.98,18.1,893600
2010-03-02,28.15,28.22,27.62,27.97,18.09,706200
2010-03-03,28.1,28.3,27.8,27.96,18.09,613900
2010-03-04,27.96,28.1,27.83,28.06,18.15,407900
2010-03-05,28.17,28.54,27.96,28.44,18.4,783100
2010-03-08,28.48,28.73,28.37,28.61,18.51,617300
2010-03-09,28.53,29.2,28.5,29.12,18.84,722600
2010-03-10,29.14,29.39,28.91,29.22,18.9,957800
2010-03-11,29.09,29.38,28.82,29.22,18.9,547500
2010-03-12,29.3,29.4,28.91,29.17,18.87,861300
2010-03-15,29.22,29.5,28.98,29.29,18.95,636200
2010-03-16,29.38,30.02,29.34,29.92,19.35,734600
2010-03-17,29.96,30.4,29.96,30.21,19.54,829500
2010-03-18,30.1,30.85,30.08,30.48,19.72,1030500
2010-03-19,29.96,30.5,29.66,29.96,19.38,1403800
2010-03-22,29.78,30.48,29.78,30.43,19.68,651000
2010-03-23,30.01,30.34,30.0,30.22,19.55,740600
2010-03-24,29.99,31.1,29.99,30.64,19.82,1096600
2010-03-25,30.75,30.88,30.48,30.52,19.74,1006200
2010-03-26,30.62,30.85,30.5,30.77,19.9,656200
2010-03-29,30.88,30.88,30.6,30.84,19.95,609300
2010-03-30,30.67,30.85,30.4,30.73,19.97,560100
2010-03-31,30.66,31.19,30.62,30.69,19.94,784400
2010-04-01,30.9,30.9,30.18,30.44,19.78,621100
2010-04-05,30.67,31.06,30.45,31.05,20.18,510200
2010-04-06,30.84,31.82,30.84,31.53,20.49,813100
2010-04-07,31.63,31.92,31.47,31.72,20.61,1204000
2010-04-08,31.6,31.78,31.52,31.66,20.58,702900
2010-04-09,31.73,31.92,31.5,31.75,20.63,782900
2010-04-12,31.98,31.98,31.35,31.4,20.41,474000
2010-04-13,31.32,32.09,31.26,31.98,20.78,579600
2010-04-14,32.21,32.58,31.9,32.54,21.15,622400
2010-04-15,32.5,32.54,31.86,31.88,20.72,773600
2010-04-16,31.79,32.22,31.38,31.43,20.43,765500
2010-04-19,31.24,31.85,31.09,31.51,20.48,443400
2010-04-20,31.57,32.03,31.16,31.97,20.78,567500
2010-04-21,31.9,32.85,31.9,32.65,21.22,567100
2010-04-22,32.39,33.23,32.29,33.14,21.54,488500
2010-04-23,33.14,33.5,32.87,33.29,21.63,662500
2010-04-26,33.32,33.96,33.2,33.57,21.82,716500
2010-04-27,33.56,33.86,32.87,32.89,21.37,775100
2010-04-28,33.15,33.42,33.0,33.17,21.56,824000
2010-04-29,33.53,34.54,32.99,34.38,22.44,1144300
2010-04-30,33.68,34.27,32.78,32.79,21.4,1249600
2010-05-03,32.44,33.14,32.1,32.91,21.48,974100
2010-05-04,32.46,32.82,31.62,31.84,20.78,1089600
2010-05-05,31.16,31.8,30.64,31.54,20.59,970400
2010-05-06,31.23,31.57,28.42,30.02,19.59,1993900
2010-05-07,30.02,31.05,29.58,30.24,19.74,1308000
2010-05-10,31.09,31.89,31.0,31.88,20.81,1074300
2010-05-11,31.63,32.62,31.57,32.37,21.13,675500
2010-05-12,32.4,32.95,32.25,32.71,21.35,647600
2010-05-13,32.74,32.91,32.39,32.45,21.18,585600
2010-05-14,32.33,32.38,31.6,31.73,20.71,828500
2010-05-17,31.89,32.18,30.87,31.53,20.58,586600
2010-05-18,31.94,32.25,31.21,31.24,20.39,828900
2010-05-19,31.0,31.43,30.15,30.68,20.02,946300
2010-05-20,30.01,30.5,29.49,29.65,19.35,1291500
2010-05-21,29.3,30.89,28.89,30.77,20.08,1104200
2010-05-24,31.25,31.25,30.3,30.33,19.8,741000
2010-05-25,29.58,31.01,29.17,30.94,20.19,878000
2010-05-26,31.15,31.9,30.57,30.67,20.02,743900
2010-05-27,31.19,32.0,30.9,31.95,20.95,685900
2010-05-28,31.84,31.94,31.12,31.14,20.42,574100
2010-06-01,31.01,31.27,30.46,30.54,20.03,663600
2010-06-02,30.79,31.38,30.37,31.38,20.58,664800
2010-06-03,31.67,31.67,30.93,31.15,20.43,351700
2010-06-04,30.77,30.93,29.5,29.6,19.41,1128700
2010-06-07,29.62,30.37,29.5,29.69,19.47,483100
2010-06-08,29.69,30.37,29.2,30.27,19.85,778400
2010-06-09,30.49,31.05,30.14,30.33,19.89,485300
