Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,54.75,55.75,53.96,54.53,51.06,2724500.0
2017-11-02,54.24,54.49,52.67,53.35,49.95,3027900.0
2017-11-03,52.37,52.9,51.7,52.65,50.0,2110000.0
2017-11-06,52.65,52.99,52.22,52.8,50.14,3076000.0
2018-01-26,,,,,,
2018-04-27,,,,,,
2018-05-24,66.17,66.59,65.87,66.38,63.04,2113400.0
2018-05-25,65.33,65.95,64.71,65.89,62.57,1708500.0
2018-05-29,65.61,66.58,65.51,66.3,62.96,2786300.0
2018-05-30,66.66,68.41,66.57,68.23,64.79,2586600.0
2018-05-31,67.77,68.88,67.76,68.16,64.73,3821200.0
2018-06-01,68.35,68.95,67.9,68.51,65.06,1745100.0
2018-06-04,68.9,69.11,67.85,68.3,64.86,1506600.0
2018-06-05,68.2,69.25,68.08,68.57,65.12,2515000.0
2018-06-06,68.66,68.85,67.41,67.66,64.25,1954900.0
2018-06-07,68.29,68.63,68.03,68.55,65.1,1727300.0
2018-06-08,68.67,68.93,67.9,68.45,65.0,2173400.0
2018-06-11,68.29,69.38,67.85,69.02,65.54,1680900.0
2018-06-12,69.08,69.84,68.95,69.24,65.75,1736100.0
2018-06-13,69.11,69.11,68.4,68.87,65.4,2603300.0
2018-06-14,69.07,69.71,68.99,69.34,65.85,2362700.0
2018-06-15,69.23,69.46,67.65,67.78,64.37,4014900.0
2018-06-18,67.84,68.85,67.75,68.52,65.07,3584900.0
2018-06-19,67.83,68.91,67.5,68.79,65.32,2281900.0
2018-06-20,69.23,70.31,69.16,70.07,66.54,1912700.0
2018-06-21,69.73,69.86,68.68,68.78,65.31,1751100.0
2018-06-22,70.21,70.77,69.8,69.99,66.46,4425400.0
2018-06-25,69.82,69.92,68.39,68.7,65.24,1630800.0
2018-06-26,68.95,69.89,68.8,69.72,66.21,1605000.0
2018-06-27,70.29,70.99,69.53,69.75,66.24,1883000.0
2018-06-28,69.93,70.31,69.05,69.93,66.41,1628900.0
2018-06-29,70.29,70.49,69.55,69.83,66.31,1877900.0
2018-07-02,69.56,69.76,68.72,68.95,65.48,1751200.0
2018-07-03,69.5,70.5,69.28,69.33,65.84,1108900.0
2018-07-05,69.96,70.6,69.89,70.23,66.69,1905600.0
2018-07-06,70.17,71.34,69.97,71.21,67.62,1603200.0
2018-07-09,71.48,71.77,71.19,71.31,67.72,2269800.0
2018-07-10,71.75,71.99,71.05,71.22,67.63,1901100.0
2018-07-11,70.86,71.14,69.73,70.31,66.77,1960800.0
2018-07-12,70.6,70.98,70.11,70.86,67.29,1640700.0
2018-07-13,70.83,71.71,70.83,71.4,67.8,2752400.0
2018-07-16,70.86,70.98,69.85,70.01,66.48,2478500.0
2018-07-17,69.97,70.61,69.77,70.33,66.79,2683500.0
2018-07-18,69.76,70.81,69.36,70.13,66.6,2737800.0
2018-07-19,70.16,71.08,70.02,70.44,66.89,2278500.0
2018-07-20,70.51,70.77,69.71,69.93,66.41,2109200.0
2018-07-23,70.17,70.39,69.56,70.15,66.62,1586300.0
2018-07-24,70.38,70.76,70.0,70.38,66.83,1987700.0
2018-07-25,70.26,71.11,70.13,70.89,67.32,2011200.0
2018-07-26,70.89,71.42,70.61,71.29,67.7,1242300.0
2018-07-27,71.13,71.29,69.84,70.12,66.59,2191100.0
2018-07-30,70.55,70.78,70.05,70.58,67.02,1833500.0
2018-07-31,70.7,71.17,70.06,70.44,66.89,4583600.0
2018-08-01,71.04,71.04,67.62,68.12,64.69,3540200.0
2018-08-02,67.83,69.02,67.56,68.5,65.05,3500700.0
2018-08-03,67.7,68.15,67.23,67.51,64.89,2726400.0
2018-08-06,67.64,68.3,67.3,68.21,65.56,2034600.0
2018-08-07,68.76,68.76,68.12,68.24,65.59,1964400.0
2018-08-08,67.96,68.67,67.77,68.61,65.95,1623600.0
2018-08-09,68.73,69.26,68.53,68.74,66.07,1752500.0
2018-08-10,68.66,69.24,68.6,68.9,66.23,2107300.0
2018-08-13,68.9,69.08,68.0,68.04,65.4,1530800.0
2018-08-14,68.46,68.92,68.43,68.55,65.89,2509100.0
2018-08-15,68.09,68.09,66.53,66.95,64.35,2001200.0
2018-08-16,67.28,67.77,66.85,67.15,64.54,1935800.0
2018-08-17,67.26,67.78,67.07,67.52,64.9,1551500.0
2018-08-20,67.64,67.97,67.41,67.84,65.21,1424300.0
2018-08-21,68.32,68.42,67.38,67.47,64.85,1312300.0
2018-08-22,67.74,68.35,67.74,68.22,65.57,1733700.0
2018-08-23,68.13,68.17,67.1,67.22,64.61,1352200.0
2018-08-24,67.58,67.9,67.31,67.49,64.87,2043600.0
2018-08-27,67.47,67.9,67.23,67.81,65.18,2137000.0
2018-08-28,67.77,68.26,67.2,67.32,64.71,1779900.0
2018-08-29,67.32,67.38,66.61,66.68,64.09,2193500.0
2018-08-30,66.6,66.84,66.07,66.45,63.87,2100600.0
2018-08-31,66.21,66.39,65.61,65.91,63.35,1876700.0
2018-09-04,65.91,66.12,65.48,65.7,63.15,1947900.0
2018-09-05,65.62,66.09,64.88,66.08,63.52,1928200.0
2018-09-06,66.1,66.63,65.62,66.01,63.45,2182600.0
2018-09-07,65.69,66.3,65.42,65.84,63.28,1392400.0
2018-09-10,66.09,66.39,64.5,64.56,62.05,2766900.0
2018-09-11,64.52,65.54,64.34,65.02,62.5,2585900.0
2018-09-12,65.35,65.46,64.78,65.11,62.58,1775300.0
2018-09-13,64.98,65.98,64.92,65.96,63.4,2084200.0
2018-09-14,65.81,66.54,65.36,66.39,63.81,2256800.0
2018-09-17,66.66,68.6,66.41,67.97,65.33,3835100.0
2018-09-18,68.56,70.01,68.51,69.14,66.46,3041300.0
2018-09-19,69.32,69.67,69.07,69.52,66.82,3252100.0
2018-09-20,69.63,69.63,68.32,68.61,65.95,3115000.0
2018-09-21,68.86,69.32,66.9,69.11,66.43,5101500.0
2018-09-24,69.5,69.5,67.56,67.87,65.24,3352500.0
2018-09-25,68.19,68.49,67.37,68.43,65.77,3232700.0
2018-09-26,68.24,69.82,68.18,68.41,65.76,2473500.0
2018-09-27,68.7,68.7,67.85,68.18,65.53,2132600.0
2018-09-28,68.08,68.47,67.75,67.79,65.16,2237400.0
2018-10-01,68.08,69.17,67.8,68.95,66.27,2155900.0
2018-10-02,68.85,69.1,67.56,67.88,65.25,2555700.0
2018-10-03,68.1,68.56,67.28,68.43,65.77,2714100.0
2018-10-04,68.45,68.83,68.07,68.48,65.82,1807800.0
2018-10-05,68.41,68.95,68.25,68.61,65.95,1582900.0
2018-10-08,68.36,68.94,67.98,68.4,65.75,1451400.0
2018-10-09,68.49,68.89,68.21,68.72,66.05,1333300.0
2018-10-10,68.7,68.99,67.25,67.31,64.7,2428900.0
2018-10-11,66.89,66.89,64.97,65.22,62.69,3041500.0
2018-10-12,65.39,66.01,63.59,65.02,62.5,2532100.0
2018-10-15,65.0,65.41,64.3,64.81,62.29,1590000.0
2018-10-16,65.64,67.99,65.34,67.46,64.84,2864800.0
2018-10-17,67.45,67.48,66.39,67.02,64.42,1582600.0
2018-10-18,66.59,67.96,66.36,66.92,64.32,1771000.0
2018-10-19,67.45,68.49,67.44,67.79,65.16,3165000.0
2018-10-22,67.82,67.88,66.38,66.98,64.38,1949600.0
2018-10-23,66.02,66.38,64.03,65.9,63.34,2870800.0
2018-10-24,66.0,66.0,63.59,63.64,61.17,2232500.0
2018-10-25,64.51,65.39,63.9,64.61,62.1,2245800.0
2018-10-26,64.27,64.44,62.46,63.34,60.88,2872400.0
2018-10-29,63.9,64.25,62.46,63.23,60.78,2449300.0
2018-10-30,63.21,63.82,62.2,63.27,60.81,2377200.0
2018-10-31,64.71,66.9,64.5,65.6,63.05,4456800.0
2018-11-01,65.92,65.92,64.1,64.81,62.29,2443600.0
2018-11-02,64.6,64.81,61.85,62.53,60.91,2757900.0
2018-11-05,63.22,63.98,62.79,63.95,62.29,2460900.0
2018-11-06,63.75,63.98,62.51,63.69,62.04,1945100.0
2018-11-07,64.06,64.92,63.38,64.07,62.41,2706900.0
2018-11-08,64.09,64.94,63.67,63.97,62.31,2435800.0
2018-11-09,63.14,63.55,62.25,63.09,61.45,2410400.0
2018-11-12,63.51,63.74,62.2,62.39,60.77,1981000.0
2018-11-13,62.33,62.85,60.79,61.01,59.43,1791900.0
2018-11-14,61.94,62.25,60.27,60.37,58.8,2230700.0
2018-11-15,60.12,61.37,59.66,61.36,59.77,2305900.0
2018-11-16,61.55,62.42,61.0,62.2,60.59,2324900.0
2018-11-19,61.78,62.59,60.8,62.28,60.66,2222200.0
2018-11-20,61.57,61.69,59.98,60.34,58.77,2274200.0
2018-11-21,60.56,61.62,60.34,60.99,59.41,2069700.0
2018-11-23,59.55,59.91,58.71,59.1,57.57,876900.0
2018-11-26,59.77,60.13,59.25,59.53,57.98,1914000.0
2018-11-27,59.49,60.18,59.4,59.75,58.2,2053500.0
2018-11-28,59.67,60.7,58.87,60.52,58.95,2275100.0
2018-11-29,61.36,61.86,60.74,61.34,59.75,2331800.0
2018-11-30,60.87,61.71,60.42,61.43,59.84,3127900.0
2018-12-03,62.68,63.11,61.73,62.75,61.12,2281900.0
2018-12-04,62.62,62.97,60.32,60.6,59.03,3004900.0
2018-12-06,59.56,59.66,57.78,59.37,57.83,2815600.0
2018-12-07,60.37,61.8,59.88,59.99,58.43,2554000.0
2018-12-10,59.37,59.85,57.43,59.16,57.62,2836200.0
2018-12-11,60.0,60.22,58.32,58.98,57.45,2437200.0
2018-12-12,59.72,60.26,59.29,59.71,58.16,1874700.0
2018-12-13,59.45,61.59,59.45,61.45,59.85,3024300.0
2018-12-14,60.98,61.58,59.95,60.19,58.63,2386600.0
2018-12-17,59.97,60.47,58.17,58.6,57.08,2856400.0
2018-12-18,58.49,58.73,56.19,56.47,55.0,3115100.0
2018-12-19,56.75,58.13,55.39,55.89,54.44,3144500.0
2018-12-20,55.2,56.04,53.75,54.52,53.1,3595700.0
2018-12-21,53.73,55.57,53.56,53.9,52.5,5180600.0
2018-12-24,53.3,53.44,50.79,50.79,49.47,1621200.0
2018-12-26,51.24,53.72,50.26,53.7,52.31,2738500.0
2018-12-27,52.61,53.37,50.96,53.32,51.94,3919800.0
2018-12-28,53.64,53.95,51.84,52.98,51.6,4146400.0
