Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,79.19,80.01,78.75,79.61,58.3,3630300
2010-01-05,79.69,79.74,78.59,79.04,57.87,3515400
2010-01-06,78.94,80.35,78.4,79.99,58.57,5578600
2010-01-07,79.47,80.12,78.92,79.39,58.13,4300500
2010-01-08,79.06,80.27,78.11,80.21,58.73,4336400
2010-01-11,80.62,81.27,78.85,79.48,58.2,4079300
2010-01-12,78.37,78.72,76.56,76.8,56.23,7071600
2010-01-13,76.97,77.32,75.3,76.29,55.86,7685500
2010-01-14,75.83,77.06,75.8,76.88,56.3,4717500
2010-01-15,76.68,76.9,75.06,75.61,55.36,8252800
2010-01-19,75.35,76.1,74.97,76.03,55.67,5700000
2010-01-20,75.3,75.3,73.59,74.93,54.87,6289700
2010-01-21,74.87,75.22,72.71,72.82,53.32,7607300
2010-01-22,73.38,74.88,72.54,72.91,53.38,10140600
2010-01-25,73.8,75.24,73.58,74.39,54.47,6724500
2010-01-26,73.01,74.7,73.01,73.44,53.78,9110100
2010-01-27,73.48,73.96,72.23,73.22,53.62,5282200
2010-01-28,74.21,75.51,71.26,74.25,54.37,11850700
2010-01-29,74.86,76.47,74.49,75.05,54.96,11222200
2010-02-01,75.77,76.57,75.64,76.48,56.0,6349200
2010-02-02,76.75,77.54,75.89,77.39,56.67,5384500
2010-02-03,77.28,77.73,76.3,76.77,56.21,3686600
2010-02-04,76.1,76.1,73.1,73.23,53.62,7981400
2010-02-05,73.18,73.92,71.16,73.49,53.81,10682900
2010-02-08,73.55,75.28,72.83,73.1,53.53,6923900
2010-02-09,74.15,75.59,73.27,74.64,54.65,8421700
2010-02-10,75.12,75.61,73.87,75.1,54.99,6153900
2010-02-11,75.17,77.14,74.49,77.09,56.44,6484200
2010-02-12,75.89,76.55,75.01,76.45,55.98,6458600
2010-02-16,77.6,78.04,76.53,77.78,56.95,6079700
2010-02-17,77.78,78.02,76.51,77.55,56.78,4957200
2010-02-18,77.24,77.78,76.44,77.59,56.82,4299100
2010-02-19,77.38,78.56,77.2,78.09,57.18,4047600
2010-02-22,78.56,78.68,76.49,76.65,56.13,5543100
2010-02-23,76.74,77.05,75.58,75.7,55.43,7660300
2010-02-24,76.42,76.6,75.47,76.21,55.81,3818800
2010-02-25,74.72,75.86,73.81,75.72,55.44,5354800
2010-02-26,76.19,76.74,75.37,76.5,56.02,4590500
2010-03-01,76.89,77.72,76.78,77.36,56.65,4347300
2010-03-02,77.82,78.43,77.51,77.79,56.96,4215000
2010-03-03,78.11,78.63,77.45,77.63,56.84,7052700
2010-03-04,77.53,78.42,77.44,77.84,57.0,4530200
2010-03-05,78.52,78.79,77.92,78.5,57.48,4004200
2010-03-08,78.34,78.64,77.63,78.07,57.41,3621400
2010-03-09,77.51,78.92,77.41,78.07,57.41,6393800
2010-03-10,77.93,78.78,77.59,78.53,57.75,4511300
2010-03-11,78.23,78.99,78.02,78.43,57.67,4072900
2010-03-12,78.93,79.03,78.01,78.41,57.65,4116700
2010-03-15,78.04,78.22,76.81,77.66,57.1,3329900
2010-03-16,78.16,78.99,77.54,78.92,58.03,5761300
2010-03-17,79.18,80.23,79.06,79.72,58.62,7288700
2010-03-18,79.4,79.8,78.11,79.05,58.13,4751800
2010-03-19,79.12,79.7,78.41,79.12,58.18,7077900
2010-03-22,78.12,79.37,77.85,79.11,58.17,3924300
2010-03-23,79.11,79.96,78.5,79.83,58.7,7832100
2010-03-24,79.39,80.05,78.91,79.47,58.44,5380500
2010-03-25,80.23,80.43,78.0,78.09,57.42,7057600
2010-03-26,78.48,78.62,77.74,78.3,57.58,8428900
2010-03-29,78.79,80.92,78.5,80.61,59.27,8497000
2010-03-30,81.15,81.25,80.48,80.74,59.37,5316300
2010-03-31,80.82,81.48,80.37,80.99,59.56,5715200
2010-04-01,81.67,83.32,81.67,82.97,61.01,5674200
2010-04-05,83.36,85.02,83.17,84.7,62.28,4804600
2010-04-06,84.39,85.08,84.19,84.78,62.34,4484300
2010-04-07,84.36,84.39,82.39,82.68,60.8,8814100
2010-04-08,82.17,83.14,81.15,82.95,60.99,5892000
2010-04-09,82.98,83.43,82.0,82.93,60.98,4725300
2010-04-12,83.07,83.36,82.69,83.15,61.14,5168600
2010-04-13,82.72,83.03,81.19,82.1,60.37,4652300
2010-04-14,82.56,82.58,81.44,82.55,60.7,5141500
2010-04-15,82.43,83.28,81.73,82.84,60.92,5035500
2010-04-16,82.19,82.97,81.04,81.49,59.92,7133700
2010-04-19,80.63,81.26,79.9,81.14,59.66,4885600
2010-04-20,82.0,83.88,81.81,82.96,61.0,5043800
2010-04-21,82.82,83.56,81.54,82.28,60.5,4495200
2010-04-22,81.48,81.84,80.68,81.72,60.09,4756100
2010-04-23,81.87,83.85,81.03,83.81,61.63,4830100
2010-04-26,83.98,85.06,83.52,83.74,61.58,4043200
2010-04-27,83.18,83.87,80.52,80.81,59.42,5735100
2010-04-28,81.31,81.74,80.35,81.34,59.81,5132600
2010-04-29,81.37,82.98,81.17,82.63,60.76,5680000
2010-04-30,83.01,86.64,82.8,84.94,62.46,10390700
2010-05-03,85.43,87.17,85.25,86.22,63.4,6950100
2010-05-04,84.32,84.41,81.67,82.91,60.97,6012800
2010-05-05,81.45,81.69,78.89,79.4,58.39,9211700
2010-05-06,78.89,80.13,71.09,77.05,56.65,12066900
2010-05-07,76.9,78.19,74.52,77.23,56.79,12910600
2010-05-10,79.74,81.71,79.16,80.63,59.29,8535800
2010-05-11,79.6,80.99,79.17,79.55,58.49,5616000
2010-05-12,79.69,81.44,79.69,81.2,59.7,5150900
2010-05-13,80.85,81.24,79.74,79.92,58.77,4876000
2010-05-14,79.26,79.76,76.91,78.52,57.74,5704200
2010-05-17,78.63,79.11,75.99,77.15,56.73,7277000
2010-05-18,78.56,79.3,77.19,77.54,57.01,8227600
2010-05-19,77.12,77.59,74.89,76.2,56.03,8239500
2010-05-20,74.36,76.26,73.4,74.4,54.71,11224600
2010-05-21,72.89,76.38,72.46,76.08,55.94,9469200
2010-05-24,76.17,76.3,74.51,74.63,54.88,5909400
2010-05-25,72.81,75.72,71.76,75.63,55.61,7879200
2010-05-26,76.56,77.03,74.66,74.9,55.08,6853000
2010-05-27,76.64,79.06,76.36,78.97,58.07,6592600
2010-05-28,78.95,80.36,78.2,79.05,58.13,6950600
2010-06-01,78.08,79.95,76.64,76.71,56.41,9831400
2010-06-02,77.34,78.49,76.09,78.42,57.66,7543800
2010-06-03,78.5,79.92,76.84,79.44,58.41,7397400
2010-06-04,77.39,78.34,74.34,75.13,55.24,8711100
2010-06-07,75.5,77.08,75.2,75.44,55.47,6097700
2010-06-08,75.25,76.93,74.82,76.73,56.71,5125800
2010-06-09,77.9,78.52,76.06,76.62,56.62,5995900
2010-06-10,77.94,80.14,77.75,79.99,59.11,5614100
2010-06-11,79.05,81.54,78.8,81.44,60.19,5943000
2010-06-14,82.14,83.54,81.06,81.16,59.98,6765600
2010-06-15,81.95,83.41,81.61,83.1,61.42,5179500
2010-06-16,82.45,84.1,81.87,83.43,61.66,4087300
2010-06-17,83.72,83.94,81.95,82.99,61.33,4324500
2010-06-18,83.04,83.88,82.57,83.33,61.59,5035300
2010-06-21,84.42,85.11,81.53,82.2,60.75,6672300
2010-06-22,82.43,82.73,79.89,80.15,59.23,5438900
2010-06-23,79.7,81.09,79.23,80.3,59.34,4360100
2010-06-24,80.07,80.47,77.68,78.04,57.68,5420400
2010-06-25,78.48,79.22,77.21,78.3,57.87,9883200
2010-06-28,78.71,79.03,77.26,77.52,57.29,3847200
2010-06-29,77.14,77.14,74.58,75.23,55.6,6227600
2010-06-30,75.43,76.16,73.84,73.91,54.63,6066800
2010-07-01,74.13,74.79,72.28,73.53,54.34,6779100
2010-07-02,73.67,74.56,72.53,73.17,54.07,3784200
2010-07-06,73.84,75.12,72.87,73.77,54.52,5170200
2010-07-07,74.16,76.28,74.02,76.24,56.35,5812900
2010-07-08,77.21,77.85,76.53,77.52,57.29,4626500
2010-07-09,77.4,78.06,77.08,77.71,57.43,4110300
2010-07-12,77.42,78.36,76.93,77.52,57.29,2748700
2010-07-13,78.47,79.2,78.21,78.85,58.27,3789700
2010-07-14,78.38,79.22,77.94,78.63,58.11,2815000
2010-07-15,79.15,79.2,76.9,78.66,58.13,3831700
2010-07-16,78.29,78.29,75.57,76.05,56.2,5704900
2010-07-19,76.35,77.07,75.61,76.19,56.3,3135900
2010-07-20,75.21,77.77,75.21,77.56,57.32,3634400
2010-07-21,77.94,78.44,76.15,76.69,56.68,4756700
2010-07-22,77.93,79.16,77.48,78.68,58.14,4374000
2010-07-23,78.33,78.72,77.31,78.7,58.16,4590600
2010-07-26,78.73,79.69,78.59,79.44,58.71,4203000
2010-07-27,79.53,79.53,76.05,76.59,56.6,6075800
2010-07-28,76.62,77.12,75.19,75.57,55.85,4519600
2010-07-29,76.16,76.45,73.96,74.43,55.01,6239400
2010-07-30,73.85,75.1,73.64,74.66,55.18,3875100
2010-08-02,76.26,77.5,75.94,76.83,56.78,4964600
2010-08-03,76.05,76.55,75.26,75.37,55.7,5761500
2010-08-04,75.26,76.22,75.08,75.49,55.79,5070800
2010-08-05,74.83,75.07,73.79,74.35,54.94,5790700
2010-08-06,73.59,74.12,72.19,73.13,54.04,6631600
2010-08-09,73.87,74.17,73.23,73.72,54.48,4754500
2010-08-10,72.69,74.86,72.67,74.55,55.09,6539300
2010-08-11,72.83,73.77,72.72,73.14,54.05,6442300
