Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.99,18.09,17.87,18.03,13.2,4619400
2010-01-05,18.03,18.07,17.78,17.97,13.16,6113800
2010-01-06,17.99,18.04,17.72,17.79,13.03,3576300
2010-01-07,17.44,17.6,17.32,17.55,12.85,4731300
2010-01-08,17.51,17.75,17.43,17.71,12.97,3623600
2010-01-11,17.68,17.73,17.21,17.26,12.64,6228800
2010-01-12,17.19,17.42,17.19,17.3,12.67,4951600
2010-01-13,17.35,17.83,17.3,17.72,12.98,5012300
2010-01-14,17.73,17.85,17.57,17.75,13.0,2544900
2010-01-15,17.58,17.68,17.3,17.43,12.77,3871500
2010-01-19,17.37,17.77,17.37,17.71,12.97,4733600
2010-01-20,17.59,17.9,17.43,17.6,12.89,5846500
2010-01-21,17.61,17.7,17.2,17.37,12.72,5597100
2010-01-22,17.38,17.44,16.84,16.89,12.37,4900500
2010-01-25,17.01,17.22,16.66,16.87,12.47,4305400
2010-01-26,16.83,17.14,16.78,16.8,12.42,3242200
2010-01-27,16.72,16.98,16.67,16.96,12.54,4306300
2010-01-28,16.96,17.07,16.66,16.75,12.39,4087800
2010-01-29,16.77,16.89,16.56,16.58,12.26,5639400
2010-02-01,16.62,16.76,16.56,16.75,12.39,4211100
2010-02-02,16.77,16.95,16.68,16.93,12.52,3645200
2010-02-03,16.84,17.05,16.7,16.77,12.4,3176100
2010-02-04,16.67,16.75,16.23,16.25,12.02,4847200
2010-02-05,16.25,16.52,16.18,16.52,12.22,6034700
2010-02-08,16.5,16.54,16.2,16.21,11.99,4292100
2010-02-09,16.41,16.5,16.22,16.37,12.1,3193300
2010-02-10,16.31,16.53,16.28,16.5,12.2,3736500
2010-02-11,16.54,16.7,16.35,16.63,12.3,3802400
2010-02-12,16.55,16.74,16.4,16.71,12.36,4296000
2010-02-16,16.8,17.1,16.75,17.07,12.62,3082200
2010-02-17,17.11,17.15,16.87,16.92,12.51,3766500
2010-02-18,16.9,17.16,16.77,17.15,12.68,3313800
2010-02-19,17.06,17.22,16.96,17.15,12.68,2592600
2010-02-22,17.15,17.25,17.07,17.19,12.71,2331700
2010-02-23,17.14,17.3,17.07,17.08,12.63,3251100
2010-02-24,17.13,17.3,17.13,17.23,12.74,2775100
2010-02-25,17.08,17.31,16.74,17.24,12.75,3949700
