Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,87.63,88.34,87.44,87.92,84.99,596900.0
2017-11-03,86.6,89.21,86.23,89.12,86.15,920700.0
2017-11-06,89.02,89.49,88.7,88.91,85.95,819500.0
2018-01-31,,,,,,
2018-04-30,,,,,,
2018-05-24,77.38,78.16,77.24,78.02,75.42,491600.0
2018-05-25,78.14,78.63,77.89,78.39,75.78,942300.0
2018-05-29,78.59,79.74,78.22,78.89,76.26,862000.0
2018-05-30,78.52,79.94,78.52,79.82,77.16,805100.0
2018-05-31,79.85,80.29,79.08,79.61,76.96,1277500.0
2018-06-01,79.17,79.4,77.48,77.58,75.0,819400.0
2018-06-04,77.59,77.86,76.25,76.46,73.92,1396100.0
2018-06-05,76.46,76.53,75.58,75.7,73.18,776600.0
2018-06-06,75.7,75.71,73.95,74.15,71.68,1003100.0
2018-06-07,74.17,75.19,73.9,74.48,72.0,926100.0
2018-06-08,74.66,74.79,74.1,74.4,71.92,415100.0
2018-06-11,74.39,74.71,73.41,73.56,71.11,620700.0
2018-06-12,73.5,74.66,73.48,74.58,72.1,870000.0
2018-06-13,74.56,74.8,74.1,74.35,71.88,900500.0
2018-06-14,74.47,75.49,74.47,75.41,72.9,1195800.0
2018-06-15,75.15,76.21,74.75,76.11,73.58,1585300.0
2018-06-18,76.16,76.65,75.69,76.35,73.81,1093400.0
2018-06-19,76.73,77.93,76.68,77.69,75.1,989600.0
2018-06-20,77.63,77.86,77.14,77.57,74.99,754800.0
2018-06-21,77.56,78.14,77.2,77.53,74.95,556600.0
2018-06-22,77.72,78.44,77.35,78.29,75.68,818500.0
2018-06-25,78.68,80.16,78.24,80.01,77.35,888000.0
2018-06-26,80.01,80.98,80.01,80.33,77.66,1073600.0
2018-06-27,80.24,81.05,79.88,80.92,78.23,607400.0
2018-06-28,80.98,81.25,80.43,80.58,77.9,682600.0
2018-06-29,80.3,81.07,79.92,80.56,77.88,726600.0
2018-07-02,80.79,81.51,80.57,81.45,78.74,908700.0
2018-07-03,81.42,82.35,81.03,81.82,79.1,301100.0
2018-07-05,81.92,82.41,81.3,82.38,79.64,706500.0
2018-07-06,82.41,83.05,82.33,82.74,79.99,988300.0
2018-07-09,82.87,83.04,78.89,79.48,76.83,1495600.0
2018-07-10,79.24,80.2,78.66,79.91,77.25,1615300.0
2018-07-11,80.09,80.98,79.93,80.84,78.15,680800.0
2018-07-12,80.98,81.02,80.0,80.35,77.68,1110800.0
2018-07-13,80.4,80.7,79.81,80.15,77.48,701700.0
2018-07-16,80.21,80.64,79.75,80.31,77.64,752000.0
2018-07-17,80.34,80.64,80.17,80.24,77.57,489400.0
2018-07-18,80.34,80.52,79.58,79.99,77.33,923200.0
2018-07-19,80.2,81.17,79.92,80.78,78.09,941700.0
2018-07-20,80.54,80.74,79.24,79.94,77.28,653700.0
2018-07-23,80.0,80.0,78.8,79.16,76.53,670600.0
2018-07-24,78.89,79.22,77.56,78.98,76.35,1297300.0
2018-07-25,78.96,79.86,77.88,79.75,77.1,1295100.0
2018-07-26,80.28,81.03,80.27,80.96,78.27,701200.0
2018-07-27,80.94,81.28,80.31,80.66,77.98,548700.0
2018-07-30,80.5,80.89,79.92,80.25,77.58,617100.0
2018-07-31,80.02,80.47,79.54,80.43,78.43,918600.0
2018-08-01,80.13,80.37,79.1,79.58,77.6,805100.0
2018-08-02,79.46,80.31,79.16,80.05,78.06,808900.0
2018-08-03,80.1,80.76,78.95,80.32,78.33,1031600.0
2018-08-06,81.56,81.7,81.0,81.13,79.11,1494400.0
2018-08-07,81.15,81.41,80.41,80.89,78.88,931800.0
2018-08-08,80.57,81.25,80.29,80.88,78.87,651200.0
2018-08-09,80.87,81.44,80.6,81.31,79.29,497600.0
2018-08-10,81.56,82.38,81.21,81.3,79.28,567300.0
2018-08-13,81.36,81.47,80.78,81.21,79.19,627400.0
2018-08-14,81.05,81.72,81.05,81.37,79.35,697700.0
2018-08-15,81.61,82.5,81.18,82.1,80.06,801400.0
2018-08-16,81.95,82.18,81.41,81.7,79.67,1988500.0
2018-08-17,81.54,82.83,81.21,82.27,80.23,1510900.0
2018-08-20,82.44,82.6,81.92,82.17,80.13,753800.0
2018-08-21,82.0,82.14,81.27,81.67,79.64,781300.0
2018-08-22,81.72,81.75,80.22,80.53,78.53,590800.0
2018-08-23,80.81,81.3,80.53,80.83,78.82,769200.0
2018-08-24,80.79,81.3,80.34,81.23,79.21,570000.0
2018-08-27,81.32,81.32,80.13,80.53,78.53,748100.0
2018-08-28,80.13,80.35,79.22,79.39,77.42,1045200.0
2018-08-29,79.75,79.89,79.14,79.49,77.52,1121000.0
2018-08-30,79.66,79.66,78.4,78.71,76.76,1501900.0
2018-08-31,78.81,79.61,78.27,78.55,76.6,1254000.0
2018-09-04,78.61,79.56,78.61,79.18,77.21,965500.0
2018-09-05,79.22,80.18,79.07,80.04,78.05,1191000.0
2018-09-06,80.08,80.6,79.71,80.2,78.21,616700.0
2018-09-07,79.74,80.03,79.16,79.59,77.61,695300.0
2018-09-10,79.79,80.41,79.72,80.05,78.06,644900.0
2018-09-11,80.08,80.35,79.56,79.69,77.71,636700.0
2018-09-12,79.61,80.23,79.38,79.77,77.79,719900.0
2018-09-13,79.97,80.46,79.32,80.38,78.38,576300.0
2018-09-14,80.16,80.43,79.32,80.35,78.35,656100.0
2018-09-17,80.6,81.01,80.03,80.86,78.85,825700.0
2018-09-18,80.75,81.12,80.24,80.82,78.81,790200.0
2018-09-19,80.93,80.93,78.43,79.03,77.07,1156200.0
2018-09-20,78.93,79.59,78.38,79.47,77.5,769200.0
2018-09-21,79.39,80.47,78.62,80.22,78.23,1881800.0
2018-09-24,80.22,80.35,79.32,79.37,77.4,951000.0
2018-09-25,79.3,79.3,78.04,78.18,76.24,745300.0
2018-09-26,78.39,78.59,77.33,77.41,75.49,600200.0
2018-09-27,77.56,78.58,77.19,78.09,76.15,528700.0
2018-09-28,78.33,79.25,78.33,79.18,77.21,851100.0
2018-10-01,78.95,79.44,78.34,78.89,76.93,619600.0
2018-10-02,79.11,80.0,79.11,79.42,77.45,844600.0
2018-10-03,79.36,79.94,78.11,78.77,76.81,718200.0
2018-10-04,78.67,80.34,78.35,80.25,78.26,1045400.0
2018-10-05,80.21,81.95,80.21,81.8,79.77,913000.0
2018-10-08,82.01,83.5,81.8,82.77,80.71,854000.0
2018-10-09,82.94,83.78,82.68,83.32,81.25,945800.0
2018-10-10,83.26,84.19,82.64,82.69,80.64,1487700.0
2018-10-11,83.06,83.11,81.19,81.3,79.28,1259000.0
2018-10-12,81.16,81.51,80.22,81.5,79.48,866500.0
2018-10-15,81.48,82.4,81.29,81.68,79.65,1102700.0
2018-10-16,81.95,83.73,81.46,83.54,81.47,1503900.0
2018-10-17,83.2,83.9,82.97,83.69,81.61,1129300.0
2018-10-18,83.87,84.14,83.19,83.48,81.41,1318600.0
2018-10-19,83.9,85.68,83.9,85.15,83.04,1018800.0
2018-10-22,85.13,85.54,84.69,84.91,82.8,940900.0
2018-10-23,84.98,85.85,83.98,84.13,82.04,901700.0
2018-10-24,84.58,86.71,84.05,86.43,84.28,783700.0
2018-10-25,85.8,86.0,84.2,84.45,82.35,1026300.0
2018-10-26,84.77,85.37,82.03,82.65,80.6,945400.0
2018-10-29,82.61,84.14,82.61,83.42,81.35,962300.0
2018-10-30,83.67,84.26,82.81,83.68,81.6,699400.0
2018-10-31,82.64,83.17,81.45,82.25,80.92,1222700.0
2018-11-01,82.09,82.77,81.74,82.56,81.23,1301700.0
2018-11-02,82.83,82.99,81.51,82.38,81.05,864000.0
2018-11-05,82.4,84.03,82.31,83.41,82.06,1946800.0
2018-11-06,83.53,84.71,83.23,84.65,83.28,1159700.0
2018-11-07,84.69,85.46,84.6,85.39,84.01,1155100.0
2018-11-08,86.15,87.88,85.75,87.56,86.14,1777300.0
2018-11-09,87.86,88.66,87.14,88.47,87.04,1281400.0
2018-11-12,88.31,89.95,87.77,88.86,87.42,1446900.0
2018-11-13,88.86,89.41,87.99,89.25,87.81,1599100.0
2018-11-14,88.91,89.25,87.93,88.24,86.81,1173300.0
2018-11-15,87.9,88.83,86.81,88.7,87.27,1157500.0
2018-11-16,89.79,89.9,88.26,88.32,86.89,1181500.0
2018-11-19,88.26,88.87,87.92,88.87,87.43,819000.0
2018-11-20,89.1,90.06,88.08,88.3,86.87,816200.0
2018-11-21,87.98,88.38,87.15,87.54,86.12,918800.0
2018-11-23,87.75,88.64,87.26,88.27,86.84,434300.0
2018-11-26,88.37,88.72,87.78,88.64,87.21,826200.0
2018-11-27,88.62,89.77,88.05,89.77,88.32,1250800.0
2018-11-28,89.84,89.88,88.7,89.11,87.67,1344200.0
2018-11-29,89.14,89.28,87.9,88.84,87.4,1208600.0
2018-11-30,89.08,89.51,88.32,89.36,87.92,1431600.0
2018-12-03,89.08,90.23,88.51,90.23,88.77,838500.0
2018-12-04,90.38,91.34,89.92,90.09,88.63,1071700.0
2018-12-06,90.54,90.81,88.38,90.79,89.32,1387300.0
2018-12-07,90.82,91.37,89.84,90.78,89.31,754100.0
2018-12-10,90.96,91.3,89.33,91.07,89.6,756500.0
2018-12-11,91.16,91.93,90.64,91.66,90.18,753700.0
2018-12-12,91.71,92.09,90.71,91.12,89.65,1412500.0
2018-12-13,91.09,92.64,91.07,92.33,90.84,800200.0
2018-12-14,92.43,92.5,90.97,91.44,89.96,1065600.0
2018-12-17,91.68,91.71,88.1,88.42,86.99,1061200.0
2018-12-18,89.05,89.62,88.05,88.37,86.94,1763500.0
2018-12-19,88.57,90.26,87.81,88.45,87.02,1757700.0
2018-12-20,88.5,90.3,87.53,89.55,88.1,1061400.0
2018-12-21,89.8,91.35,89.17,89.41,87.96,2417700.0
2018-12-24,89.38,89.39,84.5,84.61,83.24,547600.0
2018-12-26,85.0,85.85,83.14,85.33,83.95,993200.0
2018-12-27,85.27,85.86,83.95,85.85,84.46,1131800.0
2018-12-28,85.86,86.74,84.97,85.25,83.87,935700.0
