Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.36,30.52,30.1,30.24,18.94,1209800
2010-01-05,30.15,30.35,29.4,29.85,18.7,2201100
2010-01-06,29.8,30.04,29.77,29.92,18.74,3727600
2010-01-07,29.8,29.91,29.42,29.63,18.56,1049700
2010-01-08,29.43,29.59,29.19,29.53,18.5,1442700
2010-01-11,29.75,30.05,29.69,29.92,18.74,1604000
2010-01-12,29.79,30.02,29.66,29.94,18.75,1295600
2010-01-13,29.96,30.51,29.94,30.37,19.02,1445600
2010-01-14,30.32,30.32,30.03,30.06,18.82,1100500
2010-01-15,29.88,30.07,29.36,29.7,18.6,1797200
2010-01-19,29.63,30.01,29.53,30.0,18.79,943400
2010-01-20,29.89,29.89,29.23,29.58,18.53,1861700
2010-01-21,29.53,29.79,28.89,29.03,18.18,1734900
2010-01-22,28.92,29.21,28.35,28.35,17.76,2012500
2010-01-25,28.58,28.72,28.15,28.53,17.87,2240400
2010-01-26,28.45,28.72,28.29,28.52,17.86,1450900
2010-01-27,28.44,28.45,27.67,27.99,17.53,2843500
2010-01-28,28.04,28.14,27.49,27.67,17.33,4000100
2010-01-29,27.73,28.0,27.41,27.47,17.2,2389800
2010-02-01,27.58,27.66,27.35,27.59,17.28,1667600
2010-02-02,27.57,27.67,27.25,27.61,17.29,2918300
2010-02-03,27.48,27.54,27.25,27.38,17.15,1707300
2010-02-04,27.21,27.32,26.66,26.66,16.69,2729500
2010-02-05,26.71,27.14,26.41,27.01,16.92,3112300
2010-02-08,26.96,27.08,26.71,26.76,16.76,1791800
2010-02-09,27.06,27.38,26.8,26.98,16.9,3157100
2010-02-10,27.01,27.03,26.63,26.85,16.82,1904300
2010-02-11,26.9,27.35,26.78,27.32,17.11,3788400
2010-02-12,27.14,27.24,26.81,27.21,17.04,2478500
2010-02-16,27.32,27.77,27.32,27.77,17.39,1718500
2010-02-17,27.87,27.9,27.52,27.57,17.27,1239700
2010-02-18,27.49,27.87,27.46,27.53,17.24,1821800
2010-02-19,27.42,27.9,27.36,27.81,17.42,2319900
2010-02-22,27.99,27.99,27.32,27.32,17.11,2388600
2010-02-23,27.31,27.35,26.86,27.04,16.93,2810300
2010-02-24,27.2,27.2,26.71,26.92,16.86,2362800
2010-02-25,26.68,26.9,26.48,26.85,16.82,2736700
2010-02-26,27.02,27.02,26.52,26.53,16.61,2222100
2010-03-01,26.68,27.13,26.65,26.96,16.89,1823300
2010-03-02,27.01,27.14,26.8,26.97,16.89,2833500
2010-03-03,26.97,27.17,26.67,26.74,16.75,1906800
2010-03-04,26.73,26.82,26.55,26.69,16.72,2680900
2010-03-05,26.82,26.99,26.67,26.99,16.9,5097600
2010-03-08,26.69,26.99,26.68,26.95,17.1,2360900
2010-03-09,26.93,27.0,26.73,26.89,17.06,1869200
2010-03-10,26.87,27.09,26.68,27.08,17.18,2335100
2010-03-11,27.01,27.06,26.81,26.95,17.1,1463000
2010-03-12,26.96,26.99,26.27,26.27,16.67,3739300
2010-03-15,26.29,26.68,26.14,26.67,16.92,3856100
2010-03-16,26.76,26.96,26.57,26.95,17.1,2769900
2010-03-17,27.01,27.18,26.86,27.18,17.24,2151400
2010-03-18,27.17,27.29,26.86,26.87,17.05,2029100
2010-03-19,26.55,27.06,26.33,26.55,16.85,3762500
2010-03-22,26.46,26.51,26.26,26.32,16.7,2353900
2010-03-23,26.37,26.67,26.24,26.64,16.9,2466700
2010-03-24,26.57,26.61,26.3,26.3,16.69,2219200
2010-03-25,26.14,26.28,25.84,25.86,16.41,3024200
2010-03-26,26.0,26.0,25.59,25.69,16.3,2902000
2010-03-29,25.8,26.03,25.67,25.98,16.48,2196800
2010-03-30,25.94,26.1,25.91,25.98,16.48,1775600
2010-03-31,25.89,25.89,25.7,25.81,16.38,2077100
2010-04-01,26.0,26.4,25.95,26.34,16.71,2090400
2010-04-05,26.45,26.53,26.21,26.34,16.71,2057200
2010-04-06,26.21,26.61,26.13,26.6,16.88,1887700
2010-04-07,26.54,26.56,26.14,26.24,16.65,2131300
2010-04-08,26.24,26.25,25.96,26.08,16.55,2903900
2010-04-09,26.12,26.12,25.83,26.06,16.54,1946400
2010-04-12,26.23,26.43,26.14,26.21,16.63,1961600
2010-04-13,26.29,26.36,25.95,26.28,16.68,1927900
2010-04-14,26.27,26.36,26.06,26.35,16.72,1917700
2010-04-15,26.23,26.26,26.04,26.16,16.6,1806400
2010-04-16,26.14,26.14,25.52,25.59,16.23,3730100
2010-04-19,25.5,25.59,25.3,25.52,16.19,2470900
2010-04-20,25.64,26.0,25.54,25.99,16.49,1940000
2010-04-21,26.04,26.04,25.73,25.92,16.45,2045400
2010-04-22,25.75,26.14,25.47,26.09,16.55,4122200
2010-04-23,26.04,26.68,25.95,26.68,16.93,6162000
2010-04-26,26.68,26.82,26.39,26.4,16.75,2416800
2010-04-27,26.34,26.46,25.83,25.83,16.39,2170400
2010-04-28,25.92,25.99,23.79,23.84,15.13,17529600
2010-04-29,23.96,24.37,22.97,23.28,14.77,16345800
2010-04-30,23.33,23.51,23.03,23.06,14.63,8107900
2010-05-03,23.3,23.34,22.99,23.19,14.72,4954800
2010-05-04,23.01,23.13,22.88,22.98,14.58,5461700
2010-05-05,22.83,23.18,22.83,23.0,14.59,4889700
2010-05-06,22.99,23.48,22.12,22.98,14.58,9312200
2010-05-07,23.07,23.34,22.48,23.04,14.62,7021700
2010-05-10,23.61,23.88,23.32,23.8,15.1,4759300
2010-05-11,23.64,24.23,23.59,23.84,15.13,4691100
2010-05-12,23.88,24.27,23.69,24.16,15.33,5037700
2010-05-13,24.15,24.28,23.85,23.96,15.2,4262200
2010-05-14,23.77,24.0,23.51,23.81,15.11,3363400
2010-05-17,24.28,24.59,23.95,24.37,15.47,5287500
2010-05-18,24.62,24.62,24.02,24.04,15.25,4602700
2010-05-19,23.93,24.24,23.78,24.08,15.28,4926700
2010-05-20,23.76,23.81,23.01,23.08,14.64,4906900
2010-05-21,22.88,23.29,22.75,23.27,14.76,3918200
2010-05-24,23.2,23.42,22.99,23.01,14.6,2634500
2010-05-25,22.93,23.3,22.35,23.25,14.75,6700500
2010-05-26,23.42,23.57,23.18,23.33,14.8,3347200
2010-05-27,23.56,23.79,23.35,23.78,15.09,3025800
2010-05-28,23.84,24.25,23.74,24.04,15.25,4925400
2010-06-01,23.89,24.19,23.54,23.54,14.93,4721500
2010-06-02,23.65,24.01,23.52,24.01,15.24,2743800
2010-06-03,24.02,24.2,23.83,24.15,15.32,2484200
2010-06-04,23.69,24.0,23.28,23.37,14.83,3285700
2010-06-07,23.44,24.06,23.29,23.83,15.12,4561300
2010-06-08,23.54,23.61,23.28,23.56,15.17,3311400
2010-06-09,23.7,23.81,23.14,23.18,14.93,3898400
2010-06-10,23.48,23.91,23.48,23.83,15.35,4281700
2010-06-11,23.59,23.89,23.51,23.79,15.32,2552700
2010-06-14,23.99,24.17,23.74,23.89,15.38,3562800
2010-06-15,24.1,24.17,23.97,24.1,15.52,2972300
2010-06-16,23.95,24.29,23.94,24.2,15.58,2935800
2010-06-17,24.31,24.32,24.06,24.24,15.61,3467700
2010-06-18,24.12,24.31,24.04,24.27,15.63,2920500
2010-06-21,23.83,24.03,23.53,23.9,15.39,9820300
2010-06-22,23.55,23.61,22.58,22.58,14.54,18449900
2010-06-23,22.74,23.3,22.57,23.19,14.93,96214800
2010-06-24,23.24,23.74,23.01,23.04,14.84,17633100
2010-06-25,23.16,23.53,23.03,23.22,14.95,13593200
2010-06-28,23.41,23.74,23.18,23.69,15.25,8210700
2010-06-29,23.47,23.56,22.96,23.31,15.01,10532400
2010-06-30,23.3,23.58,23.12,23.24,14.96,8205700
2010-07-01,23.32,23.55,23.13,23.47,15.11,8306200
2010-07-02,23.53,23.83,23.33,23.71,15.27,5839000
2010-07-06,23.88,24.03,23.7,23.94,15.41,4944600
2010-07-07,24.04,24.51,23.96,24.4,15.71,6713800
2010-07-08,24.76,24.79,24.06,24.35,15.68,10838500
2010-07-09,24.36,24.46,24.18,24.42,15.73,5822400
2010-07-12,24.4,24.51,24.26,24.39,15.71,3759600
2010-07-13,24.66,24.66,24.29,24.34,15.67,6107500
2010-07-14,24.26,24.29,23.85,24.06,15.49,7975800
2010-07-15,24.1,24.49,23.95,24.39,15.71,5135100
2010-07-16,24.31,24.45,23.93,23.96,15.43,7065100
2010-07-19,23.98,24.53,23.98,24.41,15.72,4208000
2010-07-20,24.17,24.71,24.17,24.7,15.91,6000100
2010-07-21,24.68,24.79,24.37,24.53,15.8,3999800
2010-07-22,24.66,25.03,24.66,24.97,16.08,4337400
2010-07-23,24.92,24.96,24.43,24.83,15.99,4360300
2010-07-26,24.78,25.05,24.78,24.98,16.09,3582700
2010-07-27,25.07,25.46,24.97,25.35,16.33,4799700
2010-07-28,25.19,25.64,24.91,25.61,16.49,6756000
2010-07-29,25.85,26.08,25.37,25.47,16.4,6567200
2010-07-30,25.33,25.65,25.07,25.42,16.37,11165800
2010-08-02,25.57,25.94,25.57,25.88,16.67,5698900
2010-08-03,25.78,25.98,25.63,25.73,16.57,4907800
2010-08-04,25.76,25.87,25.39,25.82,16.63,4866000
2010-08-05,25.1,25.5,24.67,24.9,16.03,10013600
2010-08-06,24.74,24.98,24.37,24.94,16.06,7156400
2010-08-09,25.03,25.12,24.65,24.72,15.92,5223200
2010-08-10,24.62,24.88,24.33,24.62,15.85,6222400
2010-08-11,24.33,24.43,24.17,24.26,15.62,8187700
2010-08-12,24.05,24.71,23.76,24.62,15.85,6432900
2010-08-13,24.6,25.24,24.51,25.04,16.12,5569700
2010-08-16,24.93,25.09,24.64,25.08,16.15,3823700
2010-08-17,25.16,25.5,25.03,25.2,16.23,4241200
2010-08-18,25.2,25.29,24.91,25.05,16.13,4274400
2010-08-19,25.07,25.14,24.63,24.86,16.01,3202200
2010-08-20,24.69,24.81,24.53,24.74,15.93,3056900
2010-08-23,24.79,25.05,24.66,24.75,15.94,2927700
2010-08-24,24.52,24.99,24.5,24.78,15.96,5504700
2010-08-25,24.74,24.88,24.48,24.82,15.98,11083000
2010-08-26,24.85,25.01,24.75,24.8,15.97,2566800
2010-08-27,24.92,25.64,24.66,25.52,16.43,4354900
2010-08-30,25.49,25.62,25.25,25.26,16.27,2631300
2010-08-31,25.24,25.46,24.95,25.3,16.29,5181200
2010-09-01,25.47,26.03,25.41,25.94,16.7,4075600
2010-09-02,25.68,26.01,25.41,25.75,16.58,7588800
2010-09-03,25.84,26.0,25.56,25.8,16.61,4607800
2010-09-07,25.83,25.94,25.62,25.65,16.52,4122200
2010-09-08,25.34,25.54,25.2,25.23,16.47,5419400
2010-09-09,25.46,25.54,25.19,25.26,16.49,4061800
