Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,81.76,82.13,79.51,80.13,58.79,1579100
2010-01-05,79.87,80.93,79.23,80.79,59.28,1131000
2010-01-06,80.73,81.42,80.02,80.3,58.92,832400
2010-01-07,79.88,80.76,78.93,80.19,58.84,1284100
2010-01-08,79.64,80.0,78.2,78.73,57.77,1281100
2010-01-11,79.24,80.12,78.29,79.27,58.16,1356700
2010-01-12,78.46,79.15,77.51,77.98,57.22,1694800
2010-01-13,78.09,79.65,77.75,79.52,58.35,1346400
2010-01-14,79.35,79.55,78.55,79.12,58.05,785100
2010-01-15,78.89,79.25,78.25,78.97,57.94,1438600
2010-01-19,78.9,80.72,78.85,80.64,59.17,1330800
2010-01-20,80.21,80.36,79.11,79.75,58.51,1262300
2010-01-21,79.93,80.25,78.43,78.74,57.77,1944300
2010-01-22,78.72,79.43,77.5,77.67,56.99,2070100
2010-01-25,78.57,79.29,77.07,78.76,57.79,1502600
2010-01-26,78.14,79.56,78.05,78.33,57.47,1222900
2010-01-27,78.53,80.0,77.52,79.96,58.67,1669900
2010-01-28,80.27,80.61,77.58,78.55,57.63,1664300
2010-01-29,78.77,80.34,78.54,79.18,58.1,1834300
2010-02-01,79.51,81.06,79.45,80.47,59.04,1303200
2010-02-02,80.7,81.4,79.91,81.14,59.53,1392000
2010-02-03,80.71,80.77,79.74,79.81,58.56,1056900
2010-02-04,79.28,79.82,76.57,76.68,56.26,2768200
2010-02-05,76.88,78.07,75.78,77.63,56.96,2080000
2010-02-08,77.56,78.11,75.87,76.02,55.78,1531600
2010-02-09,76.77,76.98,75.34,75.81,55.62,1472800
2010-02-10,75.71,76.9,74.74,76.05,55.8,1105000
2010-02-11,75.94,76.8,75.26,76.74,56.31,1133900
2010-02-12,75.79,76.66,75.38,76.55,56.17,1325000
2010-02-16,77.08,78.24,76.81,78.08,57.29,1662100
2010-02-17,78.52,79.11,78.19,78.75,57.78,1244300
2010-02-18,78.5,80.28,78.49,79.95,58.66,1244600
2010-02-19,80.15,82.13,79.92,81.7,59.94,1650700
2010-02-22,81.9,82.22,80.98,81.34,59.68,1215600
2010-02-23,81.14,81.83,80.18,80.33,58.94,1645700
2010-02-24,80.73,81.58,80.31,81.53,59.82,1282600
2010-02-25,80.77,81.99,80.34,81.91,60.1,1091800
2010-02-26,82.09,83.23,81.65,82.19,60.3,1707600
2010-03-01,83.43,85.2,83.06,84.62,62.09,1846800
2010-03-02,85.12,86.46,84.9,85.14,62.47,1310000
2010-03-03,85.0,85.64,84.75,84.79,62.21,1071400
2010-03-04,84.73,85.98,84.73,85.84,62.98,1099300
2010-03-05,86.38,87.54,86.17,87.42,64.14,1430700
2010-03-08,87.55,88.24,87.17,87.58,64.26,1161100
2010-03-09,87.39,88.29,87.0,87.69,64.34,1242500
2010-03-10,87.75,88.09,87.02,87.81,64.43,1106400
2010-03-11,87.47,88.16,86.64,88.15,65.16,1339200
2010-03-12,88.51,89.29,88.25,88.99,65.78,1129300
2010-03-15,89.05,89.34,88.07,88.9,65.71,698600
