Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.12,21.28,21.0,21.24,21.19,2460200
2010-01-05,21.32,21.5,21.1,21.33,21.28,2156000
2010-01-06,21.36,22.1,21.26,21.94,21.89,2901900
2010-01-07,21.98,22.35,21.86,22.27,22.22,1940800
2010-01-08,22.13,22.22,21.7,21.86,21.81,2612400
2010-01-11,21.92,21.96,20.65,20.98,20.93,6053300
2010-01-12,20.85,20.93,20.43,20.59,20.54,3404200
2010-01-13,20.6,20.7,20.04,20.63,20.58,3291000
2010-01-14,20.21,20.4,19.34,19.44,19.39,5720000
2010-01-15,19.52,19.57,19.04,19.06,19.01,5393000
2010-01-19,18.5,18.65,17.96,18.48,18.44,7047900
2010-01-20,18.49,18.7,18.16,18.65,18.61,4834200
2010-01-21,18.72,19.12,18.49,18.5,18.46,5301500
2010-01-22,18.75,19.17,18.32,18.37,18.33,5362000
2010-01-25,18.62,18.75,18.27,18.41,18.37,2922900
2010-01-26,18.42,18.64,18.15,18.43,18.39,2911100
2010-01-27,18.42,18.53,17.92,18.51,18.47,3536400
2010-01-28,18.99,18.99,18.18,18.2,18.16,3047800
2010-01-29,18.43,18.67,18.2,18.22,18.18,2578100
2010-02-01,18.45,18.6,18.28,18.38,18.34,2303300
2010-02-02,18.46,18.53,18.26,18.38,18.34,1734200
2010-02-03,18.4,18.66,18.3,18.45,18.41,2372700
2010-02-04,18.28,18.29,17.65,17.69,17.65,2989300
2010-02-05,17.64,17.71,16.75,17.16,17.12,5757600
2010-02-08,17.27,17.61,17.05,17.33,17.29,2515200
2010-02-09,17.56,17.77,17.31,17.6,17.56,2515900
2010-02-10,17.53,17.59,17.11,17.43,17.39,2385700
2010-02-11,17.41,17.69,17.2,17.59,17.55,1444300
2010-02-12,17.39,17.57,17.21,17.49,17.45,1876700
2010-02-16,17.7,17.75,17.48,17.67,17.63,2156300
2010-02-17,17.72,17.83,17.5,17.61,17.57,1916700
2010-02-18,17.55,18.03,17.54,18.0,17.96,2115700
2010-02-19,17.94,18.17,17.79,17.88,17.84,3549600
2010-02-22,18.52,19.49,18.47,19.26,19.21,7420900
2010-02-23,19.21,19.36,18.87,19.04,19.0,4103800
2010-02-24,19.1,19.42,18.98,19.16,19.11,3267800
2010-02-25,18.93,19.24,18.54,19.23,19.18,2050800
2010-02-26,19.18,19.35,18.92,19.0,18.96,3186900
2010-03-01,19.12,19.3,18.96,19.19,19.14,3216800
2010-03-02,19.24,19.37,18.93,18.94,18.9,2210100
2010-03-03,19.03,19.3,18.8,18.8,18.76,2875300
2010-03-04,18.81,18.92,18.52,18.62,18.58,3170100
2010-03-05,18.65,18.79,18.41,18.69,18.65,2373200
