Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,26.14,26.28,25.72,25.8,21.95,2792600
2010-01-05,26.11,26.5,25.56,25.89,22.03,3588900
2010-01-06,25.9,25.95,25.01,25.24,21.48,4139600
2010-01-07,25.47,25.72,25.15,25.7,21.87,3156200
2010-01-08,25.75,25.96,25.59,25.91,22.05,2507700
2010-01-11,26.07,26.15,25.69,26.02,22.14,2055000
2010-01-12,25.62,26.0,25.49,25.67,21.84,2315300
2010-01-13,26.0,26.65,25.7,26.54,22.58,3399000
2010-01-14,26.67,27.55,26.59,27.46,23.36,3337500
2010-01-15,27.37,27.37,26.9,27.13,23.08,3139700
2010-01-19,26.9,27.62,26.9,27.62,23.5,2612300
2010-01-20,27.07,27.24,26.4,26.98,22.96,3417900
2010-01-21,27.17,27.31,26.47,26.57,22.61,5390500
2010-01-22,25.91,25.97,24.91,25.42,21.63,7670200
2010-01-25,25.78,25.87,25.03,25.19,21.43,4135200
2010-01-26,24.75,25.64,24.73,25.16,21.41,4465200
2010-01-27,24.85,25.5,24.73,25.43,21.64,4166900
2010-01-28,26.64,26.67,25.53,25.99,22.11,10679100
2010-01-29,26.59,27.09,25.89,26.09,22.2,5567000
2010-02-01,26.67,26.68,26.06,26.6,22.63,4370800
2010-02-02,26.81,27.91,26.76,27.6,23.48,5916000
2010-02-03,27.24,27.64,27.17,27.39,23.3,3074300
2010-02-04,26.79,26.85,25.12,25.19,21.43,6606400
2010-02-05,25.04,25.44,24.14,25.21,21.45,4689000
2010-02-08,24.83,25.69,24.63,25.16,21.41,3005700
2010-02-09,25.6,25.89,25.18,25.61,21.79,2094500
2010-02-10,25.49,25.77,24.9,25.16,21.41,2715700
2010-02-11,25.21,26.02,25.01,26.0,22.12,2689500
2010-02-12,25.16,25.8,25.14,25.59,21.77,3069800
2010-02-16,25.75,25.92,25.62,25.85,21.99,1694600
2010-02-17,26.08,26.25,25.71,25.91,22.05,2309200
2010-02-18,25.58,25.9,25.52,25.87,22.01,1883500
2010-02-19,25.71,26.35,25.66,26.3,22.38,1980100
2010-02-22,26.6,26.76,26.44,26.61,22.64,1457000
2010-02-23,26.32,26.48,25.45,25.78,21.93,2775500
2010-02-24,26.4,27.89,26.34,27.71,23.58,9446900
2010-02-25,26.97,27.85,26.97,27.79,23.64,4702200
2010-02-26,27.45,28.47,27.3,28.27,24.05,3132200
2010-03-01,28.3,28.61,27.91,28.36,24.13,2073400
2010-03-02,28.79,28.96,28.33,28.41,24.17,2211500
2010-03-03,28.69,28.9,28.25,28.43,24.19,1916900
