Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,35.3,35.68,34.5,34.77,24.55,1354400
2010-01-05,34.78,35.02,34.43,35.02,24.72,1044500
2010-01-06,35.07,35.52,35.0,35.07,24.76,1384300
2010-01-07,34.86,35.51,34.57,35.34,24.95,985400
2010-01-08,35.01,35.46,34.93,35.28,24.91,1042700
2010-01-11,36.25,36.25,35.52,35.81,25.28,1167400
2010-01-12,35.33,35.7,34.89,35.15,24.82,1014300
2010-01-13,35.26,36.23,35.22,36.17,25.54,953000
2010-01-14,35.92,36.08,35.59,36.0,25.42,924300
2010-01-15,35.9,36.77,35.78,36.43,25.72,1859900
2010-01-19,36.52,37.82,36.36,37.63,26.57,1942300
2010-01-20,36.95,36.97,36.13,36.71,25.92,1582200
2010-01-21,36.82,37.03,35.68,35.79,25.27,1920900
2010-01-22,35.79,36.18,34.73,34.79,24.56,1397700
2010-01-25,35.14,35.3,33.59,34.3,24.22,1644500
2010-01-26,34.08,34.64,34.02,34.17,24.12,966700
2010-01-27,34.09,34.47,33.65,34.24,24.17,1379200
2010-01-28,34.34,34.34,33.5,33.74,23.82,695300
2010-01-29,33.89,34.26,33.28,33.49,23.64,1036000
2010-02-01,33.75,34.28,33.48,34.28,24.2,659300
2010-02-02,34.29,34.5,33.75,34.31,24.22,1119300
2010-02-03,34.09,34.27,33.5,33.67,23.77,1104200
2010-02-04,33.29,33.48,32.06,32.65,23.05,2595100
2010-02-05,33.03,33.95,32.65,33.85,23.9,2034300
2010-02-08,33.94,34.12,33.05,33.17,23.42,1860100
2010-02-09,33.71,33.76,32.38,32.56,22.99,2316700
2010-02-10,32.39,32.94,31.89,32.54,22.97,717500
2010-02-11,32.47,32.79,32.04,32.66,23.06,837400
2010-02-12,31.94,32.69,31.71,32.6,23.35,1107100
2010-02-16,32.91,33.66,32.81,33.64,24.09,947000
2010-02-17,33.77,33.92,33.52,33.68,24.12,520000
2010-02-18,33.64,34.29,33.53,34.18,24.48,1178900
2010-02-19,33.86,34.43,33.86,34.29,24.56,674600
2010-02-22,34.43,34.43,33.73,33.92,24.29,697300
2010-02-23,33.87,34.04,33.48,33.53,24.01,1055400
2010-02-24,33.72,34.23,33.48,34.23,24.51,774500
2010-02-25,33.84,34.48,33.51,34.4,24.64,685000
2010-02-26,34.49,34.98,34.21,34.67,24.83,1198600
2010-03-01,34.76,35.4,34.64,35.32,25.29,1172000
2010-03-02,35.37,35.41,35.08,35.37,25.33,861000
2010-03-03,35.57,35.61,35.21,35.31,25.29,554400
2010-03-04,35.34,35.56,35.29,35.45,25.39,564600
2010-03-05,35.67,36.54,35.46,36.39,26.06,970600
2010-03-08,36.29,36.92,36.16,36.78,26.34,635100
2010-03-09,36.61,37.66,36.54,37.04,26.53,1593400
2010-03-10,37.04,37.22,36.59,36.81,26.36,1062500
2010-03-11,36.57,37.06,36.44,36.89,26.42,943700
2010-03-12,37.13,37.78,37.04,37.57,26.91,895800
2010-03-15,37.54,37.65,36.86,37.41,26.79,726100
2010-03-16,37.62,38.82,37.41,38.67,27.69,952600
2010-03-17,38.84,39.6,38.77,39.37,28.2,1373100
2010-03-18,39.13,39.71,38.99,38.99,27.92,763000
2010-03-19,38.32,39.21,38.22,38.32,27.44,888500
2010-03-22,38.03,39.13,37.99,38.89,27.85,663800
2010-03-23,38.86,39.17,38.27,38.77,27.77,503400
2010-03-24,38.53,39.05,38.53,38.78,27.77,621500
2010-03-25,39.1,39.69,39.02,39.05,27.97,787600
2010-03-26,39.14,39.33,38.52,38.6,27.64,821000
2010-03-29,38.88,38.88,38.06,38.3,27.43,759800
2010-03-30,38.26,38.46,37.84,37.88,27.13,777000
2010-03-31,37.74,37.98,37.36,37.47,26.83,868300
2010-04-01,37.68,37.73,37.08,37.46,26.83,647600
2010-04-05,37.61,38.23,37.44,38.22,27.37,718300
2010-04-06,37.94,39.25,37.83,39.05,27.97,848500
2010-04-07,38.91,39.3,37.93,38.12,27.3,1051100
2010-04-08,38.06,38.17,37.8,37.94,27.17,722700
2010-04-09,37.94,38.39,37.74,38.3,27.43,1121400
2010-04-12,38.3,38.42,37.82,37.84,27.1,651300
2010-04-13,37.91,39.8,37.85,39.52,28.3,1846200
2010-04-14,39.61,39.69,39.29,39.49,28.28,1111200
2010-04-15,39.28,39.3,38.57,39.07,27.98,1246300
2010-04-16,38.9,39.13,38.27,38.38,27.49,1684100
2010-04-19,38.1,38.6,37.54,38.11,27.29,917100
2010-04-20,38.54,38.61,37.92,38.55,27.61,747300
2010-04-21,38.48,39.57,38.48,39.45,28.25,1708500
2010-04-22,39.02,40.03,38.89,39.86,28.55,648100
2010-04-23,39.85,40.4,39.5,40.39,28.93,1051800
2010-04-26,40.36,40.91,40.19,40.62,29.09,805700
2010-04-27,40.34,40.82,39.4,39.41,28.22,1159800
2010-04-28,39.79,40.07,39.32,39.53,28.31,708500
2010-04-29,39.9,42.01,39.9,41.95,30.04,1330700
2010-04-30,41.92,42.55,41.03,41.05,29.4,2581300
2010-05-03,41.55,42.47,41.28,41.96,30.05,1559600
2010-05-04,41.24,41.46,40.09,40.23,28.81,1325800
2010-05-05,39.86,40.37,39.28,39.67,28.41,1496900
2010-05-06,39.89,41.5,37.67,39.65,28.4,3415000
2010-05-07,40.04,40.63,38.16,38.94,27.89,2354500
2010-05-10,41.0,41.79,40.47,41.75,29.9,1802400
2010-05-11,41.15,41.67,40.4,41.38,29.63,1638800
2010-05-12,41.67,41.84,41.2,41.61,29.8,1356600
2010-05-13,41.38,41.61,39.82,40.14,28.75,1704800
2010-05-14,39.9,39.97,38.07,38.37,27.48,1654000
2010-05-17,37.92,38.9,36.82,37.97,27.52,1150200
2010-05-18,38.57,38.78,36.86,37.07,26.87,1361800
2010-05-19,36.85,37.68,36.05,36.84,26.71,1458400
2010-05-20,35.97,36.44,35.14,35.36,25.63,1841300
2010-05-21,34.78,36.68,34.49,36.63,26.55,2245800
2010-05-24,36.56,36.82,35.77,35.86,25.99,1190600
2010-05-25,35.4,35.98,34.43,35.82,25.97,1813900
2010-05-26,36.11,36.66,35.01,35.27,25.57,2234200
2010-05-27,36.1,37.13,35.5,37.11,26.9,1276500
2010-05-28,36.9,37.26,36.34,36.75,26.64,1651000
2010-06-01,36.33,36.76,35.97,36.31,26.32,1572500
2010-06-02,36.57,36.73,35.64,36.69,26.6,1295800
2010-06-03,36.71,36.75,36.01,36.22,26.26,939100
2010-06-04,35.42,35.84,33.94,34.04,24.68,1516200
2010-06-07,34.24,34.94,33.97,34.01,24.65,1250000
2010-06-08,34.01,35.09,33.39,35.08,25.43,1563800
2010-06-09,35.35,36.2,34.75,34.98,25.36,992800
2010-06-10,35.65,36.9,35.37,36.66,26.57,1040600
2010-06-11,36.17,37.61,36.1,37.5,27.18,1042600
2010-06-14,37.85,38.14,37.12,37.56,27.23,1358500
2010-06-15,37.71,38.73,37.5,38.64,28.01,823800
2010-06-16,38.37,38.67,38.01,38.34,27.79,750000
2010-06-17,38.54,38.56,37.74,38.24,27.72,512100
2010-06-18,38.33,38.41,37.89,38.06,27.59,854700
2010-06-21,38.64,38.82,38.01,38.15,27.65,1005800
2010-06-22,38.24,38.42,36.57,36.67,26.58,815500
2010-06-23,36.72,37.2,36.13,36.79,26.67,675000
2010-06-24,36.6,36.84,35.67,35.75,25.92,973000
2010-06-25,35.87,37.07,35.76,36.83,26.7,1222500
2010-06-28,37.09,37.09,36.02,36.17,26.22,499600
2010-06-29,35.45,35.64,34.51,34.8,25.23,1340500
2010-06-30,34.8,35.41,34.34,34.4,24.94,1438700
2010-07-01,34.33,34.64,33.46,34.2,24.79,1247600
2010-07-02,34.37,34.55,33.23,33.25,24.1,959800
2010-07-06,33.86,34.02,31.94,32.25,23.38,1152900
2010-07-07,32.41,33.81,32.3,33.8,24.5,976300
2010-07-08,34.18,34.6,33.37,34.05,24.68,946100
2010-07-09,33.89,34.68,33.89,34.61,25.09,908000
2010-07-12,34.38,34.79,34.04,34.69,25.15,695700
2010-07-13,35.11,35.69,35.11,35.5,25.73,953700
2010-07-14,35.43,35.77,34.77,35.31,25.6,630200
2010-07-15,35.23,35.26,34.35,34.8,25.23,696200
2010-07-16,34.55,34.59,33.41,33.6,24.36,1153200
2010-07-19,33.63,34.26,33.06,34.19,24.78,1044700
2010-07-20,33.61,34.71,33.08,34.5,25.01,1581300
2010-07-21,34.87,34.91,33.53,33.8,24.5,1082300
2010-07-22,34.44,35.65,34.23,35.57,25.78,1439900
2010-07-23,35.36,36.21,34.98,36.21,26.25,1355900
2010-07-26,36.21,37.58,35.88,37.54,27.21,1185900
2010-07-27,37.63,38.16,37.14,37.74,27.36,880900
2010-07-28,37.57,38.0,36.92,37.27,27.02,1013100
2010-07-29,37.49,37.88,37.18,37.4,27.11,919200
2010-07-30,36.75,37.9,36.75,37.74,27.36,955900
2010-08-02,38.49,39.52,38.24,39.52,28.65,898000
2010-08-03,39.21,39.33,38.77,38.95,28.23,1418300
2010-08-04,39.21,39.4,38.37,39.39,28.55,965900
2010-08-05,39.16,40.53,39.16,39.53,28.66,1801400
2010-08-06,39.1,39.65,38.79,39.56,28.68,788900
2010-08-09,39.76,40.25,39.4,40.11,29.08,754500
2010-08-10,39.51,40.21,39.31,39.72,28.79,928600
2010-08-11,38.89,39.36,38.19,38.24,27.72,1266800
2010-08-12,37.6,38.06,37.35,37.37,27.09,1511400
2010-08-13,37.4,37.74,36.96,36.96,26.79,992200
2010-08-16,36.48,37.08,36.33,36.62,26.88,1036800
2010-08-17,37.01,37.86,36.82,37.44,27.48,810700
2010-08-18,37.83,38.22,37.42,37.77,27.73,1072600
2010-08-19,37.48,37.55,36.33,36.5,26.79,814000
2010-08-20,36.41,36.52,35.99,36.38,26.71,417200
2010-08-23,36.75,36.75,36.14,36.2,26.57,315400
2010-08-24,35.38,36.36,35.37,35.99,26.42,709100
2010-08-25,35.75,36.71,35.65,36.62,26.88,923400
2010-08-26,36.78,37.01,36.07,36.14,26.53,1023300
2010-08-27,36.5,36.87,35.6,36.69,26.93,1266500
2010-08-30,36.59,36.95,36.24,36.27,26.63,769200
2010-08-31,36.13,36.83,36.0,36.46,26.76,1290600
2010-09-01,37.13,37.99,36.97,37.86,27.79,1271600
2010-09-02,37.89,38.91,37.86,38.82,28.5,1204700
2010-09-03,39.27,39.62,39.11,39.34,28.88,763900
2010-09-07,39.13,39.48,38.8,39.01,28.64,742700
2010-09-08,39.08,39.42,38.92,39.24,28.81,508900
2010-09-09,39.84,39.85,39.05,39.31,28.86,645100
2010-09-10,39.33,39.78,39.1,39.56,29.04,414600
2010-09-13,39.92,40.4,39.71,40.24,29.54,485800
2010-09-14,40.06,40.17,39.82,39.83,29.24,707400
2010-09-15,39.7,39.96,39.49,39.7,29.14,1138000
2010-09-16,39.68,39.82,39.2,39.4,28.92,686500
2010-09-17,39.61,39.65,38.84,39.28,28.83,960900
2010-09-20,39.51,40.18,39.36,39.94,29.32,880900
2010-09-21,39.95,40.07,39.26,39.3,28.85,676100
2010-09-22,39.18,39.97,39.11,39.23,28.8,696300
2010-09-23,38.81,38.98,38.1,38.14,28.0,787200
2010-09-24,38.75,39.56,38.71,39.31,28.86,861400
2010-09-27,39.32,39.32,38.25,38.38,28.17,605100
2010-09-28,38.35,39.25,37.84,39.2,28.78,1558800
2010-09-29,38.92,39.04,38.21,38.81,28.49,1368300
2010-09-30,39.15,39.8,39.01,39.47,28.97,1461000
2010-10-01,39.75,39.79,39.01,39.6,29.07,761400
2010-10-04,39.59,40.69,39.39,40.6,29.8,832000
