Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,23.94,24.29,23.74,24.27,21.3,598100
2010-01-05,24.26,24.67,24.11,24.66,21.64,554200
2010-01-06,24.52,25.07,24.36,25.01,21.95,757200
2010-01-07,24.9,24.95,24.59,24.86,21.82,698000
2010-01-08,24.77,24.88,24.33,24.59,21.58,463100
2010-01-11,24.8,24.8,24.25,24.53,21.53,502000
2010-01-12,24.23,24.4,23.71,24.05,21.11,462500
2010-01-13,24.86,25.0,24.41,24.95,21.9,737800
2010-01-14,25.01,25.21,24.8,25.11,22.04,484600
2010-01-15,25.03,25.24,24.75,24.8,21.77,539100
2010-01-19,24.78,25.2,24.72,25.05,21.99,336200
2010-01-20,24.74,25.32,24.7,25.13,22.06,630300
2010-01-21,25.28,27.03,25.28,26.72,23.45,1944000
2010-01-22,26.54,26.89,26.2,26.45,23.21,1644000
2010-01-25,26.69,26.76,25.75,26.28,23.06,680800
2010-01-26,26.16,26.7,26.03,26.06,22.87,720200
2010-01-27,26.06,26.35,25.72,26.26,23.05,832500
2010-01-28,26.38,26.38,25.5,25.69,22.55,745200
2010-01-29,25.79,26.25,25.14,25.31,22.21,915000
2010-02-01,25.41,25.71,25.24,25.58,22.45,1402200
2010-02-02,25.65,26.58,25.62,26.36,23.13,826500
2010-02-03,26.45,27.31,26.45,26.73,23.46,1579400
2010-02-04,26.49,26.66,25.56,25.56,22.43,1125400
2010-02-05,25.61,25.82,24.7,25.17,22.09,1766700
2010-02-08,25.19,25.52,24.8,25.26,22.17,720200
2010-02-09,25.63,25.87,25.4,25.54,22.42,845900
2010-02-10,25.42,26.07,25.39,25.75,22.6,720900
2010-02-11,25.63,25.8,25.47,25.65,22.51,631200
2010-02-12,25.3,25.93,25.3,25.91,22.74,582800
2010-02-16,26.07,26.37,25.71,26.29,23.07,470900
2010-02-17,26.33,26.48,26.18,26.43,23.2,897200
2010-02-18,26.41,26.49,26.13,26.35,23.13,535400
2010-02-19,26.22,26.89,26.22,26.69,23.42,569800
2010-02-22,26.81,26.93,26.57,26.81,23.53,375300
2010-02-23,26.77,26.87,26.08,26.15,22.95,626600
2010-02-24,26.18,26.24,25.72,25.87,22.7,1075400
2010-02-25,25.44,25.7,25.16,25.58,22.45,777900
2010-02-26,25.66,25.92,25.49,25.86,22.7,462400
2010-03-01,25.9,26.43,25.77,26.35,23.13,509700
2010-03-02,26.39,26.77,26.25,26.66,23.4,738000
2010-03-03,27.17,27.25,26.63,26.85,23.56,751400
2010-03-04,26.81,27.07,26.65,27.03,23.72,551900
2010-03-05,27.18,27.46,27.04,27.39,24.04,574400
2010-03-08,27.35,27.91,27.25,27.77,24.37,372400
2010-03-09,27.65,27.93,27.45,27.61,24.23,312000
2010-03-10,27.56,27.88,27.48,27.75,24.35,476000
2010-03-11,27.56,27.7,27.4,27.62,24.24,562200
2010-03-12,27.65,27.7,27.26,27.5,24.14,857700
2010-03-15,27.35,27.92,27.32,27.85,24.44,710700
2010-03-16,27.66,28.09,27.66,27.76,24.36,655100
2010-03-17,27.88,28.23,27.87,27.98,24.56,605000
2010-03-18,28.03,28.15,27.77,27.98,24.56,644000
2010-03-19,27.86,28.24,27.79,27.86,24.45,921400
2010-03-22,27.65,28.17,27.52,28.12,24.68,383500
2010-03-23,28.2,28.29,27.91,28.06,24.63,409700
2010-03-24,27.9,28.13,27.75,27.78,24.38,611000
2010-03-25,28.1,28.11,27.7,27.74,24.35,657800
2010-03-26,27.92,27.98,27.06,27.16,23.84,658700
2010-03-29,27.21,27.54,27.03,27.37,24.02,637400
2010-03-30,27.33,27.55,27.08,27.43,24.17,485400
2010-03-31,27.38,27.72,26.69,26.74,23.56,1082700
2010-04-01,26.9,27.2,26.86,27.1,23.88,1165800
2010-04-05,27.14,27.68,27.04,27.61,24.33,1047900
2010-04-06,27.48,28.17,27.31,28.11,24.77,839000
2010-04-07,28.18,28.59,27.9,28.33,24.96,1064600
2010-04-08,28.16,28.85,28.16,28.69,25.28,685300
2010-04-09,28.67,28.98,28.56,28.91,25.48,516200
2010-04-12,28.86,29.19,28.86,29.03,25.58,577100
2010-04-13,29.02,29.54,28.79,29.46,25.96,679200
2010-04-14,29.56,30.19,29.56,30.19,26.6,880200
2010-04-15,30.04,30.41,29.93,30.26,26.66,683300
2010-04-16,30.04,30.11,28.82,29.41,25.92,1236400
2010-04-19,29.21,29.95,29.19,29.76,26.22,660900
2010-04-20,29.91,30.1,29.66,29.95,26.39,470000
2010-04-21,29.92,30.39,29.66,30.03,26.46,832500
2010-04-22,29.63,30.68,29.51,30.48,26.86,718200
2010-04-23,30.64,31.13,30.4,31.12,27.42,709600
2010-04-26,30.94,31.2,30.72,30.73,27.08,715900
2010-04-27,30.45,31.0,29.97,30.08,26.51,789400
2010-04-28,30.27,30.6,29.99,30.24,26.65,971800
2010-04-29,30.46,30.94,30.24,30.67,27.03,1138100
2010-04-30,30.65,31.25,30.35,30.64,27.0,1063000
2010-05-03,30.89,31.09,30.69,30.96,27.28,514300
2010-05-04,30.57,30.62,29.48,29.71,26.18,839700
2010-05-05,29.45,30.15,29.1,29.5,26.0,1281200
2010-05-06,29.28,29.63,26.52,28.32,24.96,1237200
2010-05-07,28.25,28.69,27.41,28.25,24.89,1799500
2010-05-10,29.46,29.79,29.15,29.66,26.14,1106800
2010-05-11,29.3,30.14,29.16,29.59,26.07,660700
2010-05-12,29.78,30.2,29.53,30.1,26.52,573600
2010-05-13,30.08,30.53,29.94,29.97,26.41,390800
2010-05-14,29.76,29.93,28.62,28.74,25.33,1059200
2010-05-17,28.85,29.08,27.97,28.41,25.03,810300
2010-05-18,28.7,28.92,27.53,27.62,24.34,757400
2010-05-19,27.55,27.89,26.89,27.64,24.36,918400
2010-05-20,26.91,27.35,26.27,26.29,23.17,1174100
2010-05-21,25.93,27.49,25.51,27.48,24.22,1488000
2010-05-24,27.23,28.02,27.22,27.26,24.02,1089900
2010-05-25,26.67,27.32,26.28,27.25,24.01,1392300
2010-05-26,27.4,28.15,27.25,27.41,24.15,917500
2010-05-27,28.0,28.61,27.65,28.57,25.18,530200
2010-05-28,28.5,28.61,27.93,28.27,24.91,625000
2010-06-01,28.04,28.31,27.42,27.43,24.17,776900
2010-06-02,27.7,28.55,27.44,28.55,25.16,903500
2010-06-03,28.4,28.67,28.08,28.43,25.05,701700
2010-06-04,27.97,28.37,27.5,27.61,24.33,963800
2010-06-07,27.7,28.31,27.16,27.25,24.01,1016900
2010-06-08,27.3,27.62,26.89,27.55,24.28,900300
2010-06-09,27.67,27.84,27.08,27.21,23.98,719100
2010-06-10,27.69,28.06,27.5,28.05,24.72,467200
2010-06-11,27.69,28.3,27.63,28.3,24.94,470500
2010-06-14,28.67,28.67,28.06,28.15,24.81,530100
2010-06-15,28.37,28.74,28.11,28.66,25.25,590800
2010-06-16,28.42,28.85,28.41,28.62,25.22,683700
2010-06-17,28.65,28.78,27.73,28.04,24.71,552600
2010-06-18,28.11,28.11,27.3,27.49,24.22,972400
2010-06-21,27.76,28.07,27.2,27.29,24.05,573500
2010-06-22,27.27,28.18,27.08,27.18,23.95,1635400
2010-06-23,27.22,27.4,26.46,26.91,23.71,1149900
2010-06-24,26.65,27.12,26.45,26.63,23.47,945800
2010-06-25,26.8,26.98,26.45,26.57,23.41,1319700
2010-06-28,26.59,26.85,26.34,26.71,23.54,766100
2010-06-29,26.15,26.16,24.92,25.06,22.17,1462500
2010-06-30,25.0,25.26,24.64,24.69,21.85,943100
2010-07-01,24.64,24.85,23.61,24.2,21.41,1154200
