Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,81.84,81.9,80.18,81.56,71.66,899700
2010-01-05,81.37,84.99,80.83,84.76,74.47,2044900
2010-01-06,84.74,85.23,83.78,84.12,73.91,873000
2010-01-07,84.15,86.49,84.12,85.74,75.33,1106900
2010-01-08,85.3,86.49,84.72,86.37,75.88,1202100
2010-01-11,86.48,86.97,84.99,85.56,75.17,1094600
2010-01-12,84.98,85.66,83.2,83.82,73.64,867100
2010-01-13,84.25,85.97,83.76,85.7,75.3,827200
2010-01-14,85.16,85.64,84.66,85.11,74.78,496900
2010-01-15,84.51,85.53,82.88,83.83,73.65,977500
2010-01-19,83.9,84.94,83.82,84.77,74.48,596000
2010-01-20,84.12,86.51,83.76,86.4,75.91,1948000
2010-01-21,86.24,86.95,84.1,84.48,74.22,1307100
2010-01-22,84.6,84.99,81.88,82.04,72.08,1015500
2010-01-25,82.78,83.42,82.02,82.77,72.72,819500
2010-01-26,82.47,83.61,82.05,82.57,72.55,666700
2010-01-27,82.41,83.3,81.76,83.01,72.93,575200
2010-01-28,83.21,83.51,81.74,81.92,71.97,874400
2010-01-29,82.12,84.38,81.73,82.0,72.04,1681900
2010-02-01,82.8,83.67,82.63,83.14,73.05,792600
2010-02-02,83.51,86.28,83.03,85.67,75.27,1426600
2010-02-03,79.45,81.21,76.9,78.51,68.98,7881700
2010-02-04,77.65,78.51,76.88,77.14,67.77,2692400
2010-02-05,77.38,77.57,75.06,76.65,67.34,3109400
2010-02-08,76.5,78.97,76.14,77.63,68.21,1848500
2010-02-09,78.29,79.44,78.13,78.59,69.05,1514300
2010-02-10,78.59,79.4,77.64,77.99,68.52,1132600
2010-02-11,77.79,79.34,77.77,79.03,69.44,1194100
2010-02-12,78.05,78.78,77.75,78.69,69.14,908400
2010-02-16,79.03,79.77,78.0,79.72,70.04,1097400
2010-02-17,79.74,80.72,79.74,80.3,70.55,885700
2010-02-18,79.76,80.66,79.56,80.57,70.79,562500
2010-02-19,80.48,81.18,80.0,80.6,70.81,1147000
2010-02-22,80.75,81.7,80.28,81.31,71.44,1112600
2010-02-23,80.96,81.31,79.89,80.28,70.53,1175000
2010-02-24,80.55,80.67,79.87,80.15,70.42,1887400
2010-02-25,79.58,79.89,78.73,79.64,69.97,1833800
2010-02-26,79.7,80.92,79.3,79.93,70.23,1103000
2010-03-01,79.23,81.05,79.16,80.76,70.96,740500
2010-03-02,81.12,81.73,80.41,80.63,70.84,1398800
2010-03-03,80.64,80.94,80.02,80.35,70.6,834100
2010-03-04,80.8,81.91,80.68,80.99,71.16,1528200
2010-03-05,81.43,82.76,81.09,82.63,72.6,984500
2010-03-08,82.81,83.74,82.45,82.78,72.73,662900
2010-03-09,82.4,83.45,82.19,82.93,72.86,704100
2010-03-10,82.69,83.07,81.89,82.35,72.35,1066800
2010-03-11,81.75,82.76,81.39,82.67,72.63,869900
2010-03-12,83.09,83.17,81.94,82.16,72.19,721500
2010-03-15,82.0,82.05,79.92,81.12,71.27,1813500
2010-03-16,81.11,81.5,80.69,81.37,71.49,671800
2010-03-17,81.42,82.47,81.27,81.99,72.04,608900
2010-03-18,81.91,83.48,81.63,83.32,73.2,1050900
2010-03-19,82.86,83.95,82.43,82.86,72.8,1056700
