Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.69,10.73,10.57,10.67,8.73,15743600
2010-01-05,10.71,10.88,10.65,10.87,8.89,9369600
2010-01-06,10.81,11.04,10.79,11.03,9.03,13144800
2010-01-07,11.41,11.61,11.39,11.49,9.4,23984800
2010-01-08,11.26,11.34,11.19,11.27,9.22,15926000
2010-01-11,11.3,11.34,11.13,11.32,9.26,10197600
2010-01-12,11.29,11.38,11.26,11.36,9.3,9478400
2010-01-13,11.41,11.52,11.38,11.48,9.39,7983600
2010-01-14,11.43,11.47,11.38,11.4,9.33,8125600
2010-01-15,11.45,11.45,11.2,11.22,9.18,6539600
2010-01-19,11.23,11.47,11.23,11.44,9.36,6678400
2010-01-20,11.39,11.41,11.21,11.31,9.26,5241600
2010-01-21,11.34,11.39,11.09,11.11,9.09,8160000
2010-01-22,11.03,11.2,10.94,10.96,8.96,9143600
2010-01-25,11.03,11.14,11.0,11.09,9.07,10186400
2010-01-26,11.05,11.35,11.01,11.3,9.25,10211600
2010-01-27,11.39,11.52,11.21,11.5,9.41,12769600
2010-01-28,11.53,11.54,11.36,11.51,9.41,13789200
2010-01-29,11.53,11.73,11.48,11.48,9.39,13900400
2010-02-01,11.57,11.7,11.5,11.62,9.51,9596000
2010-02-02,11.59,11.75,11.56,11.71,9.58,10828800
2010-02-03,11.65,11.68,11.46,11.55,9.45,12430400
2010-02-04,11.3,11.52,11.26,11.3,9.25,13031600
2010-02-05,11.34,11.53,11.31,11.49,9.4,11869200
2010-02-08,11.36,11.53,11.23,11.3,9.24,8425600
2010-02-09,11.42,11.48,11.28,11.39,9.31,7817600
2010-02-10,11.38,11.45,11.29,11.33,9.27,7723600
2010-02-11,11.37,11.59,11.31,11.55,9.45,7793600
2010-02-12,11.51,11.62,11.41,11.61,9.5,6904800
2010-02-16,11.67,11.7,11.56,11.65,9.53,5942800
2010-02-17,11.67,11.77,11.65,11.77,9.77,5629600
2010-02-18,11.81,11.85,11.72,11.77,9.77,4888400
2010-02-19,11.73,11.81,11.64,11.77,9.77,6316400
2010-02-22,11.76,11.82,11.65,11.79,9.78,7893200
2010-02-23,11.79,11.82,11.65,11.76,9.75,8288800
2010-02-24,11.82,12.05,11.75,12.03,9.98,7453600
2010-02-25,11.96,12.24,11.88,12.22,10.13,9108400
2010-02-26,12.26,12.27,12.14,12.23,10.15,8029200
2010-03-01,12.27,12.35,12.09,12.32,10.22,8996800
2010-03-02,12.36,12.4,12.3,12.32,10.22,10063600
2010-03-03,12.36,12.41,12.3,12.36,10.26,7551200
2010-03-04,12.5,12.89,12.42,12.77,10.59,15167200
2010-03-05,12.8,12.85,12.69,12.78,10.61,12361200
2010-03-08,12.77,12.97,12.74,12.95,10.74,7447200
2010-03-09,12.95,12.97,12.83,12.87,10.68,10384000
2010-03-10,12.92,13.06,12.9,13.02,10.8,9565200
2010-03-11,12.97,13.17,12.9,13.15,10.91,11040000
