Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,62.14,62.14,61.17,61.67,54.96,1338000
2010-01-05,61.59,61.86,59.55,60.21,53.66,3081500
2010-01-06,60.39,61.02,58.92,59.42,52.95,2491700
2010-01-07,59.42,60.47,59.42,59.95,53.42,1340000
2010-01-08,59.94,60.47,59.78,60.46,53.88,865300
2010-01-11,61.97,61.97,58.54,59.63,53.14,1536800
2010-01-12,59.42,60.34,59.25,59.42,52.95,1381700
2010-01-13,59.61,60.36,59.61,60.18,53.63,660000
2010-01-14,60.26,60.71,60.13,60.53,53.94,1073400
2010-01-15,60.27,60.27,59.17,59.19,52.75,1671600
2010-01-19,58.88,59.42,58.3,59.37,52.91,1167600
2010-01-20,59.04,59.04,58.44,58.79,52.39,1014700
2010-01-21,58.7,59.52,58.37,58.61,52.23,1583200
2010-01-22,58.63,59.19,57.86,58.0,51.69,1871200
2010-01-25,58.52,59.39,58.26,58.92,52.51,2043600
2010-01-26,62.8,64.3,62.56,62.83,55.99,6087100
2010-01-27,62.83,64.06,62.28,63.87,56.92,2272100
2010-01-28,64.08,64.08,63.13,63.58,56.66,1580300
2010-01-29,63.66,64.63,63.08,63.35,56.45,2061500
2010-02-01,63.77,64.75,63.5,64.62,57.59,1190500
2010-02-02,64.85,65.62,63.8,65.56,58.42,1478800
2010-02-03,65.33,65.33,63.95,64.25,57.26,1536300
2010-02-04,64.13,64.17,63.49,63.85,56.9,1525500
2010-02-05,64.02,64.25,62.86,63.9,56.94,1376000
2010-02-08,63.98,64.1,63.11,63.2,56.32,1269800
2010-02-09,63.64,64.41,63.47,63.77,56.83,1605700
2010-02-10,63.6,63.65,62.6,62.98,56.12,1752100
2010-02-11,62.99,63.78,62.9,63.73,56.79,1052700
2010-02-12,63.16,64.04,62.65,63.95,56.99,1042100
2010-02-16,64.25,64.8,64.18,64.54,57.51,748200
2010-02-17,64.91,65.42,64.83,65.04,57.96,740100
2010-02-18,65.09,65.34,64.31,65.23,58.13,714100
2010-02-19,64.95,65.64,64.8,65.37,58.25,739100
2010-02-22,65.52,65.74,64.67,64.81,57.76,933300
2010-02-23,64.47,65.03,64.06,64.13,57.15,789800
2010-02-24,64.1,64.57,63.86,64.39,57.7,646200
2010-02-25,63.81,64.4,63.34,64.34,57.66,827000
2010-02-26,64.41,64.45,63.33,63.38,56.8,1090500
2010-03-01,63.6,63.98,63.04,63.74,57.12,853600
2010-03-02,64.17,64.23,63.65,64.08,57.43,660200
2010-03-03,64.29,64.41,63.85,64.01,57.36,948700
2010-03-04,64.2,65.15,64.13,64.73,58.01,1065000
2010-03-05,65.11,65.33,64.77,65.16,58.39,707500
2010-03-08,65.32,65.56,64.97,65.26,58.48,954800
2010-03-09,64.91,65.99,64.91,65.5,58.7,681500
2010-03-10,65.39,65.39,64.4,64.7,57.98,1266900
2010-03-11,65.27,65.27,63.89,65.25,58.48,1245200
2010-03-12,65.44,65.67,65.04,65.54,58.74,719400
2010-03-15,65.6,65.65,65.09,65.61,58.8,648600
