Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,62.2,62.29,61.42,62.18,49.48,773700
2010-01-05,62.22,62.34,61.58,61.89,49.25,677800
2010-01-06,61.88,62.38,61.81,62.11,49.43,1060200
2010-01-07,62.44,62.44,61.52,61.94,49.29,981500
2010-01-08,61.89,62.14,61.18,62.08,49.4,635900
2010-01-11,62.39,62.49,61.71,61.94,49.29,449700
2010-01-12,61.91,62.67,61.81,62.65,49.86,770600
2010-01-13,62.65,63.0,62.41,62.63,49.84,478300
2010-01-14,62.46,62.67,62.1,62.11,49.43,653100
2010-01-15,62.01,62.58,61.59,61.9,49.26,693900
2010-01-19,61.79,62.5,61.79,62.44,49.69,464700
2010-01-20,62.15,62.15,61.14,61.62,49.04,549100
2010-01-21,61.54,62.12,60.28,60.57,48.2,1038500
2010-01-22,60.37,60.52,59.72,59.97,47.72,858600
2010-01-25,60.33,60.53,59.7,60.37,48.04,467200
2010-01-26,60.26,60.81,59.64,60.71,48.31,786300
2010-01-27,60.59,61.22,60.59,61.14,48.65,643600
2010-01-28,61.14,61.27,60.66,60.99,48.53,577200
2010-01-29,61.11,61.11,59.94,60.07,47.8,802100
2010-02-01,60.18,61.17,60.11,61.12,48.64,657500
2010-02-02,61.21,62.4,61.21,62.35,49.62,781800
2010-02-03,62.34,62.34,61.44,61.87,49.24,499400
2010-02-04,61.6,61.66,60.27,60.3,47.99,652500
2010-02-05,60.04,60.23,59.04,59.51,47.36,1000100
2010-02-08,59.55,59.98,59.18,59.38,47.25,378200
2010-02-09,59.92,60.76,59.75,60.04,47.78,638400
2010-02-10,59.94,59.95,59.45,59.71,47.79,359300
2010-02-11,59.59,59.87,58.94,59.7,47.79,620800
2010-02-12,59.33,59.72,58.7,59.02,47.24,939200
2010-02-16,59.14,60.0,59.02,59.85,47.91,655200
2010-02-17,59.79,60.59,59.69,60.34,48.3,695400
2010-02-18,60.33,61.05,60.32,60.9,48.75,447100
2010-02-19,60.74,61.2,60.46,60.55,48.47,821800
2010-02-22,60.75,60.96,60.27,60.39,48.34,802100
2010-02-23,60.35,60.56,59.71,60.11,48.11,1380600
2010-02-24,60.15,60.15,57.72,58.67,46.96,3051200
2010-02-25,58.12,59.41,57.75,59.39,47.54,1258100
2010-02-26,59.52,59.92,59.03,59.68,47.77,1118700
2010-03-01,59.92,59.93,59.32,59.51,47.63,780900
2010-03-02,59.55,59.95,59.44,59.85,47.91,819000
2010-03-03,59.85,59.95,59.4,59.56,47.67,702700
2010-03-04,59.6,59.85,59.38,59.7,47.79,739900
2010-03-05,59.87,59.95,59.42,59.66,47.75,602800
2010-03-08,59.48,59.56,58.91,59.17,47.36,932300
2010-03-09,59.17,59.53,59.03,59.2,47.39,939900
2010-03-10,59.28,59.28,58.87,59.19,47.38,665500
2010-03-11,59.01,59.18,58.51,58.95,47.19,864900
2010-03-12,58.92,59.33,58.88,59.18,47.37,658600
2010-03-15,59.16,59.51,59.13,59.38,47.53,689400
2010-03-16,59.43,59.93,59.22,59.8,47.87,935900
2010-03-17,59.6,60.34,59.53,60.23,48.21,586400
2010-03-18,60.17,60.23,59.85,60.0,48.03,676100
2010-03-19,59.79,60.41,59.51,59.79,47.86,1236000
2010-03-22,59.75,60.67,59.47,60.51,48.44,875000
2010-03-23,60.52,61.08,60.34,61.01,48.84,529100
2010-03-24,61.01,61.25,60.81,61.0,48.83,720000
2010-03-25,61.2,61.21,60.51,60.6,48.51,547800
2010-03-26,60.66,60.66,59.13,59.87,47.92,718100
2010-03-29,59.94,60.09,59.76,60.06,48.07,616100
2010-03-30,60.01,60.48,59.81,60.35,48.31,598700
2010-03-31,60.34,60.46,60.01,60.26,48.24,574300
2010-04-01,60.5,60.76,59.99,60.33,48.29,522300
2010-04-05,60.5,60.5,60.18,60.39,48.34,562700
2010-04-06,60.14,60.7,60.11,60.7,48.59,552700
2010-04-07,60.8,60.89,60.37,60.78,48.65,794100
2010-04-08,60.55,61.15,60.53,61.04,48.86,596100
2010-04-09,61.06,61.93,61.06,61.84,49.5,690200
2010-04-12,62.1,62.35,61.91,62.25,49.83,808600
2010-04-13,62.09,62.55,61.8,62.48,50.01,628200
2010-04-14,62.49,62.6,62.01,62.4,49.95,521100
2010-04-15,62.25,62.45,61.83,62.25,49.83,973300
2010-04-16,61.9,62.4,61.9,62.04,49.66,818600
2010-04-19,61.81,62.47,61.77,62.43,49.97,530600
2010-04-20,62.86,63.4,62.59,63.26,50.64,1064100
2010-04-21,63.39,63.5,62.94,63.05,50.47,908300
2010-04-22,62.63,63.13,62.58,63.01,50.44,553000
2010-04-23,62.94,63.3,62.6,63.24,50.62,741400
2010-04-26,63.17,63.2,62.41,62.62,50.12,532900
2010-04-27,62.41,62.64,61.27,61.38,49.13,533200
2010-04-28,61.43,62.07,60.93,61.7,49.39,581000
2010-04-29,61.89,62.29,61.31,61.71,49.4,820000
2010-04-30,61.58,61.94,61.04,61.07,48.88,754800
2010-05-03,61.13,61.42,60.33,61.06,48.88,710300
2010-05-04,60.35,61.01,60.32,60.59,48.5,658000
2010-05-05,60.19,60.74,60.07,60.62,48.52,530200
2010-05-06,60.68,60.73,57.0,58.89,47.14,1215700
2010-05-07,58.96,59.06,57.89,58.43,46.77,1264300
2010-05-10,59.79,60.02,58.31,58.92,47.16,1578300
2010-05-11,58.5,59.4,58.13,58.68,46.97,1356100
2010-05-12,58.73,58.73,57.37,58.07,46.8,1698000
2010-05-13,57.91,58.67,57.86,58.21,46.91,1043800
2010-05-14,58.1,58.36,57.63,57.79,46.58,1011400
2010-05-17,57.94,58.29,57.64,58.24,46.94,920400
2010-05-18,58.64,58.69,58.05,58.13,46.85,919500
2010-05-19,57.94,58.2,57.54,57.93,46.69,1699700
2010-05-20,57.32,57.32,56.3,56.31,45.38,1025300
2010-05-21,53.27,55.95,53.27,55.95,45.09,1818400
2010-05-24,55.67,56.03,55.23,55.6,44.81,959200
2010-05-25,54.6,55.17,54.39,55.12,44.42,1203100
2010-05-26,55.69,55.9,55.12,55.4,44.65,1118500
2010-05-27,56.11,56.27,55.61,56.27,45.35,1075500
2010-05-28,56.21,56.21,55.19,55.22,44.5,1461800
2010-06-01,54.81,55.35,54.72,54.75,44.13,1374000
2010-06-02,54.82,55.76,54.74,55.76,44.94,1042300
2010-06-03,56.14,56.42,56.01,56.23,45.32,611400
2010-06-04,55.51,55.83,55.19,55.28,44.55,1261400
2010-06-07,55.31,55.89,55.01,55.09,44.4,961300
2010-06-08,55.01,55.3,54.62,55.28,44.55,1361600
2010-06-09,55.37,56.04,55.2,55.38,44.63,724900
2010-06-10,55.88,56.62,55.83,56.34,45.41,1020300
2010-06-11,56.24,56.24,55.55,56.07,45.19,1291800
2010-06-14,56.38,57.17,56.32,56.86,45.83,844900
2010-06-15,57.16,57.63,57.11,57.54,46.37,998000
2010-06-16,57.1,57.95,56.78,57.75,46.54,871900
2010-06-17,59.39,61.81,59.26,61.55,49.61,2760300
2010-06-18,62.6,63.33,61.9,62.1,50.05,1737800
2010-06-21,62.7,62.7,61.6,61.87,49.86,826600
2010-06-22,61.88,62.47,61.72,61.82,49.82,1015300
2010-06-23,61.99,62.04,61.12,61.46,49.53,799300
2010-06-24,61.18,62.83,61.18,62.62,50.47,1568700
2010-06-25,62.86,62.92,61.69,62.02,49.98,1450500
2010-06-28,61.96,62.25,61.67,62.04,50.0,630900
2010-06-29,61.68,61.94,60.25,60.68,48.9,1654200
2010-06-30,60.39,60.62,59.52,60.22,48.53,1668100
2010-07-01,60.0,60.05,59.34,59.9,48.28,1274100
2010-07-02,59.93,60.2,59.35,59.68,48.1,710900
2010-07-06,59.98,60.9,59.81,60.9,49.08,1370600
2010-07-07,61.07,62.21,60.82,62.21,50.14,960600
2010-07-08,62.52,62.56,62.01,62.54,50.4,952700
2010-07-09,62.64,62.77,62.23,62.36,50.26,698000
2010-07-12,62.36,62.53,62.0,62.38,50.27,423300
2010-07-13,62.6,62.74,62.19,62.41,50.3,586400
2010-07-14,62.37,62.49,62.1,62.46,50.34,495900
2010-07-15,62.42,62.9,62.05,62.76,50.58,675700
2010-07-16,62.64,62.85,61.45,61.51,49.57,605000
2010-07-19,61.68,62.01,61.43,61.63,49.67,549300
2010-07-20,61.04,61.78,60.54,61.78,49.79,812300
2010-07-21,61.78,62.13,61.19,61.44,49.52,805100
2010-07-22,61.88,62.63,61.53,62.52,50.39,840300
2010-07-23,62.31,62.97,62.2,62.78,50.6,696100
2010-07-26,62.99,63.22,62.59,63.21,50.94,490500
2010-07-27,63.32,63.75,62.93,63.68,51.32,728300
2010-07-28,63.52,63.64,62.01,62.09,50.04,718200
2010-07-29,62.22,62.38,60.96,61.09,49.24,602500
2010-07-30,60.78,61.75,60.35,61.43,49.51,550300
2010-08-02,61.02,61.02,59.58,59.71,48.12,1557900
2010-08-03,59.29,59.79,59.11,59.5,47.95,787700
2010-08-04,59.51,59.97,59.4,59.57,48.01,611600
2010-08-05,59.62,59.62,58.4,58.81,47.4,775500
2010-08-06,58.48,59.13,58.4,58.8,47.39,849400
2010-08-09,58.85,58.86,58.13,58.55,47.19,830000
2010-08-10,58.46,59.0,58.24,58.65,47.27,873100
2010-08-11,57.8,57.88,57.23,57.82,46.92,896200
2010-08-12,57.23,57.99,57.2,57.93,47.01,1074000
2010-08-13,57.87,58.4,57.87,58.15,47.19,1000500
2010-08-16,57.82,58.51,57.44,58.36,47.36,638500
2010-08-17,58.68,59.57,58.32,59.16,48.01,1063000
2010-08-18,59.2,59.32,58.71,58.97,47.85,888400
2010-08-19,58.49,58.49,57.37,58.03,47.09,1348500
2010-08-20,58.21,59.82,58.01,59.65,48.4,1458800
2010-08-23,59.86,60.79,59.68,59.79,48.52,926800
2010-08-24,59.57,59.86,58.62,58.83,47.74,996700
2010-08-25,58.73,59.01,58.36,58.81,47.72,533100
2010-08-26,58.9,59.16,58.23,58.34,47.34,548900
2010-08-27,58.42,58.56,57.71,58.33,47.33,1315500
2010-08-30,58.46,59.07,58.1,58.15,47.19,700400
2010-08-31,58.18,58.62,57.8,58.48,47.46,998400
2010-09-01,58.96,59.8,58.79,59.75,48.49,581800
2010-09-02,60.0,60.02,59.41,59.63,48.39,554100
2010-09-03,59.8,60.38,59.64,60.38,49.0,462200
2010-09-07,60.18,60.54,60.0,60.23,48.88,503500
2010-09-08,60.25,60.77,60.25,60.61,49.18,619400
2010-09-09,61.05,61.21,60.6,61.11,49.59,583500
2010-09-10,61.29,61.45,60.9,61.29,49.74,653100
2010-09-13,61.46,61.57,60.58,61.0,49.5,466300
2010-09-14,60.79,60.79,60.19,60.41,49.02,531000
2010-09-15,60.28,61.0,60.17,60.68,49.24,627100
2010-09-16,60.5,60.82,60.41,60.77,49.31,303100
2010-09-17,61.01,61.3,60.6,61.07,49.56,630500
2010-09-20,61.3,61.73,61.15,61.59,49.98,441500
2010-09-21,61.74,61.88,61.37,61.81,50.16,492300
2010-09-22,61.85,62.35,61.71,61.93,50.25,564600
2010-09-23,61.58,61.71,60.58,60.65,49.22,490600
2010-09-24,61.14,61.55,60.82,61.18,49.65,647500
2010-09-27,61.3,61.31,60.8,61.05,49.54,468500
2010-09-28,61.22,61.38,60.36,61.27,49.72,454300
2010-09-29,61.17,61.25,60.53,60.75,49.3,383500
2010-09-30,60.83,61.69,60.29,60.53,49.12,560900
2010-10-01,60.66,61.14,59.71,60.27,48.91,760400
2010-10-04,60.28,61.26,60.13,60.76,49.31,841200
2010-10-05,60.96,61.77,60.78,61.77,50.12,907400
2010-10-06,61.71,62.09,61.52,61.98,50.3,717700
2010-10-07,62.24,62.41,61.88,62.04,50.34,638100
2010-10-08,62.19,62.19,61.4,61.9,50.23,687500
2010-10-11,61.85,62.17,61.53,62.0,50.31,282100
2010-10-12,61.99,62.15,61.45,62.04,50.34,567900
2010-10-13,62.24,62.93,62.01,62.83,50.99,634800
2010-10-14,62.95,63.44,62.76,62.97,51.1,775800
2010-10-15,63.36,63.45,62.66,62.95,51.08,666300
2010-10-18,62.86,63.28,62.71,63.11,51.21,393800
2010-10-19,62.74,63.05,62.05,62.16,50.44,695100
2010-10-20,62.34,63.29,62.34,62.83,50.99,529200
2010-10-21,62.94,63.72,62.84,63.07,51.18,730900
2010-10-22,63.04,63.18,62.78,63.03,51.15,293000
2010-10-25,63.28,63.82,63.12,63.17,51.26,504600
2010-10-26,63.09,63.13,62.5,62.94,51.07,537000
2010-10-27,62.64,62.66,62.0,62.56,50.77,374200
2010-10-28,62.86,63.53,62.65,63.5,51.53,719200
2010-10-29,63.53,64.55,63.34,64.28,52.16,758700
2010-11-01,64.35,64.89,63.71,64.0,51.93,530400
2010-11-02,64.54,64.88,64.0,64.08,52.0,403100
2010-11-03,64.2,64.54,63.4,63.93,51.88,438200
2010-11-04,64.48,64.79,64.24,64.54,52.37,453300
2010-11-05,64.46,64.73,64.16,64.41,52.27,463100
2010-11-08,64.22,64.48,63.95,64.46,52.31,581200
2010-11-09,64.22,64.43,63.22,63.48,51.83,511100
2010-11-10,63.37,63.37,62.63,63.06,51.49,625400
2010-11-11,62.76,63.21,62.64,63.09,51.52,695400
2010-11-12,62.93,63.38,62.7,62.89,51.35,569500
2010-11-15,63.22,63.6,62.75,62.86,51.33,663000
2010-11-16,62.75,63.59,62.16,63.1,51.52,1245000
2010-11-17,63.23,63.5,62.74,63.0,51.44,899300
2010-11-18,63.35,63.73,60.46,62.15,50.75,3068000
2010-11-19,62.23,62.45,61.46,62.23,50.81,998600
2010-11-22,62.06,63.09,61.95,62.93,51.39,959800
2010-11-23,62.52,62.94,61.99,62.73,51.22,786200
2010-11-24,62.87,63.37,62.77,63.0,51.44,675400
2010-11-26,62.67,63.23,62.5,63.03,51.47,283400
2010-11-29,62.45,62.96,62.4,62.85,51.32,742900
2010-11-30,62.53,63.51,62.27,63.25,51.65,966600
2010-12-01,63.62,64.79,63.52,64.35,52.54,934300
2010-12-02,64.52,65.75,64.22,65.15,53.2,1218700
2010-12-03,65.06,65.48,64.63,64.95,53.03,599400
2010-12-06,65.16,65.16,64.64,64.74,52.86,574900
2010-12-07,65.14,65.42,64.82,65.04,53.11,655600
2010-12-08,65.28,65.43,65.11,65.36,53.37,574200
2010-12-09,65.71,65.9,65.28,65.3,53.32,607200
2010-12-10,65.51,65.7,65.26,65.5,53.48,647300
2010-12-13,65.62,65.85,65.39,65.55,53.52,423000
2010-12-14,65.53,66.07,65.32,65.53,53.51,563600
2010-12-15,65.33,65.74,65.04,65.45,53.44,568300
2010-12-16,65.55,65.7,65.34,65.53,53.51,541400
2010-12-17,65.31,65.94,65.02,65.86,53.78,1149000
2010-12-20,65.86,65.9,65.37,65.63,53.59,609300
2010-12-21,65.8,66.0,65.35,65.53,53.51,340200
2010-12-22,65.62,65.99,65.39,65.64,53.6,395800
2010-12-23,65.26,65.92,65.13,65.84,53.76,309400
2010-12-27,65.6,65.97,65.27,65.84,53.76,281700
2010-12-28,65.86,66.28,65.34,65.52,53.5,406300
2010-12-29,65.52,65.8,65.28,65.39,53.39,346900
2010-12-30,65.38,65.8,65.35,65.53,53.51,259300
2010-12-31,65.39,65.93,65.39,65.65,53.61,300200
2011-01-03,65.97,65.98,65.5,65.57,53.54,402300
2011-01-04,64.27,64.36,62.56,63.29,51.68,1970500
2011-01-05,63.02,63.44,63.02,63.25,51.65,810100
2011-01-06,63.16,63.16,62.17,62.4,50.95,1077800
2011-01-07,62.74,63.01,62.56,62.75,51.24,892200
2011-01-10,62.56,63.27,62.5,63.18,51.59,790500
2011-01-11,63.34,63.92,63.19,63.77,52.07,742100
2011-01-12,64.14,64.56,63.87,64.18,52.41,709200
2011-01-13,63.81,64.68,63.74,64.05,52.3,712500
2011-01-14,64.09,64.09,63.33,63.4,51.77,888500
2011-01-18,63.31,64.09,63.31,63.76,52.06,595800
2011-01-19,63.79,64.04,63.08,63.22,51.62,797200
2011-01-20,63.27,63.54,63.23,63.45,51.81,711900
2011-01-21,63.75,63.75,63.25,63.35,51.73,698100
