Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,33.43,33.56,33.17,33.25,21.26,5119300
2010-01-05,33.35,33.35,32.5,32.58,20.83,4948100
2010-01-06,32.68,33.21,32.56,33.04,21.13,5061700
2010-01-07,33.09,33.09,32.63,32.9,21.04,3481100
2010-01-08,32.92,32.92,32.6,32.83,20.99,3513800
2010-01-11,33.03,33.32,32.86,33.26,21.27,3609500
2010-01-12,33.22,33.43,33.0,33.05,21.13,4354600
2010-01-13,33.21,33.61,33.11,33.52,21.43,4961300
2010-01-14,33.49,33.51,33.27,33.44,21.38,2654200
2010-01-15,33.15,33.36,32.93,33.34,21.32,7412400
2010-01-19,33.39,33.65,33.1,33.65,21.52,4693100
2010-01-20,33.51,33.54,33.14,33.43,21.38,8748000
2010-01-21,33.49,33.73,33.01,33.15,21.2,4380800
2010-01-22,33.13,33.35,32.52,32.54,20.81,5910100
2010-01-25,32.79,32.92,32.43,32.8,20.97,4476600
2010-01-26,32.78,33.11,32.6,32.97,21.08,5362200
2010-01-27,32.92,33.23,32.11,32.91,21.04,9757100
2010-01-28,32.42,32.58,31.94,31.95,20.71,5068900
2010-01-29,32.06,32.2,31.85,32.0,20.74,5421300
2010-02-01,32.09,32.14,31.75,32.0,20.74,3769100
2010-02-02,31.98,32.17,31.71,32.15,20.83,4712400
2010-02-03,32.0,32.14,31.85,32.0,20.74,3143100
2010-02-04,31.89,32.03,31.58,31.58,20.47,4895000
2010-02-05,31.57,31.74,31.31,31.7,20.54,7399800
2010-02-08,31.69,31.71,31.1,31.13,20.17,3802600
2010-02-09,31.28,31.6,31.16,31.29,20.28,4218000
2010-02-10,31.29,31.36,31.01,31.28,20.27,3165800
2010-02-11,31.19,31.38,30.85,31.32,20.3,3605200
2010-02-12,31.09,31.27,30.99,31.17,20.2,6222500
2010-02-16,31.53,31.92,31.01,31.88,20.66,3797300
2010-02-17,32.02,32.1,31.58,31.64,20.5,3320700
2010-02-18,31.58,31.87,31.58,31.81,20.61,2976400
2010-02-19,31.74,32.35,31.73,32.29,20.93,4247500
2010-02-22,32.41,32.49,32.21,32.34,20.96,3799400
2010-02-23,32.33,32.45,32.02,32.02,20.75,4049500
2010-02-24,32.04,32.22,31.73,32.13,20.82,3603200
2010-02-25,31.93,32.03,31.59,32.01,20.74,3895700
2010-02-26,32.07,32.09,31.75,31.77,20.59,3852100
2010-03-01,31.89,32.13,31.83,32.06,20.78,2971100
2010-03-02,32.2,32.37,32.02,32.23,20.89,3216800
2010-03-03,32.33,32.37,32.01,32.18,20.85,3455100
2010-03-04,32.18,32.32,32.0,32.29,20.93,3264100
2010-03-05,32.1,32.24,32.03,32.22,20.88,5062900
2010-03-08,32.49,32.49,32.23,32.35,20.96,3070100
2010-03-09,32.38,32.41,32.08,32.31,20.94,10894400
2010-03-10,32.32,32.45,32.15,32.36,20.97,3721100
2010-03-11,32.26,32.5,32.23,32.5,21.06,2547900
2010-03-12,32.52,32.54,32.26,32.48,21.05,3238000
2010-03-15,32.52,32.89,32.47,32.86,21.3,3353700
2010-03-16,32.86,33.27,32.69,33.21,21.52,4859400
2010-03-17,33.24,33.45,33.11,33.45,21.68,3424600
2010-03-18,33.4,33.46,33.25,33.38,21.63,3375900
2010-03-19,33.18,33.5,33.13,33.18,21.5,8063000
2010-03-22,33.18,33.29,33.04,33.11,21.46,3480300
2010-03-23,33.15,33.35,33.01,33.35,21.61,4174100
2010-03-24,33.33,33.33,33.01,33.03,21.41,2922400
2010-03-25,33.18,33.23,32.85,33.01,21.39,3877800
2010-03-26,33.02,33.3,32.94,33.1,21.45,2678400
2010-03-29,33.11,33.35,33.11,33.34,21.61,2640100
2010-03-30,33.39,33.45,33.05,33.21,21.52,3324300
2010-03-31,33.15,33.25,33.0,33.16,21.49,2740600
2010-04-01,33.29,33.45,33.2,33.42,21.66,2661500
2010-04-05,33.51,33.52,33.31,33.49,21.7,2126800
2010-04-06,33.38,33.88,33.3,33.88,21.96,3050600
2010-04-07,33.79,33.82,33.5,33.56,21.75,3302600
2010-04-08,33.48,33.58,33.35,33.51,21.72,2773400
2010-04-09,33.61,33.93,33.32,33.93,21.99,3197200
2010-04-12,33.91,33.99,33.85,33.95,22.0,2429000
2010-04-13,33.89,33.97,33.72,33.91,21.98,3045000
2010-04-14,33.8,34.0,33.7,33.99,22.03,3038900
2010-04-15,33.89,33.96,33.7,33.95,22.0,2774400
2010-04-16,33.93,33.99,33.76,33.87,21.95,4463400
2010-04-19,33.91,34.2,33.81,34.09,22.09,3428600
2010-04-20,34.24,34.44,34.21,34.4,22.29,2881600
2010-04-21,34.42,34.55,34.32,34.45,22.33,3076800
2010-04-22,34.26,34.59,34.15,34.55,22.39,3319700
2010-04-23,34.6,34.73,34.31,34.73,22.51,3459200
2010-04-26,34.78,35.17,34.7,34.87,22.6,5202400
2010-04-27,34.99,35.2,34.44,34.5,22.36,5196700
2010-04-28,34.97,35.45,34.71,35.26,22.85,9756900
2010-04-29,34.84,34.84,34.5,34.64,22.74,6296800
2010-04-30,34.67,35.03,34.55,34.56,22.69,6479700
2010-05-03,34.75,34.84,34.51,34.61,22.72,5212500
2010-05-04,34.46,34.62,34.22,34.32,22.53,5907400
2010-05-05,34.25,34.85,34.02,34.02,22.34,7230300
2010-05-06,34.01,34.15,32.04,33.48,21.98,13046900
2010-05-07,33.57,34.27,33.32,33.92,22.27,14377500
2010-05-10,34.68,34.98,34.5,34.87,22.89,5961600
2010-05-11,34.69,35.1,34.57,34.88,22.9,5170100
2010-05-12,34.82,35.1,34.71,35.06,23.02,3646500
2010-05-13,34.97,35.03,34.58,34.63,22.74,4665400
2010-05-14,34.52,34.77,34.31,34.47,22.63,3821700
2010-05-17,34.62,34.74,34.17,34.63,22.74,3470000
2010-05-18,34.74,34.8,34.14,34.27,22.5,5314400
2010-05-19,34.19,34.31,33.78,33.93,22.28,5971800
2010-05-20,33.51,33.97,33.37,33.41,21.93,11055600
2010-05-21,33.08,33.62,33.01,33.62,22.07,6904200
2010-05-24,33.44,33.6,33.06,33.11,21.74,6329400
2010-05-25,32.86,33.07,32.45,32.99,21.66,6889300
2010-05-26,33.2,33.2,32.54,32.67,21.45,8774700
2010-05-27,33.0,33.09,32.72,32.92,21.61,5475400
2010-05-28,33.0,33.07,32.62,32.7,21.47,7506200
2010-06-01,32.57,32.76,32.26,32.27,21.19,6616300
2010-06-02,32.47,32.71,32.23,32.69,21.46,5779100
2010-06-03,32.63,33.0,32.63,32.83,21.55,4789400
2010-06-04,32.61,32.61,32.04,32.13,21.09,7466100
2010-06-07,32.79,32.79,32.25,32.28,21.19,5066600
2010-06-08,32.37,32.85,32.13,32.84,21.56,5628000
2010-06-09,32.89,32.89,32.47,32.57,21.38,3925900
2010-06-10,32.87,33.04,32.69,33.02,21.68,4602300
2010-06-11,32.76,33.03,32.59,33.03,21.69,3565800
2010-06-14,33.25,33.35,33.05,33.17,21.78,3420600
2010-06-15,33.4,33.72,33.27,33.71,22.13,2718000
2010-06-16,33.57,33.86,33.48,33.86,22.23,3171100
2010-06-17,33.91,34.09,33.67,34.02,22.34,3753700
2010-06-18,34.08,34.19,33.95,34.11,22.39,4646100
2010-06-21,34.25,34.36,33.81,33.92,22.27,3692100
2010-06-22,33.9,34.06,33.51,33.54,22.02,4921600
2010-06-23,33.57,33.63,33.19,33.34,21.89,3432400
2010-06-24,33.29,33.69,33.25,33.3,21.86,4291700
2010-06-25,33.38,33.42,33.1,33.28,21.85,5234500
2010-06-28,33.42,33.96,33.29,33.81,22.2,4107000
2010-06-29,33.56,33.75,33.27,33.64,22.09,5505300
2010-06-30,33.67,33.72,33.18,33.28,21.85,4567200
2010-07-01,33.33,33.43,33.0,33.37,21.91,5057400
2010-07-02,33.49,33.65,33.3,33.38,21.91,4491700
2010-07-06,33.58,33.6,33.25,33.5,21.99,8049700
2010-07-07,33.53,34.57,33.43,34.53,22.67,6020200
2010-07-08,34.49,34.56,34.24,34.52,22.66,4398000
2010-07-09,34.55,34.75,34.38,34.71,22.79,3172700
2010-07-12,34.57,34.8,34.47,34.78,22.83,3336300
2010-07-13,34.85,34.98,34.72,34.89,22.91,3396700
2010-07-14,34.82,34.95,34.62,34.91,22.92,2854700
2010-07-15,34.93,35.09,34.8,35.02,22.99,7236800
2010-07-16,34.85,35.13,34.76,34.78,22.83,4914000
2010-07-19,34.96,35.5,34.86,35.42,23.25,4410100
2010-07-20,35.17,35.84,35.11,35.84,23.53,6615000
2010-07-21,35.78,35.78,35.22,35.37,23.22,4538000
2010-07-22,35.57,35.84,35.37,35.65,23.41,4046100
2010-07-23,35.58,35.9,35.49,35.89,23.56,3292600
2010-07-26,35.69,36.1,35.69,36.08,23.69,3216300
2010-07-27,36.28,36.78,36.09,36.73,24.11,4951900
2010-07-28,36.65,36.65,36.26,36.59,24.02,5459200
2010-07-29,35.42,35.77,35.05,35.49,23.59,8191000
2010-07-30,35.34,35.46,35.11,35.33,23.49,5692200
