Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,75.72,76.34,73.8,74.24,53.77,3450400
2010-01-05,74.33,74.36,72.6,73.73,53.4,4342500
2010-01-06,73.49,74.52,72.6,72.91,52.8,3476200
2010-01-07,73.03,74.77,71.55,73.86,53.49,3986300
2010-01-08,73.61,73.67,71.0,72.09,52.21,4005800
2010-01-11,72.43,72.9,71.66,72.15,52.26,2662600
2010-01-12,71.68,72.07,70.32,70.73,51.23,4696600
2010-01-13,70.66,72.15,70.66,71.45,51.75,4540300
2010-01-14,71.14,72.01,70.57,71.77,51.98,2790200
2010-01-15,71.31,71.51,70.33,70.45,51.02,3910400
2010-01-19,70.33,72.19,69.89,72.12,52.23,4324700
2010-01-20,71.4,71.97,69.73,70.44,51.02,3554700
2010-01-21,70.48,70.95,68.02,68.21,49.4,4807000
2010-01-22,68.22,68.71,66.22,66.41,48.09,4963100
2010-01-25,67.19,68.33,66.0,67.83,49.12,3799300
2010-01-26,67.41,68.65,66.93,67.55,48.93,2804400
2010-01-27,67.6,68.17,66.51,68.11,49.33,4314100
2010-01-28,68.53,68.53,66.85,67.81,49.11,3146500
2010-01-29,68.02,69.29,67.1,67.73,49.06,4296200
2010-02-01,68.08,69.22,68.0,69.21,50.12,3030500
2010-02-02,69.44,70.23,68.39,70.06,50.74,3776700
2010-02-03,69.74,69.74,68.12,68.49,49.6,3140300
2010-02-04,68.2,68.2,65.3,65.33,47.32,5638100
2010-02-05,66.1,69.13,65.97,69.01,49.98,7971800
2010-02-08,68.63,68.92,66.28,66.53,48.18,5343100
2010-02-09,67.2,67.6,66.09,66.41,48.09,5293900
2010-02-10,66.3,67.13,64.99,66.11,47.88,3747700
2010-02-11,65.39,67.11,64.68,67.05,49.0,3888800
2010-02-12,66.38,67.88,65.85,67.73,49.5,4004000
2010-02-16,68.62,70.5,68.38,70.39,51.44,6032300
2010-02-17,70.4,72.1,70.36,71.35,52.15,5226100
2010-02-18,71.01,73.1,71.01,72.64,53.09,4296600
2010-02-19,72.39,73.3,71.78,73.11,53.44,4001200
2010-02-22,73.29,74.48,72.69,73.98,54.07,3667200
2010-02-23,73.43,73.94,72.58,73.29,53.57,4121900
2010-02-24,73.37,73.89,72.58,72.94,53.31,5580900
2010-02-25,72.62,73.89,71.67,73.86,53.98,3765100
2010-02-26,73.68,74.61,73.1,73.65,53.83,4256700
2010-03-01,74.22,74.4,73.4,73.75,53.9,2061400
2010-03-02,73.99,74.64,73.11,73.39,53.64,2288300
2010-03-03,73.32,73.43,72.56,72.87,53.26,1903300
2010-03-04,73.19,73.38,72.82,73.01,53.36,2385400
2010-03-05,73.32,75.09,73.1,74.72,54.61,3324900
2010-03-08,74.71,75.36,74.47,75.06,54.86,2351800
2010-03-09,74.81,76.53,74.34,76.03,55.57,3166200
2010-03-10,76.33,76.6,75.56,75.98,55.53,1944100
2010-03-11,75.73,76.16,75.29,76.14,55.65,2158400
2010-03-12,76.51,78.02,76.25,77.22,56.44,2783500
2010-03-15,76.84,77.72,76.2,77.03,56.3,2374100
2010-03-16,77.13,79.61,76.77,79.19,57.88,3325200
2010-03-17,79.4,80.66,78.88,80.57,58.89,3713900
2010-03-18,80.59,80.94,79.46,79.55,58.14,2553700
2010-03-19,78.59,80.56,78.49,78.59,57.44,4748700
2010-03-22,78.14,79.96,77.99,79.93,58.42,2398100
2010-03-23,79.92,80.22,78.69,79.43,58.05,1990900
2010-03-24,79.17,80.2,78.99,79.5,58.11,2298900
2010-03-25,80.15,81.5,80.08,80.46,58.81,3248300
2010-03-26,80.83,81.29,79.63,79.97,58.45,2577100
