Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,33.92,33.92,33.38,33.61,27.3,1572200
2010-01-05,33.49,33.64,33.32,33.64,27.32,1443400
2010-01-06,33.4,33.6,33.2,33.34,27.08,1328300
2010-01-07,33.36,34.12,33.26,34.08,27.68,2010700
2010-01-08,33.94,34.06,33.61,33.95,27.57,1075400
2010-01-11,34.16,34.16,33.56,33.76,27.42,765000
2010-01-12,33.44,33.65,33.16,33.25,27.0,2621400
2010-01-13,33.32,33.72,33.09,33.38,27.11,2024900
2010-01-14,33.42,33.49,33.2,33.34,27.08,1706000
2010-01-15,33.33,33.7,33.04,33.23,26.99,1696900
2010-01-19,33.14,33.6,32.79,33.45,27.17,1912700
2010-01-20,33.1,33.75,33.05,33.68,27.35,1668300
2010-01-21,33.78,34.15,33.25,33.34,27.08,1454900
2010-01-22,33.22,33.53,33.02,33.26,27.01,2397200
2010-01-25,33.55,33.55,33.17,33.4,27.12,1825100
2010-01-26,33.4,34.62,32.68,34.23,27.8,2805500
2010-01-27,35.01,36.38,35.01,35.71,29.0,3966600
2010-01-28,35.66,36.67,35.33,35.56,28.88,3892300
2010-01-29,35.66,36.14,35.27,35.45,28.79,2731500
2010-02-01,35.64,35.98,35.31,35.44,28.78,1801400
2010-02-02,35.47,35.78,34.96,35.55,28.87,2077300
2010-02-03,35.38,35.83,35.25,35.55,28.87,1267700
2010-02-04,35.3,35.3,34.35,34.37,27.91,1633000
2010-02-05,34.39,34.6,33.5,34.22,27.79,2269100
2010-02-08,34.07,34.07,33.48,33.65,27.33,1965400
2010-02-09,34.05,34.33,33.61,34.01,27.62,2203000
2010-02-10,33.83,34.13,33.33,33.57,27.26,2310500
2010-02-11,33.54,34.2,33.25,34.07,27.67,1641000
2010-02-12,33.94,34.37,33.46,34.17,27.75,2102000
2010-02-16,34.33,34.59,34.08,34.5,28.02,1283300
2010-02-17,34.67,34.99,34.47,34.75,28.22,932400
2010-02-18,34.75,35.07,34.49,35.01,28.43,1102800
2010-02-19,34.95,35.46,34.59,35.33,28.69,1805400
2010-02-22,35.31,35.61,34.57,34.8,28.45,1531200
2010-02-23,34.67,34.89,34.24,34.3,28.04,1262900
2010-02-24,34.48,34.65,34.15,34.6,28.29,1716200
2010-02-25,33.89,34.18,33.58,34.17,27.94,2232100
2010-02-26,34.14,34.44,34.03,34.2,27.96,1158900
2010-03-01,34.17,34.5,34.03,34.32,28.06,1378800
2010-03-02,34.37,34.37,34.14,34.32,28.06,1214600
2010-03-03,34.36,34.37,34.04,34.29,28.03,1500200
2010-03-04,34.22,34.53,33.84,34.49,28.2,1419200
2010-03-05,34.66,35.34,34.66,35.28,28.84,1392000
2010-03-08,35.34,35.52,35.1,35.47,29.0,1347000
2010-03-09,35.41,35.53,35.1,35.3,28.86,1425000
2010-03-10,35.4,35.59,34.64,35.04,28.65,2084700
2010-03-11,34.28,35.1,34.22,35.1,28.7,1503800
2010-03-12,35.32,35.32,34.78,35.05,28.66,1398800
2010-03-15,35.04,35.29,34.51,35.29,28.85,1762000
