Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,51.74,53.0,51.62,52.71,42.99,2033000
2010-01-05,52.59,53.55,52.17,53.48,43.62,2474100
2010-01-06,53.43,54.91,53.27,54.82,44.71,3035800
2010-01-07,54.62,57.07,54.53,56.75,46.29,4276400
2010-01-08,56.44,57.68,56.44,57.42,46.83,1441400
2010-01-11,57.57,57.68,56.53,57.07,46.55,1595300
2010-01-12,56.71,56.77,55.8,56.18,45.82,1208500
2010-01-13,56.41,56.95,56.0,56.71,46.25,1129300
2010-01-14,56.55,56.64,55.93,56.55,46.12,1430500
2010-01-15,56.45,56.65,55.44,55.74,45.46,1661200
2010-01-19,55.72,56.54,55.68,56.3,45.92,1349800
2010-01-20,55.74,55.81,55.0,55.54,45.3,1396300
2010-01-21,55.48,55.53,54.16,54.18,44.19,1973500
2010-01-22,54.03,54.28,53.2,53.33,43.5,1363500
2010-01-25,53.82,54.04,53.47,53.82,43.9,1522400
2010-01-26,53.38,54.25,53.15,53.31,43.48,1608600
2010-01-27,52.93,53.34,51.54,52.47,42.8,3563600
2010-01-28,52.62,52.88,51.37,51.39,41.91,1948400
2010-01-29,51.79,52.15,51.0,51.25,41.8,2658100
2010-02-01,51.57,52.34,51.21,52.23,42.6,1360400
2010-02-02,52.26,54.36,52.2,54.25,44.25,2981100
2010-02-03,54.82,57.36,54.69,56.34,45.95,5723900
2010-02-04,55.81,56.0,54.59,54.64,44.57,2338100
2010-02-05,54.57,54.73,52.76,54.43,44.39,2440400
2010-02-08,54.5,54.5,53.48,53.53,43.66,1676900
2010-02-09,54.29,54.59,53.47,54.22,44.22,1586900
2010-02-10,54.3,54.4,53.38,53.77,43.86,1067700
2010-02-11,53.68,54.36,53.26,54.11,44.13,1460600
2010-02-12,53.85,54.32,53.27,54.29,44.28,2179600
2010-02-16,54.78,54.89,54.13,54.87,44.75,1504500
2010-02-17,55.08,55.99,54.77,55.84,45.54,1310000
2010-02-18,55.88,56.6,55.52,56.36,45.97,2861700
2010-02-19,56.17,56.4,55.75,55.92,45.61,1126700
2010-02-22,55.98,56.26,55.57,56.22,45.85,1579100
2010-02-23,56.04,56.27,54.85,55.24,45.05,1138200
2010-02-24,55.26,56.24,54.94,56.14,45.79,1374200
2010-02-25,55.15,56.09,54.78,56.0,45.67,1230200
2010-02-26,56.21,57.5,56.04,57.25,46.69,2616600
2010-03-01,57.12,59.1,56.86,59.06,48.45,2434600
2010-03-02,59.21,59.9,58.6,58.78,48.22,1822600
2010-03-03,59.08,59.38,58.5,58.79,48.23,699100
2010-03-04,58.85,58.96,58.12,58.44,47.94,2478400
2010-03-05,58.89,59.51,58.44,59.09,48.47,2008300
2010-03-08,59.26,59.26,58.64,59.07,48.46,930200
2010-03-09,58.87,59.59,58.62,59.27,48.62,1023900
2010-03-10,59.18,59.5,58.63,59.38,48.71,980700
2010-03-11,59.15,59.21,58.46,58.83,48.26,1556400
2010-03-12,59.29,59.29,57.19,57.86,47.47,5307900
2010-03-15,58.16,58.49,56.5,57.62,47.27,3164200
2010-03-16,57.77,58.5,57.6,57.76,47.38,1578600
2010-03-17,57.93,58.65,57.93,58.44,47.94,1957600
2010-03-18,58.74,58.94,58.41,58.55,48.03,1536600
2010-03-19,58.07,59.35,58.03,58.07,47.64,2280600
2010-03-22,57.87,59.06,57.87,59.0,48.4,1469900
2010-03-23,59.19,59.98,59.0,59.9,49.14,3117300
2010-03-24,59.98,59.98,58.97,59.1,48.48,1359600
2010-03-25,59.55,59.55,57.91,57.92,47.51,1605800
2010-03-26,58.3,58.79,58.05,58.61,48.08,1872600
2010-03-29,59.05,59.43,58.14,58.34,47.86,1505600
2010-03-30,58.24,58.56,58.0,58.22,47.76,855100
2010-03-31,58.11,58.26,57.3,57.41,47.1,1268100
