Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.2,28.4,28.0,28.1,21.08,2459700
2010-01-05,28.01,28.13,27.82,27.98,20.99,3789000
2010-01-06,27.89,28.15,27.76,28.06,21.05,2833300
2010-01-07,28.01,28.1,27.75,28.09,21.08,3108200
2010-01-08,28.08,28.08,27.78,27.91,20.94,2018500
2010-01-11,28.07,28.07,27.76,27.85,20.9,2830600
2010-01-12,27.78,27.87,27.58,27.7,20.78,3348500
2010-01-13,27.7,28.03,27.7,28.0,21.01,2877100
2010-01-14,28.04,28.22,27.83,28.18,21.14,2024600
2010-01-15,28.22,28.32,27.95,28.13,21.11,2962200
2010-01-19,28.14,28.5,28.07,28.39,21.3,2373000
2010-01-20,28.21,28.48,28.07,28.43,21.33,3231200
2010-01-21,28.5,28.79,27.75,27.8,20.86,5674300
2010-01-22,27.8,27.95,27.45,27.47,20.61,3961400
2010-01-25,27.74,27.95,27.55,27.76,20.83,3723400
2010-01-26,27.59,27.77,27.54,27.6,20.71,2755800
2010-01-27,27.52,27.64,27.36,27.61,20.72,3042000
2010-01-28,27.63,27.74,27.31,27.54,20.66,2713300
2010-01-29,27.62,28.24,27.41,27.99,21.0,5262400
2010-02-01,29.13,29.58,28.12,28.37,21.29,4867300
2010-02-02,28.37,28.41,27.96,28.16,21.13,3858200
2010-02-03,28.08,28.08,27.72,27.8,20.86,4014600
2010-02-04,27.6,27.69,27.29,27.29,20.48,4725600
2010-02-05,27.2,27.4,26.99,27.21,20.42,5184200
2010-02-08,27.21,27.36,27.0,27.0,20.26,3636000
2010-02-09,27.26,27.56,27.2,27.33,20.51,3986000
2010-02-10,27.28,27.58,27.1,27.42,20.57,2603300
2010-02-11,27.43,27.63,27.16,27.59,20.7,2168700
2010-02-12,27.4,27.62,27.21,27.54,20.66,3504300
2010-02-16,27.74,28.18,27.57,28.18,21.14,3251500
2010-02-17,28.44,28.72,28.12,28.47,21.36,3499300
2010-02-18,28.35,28.51,28.29,28.51,21.39,1697700
2010-02-19,28.41,29.19,28.35,29.14,21.86,4561300
2010-02-22,29.24,29.24,28.78,29.0,21.76,3335400
2010-02-23,29.0,29.14,28.57,28.92,21.7,3700100
2010-02-24,28.94,29.02,28.72,28.97,21.74,2479000
2010-02-25,28.79,29.21,28.36,29.21,21.92,4292900
2010-02-26,29.24,29.24,28.82,28.9,21.68,3585800
2010-03-01,28.92,29.07,28.77,28.97,21.74,2863500
2010-03-02,28.99,29.09,28.9,29.07,21.81,3402500
2010-03-03,29.06,29.19,28.62,28.75,21.57,3785800
2010-03-04,28.87,29.02,28.82,28.98,21.74,4064900
2010-03-05,29.09,29.14,28.9,29.04,21.79,4157300
2010-03-08,29.08,29.14,28.86,28.95,21.72,2702000
2010-03-09,28.86,29.08,28.66,28.7,21.53,3574600
2010-03-10,28.74,28.8,28.34,28.41,21.32,4636400
2010-03-11,28.3,28.65,28.3,28.65,21.5,4648100
2010-03-12,28.64,28.81,28.53,28.64,21.49,3725500
2010-03-15,28.59,28.75,28.52,28.68,21.52,2858900
2010-03-16,28.7,28.88,28.56,28.63,21.48,3459800
2010-03-17,28.73,29.23,28.64,29.06,21.8,4132700
2010-03-18,29.06,29.16,28.83,28.91,21.69,3137900
2010-03-19,28.77,29.1,28.56,28.77,21.59,4429100
2010-03-22,28.7,29.02,28.6,28.95,21.72,2573800
2010-03-23,28.94,29.47,28.91,29.43,22.08,5212400
2010-03-24,29.41,29.46,29.06,29.09,21.83,5040000
2010-03-25,29.26,29.3,28.99,29.01,21.77,3569100
2010-03-26,29.16,29.2,28.95,29.17,21.89,4010800
2010-03-29,29.26,29.68,29.18,29.68,22.27,3964300
2010-03-30,29.52,29.87,29.4,29.72,22.49,4161100
2010-03-31,29.63,29.68,29.45,29.5,22.32,3172200
2010-04-01,29.56,29.79,29.45,29.6,22.4,2442700
2010-04-05,29.7,29.93,29.6,29.73,22.5,2481400
2010-04-06,29.61,30.0,29.6,29.98,22.69,3734100
2010-04-07,29.97,29.97,29.71,29.81,22.56,3466200
2010-04-08,29.67,29.77,29.46,29.57,22.38,2170300
2010-04-09,29.65,29.88,29.5,29.88,22.61,3158500
2010-04-12,29.9,29.93,29.72,29.87,22.6,2369000
2010-04-13,29.85,30.32,29.72,30.28,22.91,3905900
2010-04-14,30.28,30.33,29.98,30.16,22.82,3709800
2010-04-15,30.2,30.2,29.66,29.92,22.64,4058100
2010-04-16,30.0,30.15,29.43,29.71,22.48,5219400
2010-04-19,29.68,29.94,29.65,29.92,22.64,2322900
2010-04-20,30.01,30.47,30.0,30.46,23.05,4258000
2010-04-21,30.49,30.66,30.38,30.5,23.08,3274400
2010-04-22,30.38,30.9,30.27,30.87,23.36,3782800
2010-04-23,30.86,31.25,30.65,31.19,23.6,4468100
2010-04-26,31.69,31.94,31.31,31.41,23.77,4952200
2010-04-27,31.28,31.32,30.61,30.62,23.17,4922100
2010-04-28,30.76,30.95,30.5,30.82,23.32,4115800
2010-04-29,30.98,31.45,30.98,31.23,23.63,4214100
2010-04-30,31.36,31.73,31.33,31.54,23.87,5748900
2010-05-03,31.61,31.99,30.71,31.03,23.48,6259800
2010-05-04,30.93,30.97,30.53,30.88,23.37,4766100
2010-05-05,30.59,31.08,30.51,31.04,23.49,5619000
2010-05-06,31.03,31.03,28.6,29.88,22.61,6028400
2010-05-07,29.74,29.84,29.19,29.43,22.27,9353900
2010-05-10,30.18,30.47,30.0,30.26,22.9,5954900
2010-05-11,29.99,30.81,29.98,30.38,22.99,5538200
2010-05-12,30.5,30.72,30.33,30.69,23.22,4460900
2010-05-13,30.7,31.03,30.62,30.75,23.27,4323400
2010-05-14,30.74,30.74,30.1,30.17,22.83,4150500
2010-05-17,30.15,30.47,29.98,30.37,22.98,3824400
2010-05-18,30.28,30.95,30.15,30.57,23.13,6408300
2010-05-19,30.45,30.55,30.03,30.44,23.03,4768200
2010-05-20,30.01,30.02,29.36,29.38,22.23,6627600
2010-05-21,29.03,29.54,28.63,29.54,22.35,7064800
2010-05-24,29.37,29.46,29.09,29.13,22.04,3410500
2010-05-25,28.81,28.9,28.43,28.9,21.87,6500200
2010-05-26,29.11,29.53,28.85,29.07,22.0,6556000
2010-05-27,29.33,29.85,29.23,29.85,22.59,4547700
2010-05-28,29.83,30.07,29.72,29.81,22.56,4687300
2010-06-01,29.63,30.12,29.27,29.59,22.39,4101400
2010-06-02,29.64,30.2,29.51,30.2,22.85,3310600
2010-06-03,30.24,30.39,29.95,30.18,22.84,3216300
2010-06-04,29.93,30.02,29.28,29.39,22.24,5893900
2010-06-07,29.42,29.79,29.34,29.5,22.32,6501100
2010-06-08,29.46,30.07,29.21,30.05,22.74,9283500
2010-06-09,30.14,30.72,30.14,30.39,23.0,8778800
2010-06-10,30.65,30.95,30.43,30.73,23.25,4178300
2010-06-11,30.52,30.99,30.41,30.95,23.42,5167700
2010-06-14,31.15,31.15,30.71,30.74,23.26,3526200
2010-06-15,30.85,31.03,30.76,30.94,23.41,3954800
2010-06-16,30.79,31.02,30.76,30.99,23.45,3167800
2010-06-17,30.96,31.16,30.79,31.02,23.47,3147900
2010-06-18,31.05,31.26,30.96,31.11,23.54,4118300
2010-06-21,31.36,31.5,30.79,30.88,23.37,3123300
2010-06-22,30.87,30.99,30.61,30.67,23.21,4617100
2010-06-23,30.55,30.62,30.2,30.43,23.03,3409400
2010-06-24,30.31,30.38,29.84,29.93,22.65,3202500
2010-06-25,29.94,29.98,29.5,29.61,22.41,4871500
2010-06-28,29.8,30.12,29.52,29.94,22.66,2716100
2010-06-29,29.6,29.74,29.07,29.22,22.11,5393800
2010-06-30,28.95,28.98,28.54,28.57,21.81,4355400
2010-07-01,28.49,28.63,28.33,28.54,21.78,8053300
2010-07-02,28.57,28.57,28.13,28.27,21.58,3627400
2010-07-06,28.6,28.74,28.2,28.39,21.67,3260300
2010-07-07,28.43,29.14,28.35,29.12,22.23,3209300
2010-07-08,29.12,29.5,29.06,29.45,22.48,2711900
2010-07-09,29.38,29.68,29.38,29.62,22.61,2480700
2010-07-12,29.58,29.75,29.37,29.55,22.55,2511100
2010-07-13,29.82,30.12,29.66,29.94,22.85,2992500
2010-07-14,29.84,30.09,29.68,29.97,22.87,2599700
2010-07-15,29.91,30.23,29.75,30.18,23.03,2854200
2010-07-16,30.15,30.18,29.57,29.87,22.8,4462600
2010-07-19,29.94,29.99,29.6,29.85,22.78,2844000
2010-07-20,29.63,30.42,29.63,30.37,23.18,3882700
2010-07-21,30.46,30.46,29.93,30.01,22.9,3058000
2010-07-22,30.08,30.74,30.01,30.58,23.34,3029400
2010-07-23,30.59,30.94,30.4,30.94,23.61,2759300
2010-07-26,31.0,31.15,30.77,31.15,23.77,2143900
2010-07-27,31.21,31.27,30.89,30.95,23.62,3397500
2010-07-28,30.85,31.06,30.84,30.85,23.55,2172700
2010-07-29,31.08,31.09,30.61,30.78,23.49,2215600
2010-07-30,30.47,31.09,30.42,30.97,23.64,2137100
2010-08-02,31.29,31.48,31.15,31.37,23.94,2564400
2010-08-03,31.19,31.55,31.19,31.44,24.0,2106100
2010-08-04,31.43,31.43,30.91,31.28,23.87,3867600
2010-08-05,31.19,31.19,30.84,30.88,23.57,3675300
2010-08-06,30.61,30.75,30.37,30.61,23.36,4305000
2010-08-09,30.67,31.2,30.67,31.05,23.7,2820400
2010-08-10,30.87,31.14,30.81,30.95,23.62,3183500
2010-08-11,30.55,30.67,30.09,30.18,23.03,4159300
2010-08-12,29.81,30.34,29.81,30.21,23.06,3217200
2010-08-13,30.09,30.13,29.89,29.98,22.88,3217000
2010-08-16,29.83,29.83,28.94,29.28,22.35,6279300
2010-08-17,29.55,29.85,28.99,29.2,22.29,5365400
2010-08-18,29.18,29.25,28.72,28.9,22.06,3883200
2010-08-19,28.88,28.89,28.18,28.3,21.6,4772000
2010-08-20,28.12,28.53,28.0,28.48,21.74,5220100
2010-08-23,28.65,28.87,28.49,28.63,21.85,3748500
2010-08-24,28.33,28.41,27.92,27.97,21.35,4493600
2010-08-25,27.77,28.34,27.77,28.23,21.55,2706400
2010-08-26,28.26,28.29,27.82,27.84,21.25,2561900
2010-08-27,27.91,28.29,27.61,28.05,21.41,3227900
2010-08-30,27.99,28.06,27.27,27.29,20.83,5471500
2010-08-31,27.26,27.62,27.13,27.49,20.98,5315000
2010-09-01,27.75,28.17,27.54,28.14,21.48,4095000
2010-09-02,28.03,28.47,28.01,28.44,21.71,3150900
2010-09-03,28.54,28.67,28.25,28.56,21.8,2534400
2010-09-07,28.48,28.59,28.26,28.33,21.62,2776800
2010-09-08,28.33,28.46,28.25,28.39,21.67,2031400
2010-09-09,28.58,28.74,28.45,28.49,21.74,2343100
2010-09-10,28.51,28.83,28.46,28.77,21.96,2905100
2010-09-13,28.94,29.09,28.66,28.96,22.1,2981000
2010-09-14,28.96,28.99,28.69,28.74,21.94,3409700
2010-09-15,28.77,29.08,28.63,29.01,22.14,2709200
2010-09-16,29.01,29.15,28.9,29.1,22.21,2064400
2010-09-17,29.26,29.43,29.14,29.17,22.26,3257400
2010-09-20,29.18,29.64,29.17,29.59,22.58,2660700
2010-09-21,29.55,29.85,29.35,29.72,22.68,8557200
2010-09-22,29.69,29.95,29.59,29.77,22.72,4494500
2010-09-23,29.56,29.76,29.39,29.54,22.55,4437400
2010-09-24,29.68,30.1,29.68,29.98,22.88,2572600
2010-09-27,30.05,30.05,29.54,29.55,22.55,2462300
2010-09-28,29.61,29.63,29.16,29.55,22.55,3102500
2010-09-29,29.15,29.35,28.85,28.98,22.31,3459400
2010-09-30,28.75,28.84,28.21,28.52,21.95,6643400
2010-10-01,28.75,28.75,28.02,28.58,22.0,4841400
2010-10-04,28.53,28.71,28.22,28.33,21.81,3372100
2010-10-05,28.48,28.83,28.4,28.75,22.13,4020400
2010-10-06,28.84,28.84,28.48,28.52,21.95,2396000
2010-10-07,28.64,28.68,28.43,28.61,22.02,2343700
2010-10-08,28.59,28.63,28.33,28.53,21.96,2433600
2010-10-11,28.53,28.71,28.49,28.6,22.01,2455700
2010-10-12,28.54,28.68,28.39,28.58,22.0,1891900
2010-10-13,28.65,28.99,28.61,28.9,22.25,3220800
2010-10-14,28.85,29.24,28.85,29.09,22.39,3964900
2010-10-15,29.3,29.44,29.14,29.2,22.48,3664400
2010-10-18,29.18,29.27,29.02,29.2,22.48,2012400
2010-10-19,28.94,29.08,28.65,28.78,22.15,2942500
2010-10-20,28.88,29.32,28.87,29.04,22.35,2405300
2010-10-21,29.13,29.47,29.06,29.35,22.59,3804400
2010-10-22,29.44,29.71,29.27,29.56,22.75,1998200
2010-10-25,29.75,29.85,29.46,29.55,22.75,2265000
2010-10-26,29.44,29.54,29.32,29.5,22.71,2118500
2010-10-27,29.42,29.54,29.13,29.41,22.64,2620300
2010-10-28,29.59,29.78,29.43,29.72,22.88,2709000
2010-10-29,29.66,29.75,29.34,29.46,22.68,3610300
2010-11-01,29.59,29.96,29.42,29.59,22.78,3097300
2010-11-02,29.83,29.99,29.76,29.8,22.94,2218500
2010-11-03,29.79,29.97,29.66,29.91,23.02,2414000
2010-11-04,30.07,30.18,29.81,30.13,23.19,3346200
2010-11-05,30.06,30.17,29.91,30.03,23.12,3087100
2010-11-08,29.85,29.9,29.01,29.23,22.5,7240300
2010-11-09,29.22,29.3,28.73,28.79,22.16,6200100
2010-11-10,28.77,28.87,28.59,28.87,22.22,4255600
2010-11-11,28.75,28.83,28.62,28.62,22.03,3924200
2010-11-12,28.52,28.72,28.5,28.69,22.08,3876200
2010-11-15,28.83,28.98,28.72,28.92,22.26,2945600
2010-11-16,28.76,28.97,28.69,28.78,22.15,4173200
2010-11-17,28.78,28.81,28.57,28.67,22.07,2989200
2010-11-18,28.79,29.1,28.79,29.0,22.32,2434100
2010-11-19,28.95,29.02,28.67,28.84,22.2,4602100
2010-11-22,28.68,29.09,28.67,29.03,22.35,2959900
2010-11-23,29.28,29.29,29.0,29.06,22.37,4033100
2010-11-24,29.25,29.37,29.0,29.26,22.52,3199800
2010-11-26,29.0,29.1,28.9,28.96,22.29,1806100
2010-11-29,28.85,29.1,28.75,29.03,22.35,2869800
2010-11-30,28.75,29.11,28.75,29.02,22.34,3447500
2010-12-01,29.27,29.49,29.14,29.4,22.63,3304500
2010-12-02,29.44,29.46,28.75,29.31,22.56,6805200
2010-12-03,29.24,29.35,28.97,29.3,22.55,3269200
2010-12-06,29.25,29.37,29.16,29.25,22.51,2022300
2010-12-07,29.4,29.4,29.15,29.17,22.45,3422600
2010-12-08,29.19,29.43,29.19,29.43,22.65,2948100
2010-12-09,29.41,29.48,29.18,29.34,22.58,2515500
2010-12-10,29.3,29.46,29.25,29.42,22.65,1939300
2010-12-13,29.44,29.57,29.39,29.42,22.65,2631600
2010-12-14,29.41,29.46,29.09,29.17,22.45,3600800
2010-12-15,29.08,29.32,29.08,29.19,22.47,2409300
2010-12-16,29.29,29.43,29.21,29.3,22.55,2674500
2010-12-17,29.25,29.31,29.15,29.3,22.55,3177500
2010-12-20,29.32,29.46,29.23,29.36,22.6,1862100
2010-12-21,29.4,29.5,29.24,29.33,22.58,1911300
2010-12-22,29.38,29.39,29.15,29.2,22.48,2666400
2010-12-23,29.11,29.17,28.98,29.05,22.36,2994200
2010-12-27,28.94,29.15,28.94,29.06,22.37,1556100
2010-12-28,29.06,29.11,28.95,29.06,22.37,2250000
2010-12-29,29.16,29.3,29.13,29.18,22.46,1618100
2010-12-30,29.09,29.39,29.08,29.38,22.62,2650800
2010-12-31,29.32,29.54,29.29,29.4,22.63,2396000
2011-01-03,29.53,29.53,29.2,29.21,22.48,3888600
2011-01-04,29.33,29.71,29.13,29.66,22.83,6564300
2011-01-05,29.5,29.67,29.28,29.67,23.04,5236400
2011-01-06,29.66,29.95,29.57,29.86,23.19,4078200
2011-01-07,29.91,30.41,29.88,30.36,23.58,5931800
2011-01-10,30.16,30.47,30.0,30.08,23.36,5621700
2011-01-11,30.19,30.25,29.84,30.11,23.38,3884300
2011-01-12,30.23,30.49,30.09,30.46,23.65,3225800
2011-01-13,30.45,30.52,30.3,30.5,23.68,5850000
2011-01-14,30.45,30.54,30.34,30.45,23.65,3764300
2011-01-18,30.01,30.45,29.95,30.03,23.32,5815000
2011-01-19,30.0,30.03,29.86,29.96,23.27,3399300
