Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,43.66,44.59,43.59,43.99,36.74,1935200
2010-01-05,44.04,44.34,43.44,44.28,36.98,1217000
2010-01-06,44.11,45.07,44.05,44.96,37.55,1699600
2010-01-07,45.08,46.97,45.02,46.89,39.16,3562300
2010-01-08,46.53,46.6,45.5,46.01,38.43,3589200
2010-01-11,46.23,47.02,45.9,46.68,38.99,3001300
2010-01-12,46.34,46.58,45.35,46.44,38.79,8526400
2010-01-13,46.43,46.98,46.12,46.88,39.15,3054800
2010-01-14,46.49,46.63,45.23,45.36,37.88,5030400
2010-01-15,45.46,45.69,44.76,45.37,37.89,4630800
2010-01-19,45.23,45.3,44.03,44.1,36.83,3526400
2010-01-20,43.76,43.83,42.91,43.1,36.0,3555500
2010-01-21,42.86,43.16,41.57,41.77,34.89,5403200
2010-01-22,41.67,41.87,40.68,40.79,34.07,3137700
2010-01-25,41.87,42.01,41.33,41.73,34.85,2716900
2010-01-26,41.71,41.96,41.23,41.47,34.63,2257100
2010-01-27,41.32,41.76,40.87,41.37,34.55,1781900
2010-01-28,41.59,41.62,40.66,40.82,34.09,1503800
2010-01-29,41.2,41.65,40.54,40.61,33.92,2234700
2010-02-01,40.61,41.14,40.61,41.1,34.33,1388500
2010-02-02,41.2,42.13,41.2,42.05,35.12,1613700
2010-02-03,41.82,42.01,41.35,41.63,34.77,1314200
2010-02-04,41.32,41.58,39.89,40.0,33.41,2358500
2010-02-05,39.95,40.02,38.89,39.7,33.16,3333400
2010-02-08,39.74,40.09,39.17,39.79,33.23,1866100
2010-02-09,40.35,40.35,39.34,40.07,33.47,2424400
2010-02-10,40.79,41.74,40.69,41.14,34.36,3484500
2010-02-11,41.11,41.64,40.69,41.54,34.69,2170100
2010-02-12,40.95,41.57,40.92,41.51,34.67,1216600
2010-02-16,41.81,42.1,41.63,42.08,35.14,1378200
2010-02-17,42.79,43.12,42.36,43.05,35.95,2188200
2010-02-18,42.88,43.38,42.7,43.35,36.2,1290700
2010-02-19,43.26,43.62,43.02,43.54,36.36,1679100
2010-02-22,43.62,43.74,43.33,43.51,36.34,1120700
2010-02-23,43.51,43.71,42.81,42.94,35.86,1264500
2010-02-24,43.07,43.72,42.87,43.69,36.49,1285400
2010-02-25,42.88,43.82,42.55,43.78,36.56,1881500
2010-02-26,43.78,44.55,43.65,44.39,37.07,2042600
2010-03-01,44.5,45.74,44.33,45.59,38.08,2148700
2010-03-02,45.57,45.8,44.73,44.9,37.5,1622500
2010-03-03,45.13,45.56,44.83,44.97,37.56,1545600
2010-03-04,45.1,45.71,45.03,45.43,37.94,930400
2010-03-05,45.63,46.05,45.39,45.94,38.37,1306600
2010-03-08,45.72,46.28,45.72,46.01,38.43,919000
2010-03-09,45.96,46.15,45.6,45.87,38.31,1382600
2010-03-10,45.82,46.11,45.61,45.89,38.33,1025400
2010-03-11,45.65,45.75,45.04,45.6,38.08,1307900
2010-03-12,45.94,46.15,45.45,46.0,38.42,939200
2010-03-15,45.78,46.11,45.46,46.04,38.45,864000
2010-03-16,46.06,48.01,45.96,47.99,40.08,3199700
2010-03-17,48.01,48.07,47.09,47.39,39.58,2502400
2010-03-18,46.98,48.38,46.92,47.58,39.91,2411600
2010-03-19,47.25,48.0,46.88,47.25,39.63,2537500
2010-03-22,44.83,47.49,44.75,47.41,39.76,7936900
2010-03-23,48.15,48.18,47.21,47.76,40.06,2600700
2010-03-24,46.89,47.37,46.63,47.33,39.7,2326700
2010-03-25,47.7,47.91,47.05,47.09,39.5,2007600
2010-03-26,47.29,47.94,47.03,47.32,39.69,1409500
2010-03-29,47.54,47.56,47.04,47.28,39.65,1096900
2010-03-30,47.34,47.63,46.62,46.92,39.35,1615100
2010-03-31,46.75,47.7,46.7,47.49,39.83,2895800
2010-04-01,47.85,48.32,47.78,48.25,40.47,1665300
2010-04-05,48.28,49.17,47.99,49.12,41.2,1216500
2010-04-06,48.39,49.33,48.39,49.2,41.26,1389200
2010-04-07,48.98,49.27,48.55,48.81,40.94,1750400
2010-04-08,48.94,49.66,48.5,49.43,41.46,1786300
2010-04-09,49.51,49.82,49.03,49.79,41.76,884300
2010-04-12,49.85,50.01,49.73,49.81,41.78,1407800
2010-04-13,49.78,50.5,49.68,50.34,42.22,1677600
2010-04-14,50.61,51.23,50.49,51.14,42.89,1406000
2010-04-15,51.39,51.39,50.64,50.9,42.69,1934200
2010-04-16,50.78,51.16,49.78,50.2,42.1,1805700
2010-04-19,50.04,50.34,48.59,49.38,41.42,1907800
2010-04-20,49.79,50.22,49.13,49.48,41.5,1340900
2010-04-21,49.48,50.6,49.29,50.38,42.25,1206100
2010-04-22,49.94,51.18,49.53,50.91,42.7,1495100
2010-04-23,50.91,51.5,50.6,51.46,43.16,970100
2010-04-26,51.62,52.19,51.46,51.94,43.56,1604100
