Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.0,9.16,8.94,9.01,6.73,25150000
2010-01-05,8.98,9.26,8.98,9.25,6.91,21218400
2010-01-06,9.26,9.32,9.19,9.29,6.93,14987600
2010-01-07,9.69,9.94,9.56,9.77,7.29,54589200
2010-01-08,9.58,9.65,9.51,9.64,7.19,23387600
2010-01-11,9.7,9.71,9.56,9.62,7.18,14601600
2010-01-12,9.57,9.59,9.47,9.53,7.12,11583200
2010-01-13,9.55,9.59,9.48,9.57,7.14,10988400
2010-01-14,9.57,9.57,9.4,9.45,7.05,10920000
2010-01-15,9.43,9.53,9.28,9.32,6.96,15785600
2010-01-19,9.3,9.47,9.3,9.47,7.07,10318000
2010-01-20,9.42,9.42,9.29,9.35,6.98,8459200
2010-01-21,9.38,9.4,9.2,9.21,6.88,16357200
2010-01-22,9.2,9.33,9.16,9.19,6.86,18534400
2010-01-25,9.27,9.32,9.19,9.25,6.91,12041200
2010-01-26,9.24,9.61,9.24,9.52,7.11,24568800
2010-01-27,9.53,9.65,9.46,9.6,7.16,16262800
2010-01-28,9.61,9.66,9.52,9.56,7.13,21763600
2010-01-29,9.6,9.71,9.5,9.5,7.09,17224000
2010-02-01,9.53,9.69,9.53,9.62,7.18,20108800
2010-02-02,9.69,9.81,9.69,9.81,7.32,23249200
2010-02-03,9.79,9.81,9.63,9.69,7.23,18726400
2010-02-04,9.69,9.72,9.53,9.54,7.12,20372800
2010-02-05,9.56,9.62,9.43,9.58,7.15,19836000
2010-02-08,9.59,9.59,9.45,9.45,7.05,10746800
2010-02-09,9.53,9.54,9.42,9.48,7.17,11654400
2010-02-10,9.48,9.53,9.35,9.4,7.11,16517600
2010-02-11,9.4,9.41,9.31,9.38,7.09,18852400
2010-02-12,9.29,9.42,9.28,9.4,7.11,14347200
2010-02-16,9.45,9.62,9.44,9.62,7.27,11754000
2010-02-17,9.66,9.74,9.66,9.7,7.33,11612000
2010-02-18,9.7,9.8,9.63,9.77,7.39,12093200
2010-02-19,9.75,9.85,9.74,9.79,7.4,11656400
2010-02-22,9.82,9.87,9.74,9.84,7.44,16239600
2010-02-23,9.85,9.88,9.7,9.8,7.41,18218400
2010-02-24,9.84,10.14,9.72,10.13,7.66,28059200
2010-02-25,9.97,10.48,9.94,10.44,7.89,42669200
2010-02-26,10.4,10.52,10.4,10.41,7.87,25156800
2010-03-01,10.41,10.45,10.27,10.42,7.88,21328000
2010-03-02,10.43,10.43,10.23,10.27,7.76,21886400
2010-03-03,10.31,10.36,10.24,10.29,7.78,18950800
2010-03-04,10.31,10.36,10.13,10.26,7.76,30528400
2010-03-05,10.32,10.38,10.25,10.38,7.85,15568400
2010-03-08,10.39,10.41,10.32,10.39,7.85,11134400
2010-03-09,10.4,10.48,10.35,10.41,7.87,11187200
2010-03-10,10.42,10.49,10.36,10.47,7.91,11386800
2010-03-11,10.44,10.49,10.41,10.44,7.9,15973200
2010-03-12,10.49,10.59,10.45,10.53,7.96,18422000
2010-03-15,10.52,10.73,10.5,10.72,8.1,19232000
2010-03-16,10.73,10.81,10.71,10.81,8.17,15599200
2010-03-17,10.85,10.85,10.75,10.77,8.15,11718000
2010-03-18,10.83,10.85,10.69,10.79,8.16,14771200
2010-03-19,10.74,10.85,10.72,10.74,8.12,14452000
2010-03-22,10.71,10.97,10.71,10.9,8.24,11164000
2010-03-23,10.94,10.97,10.79,10.88,8.23,13295200
2010-03-24,10.83,10.92,10.74,10.81,8.17,11494800
2010-03-25,10.88,10.98,10.81,10.88,8.23,13332400
2010-03-26,10.91,10.94,10.76,10.83,8.19,14900400
2010-03-29,10.85,10.89,10.72,10.82,8.18,10122000
2010-03-30,10.85,10.92,10.77,10.8,8.17,10436400
2010-03-31,10.76,10.79,10.59,10.63,8.04,16798400
2010-04-01,10.66,10.73,10.6,10.68,8.07,15062800
2010-04-05,10.7,11.1,10.7,11.09,8.38,19350400
2010-04-06,11.07,11.24,11.06,11.18,8.45,23748800
2010-04-07,11.16,11.23,11.08,11.15,8.43,19917200
2010-04-08,11.22,11.34,11.02,11.2,8.47,28156800
2010-04-09,11.15,11.24,11.03,11.21,8.47,19628400
2010-04-12,11.27,11.44,11.21,11.4,8.62,23136800
2010-04-13,11.4,11.58,11.39,11.54,8.72,24128800
2010-04-14,11.58,11.62,11.48,11.59,8.76,21797600
2010-04-15,11.51,11.59,11.46,11.56,8.74,14717200
2010-04-16,11.51,11.56,11.32,11.42,8.63,18930000
2010-04-19,11.41,11.43,11.22,11.37,8.6,12028800
2010-04-20,11.44,11.55,11.38,11.5,8.69,15922800
2010-04-21,11.5,11.75,11.47,11.72,8.86,19800000
2010-04-22,11.64,11.97,11.61,11.92,9.01,22151600
2010-04-23,11.98,12.02,11.82,12.0,9.07,18674000
2010-04-26,12.02,12.12,11.95,11.97,9.05,18838400
2010-04-27,11.97,12.05,11.74,11.75,8.88,22747600
2010-04-28,11.84,11.84,11.61,11.68,8.83,17229200
2010-04-29,11.75,11.9,11.7,11.82,8.93,11159200
2010-04-30,11.85,11.92,11.57,11.59,8.76,17192400
2010-05-03,11.65,11.87,11.56,11.78,8.91,11823600
2010-05-04,11.69,11.69,11.39,11.42,8.63,20402400
2010-05-05,11.35,11.87,11.34,11.58,8.76,32731200
2010-05-06,11.31,11.44,10.5,11.16,8.44,39842000
2010-05-07,11.16,11.26,10.77,10.92,8.25,39581600
2010-05-10,11.49,11.59,11.19,11.44,8.65,31853600
2010-05-11,11.38,11.56,11.29,11.44,8.76,29705200
2010-05-12,11.48,11.64,11.39,11.62,8.91,18633600
2010-05-13,11.62,11.62,11.29,11.34,8.69,16810800
2010-05-14,11.3,11.46,11.19,11.31,8.67,25194800
2010-05-17,11.36,11.42,11.15,11.31,8.67,31241200
2010-05-18,10.93,11.15,10.8,10.92,8.37,60626800
2010-05-19,10.78,10.9,10.6,10.8,8.27,31250400
2010-05-20,10.53,11.15,10.52,10.86,8.32,41963200
2010-05-21,10.71,11.09,10.63,10.99,8.42,32782800
2010-05-24,11.01,11.14,10.91,10.99,8.42,20535200
2010-05-25,10.81,11.35,10.75,11.34,8.69,45020400
2010-05-26,11.36,11.43,11.08,11.12,8.52,34085200
2010-05-27,11.28,11.51,11.27,11.5,8.81,24119600
2010-05-28,11.51,11.54,11.29,11.36,8.71,17404400
2010-06-01,11.34,11.47,11.24,11.32,8.67,22347200
2010-06-02,11.34,11.53,11.19,11.53,8.83,23363600
2010-06-03,11.74,11.84,11.52,11.57,8.87,25001200
2010-06-04,11.44,11.49,11.09,11.12,8.52,20826800
2010-06-07,11.19,11.27,10.98,10.99,8.42,19822400
2010-06-08,10.97,11.21,10.91,11.19,8.57,19082800
2010-06-09,11.24,11.49,11.21,11.26,8.62,21578800
2010-06-10,11.38,11.57,11.34,11.56,8.85,17652400
2010-06-11,11.42,11.6,11.38,11.51,8.82,13090000
2010-06-14,11.56,11.65,11.42,11.52,8.83,15635600
2010-06-15,11.53,11.65,11.47,11.65,8.93,15308800
2010-06-16,11.61,11.69,11.52,11.57,8.87,11748000
2010-06-17,11.58,11.58,11.36,11.48,8.79,14716000
2010-06-18,11.49,11.67,11.44,11.49,8.8,23258000
2010-06-21,11.55,11.58,11.21,11.27,8.63,15923200
2010-06-22,11.29,11.42,11.11,11.12,8.52,15103200
2010-06-23,11.09,11.26,11.0,11.18,8.56,14835200
2010-06-24,11.2,11.2,10.98,11.03,8.45,16884800
2010-06-25,11.04,11.04,10.78,10.78,8.26,42094800
2010-06-28,10.82,10.93,10.77,10.81,8.28,22371600
2010-06-29,10.65,10.75,10.46,10.51,8.05,37787200
2010-06-30,10.52,10.68,10.45,10.49,8.03,22856400
2010-07-01,10.48,10.74,10.38,10.73,8.22,25504800
2010-07-02,10.74,10.8,10.56,10.59,8.11,16530800
2010-07-06,10.83,10.88,10.52,10.6,8.12,20384800
2010-07-07,10.65,10.88,10.59,10.88,8.33,21030000
2010-07-08,10.72,10.76,10.23,10.38,7.95,60300000
2010-07-09,10.4,10.44,10.3,10.43,7.99,21342400
2010-07-12,10.43,10.52,10.4,10.5,8.04,17173600
2010-07-13,10.62,10.73,10.53,10.69,8.19,16077600
2010-07-14,10.68,10.68,10.51,10.62,8.13,15658000
2010-07-15,10.6,10.74,10.51,10.72,8.21,17447200
2010-07-16,10.69,10.69,10.27,10.31,7.9,22644400
2010-07-19,10.3,10.45,10.3,10.35,7.93,16252400
2010-07-20,10.25,10.52,10.15,10.51,8.05,24265200
2010-07-21,10.56,10.6,10.38,10.43,7.99,16099200
2010-07-22,10.51,10.64,10.5,10.56,8.09,17628400
2010-07-23,10.57,10.73,10.5,10.72,8.21,11149200
2010-07-26,10.69,10.74,10.59,10.74,8.23,11866400
2010-07-27,10.77,10.77,10.45,10.56,8.09,21420400
2010-07-28,10.57,10.7,10.38,10.41,7.97,13912800
2010-07-29,10.45,10.49,10.02,10.23,7.84,31251200
2010-07-30,10.17,10.4,10.11,10.38,7.95,22669600
2010-08-02,10.48,10.59,10.43,10.5,8.04,21837600
2010-08-03,10.45,10.48,10.16,10.26,7.86,18084000
2010-08-04,10.33,10.4,10.26,10.28,7.88,20658400
2010-08-05,10.22,10.6,10.15,10.5,8.04,33055600
2010-08-06,10.43,10.43,10.24,10.42,7.98,14827600
2010-08-09,10.44,10.77,10.44,10.74,8.23,16317600
2010-08-10,10.66,10.75,10.58,10.67,8.29,13744400
2010-08-11,10.51,10.57,10.39,10.45,8.12,13313200
2010-08-12,10.34,10.47,10.28,10.44,8.11,13210000
2010-08-13,10.39,10.41,10.22,10.23,7.94,12652800
2010-08-16,10.17,10.49,10.15,10.34,8.04,19738000
2010-08-17,10.43,10.62,10.41,10.44,8.12,18663600
2010-08-18,10.44,10.56,10.34,10.52,8.18,15988400
2010-08-19,10.47,10.6,10.35,10.48,8.14,21726400
2010-08-20,10.4,10.55,10.39,10.44,8.12,14730400
2010-08-23,10.46,10.54,10.35,10.35,8.05,13467200
2010-08-24,10.26,10.38,10.17,10.19,7.91,17089200
2010-08-25,10.16,10.32,10.07,10.27,7.98,14884000
2010-08-26,10.28,10.3,10.11,10.14,7.88,13259200
2010-08-27,10.19,10.37,10.07,10.28,7.99,13750400
2010-08-30,10.23,10.31,10.1,10.1,7.85,10481600
2010-08-31,10.04,10.1,9.89,9.92,7.71,23908000
2010-09-01,10.04,10.31,10.01,10.22,7.94,20370000
2010-09-02,10.19,10.43,10.19,10.36,8.05,13010800
2010-09-03,10.41,10.5,10.35,10.47,8.14,11308400
2010-09-07,10.44,10.46,10.22,10.23,7.95,12161600
2010-09-08,10.25,10.36,10.19,10.31,8.01,10622800
2010-09-09,10.4,10.41,10.24,10.28,7.99,10110800
2010-09-10,10.27,10.38,10.25,10.28,7.99,6993600
2010-09-13,10.33,10.38,10.28,10.31,8.01,13630000
2010-09-14,10.34,10.62,10.32,10.56,8.2,15385200
2010-09-15,10.54,10.65,10.5,10.63,8.26,11360400
2010-09-16,10.57,10.74,10.56,10.7,8.31,11464800
2010-09-17,10.71,10.74,10.61,10.7,8.32,12915200
2010-09-20,10.7,10.81,10.62,10.78,8.38,14332000
2010-09-21,10.79,10.81,10.62,10.73,8.34,12730000
2010-09-22,10.76,10.95,10.73,10.88,8.45,17305600
2010-09-23,10.83,11.12,10.8,11.04,8.58,16927200
2010-09-24,11.15,11.28,11.07,11.26,8.75,10434000
2010-09-27,11.24,11.28,11.19,11.21,8.71,8706000
2010-09-28,11.19,11.34,11.13,11.31,8.78,11680000
2010-09-29,11.2,11.3,11.17,11.24,8.73,10603600
2010-09-30,11.26,11.31,11.06,11.16,8.67,16595600
2010-10-01,11.24,11.29,11.07,11.14,8.65,11538800
2010-10-04,11.07,11.28,11.07,11.14,8.65,11993600
2010-10-05,11.2,11.24,10.9,11.18,8.68,18498400
2010-10-06,11.12,11.19,11.03,11.14,8.66,12125600
2010-10-07,11.04,11.21,10.94,11.04,8.58,19855200
2010-10-08,11.03,11.27,11.03,11.17,8.68,12310400
2010-10-11,11.16,11.35,11.16,11.25,8.74,8489200
2010-10-12,11.21,11.25,11.15,11.2,8.71,8760400
2010-10-13,11.24,11.25,11.1,11.11,8.63,11612000
2010-10-14,11.12,11.24,11.06,11.13,8.65,9311200
2010-10-15,11.16,11.29,11.14,11.26,8.75,13876400
2010-10-18,11.26,11.33,11.18,11.3,8.78,9969200
2010-10-19,11.19,11.27,11.09,11.14,8.66,15020000
2010-10-20,11.14,11.32,11.12,11.24,8.73,9651200
2010-10-21,11.32,11.33,11.11,11.22,8.71,10041200
2010-10-22,11.23,11.33,11.16,11.22,8.71,7792400
2010-10-25,11.29,11.44,11.28,11.42,8.87,11810800
2010-10-26,11.38,11.57,11.35,11.53,8.96,11458800
2010-10-27,11.48,11.58,11.35,11.57,8.99,16717200
2010-10-28,11.62,11.65,11.4,11.61,9.02,11505600
2010-10-29,11.57,11.59,11.44,11.47,8.91,12355200
2010-11-01,11.51,11.56,11.4,11.46,8.91,11640400
2010-11-02,11.53,11.63,11.51,11.59,9.0,10496000
2010-11-03,11.61,11.72,11.59,11.7,9.09,13458400
2010-11-04,11.74,11.79,11.68,11.72,9.1,15990000
2010-11-05,11.8,11.8,11.66,11.77,9.15,24245600
2010-11-08,11.51,11.54,11.41,11.51,9.06,26235200
2010-11-09,11.52,11.52,11.33,11.37,8.95,16245200
2010-11-10,11.36,11.43,11.23,11.41,8.98,17557600
2010-11-11,11.31,11.5,11.23,11.44,9.0,16743600
2010-11-12,11.37,11.51,11.36,11.45,9.01,14742000
2010-11-15,11.47,11.51,11.35,11.43,8.99,12323200
2010-11-16,11.39,11.55,11.2,11.26,8.86,24279600
2010-11-17,11.24,11.46,11.24,11.35,8.93,13997600
2010-11-18,11.46,11.57,11.44,11.46,9.02,12773600
2010-11-19,11.47,11.53,11.35,11.52,9.07,10537600
2010-11-22,11.47,11.59,11.43,11.57,9.1,8134400
2010-11-23,11.5,11.6,11.4,11.46,9.02,11434400
2010-11-24,11.52,11.64,11.48,11.62,9.15,7298000
2010-11-26,11.57,11.61,11.51,11.59,9.12,3559600
2010-11-29,11.52,11.52,11.23,11.32,8.91,17368800
2010-11-30,11.26,11.49,11.25,11.4,8.97,13891600
2010-12-01,11.57,11.6,11.34,11.4,8.97,20089200
2010-12-02,11.04,11.24,10.97,11.13,8.76,36527600
2010-12-03,11.06,11.32,11.0,11.32,8.91,15945200
2010-12-06,11.31,11.32,11.23,11.25,8.85,10750400
2010-12-07,11.32,11.36,11.19,11.22,8.83,15885600
2010-12-08,11.22,11.25,11.12,11.18,8.8,13340800
2010-12-09,11.24,11.3,11.16,11.24,8.85,8174400
2010-12-10,11.24,11.3,11.12,11.27,8.87,10462400
2010-12-13,11.31,11.34,11.01,11.03,8.68,20941600
2010-12-14,11.06,11.19,11.01,11.11,8.75,11828400
2010-12-15,11.07,11.09,10.97,10.97,8.63,14016000
2010-12-16,10.98,11.01,10.87,10.95,8.62,18336800
2010-12-17,10.91,10.94,10.83,10.86,8.55,22137200
2010-12-20,10.86,11.0,10.8,10.97,8.64,14204000
2010-12-21,11.0,11.09,10.94,11.05,8.7,19540000
2010-12-22,11.05,11.14,11.02,11.09,8.73,14027200
2010-12-23,11.05,11.15,11.04,11.12,8.75,9210000
2010-12-27,11.07,11.13,11.02,11.08,8.72,6644800
2010-12-28,11.08,11.15,11.04,11.1,8.73,5502800
2010-12-29,11.1,11.19,11.09,11.16,8.78,5082400
2010-12-30,11.16,11.2,11.12,11.18,8.8,4557600
2010-12-31,11.19,11.19,11.09,11.1,8.73,5143600
2011-01-03,11.14,11.16,10.9,10.95,8.62,17199600
2011-01-04,10.96,10.99,10.89,10.9,8.57,19881600
2011-01-05,10.85,10.86,10.64,10.75,8.46,25108000
2011-01-06,11.01,11.43,10.96,11.38,8.96,38274400
2011-01-07,11.45,11.49,11.33,11.41,8.98,20852400
2011-01-10,11.35,11.48,11.34,11.4,8.97,13473200
2011-01-11,11.47,11.53,11.4,11.42,8.99,10658000
2011-01-12,11.45,11.53,11.41,11.47,9.03,9164000
2011-01-13,11.44,11.52,11.36,11.38,8.96,9977200
2011-01-14,11.37,11.52,11.31,11.49,9.04,9288000
2011-01-18,11.45,11.56,11.45,11.55,9.09,8262400
2011-01-19,11.55,11.74,11.54,11.69,9.2,17284000
2011-01-20,11.65,11.81,11.61,11.76,9.25,16716800
2011-01-21,11.79,11.85,11.74,11.81,9.29,10714000
2011-01-24,11.61,11.96,11.61,11.89,9.36,13827200
2011-01-25,11.9,12.15,11.85,12.14,9.55,23531200
2011-01-26,12.12,12.19,12.04,12.15,9.56,11026000
2011-01-27,12.15,12.18,12.06,12.15,9.56,15887600
2011-01-28,12.14,12.19,11.9,11.93,9.39,12730400
2011-01-31,11.89,11.91,11.77,11.85,9.32,13853200
2011-02-01,11.89,12.06,11.83,11.98,9.43,15170000
2011-02-02,11.92,11.97,11.74,11.78,9.27,14307600
2011-02-03,12.06,12.46,11.99,12.38,9.74,20138400
2011-02-04,12.37,12.45,12.35,12.43,9.78,12095200
2011-02-07,12.41,12.52,12.37,12.45,9.8,12272400
2011-02-08,12.41,12.48,12.36,12.46,9.93,7539200
2011-02-09,12.42,12.5,12.29,12.34,9.83,10389600
2011-02-10,12.31,12.51,12.3,12.49,9.95,8946000
2011-02-11,12.44,12.75,12.4,12.7,10.12,13222800
2011-02-14,12.54,12.59,12.37,12.39,9.87,9563200
2011-02-15,12.38,12.49,12.29,12.32,9.82,8787600
2011-02-16,12.4,12.5,12.34,12.35,9.84,9950000
2011-02-17,12.34,12.38,12.28,12.3,9.8,10464800
2011-02-18,12.33,12.53,12.32,12.52,9.97,9092000
2011-02-22,12.43,12.56,12.34,12.43,9.9,11188000
2011-02-23,12.05,12.49,11.96,12.2,9.72,24086400
2011-02-24,12.23,12.62,12.23,12.56,10.0,22352800
2011-02-25,12.56,12.72,12.46,12.58,10.02,12994800
2011-02-28,12.55,12.57,12.44,12.47,9.93,15031200
2011-03-01,12.61,12.62,12.37,12.4,9.88,15741600
2011-03-02,12.37,12.62,12.36,12.62,10.05,12664400
2011-03-03,12.62,12.78,12.58,12.73,10.14,22172400
2011-03-04,12.7,12.77,12.54,12.65,10.07,11026400
2011-03-07,12.66,12.67,12.33,12.33,9.82,14589200
2011-03-08,12.37,12.47,12.28,12.38,9.86,14969600
2011-03-09,12.38,12.46,12.34,12.4,9.88,7932000
2011-03-10,12.33,12.47,12.28,12.37,9.85,7916000
2011-03-11,12.35,12.5,12.28,12.44,9.91,6304400
2011-03-14,12.41,12.48,12.27,12.35,9.83,9991600
2011-03-15,12.13,12.35,12.12,12.27,9.77,14352800
2011-03-16,12.22,12.32,12.08,12.15,9.68,13637600
2011-03-17,12.29,12.34,12.14,12.17,9.69,7987200
2011-03-18,12.29,12.29,12.06,12.16,9.69,14082400
2011-03-21,12.26,12.33,12.15,12.32,9.81,8830400
2011-03-22,12.34,12.39,12.21,12.22,9.73,9388000
2011-03-23,12.19,12.41,12.14,12.39,9.87,8661200
2011-03-24,12.41,12.63,12.41,12.58,10.02,9790000
2011-03-25,12.57,12.65,12.53,12.54,9.99,6712400
2011-03-28,12.52,12.56,12.3,12.3,9.8,10318000
2011-03-29,12.29,12.39,12.23,12.37,9.85,7560800
2011-03-30,12.42,12.57,12.37,12.52,9.98,8946000
2011-03-31,12.49,12.56,12.31,12.43,9.9,13380400
2011-04-01,12.48,12.51,12.35,12.38,9.86,9601600
2011-04-04,12.4,12.46,12.33,12.4,9.88,7130400
2011-04-05,12.4,12.75,12.38,12.74,10.15,18252800
2011-04-06,12.75,12.9,12.7,12.89,10.27,15314400
2011-04-07,12.78,12.99,12.62,12.78,10.18,12614800
2011-04-08,12.87,12.87,12.61,12.68,10.1,9643600
2011-04-11,12.66,12.81,12.65,12.77,10.17,6823200
2011-04-12,12.67,12.89,12.67,12.77,10.17,7743600
2011-04-13,12.78,12.88,12.66,12.81,10.21,6232400
2011-04-14,12.74,12.79,12.62,12.78,10.18,6691200
2011-04-15,12.75,12.9,12.69,12.85,10.24,10528800
2011-04-18,12.73,12.95,12.66,12.93,10.3,10833600
2011-04-19,12.93,12.98,12.84,12.94,10.31,8568000
2011-04-20,12.98,13.15,12.94,13.08,10.42,10197600
2011-04-21,13.14,13.16,13.03,13.14,10.46,5225200
2011-04-25,13.11,13.17,13.05,13.16,10.48,5356000
2011-04-26,13.21,13.4,13.19,13.29,10.59,8015600
2011-04-27,13.28,13.36,13.22,13.32,10.61,8479200
2011-04-28,13.27,13.44,13.22,13.43,10.7,8095600
2011-04-29,13.42,13.5,13.39,13.4,10.68,10984800
2011-05-02,13.43,13.47,13.25,13.33,10.62,7251200
2011-05-03,13.31,13.47,13.28,13.3,10.59,11982800
2011-05-04,13.31,13.47,13.25,13.31,10.61,11274000
2011-05-05,13.07,13.42,13.06,13.34,10.63,21116800
2011-05-06,13.41,13.46,13.16,13.18,10.5,12756800
2011-05-09,13.18,13.36,13.15,13.29,10.59,9548400
2011-05-10,13.24,13.44,13.24,13.38,10.81,10113200
2011-05-11,13.36,13.47,13.26,13.35,10.79,7779600
2011-05-12,13.44,13.68,13.32,13.67,11.05,13076000
2011-05-13,13.7,13.73,13.57,13.64,11.02,9055200
2011-05-16,13.63,13.7,13.55,13.58,10.97,11580400
2011-05-17,13.19,13.31,12.9,13.02,10.52,31184800
2011-05-18,13.05,13.31,13.05,13.16,10.64,15552800
2011-05-19,13.18,13.18,12.96,13.04,10.54,12518400
2011-05-20,12.98,13.19,12.84,13.15,10.63,14463200
2011-05-23,13.05,13.32,13.04,13.19,10.66,13651600
2011-05-24,13.23,13.51,13.2,13.23,10.69,11850000
2011-05-25,13.18,13.26,13.08,13.15,10.63,12598000
2011-05-26,13.14,13.47,13.1,13.42,10.85,15267600
2011-05-27,13.42,13.49,13.35,13.36,10.8,8290000
2011-05-31,13.4,13.44,13.11,13.26,10.71,21562000
2011-06-01,13.22,13.29,12.99,13.0,10.51,17976400
2011-06-02,12.72,12.9,12.66,12.83,10.37,20057600
2011-06-03,12.74,12.84,12.7,12.76,10.31,16141200
2011-06-06,12.75,12.82,12.57,12.58,10.16,12250000
2011-06-07,12.66,12.84,12.57,12.63,10.2,13861600
