Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.89,36.89,36.11,36.31,27.99,3350600
2010-01-05,36.34,37.28,35.89,36.75,28.33,3223400
2010-01-06,36.65,37.57,36.57,37.47,28.88,2968300
2010-01-07,37.58,37.96,37.29,37.49,28.9,2719200
2010-01-08,37.22,37.35,36.88,37.27,28.73,3140000
2010-01-11,37.46,38.51,37.46,38.32,29.54,4025800
2010-01-12,38.1,38.65,37.75,38.6,29.75,5185900
2010-01-13,38.55,38.55,37.76,38.27,29.5,3243900
2010-01-14,38.21,38.33,37.18,37.5,28.9,4511700
2010-01-15,37.54,37.84,36.64,36.79,28.36,6035800
2010-01-19,37.12,37.53,36.7,37.45,28.86,5559200
2010-01-20,35.2,35.9,34.99,35.35,27.25,15018700
2010-01-21,35.32,35.38,33.49,34.1,26.28,10370300
2010-01-22,33.84,34.54,33.53,34.04,26.24,7165100
2010-01-25,34.35,34.71,33.73,34.09,26.28,5638200
2010-01-26,34.07,35.01,33.91,34.61,26.68,5387200
2010-01-27,34.56,35.17,34.37,35.01,26.98,5671200
2010-01-28,35.11,35.37,34.65,34.87,26.88,6519600
2010-01-29,34.98,35.36,34.73,34.88,26.88,5884100
2010-02-01,35.0,35.36,34.83,35.27,27.18,3758600
2010-02-02,35.29,35.77,35.1,35.73,27.54,4714200
2010-02-03,35.32,35.61,34.98,35.49,27.35,4773900
2010-02-04,35.1,35.34,34.17,34.47,26.57,5001800
2010-02-05,33.6,34.39,32.96,34.32,26.45,8826100
2010-02-08,34.25,34.83,33.9,34.19,26.35,3456500
2010-02-09,34.71,34.84,34.28,34.7,26.75,3366100
2010-02-10,34.62,35.0,34.33,34.73,26.77,2964900
2010-02-11,34.7,35.69,34.43,35.38,27.27,4028700
2010-02-12,35.01,35.53,34.61,35.47,27.34,4754500
2010-02-16,35.69,36.31,35.25,36.18,27.89,3478900
2010-02-17,36.44,36.44,35.77,36.05,27.79,4488800
2010-02-18,35.83,36.51,35.8,36.44,28.09,3739300
2010-02-19,36.24,36.5,36.02,36.38,28.04,3433900
2010-02-22,36.44,36.94,36.38,36.56,28.18,4720200
2010-02-23,36.41,36.76,36.13,36.56,28.18,4749100
2010-02-24,36.64,37.21,36.44,37.18,28.66,4355700
2010-02-25,36.6,36.85,36.2,36.69,28.28,5117500
2010-02-26,36.71,37.1,36.42,36.44,28.09,3815600
2010-03-01,36.53,37.08,36.18,37.02,28.53,5397400
2010-03-02,37.1,37.13,36.78,36.87,28.42,4517700
2010-03-03,36.72,36.94,36.34,36.47,28.11,4560600
2010-03-04,36.39,37.31,36.39,37.18,28.72,4169700
2010-03-05,37.38,37.84,37.05,37.69,29.11,3299900
2010-03-08,37.85,37.93,37.32,37.55,29.0,3248700
2010-03-09,37.44,39.2,37.38,38.86,30.01,5809100
2010-03-10,38.99,39.14,38.45,38.58,29.8,4228200
2010-03-11,38.31,38.54,38.05,38.49,29.73,2638200
2010-03-12,38.6,38.81,37.86,38.27,29.56,2781600
2010-03-15,38.13,38.36,37.53,38.05,29.39,3132700
2010-03-16,38.08,38.24,37.68,37.82,29.21,3204600
2010-03-17,37.91,38.35,37.91,38.23,29.53,2172200
2010-03-18,38.1,38.5,37.85,38.08,29.41,2617300
2010-03-19,37.85,38.37,37.68,37.85,29.23,3331500
2010-03-22,37.46,38.58,37.29,38.34,29.61,4034600
2010-03-23,38.52,38.87,38.12,38.35,29.62,3821900
2010-03-24,38.35,38.82,38.33,38.65,29.85,3177400
2010-03-25,38.95,39.28,38.68,38.7,29.89,2967700
2010-03-26,39.69,40.6,39.17,40.31,31.13,5551800
2010-03-29,40.53,40.53,39.47,39.98,30.88,4354900
2010-03-30,40.74,40.74,39.74,39.91,30.82,2688600
2010-03-31,39.71,40.1,39.43,39.52,30.52,3361400
2010-04-01,39.87,40.29,39.7,40.14,31.0,3153900
2010-04-05,40.24,40.7,39.92,40.54,31.31,2649700
2010-04-06,40.45,40.78,40.18,40.73,31.46,2046000
2010-04-07,40.64,41.03,40.2,40.49,31.27,3865200
2010-04-08,40.41,40.73,40.0,40.47,31.26,2578700
2010-04-09,40.72,41.59,40.49,41.34,31.93,3475300
2010-04-12,41.44,41.59,41.14,41.18,31.81,2439800
2010-04-13,41.48,41.84,41.33,41.54,32.08,2965600
2010-04-14,41.92,42.7,41.74,42.61,32.91,3472500
2010-04-15,42.63,43.25,42.33,42.99,33.2,3574600
2010-04-16,42.97,43.12,42.08,42.31,32.68,5242200
2010-04-19,42.29,42.45,40.92,41.88,32.35,6226200
2010-04-20,42.92,43.01,41.72,42.03,32.46,6083700
2010-04-21,42.36,43.08,42.1,43.04,33.24,5484600
2010-04-22,42.63,43.35,42.5,43.19,33.36,6536400
2010-04-23,42.99,43.72,42.76,43.62,33.69,4418100
2010-04-26,43.77,43.84,43.23,43.46,33.57,3228400
2010-04-27,43.12,43.29,41.91,41.97,32.42,4080600
2010-04-28,42.0,42.78,41.93,42.35,32.71,4370300
2010-04-29,42.79,43.28,42.52,43.11,33.3,2604600
2010-04-30,43.2,43.38,41.71,41.75,32.25,3336100
2010-05-03,41.86,43.3,41.85,43.03,33.23,3185900
2010-05-04,42.53,42.58,41.28,41.83,32.31,4324300
2010-05-05,41.32,42.16,40.67,40.78,31.5,3967600
2010-05-06,40.34,40.91,35.7,39.12,30.21,5781100
2010-05-07,38.99,39.74,37.64,38.28,29.57,5787800
2010-05-10,40.07,41.11,40.01,41.07,31.72,3949000
2010-05-11,40.23,41.79,40.23,41.45,32.01,4374900
2010-05-12,41.66,42.43,41.47,42.4,32.75,2540700
2010-05-13,42.27,42.37,41.53,41.63,32.15,4642900
2010-05-14,41.25,41.4,39.54,40.06,30.94,6628800
2010-05-17,40.34,40.49,38.75,40.2,31.05,3175700
2010-05-18,40.64,40.96,39.14,39.26,30.32,3622100
2010-05-19,38.96,39.7,38.46,38.83,29.99,5817900
2010-05-20,37.92,38.72,37.4,37.81,29.2,6611500
