Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,53.77,55.34,53.12,54.4,41.74,2330200
2010-01-05,54.05,55.03,53.63,55.01,42.21,1569500
2010-01-06,54.92,55.08,53.98,54.15,41.55,1517900
2010-01-07,53.82,54.54,53.55,54.11,41.52,1048000
2010-01-08,53.95,54.02,53.22,53.9,41.36,1344700
2010-01-11,54.0,54.79,53.94,54.28,41.65,1099000
2010-01-12,53.9,54.99,53.76,54.59,41.89,1606800
2010-01-13,54.43,55.28,54.15,55.13,42.3,1477000
2010-01-14,54.91,55.06,54.19,54.79,42.04,1191300
2010-01-15,54.8,54.89,53.52,53.6,41.13,1657900
2010-01-19,53.55,54.45,53.35,54.29,41.66,1194600
2010-01-20,53.9,53.9,52.8,53.36,40.94,1474500
2010-01-21,53.4,53.43,51.73,51.92,39.84,1979600
2010-01-22,51.76,51.98,50.48,50.64,38.86,1826500
2010-01-25,51.38,51.97,50.85,51.7,39.67,1562000
2010-01-26,51.54,52.27,50.92,51.37,39.42,2311800
2010-01-27,51.67,52.81,51.1,52.63,40.38,2050800
2010-01-28,53.68,54.12,48.81,50.6,38.83,5056600
2010-01-29,51.04,51.2,49.18,49.62,38.07,2663300
2010-02-01,49.77,51.14,49.37,51.03,39.15,2245400
2010-02-02,51.16,51.59,50.69,51.17,39.26,1741200
2010-02-03,50.85,51.27,50.42,50.7,38.9,1475800
2010-02-04,49.83,50.71,48.27,48.27,37.04,2274400
2010-02-05,48.35,49.09,47.42,48.87,37.5,3487900
2010-02-08,49.16,49.69,48.1,48.13,36.93,1735900
2010-02-09,48.71,49.39,47.89,48.69,37.36,1844400
2010-02-10,48.52,49.47,48.52,49.07,37.65,1454900
2010-02-11,48.9,49.21,48.48,49.01,37.61,1402200
2010-02-12,48.69,49.08,48.24,48.94,37.55,1829300
2010-02-16,49.45,50.18,48.99,50.18,38.5,1242200
2010-02-17,50.44,50.59,49.6,49.92,38.3,1504600
2010-02-18,49.94,50.15,49.23,49.6,38.06,1739700
2010-02-19,49.63,50.31,49.49,49.95,38.33,1647700
2010-02-22,50.25,50.56,49.63,50.04,38.4,1469600
