Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,50.15,50.44,49.66,49.81,39.63,3716000
2010-01-05,49.63,49.69,48.52,48.63,38.7,5941900
2010-01-06,48.26,48.39,47.35,47.94,38.15,10124500
2010-01-07,47.82,48.85,47.82,48.63,38.7,4901600
2010-01-08,48.65,48.76,48.07,48.56,38.64,3933100
2010-01-11,48.7,48.84,48.1,48.54,38.62,3058500
2010-01-12,48.99,49.39,48.6,48.85,38.87,5147300
2010-01-13,48.93,49.33,48.83,49.02,39.01,3462400
2010-01-14,48.93,49.4,48.73,49.28,39.21,2656300
2010-01-15,49.11,49.46,48.26,48.79,38.82,4252500
2010-01-19,48.75,49.6,48.43,49.43,39.33,3349400
2010-01-20,49.26,49.7,48.55,48.93,38.93,3433400
2010-01-21,48.79,49.08,48.03,48.95,38.95,5942700
2010-01-22,48.81,49.64,48.2,48.31,38.44,6885300
2010-01-25,48.83,49.11,47.95,48.89,38.9,4768100
2010-01-26,50.55,51.13,50.15,50.23,39.97,8489000
2010-01-27,50.29,50.91,50.03,50.9,40.5,4662400
2010-01-28,51.07,51.07,49.98,50.27,40.0,4554800
2010-01-29,50.3,50.99,50.09,50.67,40.32,4484800
2010-02-01,50.95,50.95,50.22,50.69,40.33,4302600
2010-02-02,50.6,51.18,50.26,51.09,40.65,5640200
2010-02-03,50.46,50.95,50.28,50.57,40.24,3978800
2010-02-04,50.27,50.74,49.69,49.73,39.57,6662500
2010-02-05,49.61,50.5,49.24,50.28,40.01,6746400
2010-02-08,50.18,50.29,49.01,49.05,39.03,5193700
2010-02-09,49.54,49.75,48.88,49.57,39.44,5355400
2010-02-10,49.65,49.91,49.25,49.69,39.54,4619400
2010-02-11,49.61,50.27,49.26,50.2,39.94,4639300
2010-02-12,49.77,50.49,49.28,50.45,40.14,5810400
2010-02-16,50.59,51.61,50.26,51.61,41.07,5379100
2010-02-17,51.71,51.92,51.17,51.75,41.18,4512800
2010-02-18,51.65,52.88,51.6,52.74,41.97,4577600
2010-02-19,52.69,53.13,52.56,52.88,42.08,5437300
2010-02-22,53.0,53.29,52.76,53.04,42.2,4457700
2010-02-23,52.73,53.42,52.32,52.36,41.66,6511900
2010-02-24,52.49,52.97,52.4,52.79,42.01,6050600
2010-02-25,52.12,52.88,52.12,52.75,41.97,5101400
2010-02-26,52.79,52.99,52.32,52.59,41.85,7398500
2010-03-01,52.76,53.42,52.76,53.08,42.24,4330200
2010-03-02,53.22,53.44,52.91,53.29,42.4,3619600
2010-03-03,53.43,53.72,53.12,53.12,42.27,3892900
2010-03-04,53.27,53.62,53.03,53.55,42.61,3911600
2010-03-05,53.85,53.97,53.45,53.94,42.92,4259700
2010-03-08,53.45,53.99,53.41,53.8,43.07,3145000
2010-03-09,53.96,54.2,53.44,53.57,42.89,5107400
2010-03-10,53.56,53.78,52.6,52.89,42.34,5891200
2010-03-11,52.88,53.66,52.8,53.62,42.93,4085400
2010-03-12,53.84,54.0,53.0,53.16,42.56,4490200
2010-03-15,52.99,53.06,52.28,52.73,42.22,4929600
2010-03-16,52.74,52.96,52.49,52.85,42.31,4126300
2010-03-17,53.11,53.54,52.85,52.99,42.42,5519100
2010-03-18,53.08,53.71,52.95,53.38,42.74,4113000
2010-03-19,53.46,53.6,52.78,53.46,42.8,13199100
2010-03-22,53.3,53.58,53.18,53.39,42.74,3817700
2010-03-23,53.55,53.9,53.35,53.9,43.15,3244300
2010-03-24,53.86,54.26,53.7,54.06,43.28,3218200
2010-03-25,54.3,54.5,54.01,54.08,43.3,4123700
2010-03-26,54.28,54.74,54.16,54.35,43.51,3422700
2010-03-29,54.48,54.82,54.35,54.76,43.84,2644700
2010-03-30,54.83,54.83,53.8,53.93,43.18,3517500
2010-03-31,53.8,54.15,53.69,53.94,43.18,3357100
2010-04-01,54.24,54.33,53.59,53.92,43.17,3725300
2010-04-05,54.15,54.15,53.18,53.33,42.7,4362000
2010-04-06,53.16,53.18,52.43,52.59,42.1,6585300
2010-04-07,52.52,53.19,52.28,52.5,42.03,5631700
2010-04-08,52.32,52.52,52.19,52.26,41.84,4147000
2010-04-09,52.36,52.46,52.14,52.4,41.95,3406400
2010-04-12,52.54,52.68,51.93,52.02,41.65,3204900
2010-04-13,51.92,52.42,51.92,52.22,41.81,3433800
2010-04-14,52.19,52.96,52.18,52.91,42.36,3158800
2010-04-15,52.86,52.97,52.32,52.88,42.34,3736400
2010-04-16,52.86,53.21,52.05,52.14,41.74,6067500
2010-04-19,52.04,53.2,51.94,53.19,42.58,4869200
2010-04-20,53.4,53.47,52.79,53.17,42.57,4311000
2010-04-21,52.99,53.12,52.4,52.8,42.27,3833100
2010-04-22,52.44,53.84,52.18,53.79,43.06,4727600
2010-04-23,52.87,53.66,52.73,53.38,42.74,5346400
2010-04-26,53.2,53.38,51.86,51.92,41.57,6322800
