Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.32,17.38,16.57,17.21,15.37,1795200
2010-01-05,17.19,17.32,17.09,17.21,15.37,1045700
2010-01-06,17.16,17.24,16.89,16.89,15.09,1188200
2010-01-07,16.77,16.91,16.63,16.78,14.99,1276000
2010-01-08,16.78,17.04,16.62,17.02,15.2,1409000
2010-01-11,17.13,17.24,16.95,17.0,15.19,1379400
2010-01-12,16.88,17.0,16.86,16.94,15.13,1178900
2010-01-13,16.94,17.1,16.91,17.07,15.25,908700
2010-01-14,17.06,17.16,16.97,16.98,15.17,921900
2010-01-15,16.84,16.9,16.5,16.51,14.75,1871400
2010-01-19,16.54,17.11,16.51,17.08,15.26,2389500
2010-01-20,16.96,17.18,16.76,17.01,15.2,2451300
2010-01-21,14.9,15.13,14.3,14.98,13.38,14303200
2010-01-22,14.84,15.09,14.67,14.69,13.12,3385300
2010-01-25,14.44,14.56,14.19,14.54,12.99,3738200
2010-01-26,14.57,15.1,14.31,14.93,13.34,3071400
2010-01-27,14.83,15.05,14.65,14.82,13.24,2165000
2010-01-28,14.86,17.75,14.65,14.67,13.11,1782800
2010-01-29,14.77,14.77,14.27,14.31,12.78,2901300
2010-02-01,14.34,14.55,14.26,14.54,12.99,2124900
2010-02-02,14.58,14.66,14.44,14.59,13.03,2043200
2010-02-03,14.57,14.68,14.4,14.48,12.94,2010500
2010-02-04,14.63,14.99,14.5,14.51,12.96,2991200
2010-02-05,14.49,14.63,14.3,14.56,13.01,1754500
2010-02-08,14.26,14.59,14.21,14.41,12.87,3489400
2010-02-09,14.57,14.65,14.39,14.56,13.01,2639100
2010-02-10,14.56,14.57,14.26,14.34,12.81,1734100
2010-02-11,14.35,14.39,14.11,14.34,12.81,1610000
2010-02-12,14.26,14.26,14.12,14.23,12.71,1039500
2010-02-16,14.27,14.41,14.17,14.37,12.84,1249200
2010-02-17,14.44,14.44,14.28,14.36,12.83,989100
2010-02-18,14.33,14.43,14.29,14.37,12.84,764700
2010-02-19,14.33,14.48,14.2,14.38,12.85,1434200
2010-02-22,14.44,14.52,14.37,14.4,12.86,1247000
2010-02-23,14.41,14.56,14.3,14.47,12.93,1896700
2010-02-24,14.53,14.61,14.43,14.5,12.95,1002200
2010-02-25,14.35,14.48,14.15,14.45,12.91,1138800
2010-02-26,14.48,14.48,14.21,14.24,12.72,2117500
2010-03-01,14.56,14.68,14.29,14.5,12.95,2054500
2010-03-02,14.64,14.64,14.38,14.4,12.86,2020000
2010-03-03,14.46,14.6,14.46,14.54,12.99,1058100
2010-03-04,14.55,14.64,14.5,14.55,13.0,917100
2010-03-05,14.65,14.89,14.57,14.89,13.3,1044800
2010-03-08,14.89,15.02,14.87,14.96,13.36,1078900
2010-03-09,14.92,15.1,14.87,15.04,13.44,1050200
2010-03-10,15.02,15.07,14.94,15.04,13.44,958800
2010-03-11,15.02,15.09,14.92,15.09,13.48,792000
2010-03-12,15.08,15.18,15.01,15.13,13.52,1202500
2010-03-15,15.09,15.21,14.99,15.12,13.51,1078300
2010-03-16,15.11,15.18,15.05,15.13,13.58,916300
2010-03-17,15.13,15.37,15.12,15.3,13.73,1466300
2010-03-18,15.25,15.34,15.19,15.22,13.66,1339500
2010-03-19,15.16,15.4,15.08,15.16,13.61,1897300
2010-03-22,15.12,15.65,15.1,15.54,13.95,1601300
2010-03-23,15.6,15.65,15.47,15.61,14.01,891500
2010-03-24,15.54,15.66,15.39,15.47,13.88,1150500
2010-03-25,15.54,15.66,15.42,15.47,13.88,1524000
2010-03-26,15.54,15.86,15.54,15.61,14.01,1659600
2010-03-29,15.7,15.86,15.61,15.73,14.12,1711800
2010-03-30,15.77,15.94,15.75,15.92,14.29,1098600
2010-03-31,15.9,15.92,15.63,15.66,14.06,1555000
2010-04-01,15.73,15.87,15.65,15.83,14.21,1214300
2010-04-05,15.83,16.04,15.81,16.03,14.39,868600
2010-04-06,15.93,16.28,15.88,16.09,14.44,2370200
2010-04-07,16.04,16.21,16.04,16.11,14.46,1397500
2010-04-08,16.03,16.13,15.92,16.1,14.45,1338200
2010-04-09,16.1,16.34,16.03,16.33,14.66,848800
2010-04-12,16.32,16.33,16.19,16.25,14.58,667300
2010-04-13,16.25,16.32,16.17,16.17,14.51,1296800
2010-04-14,16.22,16.45,16.22,16.41,14.73,1196400
2010-04-15,16.38,16.59,16.26,16.49,14.8,1580800
2010-04-16,16.46,16.52,16.2,16.21,14.55,1614900
2010-04-19,16.11,16.33,16.07,16.28,14.61,1771900
2010-04-20,16.36,16.5,16.21,16.5,14.81,1878800
2010-04-21,16.91,16.99,16.19,16.4,14.72,3746800
2010-04-22,16.25,16.55,16.17,16.52,14.83,1389300
2010-04-23,16.56,16.77,16.4,16.77,15.05,1212800
2010-04-26,16.71,16.82,16.59,16.63,14.93,991300
2010-04-27,16.57,16.63,16.09,16.13,14.48,1844200
2010-04-28,16.16,16.21,15.97,16.04,14.4,1913100
2010-04-29,16.14,16.28,16.09,16.19,14.53,1019900
2010-04-30,16.23,16.28,16.0,16.01,14.37,1811200
2010-05-03,16.14,16.18,15.81,15.96,14.32,2852600
2010-05-04,15.83,15.85,15.5,15.58,13.98,1985800
2010-05-05,15.41,15.58,15.41,15.5,13.91,2091600
2010-05-06,15.48,15.67,14.59,15.23,13.67,5432700
2010-05-07,15.13,15.34,14.77,14.95,13.42,2705200
2010-05-10,15.58,15.6,15.38,15.52,13.93,1720500
2010-05-11,15.34,15.64,15.3,15.43,13.85,1764300
2010-05-12,15.51,15.72,15.5,15.67,14.06,1389800
2010-05-13,15.67,15.76,15.56,15.56,13.97,1405000
2010-05-14,15.42,15.56,15.14,15.26,13.7,1606100
2010-05-17,15.28,15.48,15.18,15.42,13.84,1580800
2010-05-18,15.58,15.65,15.33,15.34,13.77,1945600
2010-05-19,15.34,15.39,14.99,15.03,13.49,3069600
2010-05-20,14.82,14.89,14.28,14.3,12.83,3741400
2010-05-21,14.02,14.5,14.02,14.46,12.98,2620500
2010-05-24,14.37,14.59,14.3,14.36,12.89,1410700
2010-05-25,14.1,14.24,13.93,14.24,12.78,2182600
2010-05-26,14.31,14.64,14.28,14.32,12.85,2369200
2010-05-27,14.53,14.74,14.41,14.74,13.23,1427000
2010-05-28,14.75,14.75,14.53,14.6,13.1,1241600
2010-06-01,14.45,14.62,14.29,14.32,12.85,1398200
2010-06-02,14.4,14.55,14.27,14.55,13.06,1165400
2010-06-03,14.49,14.88,14.49,14.84,13.32,1340500
2010-06-04,14.46,14.7,14.24,14.28,12.82,1615700
2010-06-07,14.32,14.35,13.95,13.95,12.52,1367600
2010-06-08,13.97,14.17,13.85,14.14,12.69,2452600
2010-06-09,14.17,14.32,13.97,14.04,12.6,1342000
2010-06-10,14.19,14.47,14.19,14.46,12.98,1165300
2010-06-11,14.33,14.43,14.22,14.41,12.93,1081600
2010-06-14,14.48,14.61,14.38,14.38,12.91,786700
2010-06-15,14.49,14.82,14.37,14.82,13.37,838800
2010-06-16,14.75,14.95,14.69,14.76,13.31,1204500
2010-06-17,14.85,14.87,14.65,14.77,13.32,1253900
2010-06-18,14.87,14.9,14.69,14.85,13.39,1179300
2010-06-21,14.99,15.02,14.58,14.64,13.2,1409700
2010-06-22,14.66,14.85,14.4,14.45,13.03,1156300
2010-06-23,14.44,14.44,14.21,14.34,12.93,1137400
2010-06-24,14.29,14.35,14.1,14.13,12.74,874900
2010-06-25,14.17,14.2,14.02,14.13,12.74,2842900
2010-06-28,14.19,14.24,14.01,14.03,12.65,806600
2010-06-29,13.82,13.92,13.55,13.64,12.3,1507900
2010-06-30,13.58,13.72,13.52,13.6,12.27,2081700
2010-07-01,13.55,13.81,13.41,13.79,12.44,2093400
2010-07-02,13.8,13.9,13.59,13.63,12.29,1508300
2010-07-06,13.81,13.9,13.61,13.71,12.37,1547700
2010-07-07,13.75,14.22,13.65,14.21,12.82,1127000
2010-07-08,14.39,14.42,14.17,14.34,12.93,996700
2010-07-09,14.26,14.45,14.26,14.45,13.03,590100
2010-07-12,14.39,14.55,14.33,14.48,13.06,713700
2010-07-13,14.62,14.8,14.56,14.74,13.29,845500
2010-07-14,14.76,14.78,14.64,14.71,13.27,1279300
2010-07-15,14.78,14.79,14.52,14.73,13.29,1041900
2010-07-16,14.64,14.64,14.14,14.15,12.76,1144600
2010-07-19,14.3,14.37,14.17,14.28,12.88,923700
2010-07-20,14.13,14.47,14.06,14.46,13.04,951300
2010-07-21,14.53,14.56,14.08,14.16,12.77,1451600
