Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.57,22.91,22.53,22.88,18.67,12891700
2010-01-05,22.76,23.51,22.74,23.46,19.14,14503500
2010-01-06,23.43,23.87,23.32,23.71,19.34,12293600
2010-01-07,23.64,24.48,23.5,24.17,19.72,15241200
2010-01-08,23.97,24.26,23.74,24.21,19.75,9935000
2010-01-11,24.5,24.5,24.11,24.32,19.84,8482600
2010-01-12,24.18,24.54,24.04,24.31,19.83,13119300
2010-01-13,24.29,24.89,24.12,24.71,20.16,12736800
2010-01-14,24.6,25.41,24.53,25.33,20.67,13383700
2010-01-15,25.22,25.22,24.46,24.62,20.09,13590500
2010-01-19,24.49,24.77,24.09,24.49,19.98,15470200
2010-01-20,24.8,25.34,24.77,25.01,20.4,18602200
2010-01-21,25.22,25.74,24.66,25.14,20.51,24864100
2010-01-22,25.06,26.84,24.57,24.67,20.13,20007400
2010-01-25,25.01,25.13,24.42,24.81,20.24,13692400
2010-01-26,24.39,24.91,24.23,24.31,19.83,15866800
2010-01-27,24.17,25.23,24.12,25.12,20.49,19763800
2010-01-28,25.23,25.37,24.79,24.99,20.39,17788000
2010-01-29,25.2,25.46,24.89,25.08,20.46,18317200
2010-02-01,25.15,25.36,24.9,25.18,20.54,12029500
2010-02-02,25.16,25.31,24.75,24.87,20.29,14793600
2010-02-03,24.76,24.85,24.22,24.46,19.96,12353800
2010-02-04,24.29,24.4,23.62,23.65,19.29,20550000
2010-02-05,23.83,24.25,23.28,23.97,19.56,22491200
2010-02-08,23.92,24.03,23.41,23.49,19.16,15753400
2010-02-09,23.63,23.86,23.26,23.49,19.16,13742600
2010-02-10,23.47,23.88,23.27,23.61,19.26,12219500
2010-02-11,23.67,23.7,23.29,23.49,19.16,8753400
2010-02-12,23.25,23.39,22.98,23.26,18.98,16552700
2010-02-16,23.52,23.88,23.22,23.86,19.47,11484600
2010-02-17,23.84,23.89,23.48,23.73,19.36,21960400
2010-02-18,23.63,24.0,23.53,23.91,19.51,9075800
2010-02-19,23.83,24.25,23.81,24.14,19.69,11805100
2010-02-22,24.5,24.71,24.26,24.55,20.03,12844900
2010-02-23,24.43,24.63,24.2,24.27,19.8,13288900
2010-02-24,24.43,24.91,24.38,24.78,20.22,12020100
2010-02-25,24.15,24.78,24.0,24.3,19.83,12541000
2010-02-26,24.21,24.71,24.21,24.61,20.08,9446500
2010-03-01,24.62,24.73,24.39,24.51,20.0,6843500
2010-03-02,24.85,24.91,24.58,24.74,20.18,7907800
2010-03-03,24.69,24.91,24.61,24.65,20.11,8391800
2010-03-04,24.67,24.81,24.55,24.74,20.18,7836000
2010-03-05,24.86,25.25,24.64,25.2,20.56,9443000
2010-03-08,25.15,25.31,24.99,24.99,20.39,8185800
2010-03-09,24.8,24.88,24.52,24.67,20.13,13248300
2010-03-10,24.8,25.2,24.76,24.96,20.36,11993900
2010-03-11,24.87,25.52,24.82,25.47,20.78,14610600
2010-03-12,25.69,26.0,25.56,25.67,20.94,14154500
2010-03-15,25.59,25.98,25.45,25.9,21.13,8366100
2010-03-16,25.96,26.14,25.8,26.12,21.31,10743300
2010-03-17,26.03,26.32,25.9,26.21,21.38,11859900
2010-03-18,26.09,26.26,25.8,25.99,21.2,8568200
2010-03-19,26.14,26.39,25.77,26.14,21.33,13977300
2010-03-22,25.89,26.38,25.87,26.22,21.39,9702700
2010-03-23,26.23,26.3,25.94,26.25,21.42,9573700
2010-03-24,26.1,26.45,26.1,26.19,21.37,7370300
2010-03-25,26.34,26.7,26.13,26.17,21.35,10567700
2010-03-26,26.25,26.44,25.83,26.05,21.25,10817100
2010-03-29,26.03,26.15,25.8,25.96,21.22,6911400
2010-03-30,25.98,26.21,25.82,25.86,21.14,9124000
2010-03-31,25.71,26.0,25.64,25.88,21.15,8451300
2010-04-01,26.04,26.26,25.87,26.24,21.45,6820400
2010-04-05,26.32,26.48,26.15,26.47,21.64,7865900
2010-04-06,26.38,27.18,26.38,27.08,22.14,12480200
2010-04-07,27.14,27.22,26.48,26.7,21.83,12376200
2010-04-08,26.56,27.29,26.5,27.13,22.18,14235300
2010-04-09,27.15,27.27,26.88,27.16,22.2,7429300
2010-04-12,27.21,27.61,27.12,27.51,22.49,11025600
2010-04-13,27.43,27.64,27.27,27.53,22.5,13894100
2010-04-14,27.71,28.31,27.66,28.25,23.09,14904200
2010-04-15,28.24,28.43,28.01,28.26,23.1,18948600
2010-04-16,28.18,28.25,26.66,27.45,22.44,28892400
2010-04-19,27.11,27.7,26.98,27.61,22.57,15084900
2010-04-20,27.33,28.39,27.14,28.21,23.06,23544500
2010-04-21,27.59,28.42,27.41,27.94,22.84,21662500
2010-04-22,27.64,27.72,27.09,27.37,22.37,27278000
2010-04-23,27.38,27.44,26.99,27.3,22.32,11114300
2010-04-26,27.23,27.43,26.79,26.87,21.96,11434400
2010-04-27,26.66,26.98,26.15,26.23,21.44,20979600
2010-04-28,26.58,26.93,26.4,26.57,21.72,12441500
2010-04-29,26.87,27.68,26.75,27.29,22.31,18397900
2010-04-30,27.39,27.46,26.75,26.77,21.88,17249800
2010-05-03,26.96,27.33,26.77,27.22,22.25,11394000
2010-05-04,26.87,27.04,26.27,26.5,21.66,19350300
2010-05-05,26.17,26.81,26.07,26.42,21.6,13252900
2010-05-06,26.26,26.52,24.25,25.48,20.83,24977300
2010-05-07,25.4,25.96,24.9,25.15,20.56,26474100
2010-05-10,26.4,26.76,26.12,26.54,21.69,19735900
2010-05-11,26.09,27.1,26.0,26.68,21.81,16700200
2010-05-12,26.86,27.0,26.63,26.88,21.97,15567200
2010-05-13,26.75,26.85,26.38,26.38,21.56,13060800
2010-05-14,26.13,26.14,25.13,25.51,20.85,22554300
2010-05-17,25.55,25.67,24.98,25.61,20.93,14135000
2010-05-18,25.58,25.72,24.11,24.36,19.91,34602600
2010-05-19,24.22,24.67,23.97,24.15,19.74,27819100
2010-05-20,23.68,23.97,23.2,23.21,18.97,22014500
2010-05-21,22.23,24.04,22.16,23.98,19.6,29589000
2010-05-24,24.15,24.22,23.49,23.59,19.28,17937500
2010-05-25,22.86,23.89,22.86,23.89,19.53,23165600
2010-05-26,24.21,24.31,23.5,23.63,19.32,20626200
2010-05-27,23.84,24.46,23.7,24.43,19.97,16297700
2010-05-28,24.44,24.44,23.85,23.96,19.59,14072200
2010-06-01,23.73,24.11,23.26,23.29,19.04,14601100
2010-06-02,23.51,24.02,23.17,23.99,19.61,13066400
2010-06-03,24.02,24.1,23.37,23.57,19.27,12742200
2010-06-04,23.02,23.22,22.78,22.85,18.68,21021500
2010-06-07,23.0,23.12,22.45,22.46,18.36,15922200
2010-06-08,22.35,22.78,22.06,22.74,18.59,25279000
2010-06-09,22.94,23.15,22.52,22.57,18.45,15765200
2010-06-10,22.94,23.72,22.9,23.68,19.36,16383600
2010-06-11,23.35,23.65,23.14,23.31,19.05,12987300
2010-06-14,23.42,23.42,22.73,22.82,18.65,18859300
2010-06-15,23.0,23.2,22.73,23.2,18.96,15665200
2010-06-16,23.02,23.27,22.88,23.12,18.9,16031900
2010-06-17,23.12,23.25,22.91,23.06,18.85,12419400
2010-06-18,23.16,23.61,23.02,23.57,19.27,15408800
2010-06-21,23.79,23.98,23.57,23.67,19.35,15912400
2010-06-22,23.75,24.0,23.47,23.55,19.25,14209000
2010-06-23,23.54,23.58,22.92,23.13,18.91,15692000
2010-06-24,22.93,23.06,22.5,22.61,18.48,16835400
2010-06-25,23.08,23.48,22.76,23.36,19.1,17270800
2010-06-28,23.3,23.44,23.04,23.11,18.93,10141000
2010-06-29,23.0,23.2,22.5,22.62,18.53,19570100
2010-06-30,22.7,23.1,22.3,22.35,18.31,13731000
2010-07-01,22.26,22.68,21.85,22.33,18.29,14871700
2010-07-02,22.44,22.51,21.73,21.88,17.92,11812800
2010-07-06,22.31,22.32,21.77,22.04,18.05,12797800
2010-07-07,22.07,22.98,21.9,22.93,18.78,17187500
2010-07-08,23.13,23.32,22.82,23.24,19.04,14095800
2010-07-09,23.23,23.94,23.06,23.91,19.59,12243200
2010-07-12,23.82,23.89,23.52,23.77,19.47,7028200
2010-07-13,24.03,24.56,24.02,24.43,20.01,11937400
2010-07-14,24.33,24.35,23.94,24.14,19.77,10744000
2010-07-15,24.25,24.48,23.67,24.4,19.99,14224200
2010-07-16,24.2,24.25,23.01,23.04,18.87,17532800
2010-07-19,22.99,23.24,22.65,22.99,18.83,7881300
2010-07-20,22.61,23.2,22.48,23.15,18.96,14151000
2010-07-21,23.73,24.0,23.0,23.07,18.9,19829700
2010-07-22,23.4,23.91,23.3,23.66,19.38,18483900
2010-07-23,23.58,23.95,23.33,23.7,19.41,13229500
2010-07-26,23.74,24.18,23.6,24.12,19.76,9459800
2010-07-27,24.34,24.48,24.19,24.31,19.91,9962700
2010-07-28,24.21,24.32,23.86,23.97,19.64,7205900
2010-07-29,24.13,24.15,23.55,23.94,19.61,11918800
2010-07-30,23.8,24.06,23.64,23.9,19.58,10473700
2010-08-02,24.2,24.52,24.03,24.51,20.08,10428100
2010-08-03,24.34,24.51,24.17,24.22,19.84,8987900
2010-08-04,24.35,24.35,23.86,23.93,19.6,11159000
2010-08-05,23.75,23.8,23.38,23.68,19.4,10154500
2010-08-06,23.38,23.47,22.87,23.22,19.02,11184300
2010-08-09,23.37,23.71,22.98,23.64,19.37,9930300
2010-08-10,23.37,23.63,23.23,23.44,19.2,8597000
2010-08-11,23.04,23.1,22.47,22.48,18.42,10425100
2010-08-12,22.17,22.55,22.1,22.44,18.38,7256300
2010-08-13,22.43,22.63,22.22,22.22,18.2,5535300
2010-08-16,22.1,22.26,21.92,22.13,18.13,6543700
2010-08-17,22.3,22.58,22.06,22.31,18.28,7271800
2010-08-18,22.27,22.52,22.24,22.4,18.35,5950000
2010-08-19,22.3,22.4,21.7,21.72,17.79,12930900
2010-08-20,21.63,21.84,21.56,21.74,17.81,11082000
2010-08-23,21.85,22.02,21.61,21.63,17.72,7427200
2010-08-24,21.34,21.54,21.19,21.31,17.46,11798800
2010-08-25,21.22,21.32,20.89,21.22,17.38,14179400
2010-08-26,21.28,21.5,20.91,20.97,17.18,8045500
2010-08-27,21.09,21.66,20.92,21.66,17.74,12039800
2010-08-30,21.53,21.63,20.69,20.71,16.97,10872700
2010-08-31,20.56,21.0,20.44,20.8,17.04,13834900
2010-09-01,21.1,21.83,21.05,21.81,17.87,13381100
2010-09-02,21.92,22.12,21.79,22.12,18.12,9972100
2010-09-03,22.28,22.7,22.28,22.67,18.57,10663900
2010-09-07,22.42,22.57,22.22,22.23,18.21,9017100
2010-09-08,22.26,22.5,22.13,22.32,18.28,7871900
