Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,70.21,71.86,69.86,71.63,57.59,6104100
2010-01-05,71.64,71.64,70.28,70.56,56.73,5004900
2010-01-06,70.56,70.83,70.03,70.19,56.43,4726900
2010-01-07,70.01,70.62,69.57,70.49,56.67,4264400
2010-01-08,70.26,70.7,70.25,70.63,56.79,4654800
2010-01-11,70.73,72.26,70.73,72.16,58.02,5530000
2010-01-12,71.8,71.95,71.06,71.74,57.68,4672000
2010-01-13,71.82,72.66,71.79,72.56,58.34,4877100
2010-01-14,72.24,72.85,72.12,72.81,58.54,3551300
2010-01-15,72.83,72.93,71.68,71.99,57.88,5343300
2010-01-19,71.99,72.94,71.64,72.29,58.12,3680700
2010-01-20,72.01,72.24,70.63,71.43,57.43,3673200
2010-01-21,71.45,71.85,69.75,70.13,56.38,5111300
2010-01-22,69.87,70.29,69.0,69.08,55.54,5814000
2010-01-25,69.51,69.51,68.56,68.59,55.15,4999400
2010-01-26,68.0,68.86,67.8,68.47,55.05,4996400
2010-01-27,67.26,67.85,66.5,67.61,54.36,7690700
2010-01-28,67.69,67.83,66.55,67.37,54.17,5578700
2010-01-29,67.39,68.49,66.64,67.48,54.25,7232100
2010-02-01,67.76,67.97,67.2,67.55,54.31,4916700
2010-02-02,67.89,68.43,67.69,68.03,54.7,6129300
2010-02-03,67.82,68.43,67.7,68.24,54.87,4151000
2010-02-04,67.87,67.95,66.34,66.38,53.37,5983200
2010-02-05,66.38,67.0,65.05,66.5,53.47,7825300
2010-02-08,66.28,66.33,65.31,65.4,52.58,5260400
2010-02-09,66.2,67.11,65.71,66.52,53.48,5277500
2010-02-10,66.52,66.93,66.11,66.64,53.58,4933100
2010-02-11,66.36,66.85,65.86,66.71,53.64,5504100
2010-02-12,65.9,66.26,65.01,65.69,52.82,7957400
2010-02-16,66.06,66.43,65.56,66.33,53.33,6291000
2010-02-17,66.3,67.53,65.82,67.35,54.5,5988500
2010-02-18,67.53,68.29,67.42,68.11,55.11,4124800
2010-02-19,68.24,68.9,68.11,68.52,55.45,5296100
2010-02-22,68.84,68.92,68.13,68.4,55.35,3311300
2010-02-23,68.38,68.75,67.72,67.79,54.86,4152300
2010-02-24,68.19,68.7,67.79,68.62,55.53,4842400
2010-02-25,67.57,68.7,67.05,68.67,55.57,5920600
2010-02-26,68.67,68.98,68.14,68.65,55.55,3973200
2010-03-01,68.84,69.8,68.84,69.64,56.35,3703200
2010-03-02,69.89,70.0,69.64,69.75,56.44,5956300
2010-03-03,69.84,70.38,69.43,69.6,56.32,4835600
2010-03-04,69.66,70.79,69.64,70.37,56.94,5651700
2010-03-05,70.57,71.31,70.57,71.25,57.65,4057400
2010-03-08,71.19,71.42,70.76,70.76,57.26,4018500
2010-03-09,71.51,72.25,71.16,71.78,58.08,5560500
2010-03-10,71.97,72.22,71.38,71.79,58.09,4901800
2010-03-11,71.95,72.04,71.26,72.04,58.29,4983700
