Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.0,22.19,21.86,22.03,18.24,20180000
2010-01-05,21.83,21.88,21.5,21.78,18.03,25833600
2010-01-06,21.75,21.77,21.48,21.49,17.79,16254000
2010-01-07,21.49,21.75,21.39,21.69,17.96,27841200
2010-01-08,21.7,21.85,21.56,21.75,18.01,11907200
2010-01-11,21.88,21.99,21.54,21.69,17.96,12912000
2010-01-12,21.65,21.76,21.46,21.58,17.87,12842000
2010-01-13,21.61,21.8,21.49,21.78,18.04,13428800
2010-01-14,21.74,21.88,21.62,21.86,18.1,18379600
2010-01-15,21.87,21.89,21.48,21.53,17.83,21295200
2010-01-19,21.54,22.1,21.42,21.96,18.18,15239600
2010-01-20,21.92,21.93,21.58,21.85,18.09,12771200
2010-01-21,21.86,21.98,21.03,21.11,17.48,28140800
2010-01-22,21.01,21.1,20.41,20.68,17.12,29776400
2010-01-25,20.85,20.95,20.35,20.51,16.98,16147200
2010-01-26,20.34,20.64,20.25,20.29,16.8,12437600
2010-01-27,20.22,21.03,20.15,20.98,17.37,19335200
2010-01-28,21.09,21.12,20.35,20.66,17.11,13070800
2010-01-29,20.65,21.25,20.47,20.51,16.98,20281600
2010-02-01,20.57,21.19,20.55,20.92,17.32,16098000
2010-02-02,21.07,21.12,20.88,21.0,17.39,14441600
2010-02-03,21.06,21.12,20.52,20.88,17.29,32197600
2010-02-04,21.31,21.55,20.7,20.76,17.19,66486800
2010-02-05,20.83,20.97,20.14,20.64,17.09,38687200
2010-02-08,20.73,21.09,20.64,20.76,17.19,23966800
2010-02-09,20.92,21.03,20.67,20.82,17.24,17968000
2010-02-10,20.87,20.98,20.72,20.91,17.42,14572800
2010-02-11,20.95,21.3,20.81,21.28,17.73,18044800
2010-02-12,21.12,21.24,20.91,21.19,17.65,22114800
2010-02-16,21.31,21.49,21.3,21.47,17.88,16065600
2010-02-17,21.5,21.64,21.44,21.6,18.0,14976800
2010-02-18,21.5,21.86,21.5,21.74,18.11,15289200
2010-02-19,21.5,21.75,21.37,21.7,18.08,13672000
2010-02-22,21.76,21.94,21.7,21.73,18.1,11572800
2010-02-23,21.75,21.9,21.51,21.53,17.93,19129200
2010-02-24,21.56,21.65,21.19,21.41,17.83,16210000
2010-02-25,21.19,21.36,20.93,21.31,17.75,14140800
2010-02-26,21.4,21.43,21.25,21.32,17.76,12476400
2010-03-01,21.38,21.74,21.32,21.7,18.08,13495200
2010-03-02,21.7,21.75,21.56,21.61,18.0,12901200
2010-03-03,21.65,21.8,21.56,21.7,18.07,13658000
2010-03-04,21.75,21.86,21.53,21.76,18.12,14576800
2010-03-05,21.85,22.14,21.77,22.13,18.43,19503600
2010-03-08,22.11,22.73,22.02,22.66,18.87,31258400
2010-03-09,22.56,22.92,22.47,22.54,18.77,36690800
2010-03-10,22.43,22.95,22.39,22.88,19.06,28438800
2010-03-11,22.74,23.32,22.7,23.18,19.31,55125200
2010-03-12,23.29,23.41,23.16,23.31,19.42,28641200
2010-03-15,23.22,23.29,22.78,23.1,19.24,20734000
2010-03-16,23.17,23.23,22.84,22.91,19.08,19068000
2010-03-17,23.03,23.1,22.81,22.88,19.06,14785200
2010-03-18,22.88,22.95,22.52,22.53,18.77,18766000
2010-03-19,22.21,22.69,22.17,22.21,18.5,24224000
2010-03-22,22.1,22.44,22.05,22.31,18.58,16674400
2010-03-23,22.38,22.58,22.31,22.5,18.74,13516400
2010-03-24,22.4,22.49,22.15,22.19,18.48,15611600
2010-03-25,22.42,22.94,22.37,22.6,18.83,20353600
2010-03-26,22.68,22.81,22.41,22.56,18.79,13536000
2010-03-29,22.64,22.79,22.53,22.56,18.79,11134400
2010-03-30,22.62,22.96,22.58,22.75,18.95,16330800
2010-03-31,22.67,23.05,22.63,22.76,18.96,12504400
2010-04-01,22.92,23.15,22.83,23.14,19.27,17464400
2010-04-05,23.26,23.3,23.02,23.12,19.26,15363200
2010-04-06,23.01,23.33,22.95,23.1,19.24,13813600
2010-04-07,23.12,23.12,22.66,22.68,18.89,14750400
2010-04-08,22.67,23.02,22.62,22.87,19.05,10770000
2010-04-09,22.99,23.15,22.91,23.13,19.27,9567200
2010-04-12,23.26,23.37,23.12,23.3,19.41,9323200
2010-04-13,23.35,23.45,23.04,23.2,19.32,11436000
2010-04-14,23.29,23.61,23.22,23.57,19.63,17329200
2010-04-15,23.59,23.82,23.48,23.61,19.67,20639200
2010-04-16,23.52,23.73,23.2,23.46,19.54,18766400
2010-04-19,23.3,23.55,23.02,23.28,19.39,12586400
2010-04-20,23.41,23.52,23.12,23.51,19.58,9090400
2010-04-21,23.59,23.59,23.22,23.28,19.39,11365600
2010-04-22,23.2,23.8,23.11,23.78,19.81,14658400
2010-04-23,24.05,24.2,23.81,24.15,20.11,12498800
2010-04-26,24.26,24.3,23.89,24.0,19.99,18274800
2010-04-27,23.99,24.06,23.22,23.24,19.36,17868400
2010-04-28,23.43,23.51,23.08,23.4,19.49,20395200
2010-04-29,23.44,23.65,23.02,23.2,19.33,29408000
2010-04-30,23.32,23.34,22.5,22.56,18.79,25059600
2010-05-03,22.64,22.82,22.1,22.32,18.59,31020000
2010-05-04,22.33,22.74,22.03,22.09,18.4,30622800
2010-05-05,21.69,21.99,21.0,21.61,18.0,37174400
2010-05-06,21.46,21.64,18.98,20.73,17.27,63938000
2010-05-07,20.76,21.04,20.19,20.57,17.14,45519200
2010-05-10,21.56,21.8,21.48,21.5,17.91,35106800
2010-05-11,21.28,21.31,20.78,21.04,17.53,47244000
2010-05-12,21.26,21.89,21.19,21.42,17.95,37131600
2010-05-13,21.47,22.0,21.13,21.43,17.96,31835600
2010-05-14,19.67,19.97,18.98,19.32,16.18,169829200
2010-05-17,19.69,19.81,18.42,18.68,15.65,90552000
2010-05-18,18.77,19.0,17.07,17.52,14.68,189331200
2010-05-19,17.68,18.55,17.68,18.24,15.29,131631200
2010-05-20,18.0,18.85,17.78,18.2,15.25,101612800
2010-05-21,18.0,19.0,18.0,18.55,15.54,79601200
2010-05-24,18.86,19.05,18.44,18.64,15.62,41148000
2010-05-25,18.26,18.46,17.94,18.24,15.29,45448000
2010-05-26,18.53,18.8,18.34,18.35,15.38,44406000
2010-05-27,18.75,18.8,18.23,18.42,15.44,39094800
2010-05-28,18.34,18.38,18.0,18.11,15.18,26581200
2010-06-01,18.12,18.4,17.84,17.87,14.98,25082000
2010-06-02,17.86,17.97,17.5,17.81,14.93,37608800
2010-06-03,17.98,18.3,17.92,18.21,15.26,39125600
2010-06-04,17.76,18.35,17.76,18.03,15.11,42138400
2010-06-07,18.0,18.44,17.89,17.97,15.06,30615200
2010-06-08,18.03,18.37,17.77,18.34,15.37,30502800
2010-06-09,18.53,18.87,18.3,18.45,15.46,35586800
2010-06-10,18.91,19.37,18.75,19.36,16.22,36380000
2010-06-11,19.13,19.22,18.84,19.02,15.94,30177200
2010-06-14,19.24,19.25,18.42,18.44,15.46,37456800
2010-06-15,18.62,19.24,18.48,19.23,16.12,31226400
2010-06-16,19.05,19.31,18.9,19.29,16.17,28142000
2010-06-17,19.45,19.78,19.32,19.56,16.39,29133200
2010-06-18,19.63,19.81,19.07,19.26,16.14,29732800
2010-06-21,19.49,20.95,18.85,20.23,16.95,115862800
2010-06-22,20.25,20.25,19.66,19.69,16.5,46870800
2010-06-23,19.74,19.74,19.2,19.44,16.29,27933600
2010-06-24,19.28,19.49,18.94,19.12,16.02,26277600
2010-06-25,19.26,19.35,18.91,19.17,16.06,24130400
2010-06-28,19.25,19.32,18.79,18.81,15.76,20523600
2010-06-29,18.57,18.62,17.77,17.86,14.97,39851600
2010-06-30,17.92,18.02,17.68,17.69,14.82,24716400
2010-07-01,17.75,18.25,17.53,18.22,15.26,30360000
2010-07-02,18.31,18.45,18.15,18.3,15.33,18801200
2010-07-06,18.46,18.58,17.95,18.07,15.14,23726000
2010-07-07,18.17,18.73,18.04,18.7,15.67,20873600
2010-07-08,18.88,18.95,18.51,18.77,15.73,16231600
2010-07-09,19.06,19.4,18.91,19.34,16.21,22479600
2010-07-12,19.0,19.34,18.97,19.13,16.03,15832800
2010-07-13,19.45,19.45,18.87,19.15,16.04,19931600
2010-07-14,19.14,19.25,18.91,19.07,15.98,12814800
2010-07-15,19.1,19.16,18.57,18.82,15.77,16489200
2010-07-16,18.4,18.44,17.82,17.86,14.97,39060000
2010-07-19,18.05,18.06,17.72,17.81,14.92,20019200
2010-07-20,17.68,18.42,17.62,18.4,15.42,19106400
2010-07-21,18.5,18.5,17.98,18.09,15.16,15907600
2010-07-22,18.29,18.64,18.25,18.61,15.6,19493200
2010-07-23,18.62,18.99,18.51,18.9,15.83,12660800
2010-07-26,18.92,19.12,18.84,19.02,15.94,15792800
2010-07-27,19.25,19.32,18.97,19.15,16.05,17352400
2010-07-28,19.04,19.21,18.77,18.8,15.75,25205200
2010-07-29,18.69,18.72,17.84,18.0,15.08,58866800
2010-07-30,17.9,18.41,17.84,18.34,15.37,30784800
2010-08-02,17.75,18.1,17.74,18.06,15.13,53846800
2010-08-03,17.91,18.38,17.86,18.25,15.29,34164800
2010-08-04,18.3,18.35,18.09,18.11,15.18,20499200
2010-08-05,18.03,18.1,17.83,17.88,14.98,30787600
2010-08-06,17.79,18.05,17.72,18.03,15.11,19362800
2010-08-09,18.28,18.72,18.2,18.68,15.66,28612400
2010-08-10,18.51,18.93,18.51,18.82,15.77,31068400
2010-08-11,18.5,18.59,18.25,18.38,15.5,23113600
2010-08-12,18.19,18.55,18.13,18.25,15.39,24677200
2010-08-13,18.24,18.28,18.04,18.06,15.23,14566800
2010-08-16,18.02,18.31,17.95,18.21,15.36,10700800
2010-08-17,18.36,18.44,18.11,18.34,15.47,13334000
2010-08-18,18.27,18.34,18.13,18.22,15.37,12232000
2010-08-19,18.1,18.18,17.88,17.91,15.11,18442400
2010-08-20,17.82,17.9,17.4,17.52,14.78,31538400
