Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.5,18.5,18.26,18.34,11.04,2042000
2010-01-05,18.37,18.8,18.11,18.69,11.25,4115600
2010-01-06,18.7,18.72,18.47,18.62,11.21,2904400
2010-01-07,18.54,19.02,18.54,18.98,11.42,2644000
2010-01-08,18.96,19.01,18.8,18.88,11.36,2940400
2010-01-11,18.98,19.04,18.58,18.82,11.33,2247600
2010-01-12,18.77,18.92,18.47,18.62,11.21,2587600
2010-01-13,18.64,18.8,18.54,18.78,11.31,2351200
2010-01-14,18.82,18.89,18.61,18.76,11.29,3285200
2010-01-15,18.76,18.8,18.49,18.66,11.23,2806000
2010-01-19,18.64,18.81,18.64,18.79,11.31,1963600
2010-01-20,18.68,18.76,18.54,18.72,11.27,2407600
2010-01-21,18.76,18.83,18.6,18.6,11.2,4488800
2010-01-22,18.63,18.7,18.1,18.11,10.9,3701200
2010-01-25,18.23,18.25,17.97,18.04,10.86,2821600
2010-01-26,18.05,18.16,17.94,18.09,10.89,2152400
2010-01-27,18.09,18.34,18.05,18.3,11.01,2349200
2010-01-28,18.37,18.4,18.11,18.13,10.91,3001200
2010-01-29,18.16,18.37,17.97,18.01,10.84,1786400
2010-02-01,18.07,18.26,18.0,18.24,10.98,1427600
2010-02-02,18.28,18.56,18.22,18.55,11.16,2491600
2010-02-03,18.35,18.38,18.07,18.18,10.94,2820800
2010-02-04,18.04,18.08,17.78,17.89,10.76,4644000
2010-02-05,17.82,17.93,17.56,17.88,10.76,5181600
2010-02-08,17.84,18.15,17.8,17.85,10.74,2158000
2010-02-09,17.94,18.18,17.94,18.13,10.91,2340800
2010-02-10,18.09,18.29,18.02,18.11,10.9,3742000
2010-02-11,18.54,18.68,18.35,18.59,11.19,7638000
2010-02-12,18.38,18.6,18.38,18.49,11.12,4557200
2010-02-16,18.59,18.88,18.54,18.87,11.36,3244000
2010-02-17,18.94,19.16,18.93,19.14,11.52,4354400
2010-02-18,19.11,19.18,18.95,19.1,11.5,3052800
2010-02-19,19.11,19.19,18.98,19.16,11.53,2911200
2010-02-22,19.2,19.26,19.14,19.18,11.54,1800400
2010-02-23,19.09,19.13,18.84,18.94,11.4,2969200
2010-02-24,19.0,19.18,18.9,19.17,11.54,1892000
2010-02-25,18.94,19.32,18.94,19.32,11.62,2423200
2010-02-26,19.25,19.42,19.17,19.34,11.64,3004000
2010-03-01,19.36,19.5,19.27,19.49,11.73,2772400
2010-03-02,19.5,19.56,19.44,19.52,11.75,3038800
2010-03-03,19.52,19.53,19.37,19.46,11.71,3292400
2010-03-04,19.6,19.6,19.36,19.49,11.73,2364800
2010-03-05,19.44,19.74,19.37,19.69,12.23,2686400
2010-03-08,19.72,20.0,19.71,20.0,12.42,3081200
2010-03-09,19.95,20.0,19.88,19.94,12.38,2866400
2010-03-10,19.9,20.0,19.83,19.99,12.41,2566800
2010-03-11,19.9,19.95,19.72,19.95,12.39,2390800
2010-03-12,19.99,20.0,19.76,19.91,12.36,1921600
2010-03-15,19.84,19.96,19.74,19.93,12.37,3499200
2010-03-16,19.97,20.0,19.85,19.97,12.4,2129600
2010-03-17,19.99,20.16,19.98,20.1,12.48,3419200
2010-03-18,20.08,20.24,19.83,19.97,12.4,3680000
2010-03-19,19.93,20.06,19.88,19.93,12.37,4279200
2010-03-22,19.82,20.2,19.75,20.05,12.45,3414800
2010-03-23,20.07,20.25,20.0,20.25,12.57,3073200
2010-03-24,20.14,20.22,19.95,19.98,12.4,3096400
2010-03-25,20.14,20.23,19.86,19.86,12.33,4212000
2010-03-26,19.95,20.23,19.9,20.13,12.5,4981600
2010-03-29,20.22,20.22,19.93,20.1,12.48,2715600
2010-03-30,20.13,20.19,19.97,19.99,12.41,2426000
2010-03-31,19.93,20.14,19.91,20.04,12.44,2478000
2010-04-01,20.15,20.3,20.13,20.25,12.58,1938800
2010-04-05,20.3,20.63,20.27,20.5,12.73,2663200
2010-04-06,20.44,20.7,20.41,20.63,12.81,2401200
2010-04-07,20.59,20.72,20.49,20.53,12.75,2980400
2010-04-08,20.51,20.55,20.35,20.52,12.74,2382000
2010-04-09,20.89,20.93,20.51,20.92,12.99,4440800
2010-04-12,21.02,21.08,20.89,20.98,13.03,2744400
2010-04-13,20.95,21.11,20.76,21.06,13.08,2154800
2010-04-14,21.12,21.12,20.72,20.92,12.99,5210800
2010-04-15,20.86,20.97,20.75,20.92,12.99,2034400
2010-04-16,20.83,21.01,20.58,20.63,12.81,2606800
2010-04-19,20.58,20.79,20.48,20.66,12.83,2789600
2010-04-20,20.7,20.9,20.66,20.89,12.97,1916800
