Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,122.55,122.7,120.08,121.02,120.06,1788500.0
2017-11-02,122.86,128.77,122.27,124.27,123.28,3874700.0
2017-11-03,123.8,126.46,123.09,126.43,125.43,1557900.0
2017-11-06,126.2,126.43,123.65,124.61,123.62,1000100.0
2017-11-21,,,,,,
2018-02-22,,,,,,
2018-05-23,,,,,,
2018-05-24,128.57,129.74,126.64,127.91,126.9,734400.0
2018-05-25,128.14,128.88,127.05,127.34,126.33,890900.0
2018-05-29,126.11,129.44,126.05,127.22,126.21,1232400.0
2018-05-30,127.6,128.92,126.84,127.78,126.77,1016300.0
2018-05-31,128.15,130.05,127.02,127.74,126.73,1160800.0
2018-06-01,129.04,130.08,128.34,129.32,128.29,808900.0
2018-06-04,129.86,130.33,128.51,129.51,128.48,618000.0
2018-06-05,129.57,130.43,128.54,128.81,127.79,771700.0
2018-06-06,129.55,130.73,128.36,130.23,129.2,1314600.0
2018-06-07,130.28,131.69,129.56,130.55,129.51,681800.0
2018-06-08,130.29,130.38,128.44,130.04,129.01,1209200.0
2018-06-11,130.0,130.98,129.64,130.26,129.23,713700.0
2018-06-12,130.75,132.39,130.51,130.97,129.93,908300.0
2018-06-13,131.42,132.77,130.78,131.21,130.17,994800.0
2018-06-14,131.51,132.25,130.63,131.86,130.81,902600.0
2018-06-15,131.48,132.85,130.56,132.09,131.04,1591900.0
2018-06-18,131.07,132.86,130.44,132.55,131.5,1013100.0
2018-06-19,131.08,132.28,130.64,131.16,130.12,1064700.0
2018-06-20,132.0,133.55,131.1,133.24,132.18,970000.0
2018-06-21,132.53,133.59,129.78,129.86,128.83,956600.0
2018-06-22,130.69,132.33,130.03,131.57,130.53,1122100.0
2018-06-25,130.26,130.72,127.54,128.43,127.41,827100.0
2018-06-26,128.21,129.36,126.71,127.76,126.75,1401000.0
2018-06-27,127.93,129.76,127.45,128.33,127.31,1219800.0
2018-06-28,127.74,128.29,125.62,127.05,126.04,1266400.0
2018-06-29,127.93,130.07,127.5,129.06,128.04,1104900.0
2018-07-02,127.67,128.65,126.26,127.22,126.21,1111900.0
2018-07-03,128.07,129.27,127.71,128.52,127.5,789900.0
2018-07-05,129.4,129.58,127.58,129.43,128.4,559900.0
2018-07-06,129.35,131.52,129.26,130.44,129.41,735600.0
2018-07-09,130.52,130.85,128.86,129.3,128.27,865900.0
2018-07-10,129.03,129.6,127.0,127.35,126.34,1194600.0
2018-07-11,126.21,128.95,125.51,127.16,126.15,1691800.0
2018-07-12,128.39,128.39,125.59,127.29,126.28,1361500.0
2018-07-13,127.63,128.19,125.88,126.16,125.16,916700.0
2018-07-16,125.89,125.9,121.77,122.91,121.94,1607600.0
2018-07-17,122.65,124.47,122.36,123.65,122.67,1323500.0
2018-07-18,123.91,124.99,123.72,124.43,123.44,1513000.0
2018-07-19,124.25,125.06,123.53,124.93,123.94,715700.0
2018-07-20,124.43,124.94,123.56,123.88,122.9,797300.0
2018-07-23,123.16,124.3,122.88,123.64,122.66,963900.0
2018-07-24,124.27,124.66,122.18,122.58,121.61,1172900.0
2018-07-25,121.93,121.93,117.65,120.5,119.54,2339000.0
2018-07-26,121.0,121.0,116.02,116.79,115.86,2585700.0
2018-07-27,117.31,119.52,116.92,118.38,117.44,1662900.0
2018-07-30,117.93,118.37,115.43,117.23,116.3,2148500.0
2018-07-31,115.59,115.68,111.08,112.0,111.11,4311800.0
2018-08-01,113.91,114.85,112.01,113.42,112.52,2804300.0
2018-08-02,112.94,115.06,112.14,114.67,113.76,1223300.0
2018-08-03,114.54,115.57,114.06,114.5,113.59,1240000.0
2018-08-06,114.2,114.98,113.54,114.79,113.88,752400.0
2018-08-07,114.5,117.43,114.5,115.82,114.9,883400.0
2018-08-08,116.05,116.08,113.88,113.96,113.06,779300.0
2018-08-09,113.84,114.45,112.82,112.91,112.01,940900.0
2018-08-10,112.18,112.48,110.42,110.51,109.63,1116000.0
2018-08-13,110.51,111.23,109.46,110.34,109.46,959200.0
2018-08-14,110.35,111.84,110.01,111.36,110.48,798700.0
2018-08-15,111.0,111.0,109.15,109.82,108.95,984400.0
2018-08-16,110.5,110.96,109.65,109.83,108.96,2213800.0
2018-08-17,109.75,110.73,109.65,110.34,109.46,845400.0
2018-08-20,110.02,110.48,109.38,110.04,109.17,862500.0
2018-08-21,110.11,112.22,110.11,111.77,111.17,1028800.0
2018-08-22,111.81,113.18,111.66,112.44,111.83,896600.0
2018-08-23,112.57,112.79,110.29,111.1,110.5,911300.0
2018-08-24,111.43,112.13,111.0,111.61,111.01,685400.0
2018-08-27,113.09,114.69,111.91,113.58,112.97,1435300.0
2018-08-28,113.54,114.14,111.96,112.19,111.58,941100.0
2018-08-29,111.92,113.65,111.26,113.38,112.77,811900.0
2018-08-30,113.35,113.35,112.0,112.15,111.54,801700.0
2018-08-31,111.8,112.15,110.0,110.8,110.2,984200.0
2018-09-04,110.0,111.0,109.33,110.68,110.08,858400.0
2018-09-05,110.36,111.19,109.23,110.0,109.41,895800.0
2018-09-06,110.5,111.44,109.42,110.22,109.62,793500.0
2018-09-07,109.74,111.09,109.25,110.82,110.22,815700.0
2018-09-10,110.44,110.63,106.1,107.2,106.62,2089700.0
2018-09-11,106.7,109.88,106.24,109.09,108.5,1541300.0
2018-09-12,109.19,109.82,107.65,108.87,108.28,1070800.0
2018-09-13,109.79,111.32,108.99,109.69,109.1,617800.0
2018-09-14,109.7,111.5,109.7,111.2,110.6,700200.0
2018-09-17,112.03,112.49,110.71,110.96,110.36,784600.0
2018-09-18,110.84,113.09,110.84,112.87,112.26,990200.0
2018-09-19,112.64,114.9,112.56,114.42,113.8,1178500.0
2018-09-20,114.64,117.57,114.62,115.04,114.42,1483700.0
2018-09-21,115.41,115.9,112.79,115.55,114.93,2365400.0
2018-09-24,114.85,115.09,113.63,114.54,113.92,1204300.0
2018-09-25,114.5,115.04,112.71,112.86,112.25,1353500.0
2018-09-26,112.72,113.93,111.28,112.88,112.27,1279100.0
2018-09-27,113.39,115.66,112.94,113.03,112.42,1482600.0
2018-09-28,112.4,112.84,110.42,111.2,110.6,1223400.0
