Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.41,30.5,29.67,29.85,29.79,390000
2010-01-05,29.85,30.07,29.49,30.05,29.99,430000
2010-01-06,30.0,30.87,30.0,30.44,30.38,848900
2010-01-07,30.36,30.68,29.8,30.39,30.33,426600
2010-01-08,30.21,30.27,29.98,30.0,29.94,253200
2010-01-11,30.03,30.11,29.75,29.93,29.87,676500
2010-01-12,29.99,30.38,29.84,30.16,30.1,742000
2010-01-13,30.1,30.29,30.1,30.15,30.09,394400
2010-01-14,30.09,30.1,29.89,29.91,29.85,301100
2010-01-15,29.77,29.92,28.66,28.95,28.89,766000
2010-01-19,28.84,28.84,27.81,27.95,27.9,1531700
2010-01-20,27.81,28.1,27.69,27.99,27.94,957600
2010-01-21,27.99,28.4,27.91,28.04,27.99,681800
2010-01-22,28.2,28.37,27.93,28.01,27.96,595600
2010-01-25,27.98,28.24,27.91,27.95,27.9,256500
2010-01-26,27.83,28.75,27.83,28.35,28.29,302600
2010-01-27,28.23,29.24,28.01,28.9,28.84,475200
2010-01-28,28.75,29.03,28.57,28.77,28.71,495200
2010-01-29,28.83,28.9,28.0,28.12,28.07,389800
2010-02-01,28.21,28.46,28.2,28.41,28.35,400800
2010-02-02,28.39,28.59,27.9,27.96,27.91,536200
2010-02-03,27.96,28.13,27.9,27.99,27.94,309300
2010-02-04,27.93,27.94,27.71,27.75,27.7,617700
2010-02-05,27.75,27.82,26.65,27.7,27.65,645500
2010-02-08,27.73,27.91,27.38,27.63,27.58,632500
2010-02-09,27.58,28.1,27.58,27.84,27.79,1451000
2010-02-10,27.96,28.09,27.51,27.84,27.79,496600
2010-02-11,27.7,28.18,27.7,28.02,27.97,346900
2010-02-12,27.71,28.39,27.53,28.31,28.26,875600
2010-02-16,28.1,28.41,27.95,28.25,28.2,213500
2010-02-17,28.07,28.3,27.85,27.94,27.89,456100
2010-02-18,27.77,28.1,27.66,28.0,27.95,613800
2010-02-19,27.83,28.23,27.83,28.01,27.96,152500
2010-02-22,28.0,28.42,27.89,28.24,28.19,290500
2010-02-23,28.42,28.42,27.82,28.01,27.96,390400
2010-02-24,27.99,28.0,27.88,27.96,27.91,263000
2010-02-25,27.83,28.06,27.83,27.98,27.93,328900
2010-02-26,28.08,28.3,27.96,28.3,28.25,632800
2010-03-01,28.46,28.74,28.22,28.4,28.34,321800
2010-03-02,28.4,28.65,27.79,28.02,27.97,468000
2010-03-03,27.94,28.13,27.37,27.63,27.58,663200
2010-03-04,27.57,27.94,27.05,27.24,27.19,294700
2010-03-05,27.27,27.58,27.26,27.38,27.33,716400
2010-03-08,27.24,29.35,27.17,29.03,28.97,680100
2010-03-09,28.77,28.92,27.97,28.45,28.39,706800
2010-03-10,28.35,28.79,28.35,28.53,28.47,413000
2010-03-11,28.59,28.6,28.0,28.19,28.14,479100
2010-03-12,28.43,28.71,28.0,28.2,28.15,537800
2010-03-15,28.07,28.19,27.89,28.1,28.05,463300
2010-03-16,28.06,28.15,27.98,28.05,28.0,623800
2010-03-17,28.15,28.15,28.0,28.01,27.96,415200
2010-03-18,28.01,28.5,28.0,28.37,28.31,232800
2010-03-19,28.29,28.53,27.78,28.29,28.24,462000
2010-03-22,28.22,28.77,28.14,28.2,28.15,253800
2010-03-23,28.05,28.42,27.81,28.0,27.95,341500
2010-03-24,28.0,28.26,27.82,28.02,27.97,628600
2010-03-25,28.07,28.44,27.92,28.0,27.95,230300
2010-03-26,28.02,28.13,27.97,28.07,28.02,314300
2010-03-29,28.06,28.23,27.75,28.0,27.95,317000
2010-03-30,28.11,28.22,27.84,27.91,27.86,732900
2010-03-31,27.93,28.36,27.93,28.2,28.15,480200
2010-04-01,28.25,28.42,27.87,27.99,27.94,537000
2010-04-05,27.68,28.06,27.53,27.89,27.84,406400
2010-04-06,27.72,28.19,27.59,28.16,28.11,543700
2010-04-07,28.02,28.18,27.52,27.81,27.76,548500
2010-04-08,27.66,27.93,27.52,27.65,27.6,318300
2010-04-09,27.81,28.09,27.64,27.98,27.93,411400
2010-04-12,27.88,28.29,27.77,28.04,27.99,181300
2010-04-13,28.0,28.34,27.99,28.07,28.02,938700
