Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,70.78,70.91,69.85,70.91,63.17,348000
2010-01-05,70.6,71.58,70.2,70.75,63.03,339500
2010-01-06,70.86,72.0,70.28,71.89,64.04,585000
2010-01-07,72.13,72.58,71.31,71.68,63.85,328600
2010-01-08,71.47,71.79,71.31,71.6,63.78,279300
2010-01-11,71.71,72.58,71.44,72.32,64.42,254200
2010-01-12,71.71,72.95,71.44,72.5,64.59,417000
2010-01-13,72.5,73.03,72.24,72.66,64.73,193300
2010-01-14,72.42,73.09,72.26,72.5,64.59,272400
2010-01-15,72.32,72.79,71.55,71.66,63.83,226700
2010-01-19,71.47,72.77,71.36,72.48,64.56,118300
2010-01-20,72.34,73.64,72.26,73.3,65.29,294900
2010-01-21,73.64,73.88,72.58,72.72,64.78,183400
2010-01-22,71.89,72.37,71.42,71.44,63.64,344200
2010-01-25,71.81,72.26,71.21,71.58,63.76,672700
2010-01-26,71.23,71.39,70.28,70.89,63.15,608000
2010-01-27,70.62,70.86,69.19,70.52,62.82,502600
2010-01-28,70.62,70.73,69.32,69.35,61.78,313400
2010-01-29,69.38,75.31,69.06,69.48,61.9,354200
2010-02-01,69.75,70.23,69.62,69.93,62.3,294300
2010-02-02,69.72,71.81,69.72,71.42,63.62,564600
2010-02-03,71.31,73.03,71.13,72.64,64.7,485900
2010-02-04,71.92,75.44,71.76,74.78,66.62,732600
2010-02-05,74.46,74.97,73.93,74.46,66.33,819100
2010-02-08,74.57,74.65,73.59,73.59,65.55,368000
2010-02-09,73.91,74.07,73.46,73.83,65.77,253900
2010-02-10,74.12,74.23,73.4,73.67,65.62,150400
2010-02-11,73.32,73.91,73.25,73.72,65.67,250900
2010-02-12,73.27,73.72,73.27,73.51,65.48,173300
2010-02-16,73.54,73.96,73.09,73.85,65.79,243200
2010-02-17,74.41,75.23,74.25,74.83,66.66,337100
2010-02-18,74.44,74.89,74.25,74.65,66.5,154100
2010-02-19,74.44,76.4,74.44,76.03,67.72,341500
2010-02-22,76.32,76.74,76.21,76.72,68.34,215200
2010-02-23,76.5,79.21,76.4,77.51,69.05,641500
2010-02-24,77.4,79.02,77.3,77.85,69.35,389500
2010-02-25,77.19,78.28,77.06,77.93,69.42,470500
2010-02-26,78.07,78.91,77.93,78.89,70.27,354200
2010-03-01,78.86,80.16,78.7,79.92,71.19,345300
2010-03-02,80.19,81.09,79.39,80.32,71.55,287800
2010-03-03,80.72,81.32,79.84,79.97,71.24,323900
2010-03-04,80.16,80.69,79.76,80.69,71.88,265700
2010-03-05,80.72,81.25,80.16,81.17,72.3,243800
2010-03-08,81.4,82.3,80.87,81.48,72.59,415700
2010-03-09,81.22,83.44,81.22,82.81,73.77,390300
2010-03-10,82.78,83.07,82.36,82.68,73.65,206900
2010-03-11,82.78,83.26,81.99,82.91,73.86,261300
2010-03-12,82.78,83.44,82.68,83.26,74.17,165100
2010-03-15,82.99,83.68,82.38,83.34,74.24,210300
2010-03-16,83.18,84.24,83.15,84.08,74.9,133700
2010-03-17,84.26,84.69,84.03,84.34,75.13,235200
2010-03-18,84.0,84.77,83.89,84.32,75.11,296400
2010-03-19,83.07,84.05,82.62,83.07,74.0,375600
2010-03-22,83.07,83.92,82.78,83.74,74.59,207200
2010-03-23,83.89,84.77,83.66,84.56,75.32,313500
2010-03-24,84.32,84.58,83.15,83.52,74.4,222600
2010-03-25,83.81,84.77,83.52,84.45,75.23,219700
2010-03-26,84.37,85.14,84.05,84.34,75.13,206000
2010-03-29,84.05,84.72,83.28,84.69,75.67,267800
2010-03-30,84.61,85.03,84.34,84.34,75.37,129200
2010-03-31,84.0,84.29,82.75,82.89,74.06,291300
2010-04-01,83.1,84.21,82.33,82.99,74.16,375500
2010-04-05,82.86,83.87,82.78,83.6,74.7,182800
2010-04-06,83.66,83.79,82.65,83.76,74.85,188000
2010-04-07,83.71,84.34,83.26,84.34,75.37,260100
2010-04-08,83.87,84.56,83.74,84.56,75.56,185000
2010-04-09,84.77,85.25,84.34,84.77,75.75,183900
2010-04-12,84.95,85.3,83.89,84.82,75.79,194600
2010-04-13,85.3,85.8,84.66,84.87,75.84,203000
2010-04-14,85.38,86.07,84.98,85.96,76.81,171100
2010-04-15,85.59,86.28,85.48,85.77,76.64,110600
2010-04-16,85.54,86.2,85.3,85.7,76.57,202900
2010-04-19,85.19,85.75,84.29,84.87,75.84,152100
2010-04-20,84.95,87.42,84.72,87.42,78.11,317500
2010-04-21,87.42,88.98,86.91,88.45,79.04,350400
2010-04-22,87.68,88.34,87.21,88.03,78.66,397200
2010-04-23,88.21,88.93,87.76,88.58,79.15,291900
2010-04-26,88.48,89.14,88.08,88.29,78.89,170500
2010-04-27,88.26,88.74,87.47,87.47,78.16,424800
2010-04-28,87.81,88.08,86.78,87.95,78.59,417700
2010-04-29,90.44,92.66,90.36,92.29,82.47,763700
2010-04-30,92.42,92.42,90.46,91.26,81.54,581200
2010-05-03,91.26,92.5,91.07,92.32,82.49,201200
2010-05-04,91.84,91.84,88.93,89.72,80.17,273000
2010-05-05,89.25,89.27,87.55,87.74,78.4,300300
2010-05-06,87.58,88.34,83.44,86.3,77.12,469300
2010-05-07,86.7,86.94,83.97,84.26,75.3,512800
2010-05-10,86.91,87.44,85.72,87.28,77.99,356600
2010-05-11,86.04,87.89,85.77,87.15,77.88,277600
2010-05-12,87.39,87.95,86.54,87.68,78.35,312400
2010-05-13,87.71,88.08,87.15,87.21,77.92,176100
2010-05-14,86.52,87.18,84.58,85.14,76.08,354600
2010-05-17,85.4,85.64,83.34,84.85,75.82,440700
