Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,34.01,34.26,33.87,34.16,25.47,2058800
2010-01-05,34.22,34.22,33.78,34.01,25.36,2961700
2010-01-06,33.87,34.15,33.78,34.0,25.35,1636700
2010-01-07,33.94,34.12,33.82,34.08,25.41,1406700
2010-01-08,33.92,34.33,33.67,34.24,25.53,1451900
2010-01-11,34.36,34.72,34.28,34.67,25.85,1731700
2010-01-12,34.59,34.9,34.3,34.88,26.01,2191900
2010-01-13,34.87,35.0,34.66,34.8,25.95,1952500
2010-01-14,34.71,34.75,34.32,34.44,25.68,2481700
2010-01-15,34.36,34.39,33.15,33.25,24.79,4103700
2010-01-19,33.26,33.93,33.18,33.92,25.29,3002200
2010-01-20,33.65,33.75,33.02,33.72,25.14,3236500
2010-01-21,33.7,33.99,33.03,33.1,24.68,3303900
2010-01-22,33.13,33.58,32.83,32.86,24.5,2825300
2010-01-25,33.11,33.11,32.6,32.64,24.34,1669700
2010-01-26,32.53,32.91,32.26,32.56,24.28,1752700
2010-01-27,32.51,32.74,32.14,32.58,24.29,1873700
2010-01-28,32.73,32.73,31.83,32.11,23.94,2761400
2010-01-29,32.34,32.52,31.95,32.05,23.9,2373700
2010-02-01,32.2,32.46,31.83,32.18,23.99,1834100
2010-02-02,32.18,32.62,32.14,32.51,24.24,1881100
2010-02-03,32.43,32.57,32.21,32.47,24.21,1071200
2010-02-04,32.28,32.44,31.73,31.81,23.72,2477600
2010-02-05,31.74,32.12,31.37,31.82,23.73,2663600
2010-02-08,31.87,31.95,31.4,31.4,23.41,1737700
2010-02-09,31.66,32.17,31.56,32.06,23.9,2018100
2010-02-10,32.06,32.14,31.56,31.92,23.8,1374100
2010-02-11,31.73,31.99,31.3,31.93,23.81,2636200
2010-02-12,31.69,32.0,31.29,31.83,23.73,3396800
2010-02-16,32.49,33.09,32.4,32.9,24.53,2948500
2010-02-17,33.09,33.2,32.84,33.0,24.61,2075100
2010-02-18,32.9,33.08,32.67,32.9,24.53,2765800
2010-02-19,32.81,33.48,32.63,33.38,24.89,2581200
2010-02-22,33.51,33.51,33.21,33.36,24.87,1396000
2010-02-23,32.94,33.28,32.54,32.62,24.32,2547600
2010-02-24,32.73,32.99,32.51,32.92,24.55,3163500
2010-02-25,32.64,33.03,32.42,33.03,24.63,2507200
2010-02-26,33.04,33.14,32.79,33.02,24.62,1879800
2010-03-01,33.04,33.45,33.01,33.37,25.12,2404900
2010-03-02,33.49,33.63,33.4,33.51,25.23,1690100
2010-03-03,33.52,33.76,33.34,33.5,25.22,1579300
2010-03-04,33.5,33.67,33.31,33.47,25.2,1389900
2010-03-05,33.64,33.86,33.54,33.86,25.49,1624900
2010-03-08,33.94,33.94,33.56,33.6,25.29,1645100
2010-03-09,33.58,33.64,33.34,33.62,25.31,1929900
2010-03-10,33.54,33.59,33.27,33.49,25.21,2410900
2010-03-11,33.45,33.47,33.11,33.45,25.18,2142500
2010-03-12,33.45,33.51,33.15,33.42,25.16,1906700
2010-03-15,33.45,33.73,33.22,33.7,25.37,2090800
2010-03-16,33.79,33.99,33.68,33.88,25.51,2194700
2010-03-17,34.0,34.17,33.88,33.97,25.57,1658300
2010-03-18,34.04,34.19,33.95,34.1,25.67,1797900
2010-03-19,34.16,34.47,33.98,34.16,25.72,4385100
2010-03-22,34.04,34.3,34.0,34.27,25.8,1962300
2010-03-23,34.42,34.72,34.25,34.69,26.11,2501800
2010-03-24,34.57,34.6,33.99,34.36,25.87,2415400
2010-03-25,34.58,34.58,34.27,34.27,25.8,2169900
2010-03-26,34.31,34.64,34.22,34.43,25.92,4230200
2010-03-29,34.59,34.75,34.34,34.55,26.01,1697100
2010-03-30,34.63,34.64,34.32,34.44,25.93,1705100
2010-03-31,34.35,34.57,34.09,34.43,25.92,1910200
2010-04-01,34.5,34.74,34.4,34.58,26.03,1405100
2010-04-05,34.72,34.8,34.5,34.68,26.11,1256700
2010-04-06,34.65,35.04,34.59,34.84,26.23,1816300
2010-04-07,34.81,34.9,34.63,34.68,26.11,1764900
2010-04-08,34.67,34.82,34.42,34.61,26.05,1651200
2010-04-09,34.68,34.8,34.31,34.77,26.18,1767100
2010-04-12,34.74,34.97,34.71,34.92,26.29,1444200
2010-04-13,34.69,35.0,34.51,34.87,26.25,1869900
2010-04-14,34.99,35.1,34.75,35.1,26.42,1889900
2010-04-15,35.01,35.37,34.91,35.14,26.45,2360400
2010-04-16,35.15,35.39,34.95,35.03,26.37,3290300
2010-04-19,35.0,35.21,34.75,35.11,26.43,3485600
2010-04-20,35.31,35.39,35.0,35.09,26.42,2152500
2010-04-21,35.17,35.27,35.0,35.13,26.45,2407100
2010-04-22,35.11,35.35,34.8,35.24,26.53,2306600
