Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.38,21.38,21.04,21.08,14.79,2670400
2010-01-05,20.95,21.0,20.41,20.83,14.62,4321400
2010-01-06,20.87,20.96,20.74,20.87,14.64,2164500
2010-01-07,20.8,20.84,20.64,20.78,14.58,3041700
2010-01-08,20.76,20.81,20.59,20.79,14.59,1599100
2010-01-11,20.91,21.09,20.79,20.99,14.73,2266600
2010-01-12,20.94,21.26,20.86,21.24,14.9,3481400
2010-01-13,21.28,21.62,21.28,21.57,15.13,3438400
2010-01-14,21.65,21.66,21.46,21.61,15.16,2278400
2010-01-15,21.54,21.54,21.29,21.41,15.02,3249700
2010-01-19,21.44,21.6,21.31,21.6,15.16,1647700
2010-01-20,21.56,21.61,21.23,21.54,15.11,2731100
2010-01-21,21.59,21.76,21.24,21.37,14.99,4444100
2010-01-22,21.33,21.43,20.84,20.84,14.62,3347900
2010-01-25,20.92,21.0,20.67,20.79,14.59,2106500
2010-01-26,20.69,20.92,20.63,20.8,14.59,2730900
2010-01-27,20.73,20.99,20.57,20.94,14.69,3885800
2010-01-28,21.1,21.1,20.72,20.86,14.64,2859000
2010-01-29,20.87,20.96,20.68,20.78,14.58,3960200
2010-02-01,20.83,20.91,20.63,20.85,14.63,2335200
2010-02-02,20.8,21.17,20.67,21.17,14.85,2501800
2010-02-03,21.07,21.16,20.88,20.92,14.68,2209300
2010-02-04,20.84,20.86,20.23,20.23,14.19,4037200
2010-02-05,20.19,20.23,19.86,20.13,14.12,4800900
2010-02-08,20.15,20.26,20.02,20.04,14.06,3274300
2010-02-09,20.12,20.41,20.09,20.2,14.17,3303600
2010-02-10,20.19,20.24,19.87,20.06,14.08,3504600
2010-02-11,20.08,20.32,19.82,20.29,14.24,3170700
2010-02-12,20.12,20.25,20.01,20.23,14.19,3009500
2010-02-16,20.31,20.62,20.31,20.6,14.45,1541700
2010-02-17,20.64,20.76,20.47,20.55,14.42,2249700
2010-02-18,20.56,20.85,20.53,20.84,14.62,2286800
2010-02-19,20.8,21.14,20.72,21.08,14.79,1938000
2010-02-22,21.16,21.2,21.0,21.04,14.76,2090700
2010-02-23,21.0,21.14,20.88,20.98,14.72,3150800
2010-02-24,21.03,21.13,20.73,21.03,14.76,2907000
2010-02-25,20.82,21.05,20.7,20.97,14.71,3108700
2010-02-26,20.97,21.09,20.81,20.81,14.6,2561700
2010-03-01,20.89,21.14,20.86,21.02,14.75,1524900
2010-03-02,21.11,21.27,21.07,21.22,14.89,1827700
2010-03-03,21.21,21.38,21.15,21.23,14.9,1558200
2010-03-04,21.23,21.24,20.99,21.06,14.78,2696100
2010-03-05,21.08,21.2,21.04,21.19,14.87,1982700
2010-03-08,21.15,21.22,21.08,21.15,14.84,1408200
2010-03-09,21.12,21.25,21.02,21.13,14.83,2193400
2010-03-10,21.11,21.2,20.92,21.11,14.81,2285800
2010-03-11,21.09,21.12,20.94,21.09,14.8,2853800
2010-03-12,21.19,21.26,20.91,21.03,14.76,2119000
2010-03-15,20.99,21.15,20.97,21.15,14.84,1147600
2010-03-16,21.19,21.31,21.07,21.31,14.95,1443700
2010-03-17,21.33,21.53,21.27,21.44,15.04,1759900
2010-03-18,21.39,21.5,21.27,21.44,15.04,2177800
2010-03-19,21.58,21.69,21.42,21.58,15.14,3545700
2010-03-22,21.5,21.58,21.43,21.5,15.09,1789300
2010-03-23,21.21,21.31,21.17,21.3,15.12,1649500
2010-03-24,21.25,21.26,21.07,21.08,14.96,1646400
2010-03-25,21.21,21.23,21.03,21.06,14.95,2143600
2010-03-26,21.12,21.26,20.99,21.04,14.93,1900100
2010-03-29,21.11,21.28,21.05,21.24,15.07,1929000
2010-03-30,21.23,21.39,21.19,21.22,15.06,1490600
2010-03-31,21.19,21.39,21.08,21.2,15.05,2405000
2010-04-01,21.28,21.5,21.25,21.4,15.19,1660700
2010-04-05,21.49,21.66,21.41,21.63,15.35,2138600
2010-04-06,21.54,21.84,21.54,21.84,15.5,1761700
2010-04-07,21.77,21.81,21.52,21.63,15.35,1704100
2010-04-08,21.62,21.62,21.39,21.49,15.25,1792500
2010-04-09,21.5,21.63,21.29,21.63,15.35,1640400
2010-04-12,21.67,21.79,21.61,21.74,15.43,1818000
2010-04-13,21.73,21.8,21.42,21.5,15.26,2601400
2010-04-14,21.43,21.54,21.36,21.52,15.27,1734800
2010-04-15,21.5,21.52,21.12,21.23,15.07,4962400
2010-04-16,21.23,21.66,21.22,21.48,15.25,5069800
2010-04-19,21.45,21.56,21.33,21.47,15.24,1839300
2010-04-20,21.58,21.62,21.5,21.6,15.33,2010200
2010-04-21,21.65,21.73,21.58,21.61,15.34,2201800
2010-04-22,21.52,21.82,21.41,21.78,15.46,2627200
2010-04-23,21.81,21.94,21.64,21.94,15.57,1639000
2010-04-26,21.88,22.05,21.83,21.83,15.49,2074100
2010-04-27,21.68,21.93,21.46,21.46,15.23,2475800
2010-04-28,21.56,21.65,21.39,21.49,15.25,3563900
2010-04-29,21.54,21.64,21.37,21.61,15.34,3594300
2010-04-30,21.72,21.98,21.61,21.75,15.44,2132000
2010-05-03,21.87,22.14,21.82,22.1,15.69,1991700
2010-05-04,21.83,22.0,21.68,21.74,15.43,2402200
2010-05-05,21.66,22.08,21.65,21.74,15.43,2635500
2010-05-06,21.65,21.75,20.07,21.11,14.98,5072800
2010-05-07,21.01,21.23,20.67,20.87,14.81,4365500
2010-05-10,21.3,21.49,21.09,21.48,15.25,3869500
2010-05-11,21.19,21.79,21.19,21.57,15.31,3040200
2010-05-12,21.54,21.64,21.41,21.56,15.3,2983400
2010-05-13,21.57,21.7,21.38,21.43,15.21,1875300
2010-05-14,21.35,21.46,21.13,21.27,15.1,2911700
