Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.34,25.62,25.23,25.38,20.35,2824700
2010-01-05,25.33,25.48,24.85,25.06,20.09,3469700
2010-01-06,25.0,25.38,24.7,24.89,19.96,6329200
2010-01-07,24.86,24.86,24.35,24.64,19.76,9252700
2010-01-08,24.54,25.05,24.39,25.0,20.04,5005800
2010-01-11,25.01,25.14,24.41,24.74,19.84,5611800
2010-01-12,24.36,24.45,23.81,24.05,19.28,6111800
2010-01-13,24.16,24.34,23.62,24.26,19.45,7026600
2010-01-14,23.97,24.16,23.78,24.11,19.33,4906500
2010-01-15,24.12,24.3,23.29,23.52,18.86,7072500
2010-01-19,23.9,23.94,23.56,23.88,19.15,7132600
2010-01-20,23.8,24.01,23.36,23.94,19.19,9186100
2010-01-21,24.08,25.41,23.7,25.25,20.24,20768000
2010-01-22,25.1,25.18,23.78,23.84,19.11,13790600
2010-01-25,24.0,24.67,23.97,24.38,19.55,11561400
2010-01-26,24.27,24.43,24.08,24.22,19.42,8235300
2010-01-27,24.28,24.72,24.08,24.48,19.63,7036200
2010-01-28,24.47,24.47,23.6,24.01,19.25,8493700
2010-01-29,23.91,24.44,23.46,23.58,18.91,12612400
2010-02-01,23.51,24.11,23.49,23.98,19.23,5645000
2010-02-02,24.09,24.36,23.89,24.27,19.46,4727900
2010-02-03,24.15,24.63,24.02,24.51,19.65,6484300
2010-02-04,24.1,24.15,23.1,23.28,18.67,10611600
2010-02-05,23.35,23.75,23.06,23.62,18.94,11924400
2010-02-08,23.55,23.94,23.17,23.46,18.94,5811900
2010-02-09,23.78,24.16,23.59,23.81,19.22,8005700
2010-02-10,23.72,24.07,23.63,23.95,19.33,5812000
2010-02-11,23.88,24.62,23.77,24.46,19.75,11478100
2010-02-12,24.31,24.93,24.04,24.56,19.83,6154600
2010-02-16,24.75,25.17,24.66,25.04,20.21,5083000
2010-02-17,25.06,25.26,24.86,25.1,20.26,4874800
2010-02-18,25.17,25.63,25.01,25.52,20.6,7991100
2010-02-19,25.44,25.85,25.33,25.71,20.75,5413300
2010-02-22,25.79,25.79,25.36,25.5,20.58,5627100
2010-02-23,25.29,25.44,24.9,25.15,20.3,7812200
2010-02-24,25.36,26.27,25.28,25.91,20.92,11894900
2010-02-25,25.5,26.06,25.43,25.98,20.97,6591200
2010-02-26,25.98,26.04,25.64,25.83,20.85,5367200
2010-03-01,26.07,26.48,25.98,26.4,21.31,5269600
2010-03-02,26.45,26.75,26.23,26.38,21.3,5674700
2010-03-03,26.5,26.66,26.11,26.2,21.15,4859700
2010-03-04,26.0,26.3,25.78,26.22,21.17,4816800
2010-03-05,26.53,26.89,26.33,26.71,21.56,5678800
2010-03-08,26.8,26.87,26.63,26.63,21.5,3568600
2010-03-09,26.61,26.8,26.44,26.62,21.49,4541600
2010-03-10,26.55,26.99,26.55,26.9,21.71,4868400
2010-03-11,26.75,26.84,26.35,26.5,21.39,8792900
2010-03-12,26.55,26.74,26.45,26.61,21.48,6011300
2010-03-15,26.55,26.6,26.2,26.35,21.27,5340800
2010-03-16,26.36,27.09,26.36,26.93,21.74,5470700
2010-03-17,27.07,27.5,27.0,27.31,22.05,5624900
2010-03-18,27.23,27.48,26.82,27.06,21.84,6237900
2010-03-19,27.17,27.21,26.27,26.6,21.47,8786400
2010-03-22,26.54,27.19,26.42,27.07,21.85,4172400
2010-03-23,27.21,27.41,26.9,27.32,22.05,5052800
2010-03-24,26.95,26.95,25.74,25.81,20.84,14273500
2010-03-25,25.95,26.24,25.41,25.45,20.54,11107100
2010-03-26,25.44,25.76,25.19,25.4,20.5,7408300
2010-03-29,25.57,25.9,25.51,25.71,20.75,8947400
2010-03-30,25.74,25.85,25.42,25.72,20.76,5891300
2010-03-31,25.5,25.75,25.42,25.5,20.58,6212900
2010-04-01,25.69,26.12,25.39,25.68,20.73,4865200
2010-04-05,25.63,26.49,25.63,26.34,21.26,4936200
2010-04-06,26.29,26.68,26.15,26.53,21.42,5929900
2010-04-07,26.5,26.83,26.22,26.58,21.46,5769500
2010-04-08,26.46,26.5,25.98,26.22,21.17,4431600
2010-04-09,26.25,26.43,26.13,26.38,21.3,2579700
2010-04-12,26.51,26.8,26.42,26.63,21.5,3410100
2010-04-13,26.68,26.91,26.51,26.84,21.67,3555300
2010-04-14,27.25,27.68,27.21,27.65,22.32,5772900
2010-04-15,27.51,27.87,26.84,27.73,22.38,4701000
2010-04-16,27.68,27.68,27.12,27.49,22.19,6050300
2010-04-19,27.41,27.6,26.79,27.26,22.01,6100200
2010-04-20,27.25,27.65,27.21,27.62,22.3,4857300
2010-04-21,27.85,28.0,26.58,27.21,21.97,8985600
2010-04-22,26.94,27.59,26.39,27.52,22.22,6959700
2010-04-23,27.5,27.57,26.84,27.3,22.04,5487800
2010-04-26,27.24,27.54,27.14,27.23,21.98,3801000
2010-04-27,27.0,27.04,26.19,26.3,21.23,12673500
2010-04-28,26.65,26.73,26.25,26.63,21.5,8560500
2010-04-29,26.34,26.87,26.26,26.79,21.63,10503400
2010-04-30,26.88,26.9,25.75,25.79,20.82,9880500
2010-05-03,25.9,26.49,25.89,26.35,21.27,6051700
2010-05-04,26.12,26.12,25.08,25.48,20.57,9817500
2010-05-05,25.32,25.83,24.92,25.32,20.44,8170000
2010-05-06,25.22,25.57,23.24,24.72,19.96,11654000
2010-05-07,24.4,25.1,23.67,24.44,19.73,12498300
2010-05-10,25.42,25.58,24.9,25.23,20.37,6450300
2010-05-11,24.99,25.5,24.69,25.06,20.23,7140300
2010-05-12,25.36,25.75,25.06,25.69,20.74,6865900
2010-05-13,25.33,25.54,24.53,24.65,19.9,9056700
2010-05-14,24.53,24.56,23.52,24.05,19.41,10129600
2010-05-17,23.73,24.85,23.73,24.78,20.14,11557800
2010-05-18,24.87,25.01,23.93,24.06,19.55,8997200
2010-05-19,23.99,24.55,23.71,24.25,19.71,7612100
2010-05-20,23.78,24.31,23.25,23.91,19.43,13205600
2010-05-21,23.46,24.81,23.28,24.34,19.78,14162500
2010-05-24,24.09,24.38,23.66,23.68,19.24,7606900
2010-05-25,23.09,23.77,22.75,23.74,19.29,9866700
2010-05-26,23.87,24.36,23.74,23.78,19.32,9098800
2010-05-27,24.36,24.89,24.34,24.88,20.22,8288900
2010-05-28,24.89,24.89,24.08,24.45,19.87,6766700
2010-06-01,24.23,24.64,23.88,23.9,19.42,6091900
2010-06-02,23.97,24.67,23.78,24.66,20.04,7131100
2010-06-03,24.66,25.53,24.65,25.24,20.51,10480100
2010-06-04,24.9,25.63,24.82,24.96,20.28,18108200
2010-06-07,25.04,25.3,24.2,24.29,19.74,12381800
2010-06-08,24.38,24.38,23.47,24.15,19.63,12405100
2010-06-09,24.25,24.53,23.69,23.79,19.33,8407600
2010-06-10,24.18,24.73,24.01,24.59,19.98,9346200
2010-06-11,24.24,25.21,24.24,25.07,20.37,7527600
2010-06-14,25.23,25.48,24.78,24.85,20.19,6426100
2010-06-15,25.09,26.5,24.9,26.36,21.42,11989200
2010-06-16,26.23,26.87,25.99,26.66,21.67,7478500
2010-06-17,26.87,26.89,26.21,26.66,21.67,6368000
2010-06-18,26.69,27.01,26.61,26.8,21.78,7086100
2010-06-21,26.98,27.13,26.14,26.31,21.38,5990800
2010-06-22,26.35,26.75,25.92,26.02,21.15,4992700
2010-06-23,26.06,26.55,25.81,26.26,21.34,5441300
2010-06-24,26.32,26.33,25.76,25.91,21.06,5532600
2010-06-25,26.03,26.08,25.48,25.9,21.05,5213400
2010-06-28,26.03,26.29,25.66,26.05,21.17,5496400
2010-06-29,25.65,25.76,25.11,25.28,20.54,9029700
2010-06-30,25.37,25.82,25.19,25.26,20.53,7974000
2010-07-01,25.23,25.72,24.82,25.54,20.76,9288300
2010-07-02,25.61,25.61,24.94,25.33,20.58,4890400
2010-07-06,25.61,25.95,25.17,25.39,20.63,10364300
2010-07-07,25.43,26.95,25.31,26.91,21.87,13727500
2010-07-08,26.97,27.1,26.61,27.02,21.96,12860000
2010-07-09,27.02,27.68,26.88,27.62,22.45,7226700
2010-07-12,27.57,28.22,27.52,27.84,22.62,7039000
2010-07-13,28.04,28.85,27.95,28.64,23.27,9526000
2010-07-14,28.75,29.12,27.97,28.18,22.9,9442400
2010-07-15,28.19,28.61,27.73,28.54,23.19,8442500
2010-07-16,28.27,28.34,27.54,27.59,22.42,9481600
2010-07-19,27.74,28.71,27.74,28.71,23.33,9264500
2010-07-20,27.97,28.48,27.42,28.45,23.12,9905100
2010-07-21,28.2,28.27,27.4,27.8,22.59,10079800
2010-07-22,27.67,28.92,27.52,28.78,23.39,11464100
2010-07-23,28.67,29.35,28.18,29.2,23.73,10400900
2010-07-26,29.1,29.32,28.68,29.28,23.79,6591900
2010-07-27,29.3,29.4,28.87,28.93,23.51,9602600
2010-07-28,28.78,28.93,28.36,28.5,23.16,5780100
2010-07-29,28.55,28.79,27.5,27.81,22.6,9126700
2010-07-30,27.55,28.13,27.04,27.92,22.69,8919400
2010-08-02,28.11,28.19,27.69,28.06,22.8,6194300
2010-08-03,28.01,28.03,27.64,27.87,22.65,3745500
2010-08-04,27.93,28.08,27.58,28.04,22.79,3350100
2010-08-05,27.96,28.31,27.73,27.87,22.65,4324300
2010-08-06,27.6,28.08,27.45,27.91,22.68,4501200
2010-08-09,27.91,27.94,27.48,27.73,22.66,3996400
2010-08-10,27.53,27.66,27.1,27.56,22.53,8126800
2010-08-11,27.04,27.11,26.7,26.85,21.95,8545600
2010-08-12,25.06,26.85,24.28,25.5,20.84,14968100
2010-08-13,25.35,25.66,25.03,25.04,20.47,8229200
2010-08-16,24.8,25.33,24.48,25.11,20.52,5909500
2010-08-17,25.22,25.69,25.09,25.41,20.77,6004000
2010-08-18,25.35,25.83,25.18,25.64,20.96,7544800
2010-08-19,25.5,25.81,25.19,25.3,20.68,5775000
2010-08-20,25.25,25.64,25.18,25.45,20.8,5198200
2010-08-23,25.58,25.6,24.88,25.05,20.47,7925400
2010-08-24,24.67,25.0,24.49,24.89,20.34,7019900
2010-08-25,24.76,25.07,24.45,24.95,20.39,6947600
2010-08-26,25.1,25.16,24.34,24.48,20.01,7040700
2010-08-27,24.63,25.0,23.96,24.93,20.38,8302600
2010-08-30,24.75,24.92,24.31,24.31,19.87,6034400
2010-08-31,24.14,24.54,24.0,24.14,19.73,8847000
2010-09-01,24.45,25.1,24.44,24.67,20.16,7879100
2010-09-02,24.86,25.3,24.63,25.18,20.58,6230300
2010-09-03,25.44,25.76,25.1,25.39,20.75,5261700
2010-09-07,25.24,25.39,24.85,24.97,20.41,5038700
2010-09-08,24.95,25.16,24.56,25.13,20.54,8261700
2010-09-09,25.38,25.43,24.72,24.76,20.24,7102100
2010-09-10,24.75,24.94,24.27,24.67,20.16,5344700
2010-09-13,24.81,25.41,24.81,25.28,20.66,5156500
2010-09-14,25.32,26.25,25.27,26.13,21.36,10873700
2010-09-15,26.0,26.17,25.81,26.06,21.3,5883300
2010-09-16,26.03,26.33,25.94,26.27,21.47,5435000
2010-09-17,26.34,26.74,26.18,26.45,21.62,8697900
2010-09-20,26.15,26.25,25.69,26.18,21.4,9585000
2010-09-21,26.15,26.22,25.92,26.02,21.27,5209200
2010-09-22,25.73,25.75,24.96,25.33,20.7,13001400
2010-09-23,25.18,25.78,24.98,25.34,20.71,6796000
2010-09-24,25.7,26.59,25.64,26.54,21.69,8260100
2010-09-27,26.54,26.55,26.09,26.18,21.4,3698400
2010-09-28,26.43,26.83,25.95,26.81,21.91,7246100
2010-09-29,26.63,27.21,26.6,27.05,22.11,9469200
2010-09-30,27.15,27.35,26.31,26.64,21.77,8313200
2010-10-01,26.12,26.6,25.89,26.35,21.54,9333400
2010-10-04,26.39,26.39,25.3,25.75,21.05,9820700
2010-10-05,26.0,26.44,25.85,26.35,21.54,5375000
2010-10-06,25.95,26.05,25.33,25.71,21.01,8580200
2010-10-07,25.74,25.94,25.42,25.93,21.19,7533000
2010-10-08,25.91,26.21,25.52,26.08,21.32,9660800
2010-10-11,26.03,26.77,25.92,26.61,21.75,7449300
2010-10-12,26.68,26.96,26.43,26.83,21.93,8025100
2010-10-13,27.0,27.0,26.35,26.57,21.72,7186500
2010-10-14,26.59,26.8,26.32,26.48,21.64,5569700
2010-10-15,26.72,26.72,26.25,26.48,21.64,6536400
2010-10-18,26.24,26.48,25.84,26.34,21.53,5736300
2010-10-19,26.09,26.7,25.83,26.34,21.53,6683900
2010-10-20,26.2,26.34,25.57,26.01,21.26,9886300
2010-10-21,25.32,25.53,24.77,25.17,20.57,21218800
2010-10-22,25.18,25.32,24.94,25.2,20.6,7167200
2010-10-25,25.4,25.65,25.3,25.45,20.8,4557600
2010-10-26,25.37,25.6,25.13,25.31,20.69,5389100
2010-10-27,25.15,26.19,25.13,26.12,21.35,8660000
2010-10-28,26.13,26.38,25.84,26.22,21.43,8561700
2010-10-29,26.21,26.92,26.18,26.8,21.9,10467600
2010-11-01,27.0,27.23,26.73,26.83,21.93,7674600
2010-11-02,27.06,27.28,26.99,27.15,22.19,5653000
2010-11-03,27.49,27.49,26.88,27.24,22.26,8300000
2010-11-04,27.53,27.95,27.37,27.85,22.76,12164000
2010-11-05,27.9,27.92,27.61,27.73,22.66,5099200
2010-11-08,27.51,27.88,27.5,27.82,22.87,7675500
2010-11-09,27.85,27.9,27.2,27.37,22.5,6351800
2010-11-10,27.35,27.56,27.1,27.42,22.54,4820600
2010-11-11,26.11,26.65,25.64,26.5,21.79,10327300
2010-11-12,26.4,26.9,26.3,26.64,21.9,8119900
2010-11-15,26.72,26.95,26.33,26.45,21.74,7058100
2010-11-16,26.18,26.46,26.06,26.3,21.62,6308600
2010-11-17,26.29,26.82,26.18,26.7,21.95,7052000
2010-11-18,27.02,27.18,26.76,27.02,22.21,7545200
2010-11-19,26.95,27.38,26.91,27.18,22.34,6360100
2010-11-22,27.06,27.45,26.89,27.27,22.42,6788400
2010-11-23,27.09,27.52,26.99,27.28,22.43,7130500
2010-11-24,27.44,27.98,27.44,27.68,22.76,5373500
2010-11-26,27.5,27.67,27.34,27.52,22.62,1786100
2010-11-29,27.36,27.64,27.15,27.43,22.55,5054000
2010-11-30,27.0,27.35,26.91,27.13,22.3,6254300
2010-12-01,27.47,28.08,27.41,27.99,23.01,6027800
2010-12-02,28.0,28.6,27.9,28.53,23.45,5725600
2010-12-03,28.5,29.0,28.46,28.87,23.73,4630400
2010-12-06,28.93,28.99,28.46,28.61,23.52,3749600
2010-12-07,29.0,29.13,28.52,28.59,23.5,4495900
2010-12-08,28.64,28.85,28.48,28.85,23.72,4586600
2010-12-09,29.0,29.0,28.45,28.5,23.43,3919800
2010-12-10,28.61,28.78,28.5,28.65,23.55,4443200
2010-12-13,28.7,28.78,28.47,28.51,23.44,3345900
2010-12-14,28.64,28.64,28.28,28.53,23.45,3716600
2010-12-15,28.4,28.61,28.14,28.23,23.21,4877700
2010-12-16,28.3,28.7,28.06,28.66,23.56,4919000
2010-12-17,28.37,28.58,27.9,28.21,23.19,8753000
2010-12-20,28.21,28.32,27.99,28.11,23.11,4651700
2010-12-21,28.25,28.46,28.24,28.39,23.34,2758200
2010-12-22,27.1,28.77,26.6,28.63,23.54,25817700
2010-12-23,28.44,29.06,28.39,28.83,23.7,5827600
