Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,111.91,117.13,110.79,115.09,114.14,4570000.0
2017-11-02,114.9,115.16,111.29,112.32,111.39,3478300.0
2017-11-03,110.08,111.0,108.54,109.25,108.35,3918700.0
2017-11-06,109.32,110.52,108.95,109.34,108.44,2481200.0
2017-12-28,,,,,,
2018-03-28,,,,,,
2018-05-24,113.0,113.87,111.5,111.74,110.82,1292200.0
2018-05-25,111.69,112.98,110.87,111.08,110.16,786900.0
2018-05-29,110.17,110.65,108.49,109.27,108.37,1053000.0
2018-05-30,109.6,111.21,109.49,110.65,109.74,653200.0
2018-05-31,110.72,112.37,110.59,111.51,110.59,1551000.0
2018-06-01,112.19,113.39,112.02,112.61,111.68,1015800.0
2018-06-04,112.8,114.22,112.72,113.66,112.72,1099100.0
2018-06-05,113.74,114.13,112.93,113.14,112.21,945400.0
2018-06-06,113.21,114.2,112.69,114.18,113.24,540500.0
2018-06-07,114.21,114.66,112.87,113.67,112.73,710300.0
2018-06-08,113.91,114.61,113.17,114.5,113.56,412500.0
2018-06-11,114.42,114.98,113.37,114.21,113.27,822400.0
2018-06-12,114.28,114.8,113.89,114.15,113.21,720100.0
2018-06-13,114.5,115.59,113.88,113.98,113.04,885100.0
2018-06-14,114.34,114.94,113.71,114.88,113.93,1060100.0
2018-06-15,114.58,115.41,112.28,113.38,112.45,1521800.0
2018-06-18,112.73,112.98,111.09,111.84,110.92,785400.0
2018-06-19,111.44,111.87,110.65,111.81,110.89,610800.0
2018-06-20,111.88,112.91,111.3,112.09,111.17,856300.0
2018-06-21,111.89,112.33,110.9,111.51,110.59,640100.0
2018-06-22,111.5,112.87,110.76,111.76,110.84,1611700.0
2018-06-25,111.35,111.55,109.5,110.73,109.82,923500.0
2018-06-26,111.5,113.17,110.99,112.56,111.63,1201600.0
2018-06-27,111.48,113.5,109.56,110.06,109.15,2129900.0
2018-06-28,109.55,111.61,109.51,111.27,110.59,854500.0
2018-06-29,111.59,113.32,111.38,111.44,110.76,916600.0
2018-07-02,110.49,111.92,109.98,111.82,111.14,769900.0
2018-07-03,111.8,112.76,110.05,111.93,111.25,519200.0
2018-07-05,112.13,113.03,111.66,112.86,112.17,688300.0
2018-07-06,113.0,115.12,112.81,114.0,113.31,930300.0
2018-07-09,114.04,115.14,114.03,114.66,113.96,578000.0
2018-07-10,114.91,115.23,114.14,114.8,114.1,399300.0
2018-07-11,114.11,115.0,114.08,114.16,113.47,433100.0
2018-07-12,114.75,114.75,113.11,114.04,113.35,609400.0
2018-07-13,114.42,115.0,113.58,114.89,114.19,697800.0
2018-07-16,114.89,114.99,112.24,112.63,111.95,716500.0
2018-07-17,112.77,114.12,112.01,113.76,113.07,851900.0
2018-07-18,114.05,114.95,112.13,112.38,111.7,1002100.0
2018-07-19,112.3,112.58,111.13,112.24,111.56,932000.0
2018-07-20,111.94,112.55,111.52,111.66,110.98,825100.0
2018-07-23,111.26,112.95,110.6,112.9,112.21,1158900.0
2018-07-24,113.63,115.03,112.74,114.61,113.91,1224600.0
2018-07-25,114.1,117.54,114.0,117.14,116.43,1235100.0
2018-07-26,117.42,117.84,116.2,117.11,116.4,1606900.0
2018-07-27,126.0,127.15,122.86,126.2,125.43,3640400.0
2018-07-30,126.82,128.38,125.89,126.51,125.74,2060300.0
2018-07-31,126.37,126.99,124.72,125.52,124.76,1936600.0
2018-08-01,125.24,126.22,124.93,125.42,124.66,1579600.0
2018-08-02,124.71,125.41,123.44,124.4,123.64,1350600.0
2018-08-03,124.2,126.0,122.96,125.91,125.14,1505900.0
2018-08-06,125.47,126.84,124.83,126.02,125.25,759700.0
2018-08-07,125.86,126.3,125.26,125.44,124.68,572200.0
2018-08-08,125.37,125.61,123.92,123.98,123.23,827900.0
2018-08-09,123.95,124.63,123.57,123.74,122.99,529400.0
2018-08-10,123.21,123.39,121.82,122.57,121.83,681500.0
2018-08-13,122.5,123.31,121.46,122.45,121.71,1076100.0
2018-08-14,122.33,122.99,121.75,122.38,121.64,492800.0
2018-08-15,122.25,122.95,120.97,122.71,121.96,839800.0
2018-08-16,122.93,123.26,122.38,122.76,122.01,690400.0
2018-08-17,122.82,124.17,122.19,123.86,123.11,787800.0
2018-08-20,123.88,124.92,123.88,124.67,123.91,702400.0
2018-08-21,125.12,125.7,124.01,124.27,123.51,840800.0
2018-08-22,123.8,125.03,123.47,124.84,124.08,470600.0
2018-08-23,124.68,124.9,124.0,124.48,123.72,515000.0
2018-08-24,124.52,125.9,124.52,125.4,124.64,1039900.0
2018-08-27,125.45,126.6,122.59,125.3,124.54,1978500.0
2018-08-28,125.75,126.12,125.17,125.98,125.21,1161700.0
2018-08-29,126.44,127.41,126.15,126.51,125.74,744900.0
2018-08-30,126.07,126.25,123.52,123.77,123.02,1402900.0
2018-08-31,123.15,123.74,122.77,123.63,122.88,723700.0
2018-09-04,123.96,124.68,121.36,121.97,121.23,1171000.0
2018-09-05,121.41,122.86,120.5,122.52,121.78,821700.0
2018-09-06,122.47,123.92,122.09,123.56,122.81,688700.0
2018-09-07,123.41,124.32,123.37,123.78,123.03,661700.0
2018-09-10,124.34,124.34,122.78,123.19,122.44,682700.0
2018-09-11,122.92,123.92,122.27,123.27,122.52,816200.0
2018-09-12,123.31,126.38,123.31,126.19,125.42,1643400.0
2018-09-13,126.19,129.92,126.07,129.66,128.87,2444500.0
2018-09-14,129.65,130.58,128.81,130.07,129.28,1059100.0
2018-09-17,130.21,130.42,129.18,129.55,128.76,1142000.0
2018-09-18,129.38,131.34,128.54,130.45,129.66,871100.0
2018-09-19,130.83,130.83,129.15,129.84,129.05,625400.0
2018-09-20,129.94,131.05,129.94,130.72,129.93,959100.0
2018-09-21,131.06,134.55,130.0,131.43,130.63,1569600.0
2018-09-24,130.88,131.61,130.66,131.24,130.44,649100.0
2018-09-25,131.24,131.38,129.45,130.51,129.72,1043500.0
2018-09-26,130.37,130.89,129.58,130.03,129.24,954200.0
2018-09-27,129.87,130.71,129.56,129.71,129.16,1027900.0
2018-09-28,129.53,132.07,129.22,131.47,130.91,1055100.0
2018-10-01,131.81,132.3,130.26,130.56,130.01,793600.0
2018-10-02,130.81,130.81,129.41,129.93,129.38,650000.0
2018-10-03,130.06,131.14,129.04,129.42,128.87,732400.0
2018-10-04,129.26,129.72,128.02,128.97,128.42,802200.0
2018-10-05,129.13,130.15,127.5,128.59,128.04,743700.0
2018-10-08,128.23,128.34,125.97,127.37,126.83,917500.0
2018-10-09,127.34,128.23,125.92,126.91,126.37,831100.0
2018-10-10,126.63,127.19,123.54,123.6,123.08,1288000.0
2018-10-11,123.71,124.04,120.32,121.15,120.64,1530400.0
2018-10-12,122.58,124.11,121.59,123.3,122.78,1452200.0
2018-10-15,122.74,124.96,122.15,123.5,122.98,1015700.0
2018-10-16,123.97,127.8,123.33,127.68,127.14,1480500.0
2018-10-17,127.35,128.43,126.92,128.32,127.78,957200.0
2018-10-18,128.22,128.22,125.6,126.32,125.78,1026100.0
2018-10-19,126.55,127.38,123.78,124.4,123.87,930200.0
2018-10-22,124.75,124.9,122.74,124.12,123.59,1014300.0
2018-10-23,122.73,124.58,121.2,124.07,123.54,1362000.0
2018-10-24,124.05,125.0,120.65,121.1,120.59,1145700.0
